@relation dataset

@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real


@data

?,?,?,-18.31,-24.64,-30.56,?,?,?,-62.28
-9.69,-10.86,-16.73,?,-28.47,-35.83,-43.65,-52.43,?,-71.27
-12.07,-14.28,?,-27.92,-35.19,?,?,-62.49,?,-83.1
-14.21,-17.41,-25.91,?,-41.29,-51.27,-59.94,-71.55,?,-93.83
-16.57,-20.35,?,?,-47.03,?,-67.13,-78.96,-90.01,-102.65
-75.61,-64.1,-122.08,?,-174.79,?,-214.69,?,-250.83,-207.99
-76.28,?,-123.4,?,?,-144.98,?,-170.68,-240.14,-200.05
-76.96,?,?,?,-169.93,-140.56,?,?,?,-194.7
-78.29,-66.49,-125.78,-104.77,?,-136.17,?,-161.99,?,?
-79.62,?,-126.61,?,?,?,-194.87,?,-221.33,?
-88.03,?,-128.47,?,-177.13,-175.21,-220.91,-218.92,?,-268.55
-91.08,-79.42,-131.32,?,-182.66,-178.76,-224.73,?,?,?
-92.08,?,-132.5,?,-183.33,-179.25,?,?,?,?
-92.58,?,?,?,-182.34,-177.94,?,?,?,?
?,-81.88,-133.96,?,?,-173.59,-211.85,?,?,-245.84
-68.84,-78.0,?,?,-128.66,?,?,?,?,?
-67.95,?,-95.08,?,?,?,-146.27,?,?,?
?,-75.99,?,?,-118.7,-128.29,?,?,?,-180.33
?,-74.97,?,?,?,?,-139.18,-147.22,-170.52,-178.7
?,-74.25,?,-102.5,?,?,?,-145.02,?,?
-65.56,-71.66,?,?,-148.72,?,-208.83,?,?,-268.95
-65.95,-72.17,?,?,-151.04,?,?,-214.85,?,?
?,?,?,-112.74,?,?,?,-217.42,-269.84,-271.73
-66.51,?,?,?,-154.3,?,?,?,?,?
-66.68,?,-105.21,-113.27,-154.42,-161.48,-215.52,?,-262.01,?
-11.82,-13.29,-19.32,?,-38.14,-50.09,?,?,-85.63,?
?,?,?,?,-48.77,?,?,-89.72,-104.25,-121.9
?,?,?,?,-61.5,?,?,?,-124.21,?
-14.67,?,-40.56,?,?,?,-106.26,?,-141.95,?
-18.07,?,?,-53.5,-81.15,-89.81,-117.91,-128.1,?,?
?,-97.92,?,?,?,?,-260.06,-240.69,?,-321.2
?,-96.5,?,?,-192.76,-182.3,-264.07,?,-357.64,?
?,-95.61,-137.43,-132.2,-193.5,?,?,-248.06,?,?
?,-94.49,?,-132.39,-193.9,-184.2,?,?,?,-331.38
?,-93.29,-136.13,?,?,-183.4,?,?,-360.72,?
?,?,-159.99,-153.6,?,-219.47,-337.16,-287.02,?,?
-93.79,-99.97,?,-156.41,-255.59,-223.56,?,?,-426.05,-360.56
?,?,?,?,-259.27,-224.68,?,?,?,-351.05
?,?,-172.03,?,-261.38,?,?,-278.99,-395.35,-334.79
-98.99,-101.34,-174.99,?,-258.76,-222.1,-318.91,?,?,?
?,-53.77,-108.27,-91.8,?,-135.1,-181.96,-165.24,?,-202.26
?,?,?,-93.98,?,-134.78,?,?,-205.61,-195.44
-70.31,-57.01,-110.39,?,-144.23,?,-168.8,-157.56,?,?
-70.4,?,-110.03,-95.97,?,?,?,?,?,-186.27
-71.48,-57.84,?,-95.21,-134.85,?,-160.98,?,?,?
-66.05,?,?,-112.44,?,?,?,-252.75,-417.08,-353.5
-73.04,-60.95,-141.43,-116.96,?,?,-309.05,?,-429.28,-365.93
-76.09,-63.93,-143.7,-119.61,-221.81,-187.0,-313.96,-266.76,?,-372.47
-78.81,?,-146.01,?,-223.79,?,-319.61,-271.93,?,?
-82.17,-67.91,?,?,?,?,-322.75,?,?,-381.94
?,-14.21,-18.71,-22.65,?,-32.39,-35.28,?,?,?
?,?,?,-25.53,-30.45,?,-36.85,-45.11,-45.4,-55.16
-13.75,-16.72,-24.0,?,?,?,?,?,?,?
?,?,-26.42,-30.65,-36.56,?,-43.81,?,?,?
?,-19.11,-28.69,-32.58,?,?,?,?,-57.2,-67.68
?,-55.46,-44.41,?,-56.36,-72.43,?,-80.33,?,?
?,?,-45.11,?,-56.03,-72.68,-65.75,-80.24,?,?
?,-54.37,?,-62.7,?,?,-64.63,-79.05,?,?
?,-53.94,?,?,-53.55,-69.54,-63.43,-77.51,-73.38,-86.43
?,?,-45.3,?,?,-68.74,-62.3,-76.12,-72.33,?
-31.86,-47.42,-45.81,-61.16,?,?,?,?,?,?
-32.66,?,-46.52,-62.03,?,-77.14,?,-90.14,-93.95,?
-33.08,-48.11,-47.17,-62.03,-61.91,-76.65,-76.94,?,-93.07,?
?,?,-47.07,-62.04,?,?,?,?,-91.04,?
?,?,-47.83,-61.44,-60.91,-72.88,-75.2,?,-89.76,-99.85
?,?,?,?,-44.8,-53.48,?,-59.54,-60.38,?
?,-34.7,?,?,-43.29,?,-50.28,-58.17,-57.74,?
?,-34.16,-36.67,?,?,-50.9,-48.84,-56.82,?,?
-25.41,-34.22,?,?,-40.97,-49.57,?,-55.73,?,-61.54
?,?,?,?,?,-48.17,?,?,?,-60.11
?,?,-42.1,?,?,-72.12,-76.97,?,?,?
-28.79,?,?,?,?,?,?,-93.1,-101.14,-114.64
?,?,-43.82,?,-60.44,-74.61,-80.18,?,?,-115.36
?,-42.7,?,-57.8,-60.99,-75.15,?,?,?,?
?,?,?,?,-62.17,-75.36,?,?,?,-113.82
-11.98,-10.99,?,?,-33.13,?,-48.83,?,?,-50.82
-12.15,?,-22.33,-19.95,?,-33.64,-56.9,-46.77,-73.32,-58.96
?,-11.74,?,-23.34,?,-38.69,-65.95,-53.46,-84.53,?
?,?,-30.56,?,?,?,?,-59.19,-94.41,-74.4
-15.73,-13.87,-34.54,?,-57.44,-46.26,?,?,-102.94,-80.25
?,?,?,-57.33,-110.24,-76.8,-133.77,?,?,-124.15
-59.68,-40.01,?,?,?,-77.28,?,-94.69,?,-118.7
-60.12,-40.73,?,-59.47,?,-76.43,?,?,?,?
?,-41.2,-84.73,-59.31,-106.46,-75.39,?,-90.88,?,-112.58
?,-39.88,-84.22,-57.58,-105.32,?,-122.59,-88.28,?,-109.52
?,?,?,?,-131.05,-105.51,?,-126.3,-207.16,-153.44
