@relation dataset

@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real


@data

?,-10.62,?,-18.31,?,-30.56,?,-45.59,-54.89,-62.28
?,-10.86,-16.73,?,?,?,?,-52.43,?,-71.27
-12.07,-14.28,-21.54,?,-35.19,-43.94,-52.04,-62.49,?,-83.1
-14.21,-17.41,-25.91,-33.36,?,?,?,?,-81.51,?
-16.57,-20.35,-29.97,-37.84,-47.03,-57.29,-67.13,-78.96,-90.01,-102.65
?,-64.1,?,-102.17,?,-145.5,-214.69,-177.3,-250.83,-207.99
-76.28,-64.53,?,-103.06,?,?,-206.75,?,?,-200.05
?,?,?,-103.87,-169.93,-140.56,-200.89,?,-232.82,-194.7
?,-66.49,-125.78,-104.77,-165.42,-136.17,-196.1,?,?,-189.57
?,?,-126.61,-104.38,-162.73,?,?,?,?,-183.81
?,?,?,-124.36,?,?,?,?,?,-268.55
?,-79.42,-131.32,-125.91,-182.66,?,?,-221.49,?,-266.15
?,?,?,-126.99,-183.33,?,?,-219.52,?,-259.99
?,-81.3,?,?,?,-177.94,?,-215.09,?,-251.88
?,?,?,?,?,?,?,?,-248.13,-245.84
-68.84,?,?,?,?,?,-152.78,-159.83,-185.98,-191.71
-67.95,-76.82,?,-105.21,?,?,?,-153.75,-176.94,?
-67.29,?,?,?,?,-128.29,?,?,-172.51,-180.33
-66.38,?,-93.75,-103.66,?,-124.23,-139.18,?,-170.52,?
?,-74.25,?,-102.5,-111.78,-120.95,?,-145.02,-168.05,-175.16
?,?,?,?,?,?,-208.83,-212.29,?,?
?,-72.17,?,-111.37,?,-159.59,-211.86,-214.85,-269.62,-270.97
?,?,?,-112.74,?,?,-215.4,?,-269.84,?
?,-73.04,?,?,?,?,-216.46,?,-267.13,?
-66.68,-73.19,?,-113.27,?,?,-215.52,-216.68,?,?
?,?,?,?,-38.14,-50.09,-59.78,?,-85.63,-104.66
?,?,-25.35,?,-48.77,-60.08,?,?,?,-121.9
?,?,?,?,?,?,-91.75,?,?,?
