@relation dataset

@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real


@data

?,?,-14.43,-18.31,-24.64,-30.56,-38.62,?,-54.89,-62.28
-9.69,?,?,-21.75,?,?,?,-52.43,-61.92,?
?,-14.28,?,-27.92,-35.19,-43.94,-52.04,?,-71.97,-83.1
?,?,?,?,-41.29,-51.27,?,-71.55,-81.51,-93.83
-16.57,-20.35,-29.97,?,?,?,-67.13,?,?,-102.65
-75.61,-64.1,?,?,-174.79,-145.5,?,-177.3,-250.83,-207.99
?,-64.53,?,-103.06,?,-144.98,?,-170.68,-240.14,?
-76.96,?,-124.5,?,-169.93,?,?,-165.88,-232.82,-194.7
?,?,?,?,-165.42,-136.17,?,?,?,-189.57
-79.62,-66.85,?,?,?,?,-194.87,-160.68,-221.33,-183.81
-88.03,-76.88,?,?,?,?,-220.91,-218.92,-274.27,?
-91.08,?,-131.32,-125.91,-182.66,-178.76,?,-221.49,-272.67,?
-92.08,?,-132.5,?,?,-179.25,?,-219.52,?,?
?,-81.3,?,-127.76,-182.34,?,-217.73,-215.09,?,?
?,-81.88,?,?,?,?,?,-209.7,-248.13,-245.84
?,?,?,-107.38,-128.66,-138.16,?,-159.83,-185.98,?
-67.95,?,-95.08,?,?,-132.91,-146.27,-153.75,-176.94,-184.07
-67.29,?,?,?,?,-128.29,?,-150.07,-172.51,?
?,-74.97,-93.75,?,-114.96,?,-139.18,?,?,?
-66.12,?,?,?,-111.78,-120.95,?,?,-168.05,-175.16
-65.56,-71.66,-100.34,-109.75,?,-157.43,-208.83,?,-268.57,-268.95
?,-72.17,-101.82,?,-151.04,?,?,-214.85,-269.62,-270.97
-66.42,?,?,-112.74,-152.73,?,?,-217.42,?,?
?,?,?,-113.72,-154.3,?,-216.46,?,?,-269.45
-66.68,-73.19,?,?,-154.42,-161.48,?,?,-262.01,-263.28
?,-13.29,?,-26.28,-38.14,-50.09,?,-75.04,-85.63,?
?,-14.18,-25.35,-32.75,?,?,?,-89.72,-104.25,-121.9
-12.45,-15.81,-33.33,?,?,-72.12,?,-104.67,-124.21,-139.76
?,?,-40.56,-47.67,-72.11,-82.19,-106.26,?,?,-155.84
?,-19.74,-47.08,?,?,?,?,?,?,-168.72
?,?,?,-131.93,-191.17,?,-260.06,-240.69,?,-321.2
-96.62,?,-136.86,-131.75,?,-182.3,-264.07,-245.29,?,?
-95.58,?,?,-132.2,?,?,?,-248.06,?,-329.25
-94.48,-94.49,?,-132.39,-193.9,-184.2,-267.82,-249.31,-361.72,?
?,?,-136.13,?,-194.96,?,-267.72,?,-360.72,-330.82
?,?,?,-153.6,?,-219.47,-337.16,?,?,?
?,?,?,-156.41,-255.59,-223.56,?,-289.88,?,-360.56
?,-101.04,-168.38,-157.85,-259.27,?,?,?,?,?
-97.7,-102.02,-172.03,?,-261.38,?,-328.87,?,?,-334.79
?,?,?,?,-258.76,-222.1,-318.91,-269.47,?,?
-68.13,-53.77,?,?,-153.07,-135.1,?,-165.24,-216.15,-202.26
-69.54,-55.73,-109.49,-93.98,?,?,?,?,-205.61,-195.44
-70.31,-57.01,?,-95.45,?,-129.9,?,-157.56,?,?
?,-57.63,?,?,-137.89,-125.45,?,-154.37,?,-186.27
?,-57.84,-110.46,-95.21,?,?,?,?,?,?
?,-55.55,?,-112.44,-211.41,-176.55,?,-252.75,-417.08,?
?,?,-141.43,-116.96,-217.81,-183.1,-309.05,?,?,-365.93
-76.09,?,-143.7,-119.61,-221.81,?,?,-266.76,?,?
-78.81,-65.68,?,?,?,-189.51,?,-271.93,-439.91,-376.66
-82.17,-67.91,-149.03,?,?,-191.28,-322.75,?,?,-381.94
