@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,?,n,t,p,f,c,n,?,e,e,?,?,w,?,?,o,p,k,s,u,p
x,?,y,t,?,?,c,b,k,e,c,?,s,w,w,w,?,p,n,?,g,?
b,s,w,t,l,f,c,?,n,e,?,?,?,w,w,w,?,p,n,n,m,e
x,y,?,t,?,f,c,?,?,e,?,?,s,w,w,w,?,p,k,s,u,p
x,s,?,f,?,f,w,?,?,t,e,?,?,w,w,?,?,e,n,a,?,e
x,y,y,t,a,f,c,b,n,e,c,s,s,?,?,w,o,?,k,?,g,e
?,?,w,t,a,f,c,b,g,e,c,?,s,?,w,w,o,p,k,n,m,e
?,y,w,t,l,f,?,b,?,?,c,s,s,w,w,w,o,p,n,s,m,e
x,y,w,t,p,f,c,n,p,?,?,s,s,w,w,w,o,p,k,v,g,p
b,s,y,t,a,f,c,b,g,?,c,?,s,?,w,w,?,?,?,s,m,?
?,y,y,t,?,f,c,b,g,e,c,?,s,w,w,w,o,p,?,n,g,e
x,y,y,t,a,f,c,b,n,e,c,?,s,w,w,w,o,p,k,?,m,e
b,s,y,t,a,f,?,b,?,?,c,s,?,w,w,w,o,?,n,s,g,e
x,y,w,t,?,f,c,n,k,e,?,s,s,?,?,w,?,p,?,v,u,p
x,f,?,?,n,f,?,?,n,?,e,s,?,w,w,w,?,e,k,a,g,?
s,?,g,f,n,?,c,?,k,e,?,s,?,?,w,?,o,p,?,y,?,e
f,f,w,f,n,?,w,?,k,t,?,?,s,w,w,?,o,e,?,a,?,e
?,?,?,t,p,f,c,?,?,e,?,s,s,w,w,w,o,p,k,s,g,p
?,y,w,t,?,f,c,n,?,e,e,?,s,w,?,w,o,p,n,s,u,?
?,s,n,?,?,f,?,n,k,?,?,s,?,?,w,w,o,?,n,s,?,?
b,?,?,t,a,?,?,b,?,e,c,s,?,w,w,w,o,?,n,s,m,?
x,y,n,?,p,f,?,?,n,e,?,s,s,w,w,w,?,?,n,v,g,p
b,y,y,?,l,f,c,b,k,e,?,?,s,?,w,w,o,?,n,?,m,?
b,y,w,?,a,f,c,b,w,e,c,s,s,w,w,w,o,?,?,?,m,?
b,s,w,?,?,f,?,?,g,?,?,s,s,?,?,w,?,p,k,?,?,e
f,s,w,?,p,f,c,?,?,e,e,?,s,w,w,w,o,p,n,v,g,p
x,y,?,?,a,f,c,b,n,e,c,?,s,w,w,w,o,p,n,n,?,e
?,y,w,t,?,f,c,?,w,?,c,s,s,w,w,w,o,p,n,n,m,e
f,?,?,f,?,f,c,n,k,e,e,s,?,?,w,?,o,p,k,y,?,e
?,s,y,?,a,f,w,n,n,t,?,?,s,w,w,w,o,?,?,?,d,e
?,?,y,t,l,f,c,?,g,?,?,?,?,?,w,?,?,?,n,?,m,e
?,y,w,t,p,?,c,n,k,?,e,s,s,w,?,w,?,p,n,s,u,p
?,y,?,t,l,?,c,b,n,e,c,s,s,w,?,w,?,p,n,n,m,e
x,y,n,?,l,f,c,b,p,?,?,s,y,w,w,w,o,p,?,?,p,?
?,y,y,t,l,f,?,?,n,?,?,s,?,w,w,?,o,p,n,s,m,e
x,f,?,t,?,?,w,n,w,t,b,?,s,w,?,w,o,p,?,v,?,e
s,?,g,?,n,f,c,?,k,e,e,?,s,?,?,w,?,p,k,v,?,?
x,?,n,?,p,f,c,n,w,e,?,?,s,w,w,w,o,p,?,s,?,p
x,f,y,?,?,f,?,n,p,t,b,s,s,w,w,w,o,p,n,v,d,?
b,s,y,t,l,f,?,?,k,e,?,?,s,?,?,w,?,p,k,s,m,?
b,y,y,t,a,f,c,?,n,e,c,?,s,?,w,w,o,p,n,?,g,e
x,?,y,?,?,?,?,b,?,e,r,s,?,w,?,w,o,p,?,?,p,e
x,?,n,f,?,f,c,?,g,e,e,?,s,w,w,w,?,?,k,y,u,e
x,y,w,?,p,f,?,n,p,?,?,s,s,?,w,w,?,?,n,v,g,?
x,?,?,?,a,?,?,?,?,e,c,s,s,?,w,w,o,?,?,n,m,e
x,y,?,t,a,f,?,?,n,?,c,?,s,w,w,w,o,?,n,n,?,e
x,?,y,t,l,f,c,b,k,?,c,s,s,w,w,w,o,p,k,s,m,?
x,s,w,t,l,?,c,b,w,e,c,s,s,w,?,?,?,p,n,n,m,e
?,?,y,t,l,?,c,b,n,e,?,s,y,w,w,w,?,p,n,s,p,?
?,y,y,t,l,f,?,b,w,e,r,?,y,?,w,w,o,p,?,s,p,?
x,y,n,t,a,f,?,b,?,e,?,s,y,w,w,?,?,p,k,s,g,e
x,s,w,t,l,f,c,b,k,e,?,s,s,w,w,?,?,p,k,s,g,e
b,s,w,t,?,f,c,b,?,e,c,s,s,w,w,w,?,?,n,n,m,e
x,y,?,?,p,f,c,n,?,e,e,?,?,w,w,w,o,p,?,v,u,?
x,s,?,t,p,?,c,n,k,e,e,s,s,?,?,w,o,p,k,v,u,?
b,y,y,?,a,?,c,b,w,e,?,s,?,w,w,w,o,?,?,?,m,e
f,f,g,f,n,f,w,b,n,t,?,s,?,w,?,?,o,e,n,a,g,e
?,s,?,?,a,f,c,b,?,?,c,s,s,w,w,w,o,?,n,n,?,e
?,s,y,t,l,f,c,b,k,e,?,s,s,w,w,?,o,?,k,?,?,e
x,?,n,t,a,?,c,b,?,?,?,?,?,w,?,w,o,?,k,y,p,e
?,?,g,f,n,?,c,?,k,e,e,s,s,w,w,?,o,?,n,v,?,?
b,y,y,t,?,f,c,b,?,?,?,s,s,?,w,?,o,p,n,?,?,e
b,s,y,t,?,f,?,b,g,?,c,s,s,w,?,w,?,?,?,?,?,e
?,y,y,t,l,f,c,b,?,e,?,s,?,?,w,w,o,?,n,?,?,e
b,y,w,t,l,f,c,b,n,?,c,s,s,w,w,?,?,p,?,?,g,?
?,s,?,f,?,?,?,b,k,t,e,s,s,?,?,?,o,?,k,a,?,e
x,s,w,?,l,?,?,b,?,e,c,s,?,w,w,w,o,?,k,s,g,e
?,y,?,t,?,?,c,?,?,e,r,?,y,w,w,w,o,p,n,?,g,?
x,y,y,t,a,f,c,?,w,e,c,?,?,?,w,w,o,?,k,n,g,e
?,f,g,?,n,f,?,?,?,?,e,s,?,w,?,?,o,?,n,v,u,e
f,?,y,?,l,?,?,n,?,t,b,s,s,w,w,w,o,p,?,?,d,?
b,y,w,t,?,f,c,?,g,?,c,s,s,?,w,w,o,p,n,?,m,e
?,f,y,t,l,f,w,n,w,t,b,s,?,w,w,?,o,p,?,v,d,e
?,?,n,t,a,?,c,b,?,?,r,s,y,w,w,?,o,p,k,?,p,e
b,?,y,?,a,f,c,b,k,e,?,s,s,?,w,w,o,p,k,s,?,?
?,s,y,?,l,f,w,n,?,t,b,s,s,w,w,?,o,p,?,v,d,e
x,s,?,t,l,f,?,?,n,t,b,?,s,?,w,w,o,?,u,?,d,e
f,?,n,?,l,f,c,b,p,?,r,s,y,w,?,w,?,p,n,y,p,e
x,y,?,t,?,?,?,n,?,?,e,?,s,?,w,w,o,?,n,?,u,p
f,?,n,t,a,f,?,?,n,?,r,s,y,w,?,w,o,p,n,y,?,e
x,?,n,?,?,f,?,b,k,t,e,f,s,?,w,?,?,e,n,?,g,e
