@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,s,n,t,?,f,c,?,k,e,e,s,s,w,w,w,o,p,?,s,?,p
?,s,y,?,a,?,c,b,k,e,c,s,s,?,w,w,?,p,n,n,?,e
b,?,w,?,?,f,c,?,n,e,?,s,s,w,w,w,o,?,?,n,m,e
x,y,w,t,?,f,c,n,?,e,e,?,s,w,w,w,o,?,k,s,?,p
x,s,g,f,n,f,w,b,k,?,?,s,s,w,w,w,o,?,n,a,g,?
x,y,y,?,a,f,c,?,n,e,c,s,s,w,?,?,o,p,?,n,g,e
b,s,w,t,?,?,?,b,g,?,c,s,s,w,?,w,o,p,?,?,m,e
b,y,w,t,?,f,?,b,n,e,c,s,s,w,w,w,o,p,n,?,m,e
x,?,w,t,?,?,c,n,p,e,e,s,?,w,w,w,o,p,?,v,g,?
b,?,?,t,a,?,c,b,g,?,c,s,s,?,w,w,o,p,k,s,m,e
x,y,y,t,l,f,c,b,?,e,c,?,s,w,w,w,?,?,n,n,g,e
?,y,?,t,a,f,c,b,n,?,c,s,?,?,w,w,o,p,?,?,m,e
b,s,y,t,a,f,c,b,w,e,?,s,s,w,w,?,o,p,?,s,g,?
x,y,?,t,p,f,?,n,?,e,e,s,?,?,?,w,o,p,?,v,u,p
?,f,?,?,?,f,w,b,n,t,e,s,?,w,w,w,o,e,?,?,g,?
s,f,g,?,n,f,?,n,?,e,?,s,s,w,w,?,o,p,?,y,?,?
f,f,?,f,n,?,w,b,?,?,e,s,s,w,w,w,o,?,n,a,g,e
x,s,n,t,p,?,?,?,n,e,e,s,?,w,w,w,o,p,?,s,g,p
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,w,?,p,n,s,u,?
?,?,?,t,p,f,c,n,k,e,e,s,?,w,w,w,?,?,n,s,u,?
b,s,y,t,a,?,?,b,?,?,c,s,s,w,w,w,?,p,n,s,m,e
?,?,n,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,g,p
?,y,?,t,l,?,c,b,k,e,?,s,s,w,?,w,o,?,n,?,m,?
b,?,w,t,a,f,c,b,w,e,?,s,s,?,?,w,o,?,n,n,?,e
b,s,?,t,l,f,?,b,g,e,c,s,?,w,w,w,o,?,k,s,m,?
f,?,?,?,p,f,c,?,?,e,e,s,s,w,w,w,o,?,?,v,?,p
?,y,y,t,a,?,?,b,n,e,?,s,s,w,w,w,o,p,n,n,m,?
x,y,?,t,l,f,c,?,w,e,?,?,s,w,w,w,o,?,n,n,m,e
f,f,n,f,?,f,c,n,k,e,e,s,s,w,w,w,o,p,k,y,?,e
x,s,?,?,a,f,w,?,n,t,?,s,s,w,?,?,o,p,n,?,d,e
b,s,y,t,l,f,c,?,g,e,?,s,s,?,w,w,o,p,n,n,m,e
x,?,w,t,p,f,c,n,k,e,e,?,?,w,?,w,o,p,n,s,u,p
x,y,y,t,l,f,c,b,?,e,?,s,?,w,w,w,o,p,?,?,?,e
x,y,n,t,l,f,c,b,p,?,?,s,y,?,w,w,o,?,?,y,p,e
b,y,y,?,?,?,c,b,n,e,c,s,s,w,w,w,?,p,?,?,?,?
x,f,y,t,l,f,?,n,w,?,b,s,s,w,w,?,o,p,?,?,d,e
s,f,g,f,n,f,c,n,k,?,e,s,s,w,w,w,o,p,k,v,?,?
x,y,?,?,p,f,?,n,?,?,e,?,s,w,w,?,o,p,n,s,u,?
x,?,y,t,a,?,w,n,p,t,b,s,?,w,w,w,o,p,?,v,d,e
b,s,y,t,?,f,c,?,k,e,?,?,s,?,w,?,o,p,k,s,m,e
?,?,y,?,?,f,?,b,n,?,?,s,s,w,w,w,o,p,?,s,g,?
x,?,y,?,?,?,c,b,n,?,?,?,?,w,w,w,o,p,k,y,?,e
x,f,?,f,n,f,?,n,g,e,e,s,s,?,w,w,o,p,k,?,u,e
x,y,w,t,p,f,?,?,p,e,?,s,s,w,w,w,o,?,n,v,g,?
x,s,?,t,a,?,c,?,?,?,c,s,?,w,?,w,o,p,?,n,?,?
x,y,?,t,?,f,c,b,n,e,c,?,s,w,?,w,o,p,n,n,g,?
x,y,?,?,?,f,c,b,?,e,c,s,s,w,w,w,?,p,k,s,?,e
x,s,w,t,l,f,c,?,w,?,c,s,s,w,w,w,o,?,n,n,?,e
?,y,?,?,l,f,c,?,n,?,r,?,?,w,w,?,o,?,?,?,?,e
f,y,?,?,l,f,?,b,w,e,r,s,?,w,w,?,?,p,k,s,p,?
x,y,n,t,a,?,?,b,w,e,r,s,?,?,?,w,o,p,?,s,?,?
?,s,w,?,l,f,c,?,k,e,c,?,s,w,w,w,o,p,?,s,?,e
?,s,?,t,l,f,c,?,k,?,c,s,?,?,w,w,o,p,n,n,?,?
x,y,n,t,?,f,c,n,?,e,e,?,s,w,w,w,o,p,n,v,?,?
x,s,w,t,p,?,c,n,?,e,e,?,?,w,w,?,?,p,k,?,u,p
b,y,y,?,a,f,c,?,w,?,c,s,s,?,w,?,o,p,k,s,m,e
?,f,g,f,n,?,w,b,n,?,e,s,s,w,w,w,o,e,n,a,g,e
b,s,w,t,a,?,?,b,w,?,c,?,s,w,w,?,o,?,n,?,g,e
x,s,y,?,l,f,c,b,?,e,c,?,s,w,?,w,?,?,k,?,g,e
?,?,n,t,a,f,?,b,?,e,r,s,y,?,w,w,o,p,k,y,p,e
s,f,g,f,n,f,c,n,k,e,?,s,s,?,w,w,o,p,n,v,u,e
