@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,?,n,t,?,f,c,n,k,?,e,s,?,?,w,w,o,p,?,s,u,p
x,s,y,t,a,f,c,b,?,e,c,s,?,w,w,w,o,p,n,n,g,e
?,?,w,t,l,f,c,?,?,e,c,s,s,w,w,w,?,p,n,n,?,?
?,y,?,?,p,f,c,n,n,?,e,s,s,w,w,w,o,p,k,s,?,p
x,s,g,f,n,f,w,b,?,t,e,s,?,w,w,?,o,e,n,a,g,?
?,y,y,?,a,f,c,b,n,e,?,?,s,w,?,w,?,p,?,n,g,e
b,s,?,?,?,?,c,b,g,e,c,s,s,?,w,?,o,?,?,?,m,e
b,y,w,?,?,f,?,b,?,e,c,s,s,?,w,w,o,p,n,s,m,e
x,y,w,t,p,?,?,n,?,e,?,s,s,?,w,w,?,p,k,?,?,p
b,s,?,t,?,?,c,b,?,e,c,s,s,w,w,?,o,p,k,s,m,?
?,y,y,t,l,f,?,b,g,e,c,s,s,w,w,w,o,p,n,n,g,e
?,y,?,?,a,f,c,b,n,e,?,s,s,w,w,w,o,p,k,s,?,?
b,s,y,?,a,f,c,?,?,?,?,?,s,w,w,?,?,p,n,s,g,e
x,y,w,?,?,f,c,n,k,e,e,?,?,w,w,?,?,?,n,v,?,?
x,?,n,f,?,f,?,b,?,?,e,s,f,w,w,w,o,e,k,a,g,?
s,f,?,f,n,f,c,n,k,e,?,s,s,w,w,?,o,p,?,y,u,?
?,f,w,f,n,f,?,b,k,t,?,s,s,w,w,w,o,?,n,a,g,e
x,?,?,?,?,f,c,n,n,?,e,s,s,w,w,w,o,?,?,?,?,?
x,y,w,?,p,f,c,n,n,e,?,s,s,?,w,w,o,p,n,s,u,p
x,s,n,t,p,f,c,?,k,e,?,s,s,w,w,?,o,p,?,s,?,p
b,s,y,t,?,f,c,b,k,?,c,s,s,w,?,w,o,p,n,s,?,e
x,y,n,t,p,?,c,n,?,e,e,s,s,w,w,w,?,p,n,v,g,p
?,y,y,t,l,?,c,b,k,?,c,s,s,w,w,?,?,p,n,s,?,e
b,?,w,t,?,f,c,b,w,?,c,s,?,w,w,w,o,p,n,n,m,e
b,?,w,t,l,f,c,b,g,e,?,s,?,?,?,?,o,p,k,?,m,e
?,s,w,t,p,?,c,n,n,e,e,?,s,w,w,w,o,p,?,v,g,p
x,?,y,t,a,?,?,?,n,e,c,?,s,w,?,w,o,p,n,n,?,e
?,y,?,?,l,?,?,b,w,?,c,?,?,?,?,w,?,p,n,?,m,?
f,f,n,f,?,?,c,n,k,e,?,s,?,w,w,?,o,p,?,?,u,e
x,s,?,?,a,?,w,n,n,t,?,s,s,w,?,w,o,p,n,v,d,?
?,?,y,?,l,f,c,b,g,e,c,s,s,?,w,?,?,p,n,n,?,e
x,y,?,?,p,?,c,n,k,?,?,s,s,w,w,?,o,p,?,s,?,?
x,y,?,?,?,?,c,?,?,e,c,?,?,w,w,w,o,?,?,n,m,e
x,y,?,t,l,f,c,b,?,e,?,?,y,w,?,?,o,p,?,y,p,?
b,y,y,t,l,?,c,?,n,e,?,s,s,?,w,?,o,?,n,s,?,e
x,f,y,t,?,f,w,n,w,?,b,s,s,?,?,?,o,?,n,v,d,e
?,f,g,?,?,f,c,n,k,?,e,s,s,?,w,w,?,p,k,v,u,e
x,y,n,t,p,?,c,?,?,e,e,s,s,?,w,w,o,p,n,?,?,p
x,f,y,?,?,?,w,n,?,t,b,?,s,?,w,w,?,?,n,v,d,e
b,s,y,?,l,?,c,?,k,e,c,s,s,w,w,?,?,p,k,s,m,e
b,?,y,t,?,?,c,b,?,e,c,s,s,?,w,w,?,p,n,s,g,?
x,y,?,t,l,f,?,b,n,e,r,s,y,?,w,w,o,p,k,?,p,e
?,?,n,f,n,f,c,n,g,e,?,s,s,w,w,w,o,p,k,?,?,e
x,y,w,t,p,f,?,?,p,e,?,s,s,?,?,?,o,p,n,v,g,p
x,s,y,t,a,f,?,b,?,e,c,s,s,w,?,w,o,?,k,n,m,?
?,y,w,t,a,f,c,b,?,e,c,?,?,w,w,w,o,p,n,n,g,e
x,?,y,t,l,f,c,b,k,e,?,s,?,w,w,w,o,p,?,?,m,e
?,s,?,t,l,f,c,b,w,?,?,s,?,w,w,w,o,p,n,n,m,e
x,y,y,t,?,?,c,?,?,?,r,s,y,w,?,w,?,p,n,?,p,e
?,y,?,t,l,f,c,?,?,?,r,s,y,w,?,?,?,p,k,s,p,e
x,?,?,t,?,f,c,b,?,?,r,s,?,?,w,?,?,p,k,?,?,e
x,s,?,t,l,f,c,b,k,?,c,?,s,?,w,w,?,?,?,s,?,e
b,?,w,t,l,?,?,b,?,?,c,s,?,w,w,w,o,p,?,n,?,e
?,?,n,?,p,?,c,?,k,e,?,?,s,?,w,?,o,p,?,?,u,p
x,s,w,t,?,?,c,n,?,?,e,s,?,w,w,w,?,?,k,v,u,p
b,y,?,t,a,?,c,b,w,e,?,s,?,w,?,w,o,p,?,s,m,?
f,f,g,f,n,f,w,b,?,?,e,?,?,w,w,w,o,e,n,a,g,e
b,s,w,?,?,f,c,?,w,e,c,s,?,w,w,w,o,p,n,n,g,e
x,s,y,t,l,?,c,b,k,e,?,s,s,w,w,w,?,?,k,n,?,e
x,y,n,t,a,f,?,b,?,e,r,s,y,?,w,?,o,?,k,?,?,e
s,f,?,f,?,?,?,n,k,?,e,?,s,w,w,w,o,p,n,?,u,e
b,y,y,t,a,?,c,b,?,e,c,?,?,w,w,w,?,p,?,s,m,e
?,?,y,?,l,?,c,b,?,e,c,?,s,w,w,?,?,p,n,?,?,?
b,?,y,?,?,f,?,b,g,e,?,s,s,w,w,w,?,p,?,n,m,e
b,?,w,t,l,?,c,b,n,e,c,?,s,w,w,w,o,p,n,s,g,e
f,s,n,f,?,f,w,b,k,t,e,?,s,w,w,?,o,?,?,a,?,e
?,s,w,?,l,f,c,?,?,e,c,s,?,?,w,?,o,p,k,s,g,e
f,y,y,t,?,?,c,b,w,e,r,?,y,w,w,?,o,p,n,s,?,?
x,?,?,t,a,f,?,b,w,e,c,?,s,?,w,w,?,?,k,?,g,?
x,?,g,?,n,f,?,n,p,?,?,s,?,w,w,w,?,p,?,v,u,e
?,f,y,t,l,f,w,?,p,?,b,s,?,?,?,w,o,p,n,?,?,e
?,y,?,t,l,f,c,b,?,e,c,?,s,?,w,?,o,p,n,s,?,?
f,f,y,?,?,?,w,n,w,t,b,?,?,?,w,w,?,p,n,?,?,e
?,y,n,t,a,f,c,b,p,e,?,s,?,w,w,w,?,p,k,s,p,e
b,s,y,t,a,f,?,?,k,?,c,?,s,w,w,?,o,p,?,s,g,e
f,?,y,t,l,?,w,n,?,t,?,s,?,w,w,w,?,p,n,v,d,?
x,s,w,t,?,f,w,n,?,t,b,?,?,w,?,w,o,p,u,?,d,?
f,y,n,t,l,?,c,b,p,e,r,s,y,w,?,?,o,p,n,y,p,e
?,y,n,t,?,f,c,?,w,e,e,?,?,w,w,w,o,p,n,?,?,p
?,y,?,t,a,f,?,b,?,?,r,s,?,?,w,w,o,p,n,?,g,e
?,s,?,f,n,f,w,b,?,t,e,?,?,w,w,?,o,?,?,?,g,?
x,y,w,t,?,?,c,?,w,e,e,?,?,?,w,w,o,p,k,?,g,p
f,?,g,?,n,?,c,n,n,e,?,s,s,w,w,w,?,p,n,y,?,e
x,f,g,?,n,f,?,b,?,?,e,s,s,w,w,w,?,e,?,s,g,e
?,y,?,?,?,f,c,b,w,?,r,s,y,w,w,w,o,p,k,?,g,?
x,?,?,?,n,f,w,?,?,t,e,s,s,w,w,?,o,e,k,s,?,?
?,?,w,?,a,f,?,b,?,?,c,?,s,w,w,?,o,?,k,?,g,?
x,s,w,t,l,f,c,b,?,e,?,s,s,w,?,?,?,p,n,s,g,e
f,?,n,?,?,f,c,b,?,e,?,s,?,?,?,w,?,p,k,?,g,e
s,f,n,?,n,f,?,?,?,e,e,s,s,w,w,?,o,p,?,?,u,e
?,f,?,?,n,f,c,?,n,e,e,s,s,w,w,w,o,p,n,?,u,?
b,?,w,t,l,f,c,b,k,?,c,s,?,w,?,w,?,?,?,?,g,?
x,y,y,t,a,f,c,b,g,e,c,s,?,w,w,w,o,p,k,?,g,e
x,y,y,t,l,?,c,?,g,e,c,?,?,w,w,w,o,p,k,n,?,e
x,s,?,f,n,f,w,?,?,t,e,s,s,w,w,w,o,e,n,?,?,e
?,?,w,?,a,f,?,?,?,e,?,s,s,w,w,w,?,?,?,s,g,e
