@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,?,n,?,p,f,c,n,k,e,e,s,?,w,w,w,?,p,?,s,u,p
x,s,y,t,a,f,c,?,k,e,c,s,s,w,?,?,o,?,?,n,g,e
b,s,w,?,l,f,c,b,n,e,?,?,s,w,w,w,o,p,n,?,m,?
x,y,w,t,p,f,c,?,n,e,e,s,s,w,w,w,o,?,k,s,u,?
x,s,g,f,n,f,?,b,?,?,e,s,s,w,?,?,o,?,?,?,g,e
?,y,y,?,a,f,c,?,n,e,?,?,s,w,w,?,o,?,k,n,g,?
b,s,?,t,a,f,c,b,g,e,c,s,s,?,w,w,o,p,?,n,?,e
?,y,?,t,l,f,c,b,n,?,c,s,?,w,w,w,o,p,?,?,m,e
?,?,?,t,p,f,c,?,p,e,e,?,s,w,?,?,o,p,k,?,g,p
b,?,y,t,a,?,c,b,?,e,c,s,s,w,w,w,o,p,k,s,m,e
x,y,y,t,l,f,c,b,g,e,c,?,s,w,?,w,?,?,n,n,g,?
x,?,y,t,a,f,?,?,n,e,c,s,s,w,?,?,o,?,k,s,m,?
b,?,?,t,a,f,c,b,?,e,c,?,s,?,w,?,o,p,n,s,?,e
x,y,w,t,p,?,c,n,k,?,e,?,s,?,?,?,?,p,n,v,u,?
x,f,n,?,n,f,?,b,n,t,e,s,f,w,w,?,?,e,?,?,?,e
