@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,s,?,t,p,f,c,n,k,?,e,s,?,w,?,w,o,?,?,s,u,p
x,s,?,t,a,f,c,b,k,e,?,s,s,w,w,?,o,p,n,n,g,e
b,s,?,?,?,f,c,b,n,e,c,?,s,?,?,w,o,p,n,n,?,e
?,y,w,?,p,?,c,n,n,?,e,s,s,w,w,w,?,?,?,s,u,p
x,s,g,f,?,f,?,b,k,t,?,s,?,w,w,w,o,?,?,a,g,?
x,?,y,t,a,f,c,b,n,e,c,s,?,w,?,w,o,p,k,n,?,?
b,?,w,?,a,f,?,?,g,e,c,s,?,w,w,?,?,p,k,n,m,e
b,y,?,t,l,?,c,b,n,e,c,?,s,?,w,w,o,p,n,s,m,e
?,?,?,t,p,f,?,?,p,e,e,s,s,?,?,w,?,p,k,?,g,?
b,s,?,t,?,?,c,b,g,e,?,?,s,?,?,?,o,p,?,?,m,e
x,y,y,t,l,f,c,?,?,e,?,?,s,w,w,?,o,p,n,n,?,e
x,?,y,?,a,f,c,b,n,e,c,?,s,w,w,w,?,p,k,?,m,e
b,?,?,t,a,f,c,?,w,e,c,?,s,w,w,w,o,?,n,s,g,?
?,y,w,?,p,?,c,n,k,e,e,s,s,w,w,w,?,p,?,v,u,p
x,f,n,f,n,f,w,?,n,t,e,?,f,w,w,w,o,e,k,a,g,e
s,f,?,f,n,?,c,n,?,e,e,s,s,?,?,w,o,?,n,?,u,e
?,?,?,f,?,f,w,b,k,t,e,s,s,w,w,w,?,?,n,a,g,e
x,s,n,t,p,?,?,?,n,e,?,?,s,w,w,w,o,p,k,?,?,p
x,y,w,t,p,?,c,?,n,e,?,s,?,w,w,w,o,p,n,s,?,p
x,s,n,t,p,f,c,?,k,e,e,s,?,w,?,w,o,p,n,?,?,?
b,s,y,t,a,f,c,b,k,e,c,s,s,?,w,w,?,p,n,s,m,?
x,y,n,t,p,f,c,n,n,?,?,s,s,w,?,w,o,?,n,v,g,p
b,y,y,t,?,?,c,b,k,?,c,?,s,?,w,?,o,p,n,?,m,e
?,y,?,t,a,f,c,?,?,e,c,s,s,?,w,?,o,p,?,n,?,e
b,s,w,?,l,f,c,b,?,?,c,s,?,w,?,w,o,p,k,s,?,?
?,s,?,t,p,?,?,n,?,e,?,s,s,w,w,?,?,?,n,v,g,?
x,y,?,t,a,f,c,b,n,e,c,s,?,w,w,w,o,?,n,?,m,?
x,y,w,t,l,f,c,b,?,e,?,?,s,w,w,w,o,p,n,n,m,?
f,f,?,f,n,?,?,n,?,e,e,?,s,w,?,?,o,p,k,?,u,e
x,s,y,t,a,?,w,n,n,t,b,?,?,?,w,w,?,p,n,?,d,e
?,?,y,t,l,f,c,b,g,e,?,s,s,?,?,w,?,p,n,n,m,e
x,y,w,t,p,f,?,n,k,e,e,?,s,?,w,w,o,p,n,?,?,?
?,?,y,t,l,?,c,b,n,e,c,s,s,w,w,w,?,?,n,n,m,e
x,y,?,t,l,f,?,?,?,?,r,s,y,w,w,w,o,?,n,y,p,e
b,y,y,t,l,?,c,b,n,e,c,s,s,w,w,?,o,?,?,s,?,e
x,?,?,?,l,f,w,?,w,?,b,s,s,w,w,w,o,p,n,?,d,e
?,f,g,f,?,?,c,n,k,?,?,?,?,?,w,?,o,p,k,?,?,e
?,?,n,t,?,f,?,n,w,e,e,s,?,?,w,w,?,?,n,s,u,p
?,f,y,t,a,f,w,n,p,t,?,s,s,w,?,?,o,p,?,v,d,?
b,s,y,t,l,f,?,b,?,?,c,?,s,w,w,w,o,p,k,s,?,?
b,?,y,t,a,f,?,b,n,e,c,s,s,w,?,w,?,p,n,s,?,?
x,y,y,t,?,?,c,b,n,?,?,s,y,w,?,w,o,?,?,y,p,e
x,f,n,f,n,f,c,n,g,?,e,s,s,w,w,?,?,p,k,y,u,e
x,y,w,?,p,f,c,n,p,e,?,s,s,w,w,?,o,p,n,v,g,p
x,?,y,t,a,f,c,b,?,?,c,?,s,?,?,?,?,p,k,n,?,?
?,?,w,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,n,n,g,?
x,?,y,t,?,?,c,b,k,e,c,s,s,w,?,?,?,p,?,s,?,?
x,s,?,t,l,f,c,b,w,e,c,s,s,w,w,w,o,?,n,n,m,?
x,?,y,t,l,?,c,b,n,e,r,s,y,w,?,?,?,p,n,?,?,e
?,y,?,?,?,?,?,b,?,e,r,s,y,w,?,w,o,p,k,s,p,e
x,y,n,t,a,?,c,b,w,e,r,?,?,w,?,w,o,p,k,s,g,e
x,s,w,?,?,?,c,b,?,e,?,s,?,w,w,?,o,p,k,s,?,e
