@relation dataset

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute class {0, 1}


@data

3.919,?,?,0.0,0.0,?,0.0,31.4,?,0.0,?,0.0,3.106,?,?,0.0,0.96,1.142,?,0.0,1.201,0.0,?,?,?,?,0.011,0.0,0.0,4.489,0.0,?,0.0,0.0,?,?,?,7.253,?,0.0,1
4.17,?,?,?,0.0,0.0,0.0,30.8,1.0,1.0,0.0,0.0,2.461,1.393,?,?,?,?,?,0.0,?,?,?,0.0,0.0,2.214,-0.204,0.0,0.0,1.542,0.0,0.0,0.0,0.0,3.315,?,?,?,0.0,0.0,1
3.932,3.2512,?,0.0,0.0,?,0.0,26.7,?,4.0,0.0,?,3.279,2.585,9.11,?,1.009,?,0.0,0.0,1.092,?,?,0.0,0.0,1.942,?,?,?,4.891,0.0,0.0,?,?,?,2.417,0.0,7.601,?,?,?
?,2.7098,0.0,?,?,0.0,0.0,20.0,0.0,?,?,?,2.1,?,6.594,0.0,1.108,1.167,0.0,?,1.024,0.0,0.0,?,0.0,?,?,?,8.361,1.333,0.0,?,?,1.0,?,?,0.0,?,0.0,?,?
?,?,?,0.0,?,0.0,0.0,?,?,?,?,-0.271,?,?,9.528,2.0,?,?,?,?,1.137,?,0.0,0.0,?,1.985,-0.002,0.0,10.348,?,0.0,0.0,?,0.0,3.351,2.405,0.0,?,0.0,0.0,?
4.236,?,0.0,0.0,0.0,?,?,?,?,4.0,0.0,-0.275,3.313,2.522,?,1.0,1.014,1.149,0.0,0.0,?,?,?,0.0,0.0,1.98,?,?,?,4.746,?,0.0,0.0,?,3.351,2.556,?,7.904,0.0,?,?
?,5.0476,?,?,0.0,0.0,0.0,11.1,0.0,?,0.0,0.0,2.872,0.722,9.657,0.0,1.092,1.153,0.0,0.0,1.125,?,?,0.0,0.0,2.0,0.446,0.0,?,?,0.0,0.0,?,?,?,4.583,0.0,?,0.0,?,1
4.525,?,?,0.0,0.0,0.0,?,31.6,?,?,0.0,-0.039,?,?,9.786,5.0,0.98,?,0.0,0.0,1.179,?,?,0.0,0.0,?,-0.002,?,11.115,?,?,?,0.0,0.0,3.379,?,0.0,7.95,0.0,?,?
4.596,?,0.0,0.0,0.0,0.0,2.0,44.4,?,0.0,?,0.0,2.97,?,9.54,?,?,1.115,0.0,?,1.328,?,0.0,?,0.0,2.175,?,0.0,0.0,1.069,0.0,0.0,?,0.0,3.626,?,?,7.939,0.0,0.0,1
?,3.6112,?,0.0,1.0,0.0,2.0,41.2,0.0,?,3.0,-1.29,3.483,1.258,10.159,8.0,?,1.127,?,?,?,?,0.0,0.0,0.0,2.323,0.005,?,?,1.711,0.0,1.0,?,1.0,?,3.5,1.0,?,0.0,?,?
4.91,?,0.0,0.0,0.0,0.0,?,?,0.0,?,?,-0.302,3.364,?,10.06,?,1.018,1.098,?,0.0,?,3.0,?,0.0,0.0,?,0.004,0.0,?,1.207,0.0,?,0.0,0.0,?,?,0.0,8.427,0.0,0.0,?
3.618,?,0.0,0.0,?,?,?,29.4,2.0,?,?,?,2.333,1.522,7.853,?,?,?,?,?,?,?,0.0,0.0,0.0,?,?,0.0,0.0,2.094,?,?,0.0,?,2.794,?,?,6.333,0.0,?,1
?,?,?,?,0.0,?,?,30.0,?,?,?,?,?,?,8.755,0.0,0.959,1.145,0.0,0.0,1.213,0.0,0.0,0.0,0.0,1.902,-0.181,?,0.0,2.052,?,0.0,0.0,?,2.998,1.722,0.0,6.77,0.0,?,?
3.732,?,?,0.0,0.0,?,0.0,30.0,2.0,0.0,0.0,?,2.511,?,?,0.0,0.959,?,0.0,0.0,1.196,?,0.0,0.0,0.0,?,-0.181,0.0,?,2.488,0.0,0.0,?,0.0,2.846,1.667,0.0,?,?,?,1
