@relation dataset

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V19 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute class {1, 2}


@data

3.919,2.6909,0.0,?,?,0.0,?,31.4,?,0.0,?,?,?,2.55,9.002,?,0.96,1.142,?,?,0.0,?,?,0.0,?,?,?,0.011,0.0,0.0,?,0.0,0.0,0.0,0.0,?,1.591,0.0,7.253,?,?,2
4.17,?,?,?,?,?,0.0,?,1.0,1.0,?,?,2.461,?,?,1.0,?,?,0.0,0.0,?,1.104,1.0,0.0,0.0,0.0,2.214,?,0.0,0.0,1.542,?,0.0,0.0,0.0,3.315,?,0.0,?,?,?,?
?,3.2512,?,0.0,?,0.0,?,26.7,2.0,?,?,?,3.279,2.585,9.11,?,1.009,?,?,?,0.0,1.092,?,0.0,0.0,?,1.942,-0.008,?,?,4.891,0.0,0.0,?,1.0,3.076,2.417,0.0,7.601,?,0.0,?
3.0,2.7098,?,?,?,0.0,0.0,?,0.0,2.0,0.0,0.0,2.1,?,6.594,0.0,1.108,1.167,0.0,0.0,0.0,1.024,?,0.0,0.0,?,1.414,?,?,8.361,1.333,0.0,?,0.0,?,?,5.0,0.0,6.69,0.0,0.0,2
4.236,3.3944,0.0,0.0,0.0,0.0,0.0,29.4,?,?,0.0,-0.271,3.449,?,9.528,2.0,?,1.147,0.0,?,?,1.137,0.0,0.0,0.0,0.0,1.985,-0.002,0.0,10.348,?,?,0.0,0.0,0.0,3.351,2.405,?,?,0.0,0.0,2
4.236,3.4286,?,?,?,?,0.0,28.6,2.0,?,0.0,?,3.313,2.522,9.383,?,1.014,?,0.0,0.0,?,1.119,?,?,?,0.0,1.98,-0.008,0.0,?,?,0.0,?,0.0,0.0,3.351,2.556,0.0,7.904,0.0,?,2
5.0,5.0476,1.0,0.0,0.0,0.0,?,11.1,0.0,3.0,0.0,?,2.872,0.722,9.657,0.0,1.092,?,?,?,?,1.125,?,?,0.0,0.0,2.0,0.446,0.0,?,0.8,?,0.0,0.0,1.0,?,?,0.0,9.303,0.0,0.0,?
?,3.8301,0.0,0.0,?,?,0.0,?,?,?,0.0,?,3.418,?,?,?,0.98,1.142,?,0.0,0.0,?,0.0,0.0,0.0,0.0,?,?,0.0,11.115,3.889,?,0.0,0.0,0.0,3.379,2.143,0.0,7.95,?,0.0,2
4.596,?,?,0.0,0.0,?,2.0,44.4,2.0,0.0,?,0.0,2.97,0.875,9.54,0.0,0.968,1.115,?,?,?,1.328,?,0.0,0.0,0.0,2.175,0.041,?,?,?,?,?,0.0,?,3.626,1.917,?,7.939,0.0,?,2
?,?,0.0,0.0,1.0,0.0,2.0,41.2,?,4.0,?,-1.29,3.483,?,10.159,?,1.069,?,0.0,1.0,?,?,?,?,0.0,0.0,2.323,?,?,?,1.711,0.0,?,2.0,1.0,3.888,?,?,8.706,?,0.0,2
4.91,2.7414,0.0,?,0.0,?,?,?,0.0,2.0,0.0,-0.302,?,0.629,10.06,?,1.018,1.098,?,0.0,0.0,?,3.0,?,0.0,?,?,0.004,?,?,1.207,0.0,1.0,?,?,?,?,?,?,0.0,0.0,2
3.618,2.1906,0.0,0.0,0.0,0.0,0.0,29.4,?,0.0,?,?,2.333,1.522,7.853,0.0,?,?,?,0.0,0.0,1.178,?,?,0.0,0.0,1.732,0.294,?,?,2.094,0.0,?,0.0,0.0,?,1.7,0.0,6.333,0.0,?,2
4.214,2.6272,0.0,?,?,0.0,0.0,30.0,?,?,0.0,?,2.523,1.459,?,?,?,1.145,0.0,0.0,0.0,?,?,0.0,0.0,?,?,?,?,0.0,?,0.0,0.0,0.0,0.0,?,1.722,0.0,6.77,0.0,0.0,?
?,2.3391,0.0,0.0,0.0,?,0.0,30.0,?,0.0,0.0,?,?,?,8.16,0.0,0.959,1.145,0.0,0.0,0.0,1.196,0.0,0.0,0.0,?,1.802,?,0.0,0.0,2.488,?,?,?,?,2.846,?,?,6.557,0.0,0.0,2
?,2.5951,0.0,?,0.0,?,0.0,31.0,?,?,?,0.0,2.908,?,?,0.0,0.96,1.143,?,0.0,0.0,?,0.0,?,0.0,?,1.902,?,0.0,0.0,?,?,0.0,0.0,0.0,2.924,1.611,0.0,7.029,0.0,?,?
3.942,?,1.0,?,?,0.0,0.0,31.6,?,0.0,0.0,?,3.44,?,?,0.0,0.969,1.141,?,0.0,0.0,1.22,0.0,?,?,0.0,1.95,?,?,0.0,5.294,?,0.0,?,?,?,1.739,0.0,8.127,0.0,1.0,2
