@relation dataset

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V19 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute class {1, 2}


@data

3.919,2.6909,0.0,0.0,?,0.0,?,?,2.0,0.0,0.0,?,3.106,?,9.002,?,0.96,?,0.0,0.0,?,?,0.0,0.0,0.0,0.0,?,0.011,0.0,0.0,4.489,0.0,?,0.0,0.0,?,1.591,0.0,7.253,?,0.0,?
4.17,2.1144,0.0,0.0,0.0,?,?,?,?,1.0,?,0.0,?,?,8.723,1.0,?,1.144,?,?,?,?,1.0,0.0,0.0,?,?,?,0.0,0.0,1.542,?,0.0,0.0,0.0,?,1.967,0.0,?,0.0,?,2
?,?,0.0,0.0,0.0,?,?,26.7,?,4.0,0.0,0.0,?,2.585,?,0.0,1.009,1.152,0.0,0.0,0.0,1.092,?,0.0,0.0,?,?,?,0.0,?,4.891,0.0,0.0,?,?,3.076,?,0.0,?,0.0,?,2
?,2.7098,?,?,?,0.0,0.0,?,0.0,2.0,0.0,0.0,2.1,0.918,?,0.0,1.108,?,?,0.0,0.0,?,0.0,0.0,0.0,0.0,?,1.073,?,8.361,?,0.0,0.0,?,1.0,3.046,5.0,?,6.69,0.0,?,2
4.236,?,0.0,0.0,?,0.0,0.0,?,2.0,4.0,0.0,-0.271,3.449,2.753,9.528,2.0,?,1.147,0.0,0.0,0.0,1.137,0.0,?,0.0,?,?,-0.002,?,?,5.588,0.0,0.0,0.0,0.0,3.351,?,?,8.003,0.0,0.0,2
?,3.4286,0.0,?,?,0.0,?,?,2.0,4.0,?,-0.275,?,2.522,9.383,1.0,1.014,1.149,0.0,0.0,0.0,?,?,0.0,0.0,0.0,1.98,-0.008,0.0,?,4.746,0.0,0.0,0.0,?,3.351,?,0.0,7.904,0.0,0.0,?
5.0,5.0476,1.0,?,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.722,9.657,0.0,1.092,?,?,0.0,0.0,1.125,0.0,0.0,?,0.0,?,0.446,?,?,0.8,0.0,0.0,0.0,1.0,?,4.583,0.0,9.303,?,0.0,?
4.525,3.8301,0.0,0.0,0.0,0.0,0.0,?,?,2.0,0.0,-0.039,3.418,2.468,9.786,5.0,0.98,?,0.0,?,0.0,1.179,0.0,0.0,?,?,2.119,-0.002,0.0,11.115,?,0.0,0.0,?,?,3.379,2.143,0.0,7.95,0.0,?,2
?,3.0777,0.0,0.0,0.0,?,2.0,44.4,?,?,?,0.0,?,0.875,?,0.0,?,1.115,?,0.0,?,1.328,?,0.0,0.0,0.0,?,0.041,?,?,1.069,?,?,0.0,?,3.626,1.917,?,?,0.0,?,2
