@relation dataset

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute class {0, 1}


@data

?,?,?,0.0,?,?,0.0,31.4,?,0.0,0.0,?,?,2.55,?,?,?,1.142,0.0,0.0,1.201,?,0.0,0.0,0.0,1.932,0.011,?,?,4.489,0.0,0.0,0.0,?,?,1.591,0.0,7.253,?,?,1
4.17,2.1144,0.0,0.0,?,?,0.0,30.8,1.0,?,?,0.0,2.461,1.393,8.723,?,0.989,?,0.0,?,1.104,1.0,0.0,?,?,2.214,-0.204,0.0,?,1.542,0.0,?,?,0.0,3.315,1.967,0.0,7.257,?,?,1
3.932,3.2512,0.0,0.0,?,?,?,26.7,2.0,4.0,0.0,0.0,3.279,?,?,0.0,?,1.152,0.0,0.0,?,0.0,?,0.0,?,1.942,?,0.0,?,4.891,?,?,0.0,1.0,3.076,?,0.0,7.601,0.0,0.0,1
?,2.7098,?,0.0,0.0,0.0,?,?,0.0,?,0.0,?,?,?,?,?,?,1.167,0.0,?,1.024,0.0,?,?,0.0,1.414,1.073,0.0,?,?,?,0.0,0.0,?,?,5.0,0.0,6.69,0.0,0.0,1
4.236,3.3944,0.0,0.0,?,?,?,29.4,2.0,4.0,0.0,-0.271,?,?,?,?,1.004,1.147,?,?,1.137,0.0,0.0,0.0,0.0,1.985,-0.002,0.0,10.348,5.588,0.0,0.0,?,?,3.351,?,0.0,8.003,0.0,0.0,?
4.236,3.4286,0.0,0.0,0.0,0.0,0.0,?,?,4.0,0.0,-0.275,?,?,9.383,?,?,?,0.0,0.0,1.119,?,?,?,0.0,1.98,-0.008,?,10.276,?,?,0.0,?,0.0,3.351,2.556,0.0,?,0.0,0.0,1
?,?,1.0,0.0,0.0,?,?,11.1,0.0,3.0,?,?,2.872,0.722,?,0.0,1.092,?,?,0.0,?,?,0.0,0.0,0.0,2.0,?,0.0,18.375,0.8,?,0.0,?,1.0,4.712,4.583,?,9.303,0.0,0.0,1
?,3.8301,?,0.0,?,0.0,?,31.6,3.0,?,?,-0.039,3.418,?,9.786,?,?,1.142,?,0.0,1.179,0.0,?,0.0,?,?,?,?,11.115,3.889,?,0.0,0.0,?,?,?,?,7.95,0.0,0.0,?
4.596,?,?,?,?,0.0,?,?,2.0,0.0,0.0,0.0,?,0.875,?,?,0.968,1.115,0.0,?,?,1.0,0.0,0.0,0.0,?,0.041,0.0,0.0,?,?,0.0,0.0,0.0,3.626,1.917,?,?,?,0.0,1
?,3.6112,?,0.0,1.0,0.0,2.0,41.2,0.0,4.0,3.0,-1.29,3.483,1.258,?,8.0,?,1.127,?,?,?,?,?,0.0,0.0,2.323,0.005,?,30.959,1.711,0.0,?,2.0,1.0,3.888,3.5,1.0,8.706,?,0.0,1
?,2.7414,?,?,?,0.0,2.0,52.9,0.0,?,?,?,3.364,?,10.06,?,1.018,?,0.0,0.0,1.279,?,0.0,?,0.0,?,0.004,?,?,?,?,1.0,?,0.0,?,2.5,0.0,8.427,0.0,?,?
