@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,s,n,t,p,f,?,n,k,e,e,s,s,w,w,w,?,p,k,s,u,p
?,s,y,t,a,f,c,?,k,e,c,s,s,?,w,w,o,p,n,n,g,e
b,s,?,?,l,f,c,b,?,e,c,s,s,w,w,w,o,p,n,n,m,?
x,?,w,t,p,f,c,n,n,e,e,s,s,?,w,w,o,?,?,s,u,p
x,s,g,f,n,f,w,b,k,t,e,s,s,?,?,w,o,e,n,a,g,e
x,y,y,t,a,f,c,?,n,e,c,?,s,w,?,w,o,p,?,n,g,?
b,s,?,t,a,f,?,b,g,e,c,s,?,w,w,w,o,p,k,?,m,e
b,y,w,t,l,f,c,b,?,e,c,?,s,w,w,w,o,?,n,s,m,?
x,?,w,t,p,f,?,n,?,?,e,s,s,w,w,w,o,p,k,v,g,p
b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,?,o,?,?,?,m,e
x,y,y,t,l,f,?,b,g,e,c,s,s,w,?,?,o,?,n,n,g,e
x,?,y,t,?,f,c,b,n,?,c,s,s,?,w,w,?,p,k,s,m,e
b,s,y,t,a,f,c,b,w,e,c,?,s,w,w,?,o,?,n,s,g,e
?,y,w,t,p,f,c,n,k,?,e,s,s,w,w,w,o,p,n,v,u,p
?,f,n,f,n,f,w,b,n,t,e,s,f,w,?,w,?,e,k,?,g,e
s,f,?,f,n,f,c,n,k,e,e,s,s,?,w,?,?,p,n,y,u,e
f,f,w,f,n,?,?,b,k,t,e,s,s,w,w,w,?,e,n,a,g,e
x,?,n,t,?,f,c,n,n,e,e,?,s,w,w,?,o,p,k,s,?,p
x,y,w,t,p,f,c,?,n,e,e,s,s,w,w,?,o,?,?,s,u,?
x,s,?,t,p,f,c,n,k,e,e,s,s,w,w,w,o,?,?,s,u,p
b,s,y,t,a,f,c,b,?,e,c,s,s,w,?,w,o,p,n,s,m,e
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,g,p
b,?,y,t,l,?,c,b,k,e,c,s,s,w,?,w,o,?,n,s,m,e
b,y,w,t,a,f,?,?,w,?,c,s,s,w,w,w,o,p,n,n,?,e
b,s,w,t,l,?,c,b,g,e,?,s,s,w,w,w,?,p,?,?,?,e
f,s,w,?,p,f,c,?,n,?,e,?,?,w,w,w,o,p,n,?,g,p
x,y,y,t,a,f,?,b,n,e,c,s,s,w,?,w,o,?,n,n,m,e
x,y,w,t,?,f,c,b,w,e,c,s,s,w,w,w,o,p,n,?,m,e
f,f,n,f,n,f,?,n,k,e,?,s,s,w,w,w,o,p,k,y,u,e
x,s,y,t,a,?,w,n,?,t,b,s,s,w,w,w,o,?,n,v,d,?
b,s,y,t,l,f,c,?,g,e,c,?,s,w,w,w,o,p,n,n,m,?
?,y,w,?,p,f,c,n,k,e,e,s,?,?,?,?,o,p,n,s,u,?
x,y,y,t,?,f,c,?,n,?,?,?,s,w,w,w,o,?,n,?,m,?
x,y,n,t,?,f,c,b,?,e,r,?,y,w,w,w,o,p,?,y,p,e
b,y,y,?,l,f,c,b,n,e,?,s,s,w,?,w,?,p,n,s,m,e
x,f,y,?,?,f,?,n,w,t,b,s,s,?,w,?,?,p,n,v,d,e
s,?,g,f,?,f,?,n,k,e,e,s,s,?,w,w,o,p,k,v,?,e
x,y,n,?,p,f,c,n,w,e,?,s,s,w,w,w,o,?,?,?,u,p
x,f,y,t,a,f,w,n,p,t,b,s,s,w,?,w,o,?,n,v,d,e
b,?,y,t,l,?,?,b,k,e,c,s,s,w,w,w,o,p,k,s,m,e
b,y,y,?,a,?,c,?,n,e,c,s,s,w,w,w,o,p,n,?,g,e
?,y,y,t,l,f,c,?,n,e,r,s,y,w,w,?,o,?,?,y,p,e
x,f,n,f,n,?,c,n,g,?,e,s,s,w,?,?,o,p,k,?,u,e
x,?,?,t,p,f,c,?,p,e,e,?,s,w,w,w,o,p,n,?,g,p
x,s,y,?,?,f,c,b,?,?,c,?,s,w,w,w,o,p,k,n,m,?
x,y,w,t,?,f,?,b,?,e,c,s,s,w,w,?,?,p,n,?,g,e
?,?,y,t,?,f,c,b,k,e,?,s,s,?,w,w,o,?,k,s,?,?
?,s,w,t,l,f,?,b,w,e,?,s,s,?,w,w,o,?,?,?,m,e
x,?,y,t,l,f,c,b,n,?,r,?,y,?,w,w,o,?,?,s,p,e
?,?,y,t,l,f,c,b,w,?,r,s,y,w,w,w,?,p,?,s,?,e
?,y,?,t,a,?,c,b,w,e,r,s,y,w,w,w,o,p,k,s,g,e
x,s,w,t,l,f,?,b,?,?,c,s,s,w,w,w,o,?,k,s,g,e
b,s,w,t,?,?,c,?,k,?,c,s,s,w,w,w,o,?,?,?,m,e
x,y,n,t,?,?,c,n,k,e,e,s,s,w,w,w,o,p,n,?,u,p
x,?,?,t,p,f,?,n,k,e,e,s,s,w,w,w,o,p,k,v,u,p
b,?,y,t,a,f,c,b,w,e,c,?,s,?,w,w,?,p,k,s,m,?
f,f,g,f,n,f,w,?,n,?,e,s,s,w,?,w,o,e,n,?,g,e
b,s,?,t,a,f,c,b,w,?,?,s,s,w,w,w,o,p,n,n,g,?
x,s,y,t,l,f,c,b,k,e,c,s,?,w,w,w,o,p,k,n,g,e
x,y,?,t,a,f,c,b,p,e,?,s,y,w,w,w,?,p,k,y,?,e
s,f,g,f,n,f,c,?,?,e,e,s,s,w,w,w,o,p,n,v,u,e
b,y,y,t,a,?,c,b,k,e,?,s,s,?,w,w,o,p,?,?,?,e
b,s,y,t,l,f,c,b,?,e,c,s,?,?,w,w,?,p,n,s,m,e
b,y,y,t,l,f,c,b,?,?,c,s,s,w,w,w,o,p,?,n,m,e
?,y,w,t,?,f,c,b,?,?,c,?,?,w,?,w,o,p,n,s,g,e
f,s,?,f,n,f,w,b,k,t,e,s,s,w,w,w,o,e,k,?,g,?
x,s,w,?,l,f,c,b,n,e,c,s,s,w,w,w,?,?,k,s,g,e
f,y,y,?,a,?,c,b,w,e,r,s,?,w,?,w,o,p,n,s,g,e
x,y,y,t,a,f,c,b,w,?,c,s,?,w,?,w,o,p,k,n,g,e
x,f,g,f,?,?,c,n,p,?,e,s,s,w,?,w,o,p,?,v,u,e
f,f,y,?,l,?,w,?,p,t,b,s,s,w,?,w,o,p,?,v,?,?
?,y,w,t,l,f,c,b,g,e,c,s,?,w,w,w,o,?,n,s,m,e
f,f,y,t,?,f,?,n,w,t,?,s,s,w,w,?,?,p,n,v,d,e
?,?,n,t,a,f,c,b,?,e,r,?,y,w,w,w,o,p,k,s,p,e
b,s,y,t,a,f,c,b,k,?,c,s,s,w,w,w,o,?,k,s,?,e
f,s,?,t,l,?,w,n,?,?,b,s,?,w,?,w,o,p,n,v,d,e
x,s,w,t,?,f,?,n,n,t,b,?,s,?,w,w,o,p,u,?,d,e
f,y,?,t,?,f,c,b,p,e,r,?,y,w,w,w,o,p,?,y,p,e
?,?,n,t,?,f,c,n,?,e,e,s,?,w,w,w,o,p,n,v,u,p
f,y,n,t,a,f,c,b,?,e,r,s,y,w,w,w,?,?,n,?,g,e
x,s,n,f,n,f,?,b,?,t,?,?,s,?,w,w,o,e,?,s,g,e
x,y,w,t,p,f,c,n,w,e,e,?,s,?,w,?,?,?,k,s,g,p
?,f,g,f,n,?,c,?,n,e,?,s,s,?,w,w,?,p,?,y,u,e
?,?,g,f,n,f,w,?,n,t,?,s,s,w,w,w,o,e,n,s,g,e
?,y,y,t,l,f,c,b,w,?,r,s,y,?,w,?,o,?,k,s,g,e
x,s,n,f,n,?,w,b,k,t,e,s,s,w,w,w,o,e,k,s,g,?
b,?,w,t,a,?,c,b,w,e,?,s,?,w,w,?,o,?,?,?,g,?
x,s,w,t,?,f,c,b,n,?,c,s,?,w,w,w,o,p,n,s,g,e
f,?,n,?,l,f,?,b,w,e,r,s,y,w,?,w,o,p,k,y,g,e
s,f,n,f,n,f,c,n,n,e,?,s,s,?,?,w,o,p,?,v,u,e
x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,?,o,p,n,y,u,e
b,?,w,t,?,f,c,b,k,?,c,?,s,w,w,w,o,?,?,s,?,e
x,y,?,t,?,?,c,?,g,?,c,s,s,w,w,w,o,p,k,s,g,e
x,y,y,t,l,f,c,b,g,e,?,s,?,?,w,?,o,?,k,n,m,?
x,?,n,f,n,f,?,?,n,t,e,s,s,w,?,w,o,e,n,a,g,e
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,n,s,g,e
