@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,s,n,t,p,f,c,?,k,e,e,s,s,w,w,w,?,p,k,s,?,p
?,s,y,?,a,?,c,b,?,e,c,?,s,w,w,w,o,p,n,?,g,e
b,s,w,t,?,f,c,?,n,e,c,s,s,w,w,w,o,?,n,n,m,e
x,y,?,t,p,f,c,n,n,e,e,s,s,w,w,w,?,p,?,s,u,p
x,?,g,f,n,f,w,b,k,t,?,?,s,w,w,w,o,e,n,a,g,e
?,y,y,t,?,f,c,b,n,e,c,s,s,w,w,?,o,?,k,n,g,e
b,?,w,t,a,?,?,b,g,e,c,?,s,w,w,w,o,p,k,n,m,e
b,y,w,t,?,f,c,b,n,e,?,s,?,w,?,w,o,?,n,s,m,e
x,y,w,t,p,f,c,n,?,e,e,?,s,w,w,w,o,p,k,v,g,p
?,s,y,t,a,f,c,b,g,?,c,s,?,?,w,w,o,?,k,s,?,e
x,y,y,t,l,f,c,b,g,e,c,s,s,?,w,w,o,p,n,n,g,e
x,y,?,t,a,?,c,b,n,e,c,s,s,w,w,w,o,?,k,s,?,e
b,?,y,t,a,f,?,b,?,e,c,s,s,w,w,w,o,p,n,s,g,?
?,?,w,t,p,f,?,n,k,e,e,s,s,w,w,?,o,?,n,v,u,p
x,f,n,?,n,f,?,b,n,t,?,s,f,?,w,w,o,e,k,a,g,e
?,f,g,?,n,f,c,?,k,e,e,s,?,w,?,w,o,p,n,y,u,e
f,f,w,f,n,f,w,b,?,t,?,s,?,w,w,w,o,e,n,a,g,e
x,s,n,t,p,f,?,n,n,e,e,s,?,w,?,w,?,p,k,s,g,p
x,?,w,t,p,?,c,n,n,?,e,?,s,w,w,?,?,p,n,s,u,?
?,s,n,t,?,?,c,n,?,e,e,?,s,w,w,?,o,p,n,s,u,p
b,?,y,?,a,f,?,b,k,e,c,s,s,?,w,w,?,p,n,s,?,e
x,?,n,?,p,?,?,n,n,e,e,s,s,?,w,?,o,p,n,?,g,?
b,y,y,t,l,?,?,?,k,e,c,s,s,w,w,w,o,p,n,s,m,e
?,y,w,t,a,f,c,b,w,e,?,s,?,w,w,w,o,p,?,n,m,e
b,?,w,t,l,f,?,b,g,e,c,s,?,w,w,w,o,p,k,?,m,e
f,s,?,t,p,f,c,?,n,?,e,s,?,w,w,w,o,p,n,?,g,?
x,y,y,t,a,f,c,b,n,e,c,s,?,w,?,w,o,p,n,n,m,e
x,y,w,?,l,f,c,b,?,e,c,s,s,?,?,?,?,p,n,n,?,e
f,f,n,?,n,?,?,n,k,e,?,?,s,w,w,w,o,p,k,?,u,?
x,s,y,?,a,f,w,n,n,?,b,s,s,?,?,w,o,p,n,v,d,e
b,s,y,?,l,f,c,b,g,?,c,?,s,w,w,w,o,p,n,n,m,e
x,y,w,t,?,f,?,n,k,e,e,s,s,w,w,w,o,p,n,s,u,?
x,y,?,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,n,m,e
x,y,n,t,?,f,c,?,p,?,r,s,y,w,w,w,o,p,?,y,p,e
b,y,y,t,l,f,c,b,?,e,c,s,s,w,?,w,o,p,n,s,m,e
x,f,y,?,l,?,w,n,w,t,b,s,s,w,w,?,o,p,n,?,?,e
s,f,?,f,n,?,c,n,?,e,e,s,s,w,?,w,o,p,?,?,u,?
x,y,?,t,p,f,c,n,w,e,e,s,?,w,w,w,o,?,n,s,u,?
x,?,y,t,a,f,w,n,?,t,b,s,s,w,w,?,o,p,n,v,d,e
b,s,y,t,?,f,c,b,k,?,c,s,s,w,w,w,o,p,k,?,m,?
b,y,?,?,a,?,c,b,n,e,c,s,s,w,w,w,?,p,n,?,g,?
x,?,y,t,l,f,c,b,n,?,r,s,y,w,w,w,?,?,?,?,p,e
x,f,n,f,n,?,c,n,g,e,?,s,s,w,w,w,o,p,?,y,u,e
x,y,w,?,p,f,c,n,p,e,e,s,s,?,w,w,o,p,n,?,g,p
x,s,y,?,a,f,c,b,w,e,c,s,s,w,?,w,?,?,k,n,m,e
x,y,w,t,?,f,c,b,n,e,c,?,s,w,?,?,o,p,n,?,g,e
x,y,y,t,l,?,c,b,k,?,c,s,s,?,?,w,?,p,?,?,m,e
x,s,w,t,l,f,c,?,w,?,c,s,s,w,w,?,o,p,n,n,m,e
x,y,?,?,l,f,c,b,n,e,r,s,y,w,w,w,o,?,n,?,p,e
f,?,y,t,l,f,?,?,w,?,r,?,y,w,w,w,o,p,k,s,?,e
x,y,n,t,a,f,c,b,w,e,r,s,y,?,w,w,?,p,k,s,g,?
x,s,?,t,l,?,?,?,k,e,c,s,s,w,w,w,o,p,k,s,?,e
b,?,w,t,l,f,c,?,k,?,c,s,s,w,?,w,o,p,n,?,m,e
x,y,n,t,p,?,c,?,k,?,e,s,s,w,?,w,?,p,?,v,u,p
?,s,w,?,p,?,?,n,k,e,?,s,s,w,?,w,o,p,k,v,u,p
b,y,y,t,a,f,c,b,w,e,c,?,?,?,w,w,o,p,k,?,?,e
f,?,g,f,n,f,w,?,n,t,?,s,s,?,w,?,?,e,n,a,?,e
b,?,w,t,a,f,c,b,w,e,c,s,s,w,?,w,?,?,n,?,g,e
x,?,y,t,l,f,?,b,k,e,c,s,?,w,w,w,o,p,?,n,g,e
x,y,?,t,a,f,c,b,?,?,r,s,y,?,w,?,o,p,k,?,p,e
s,f,g,f,n,?,c,n,?,e,e,s,?,w,w,w,o,p,n,v,u,e
b,?,y,?,a,f,c,b,k,e,c,?,s,w,?,w,o,?,n,s,?,e
?,s,y,t,l,f,?,b,g,?,c,?,s,w,?,w,o,p,n,s,m,e
b,y,y,?,l,f,c,b,g,e,c,?,s,w,w,w,o,p,n,?,?,?
b,y,w,t,l,f,c,b,n,e,c,s,?,?,w,?,o,?,n,?,g,e
f,s,n,?,n,f,w,b,k,t,?,s,?,w,w,w,o,e,k,a,g,e
x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,?,p,k,s,?,?
f,y,?,t,a,f,c,?,w,?,r,s,y,w,w,w,?,p,n,s,g,e
?,y,y,t,?,f,c,?,w,e,c,s,s,w,?,?,o,p,k,?,g,e
x,f,?,f,n,f,?,n,p,e,e,s,s,w,w,w,o,p,n,v,u,e
f,f,y,t,l,?,w,n,p,t,b,s,s,w,w,w,o,p,n,v,?,e
?,?,?,t,l,f,c,b,g,?,c,s,s,w,w,w,o,p,n,s,m,e
f,f,?,t,l,f,w,n,w,t,?,s,?,w,w,w,o,p,n,v,d,?
x,y,n,?,a,f,c,b,p,e,r,?,?,w,w,w,o,p,k,s,p,e
b,s,?,t,a,f,c,b,k,e,c,?,s,?,w,w,o,p,?,s,g,e
f,s,y,t,l,f,w,n,p,t,b,?,s,w,w,w,o,p,n,v,?,e
?,?,w,t,l,f,?,?,n,?,b,s,s,w,?,w,o,p,?,?,d,e
f,y,n,?,l,f,c,b,?,e,r,s,?,?,?,w,o,?,n,y,p,?
?,y,n,t,p,f,?,n,?,e,e,?,?,?,w,w,o,?,n,v,u,?
f,y,n,?,a,f,c,b,n,e,r,s,y,w,w,w,o,p,n,y,g,?
x,s,?,f,n,f,w,b,k,t,e,f,?,w,w,w,?,e,n,s,?,e
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,w,o,?,k,s,g,p
?,?,g,?,n,f,c,?,n,e,e,s,?,w,w,w,o,p,?,y,u,e
x,f,?,f,?,?,w,b,n,?,e,s,s,?,w,w,o,e,n,s,g,e
x,y,y,t,l,?,c,b,w,e,r,s,y,w,w,w,o,?,k,s,?,e
?,s,n,f,n,f,w,b,k,?,e,s,?,w,?,w,?,e,k,s,g,e
?,s,w,t,a,f,?,b,w,e,c,s,?,w,w,w,o,p,k,s,?,e
x,s,w,t,l,f,c,b,n,?,c,s,s,w,w,w,o,p,n,s,g,e
?,y,n,t,l,?,c,b,w,e,r,s,y,w,w,w,o,p,?,y,g,e
s,f,n,f,?,f,c,n,n,e,e,s,s,?,w,w,o,p,n,?,u,e
?,f,n,f,n,?,c,n,n,e,e,s,s,?,w,w,o,p,?,y,u,e
b,s,w,t,l,f,c,b,k,e,c,?,?,w,w,w,o,p,k,s,g,e
?,?,?,?,a,f,c,b,g,e,?,?,s,w,w,w,?,?,k,s,?,e
?,y,y,t,l,f,?,b,g,e,c,s,s,w,?,w,o,p,k,n,m,e
x,?,n,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,a,g,?
x,s,w,t,a,f,?,?,g,e,c,s,s,?,w,w,?,p,n,s,g,e
f,y,n,t,l,f,c,b,p,e,r,s,y,w,?,w,o,p,n,s,?,e
?,s,y,?,?,f,?,?,n,e,c,?,s,w,w,w,o,p,k,n,g,e
b,s,w,t,a,?,c,b,?,?,c,s,s,w,w,w,o,p,?,s,?,e
x,y,w,?,a,f,c,b,g,e,?,s,s,?,w,w,o,p,k,s,g,e
x,f,n,f,n,f,?,b,p,t,e,?,?,w,?,w,o,e,k,s,g,?
?,s,y,t,l,f,?,b,?,?,c,s,s,w,w,w,o,p,?,?,g,e
f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,w,o,?,n,s,g,e
?,y,y,t,a,f,c,b,n,e,?,?,?,w,w,w,o,p,k,?,p,e
b,?,w,t,l,?,?,b,?,e,c,s,s,w,w,w,o,p,?,n,g,?
?,?,y,?,a,f,c,b,n,e,c,s,s,w,w,w,o,p,k,n,m,e
x,y,y,t,a,f,c,b,w,?,r,?,?,w,w,?,o,?,n,y,?,e
b,y,w,t,l,?,c,b,n,e,c,s,s,w,w,w,o,p,k,s,m,e
