@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

?,s,n,?,p,f,c,n,k,e,?,s,s,w,w,w,o,p,k,s,u,p
x,s,y,t,a,f,c,b,k,e,c,s,s,?,?,w,o,p,n,n,?,?
b,?,w,?,l,f,c,?,n,e,c,s,?,w,?,w,o,p,n,?,m,e
x,y,w,t,?,f,?,n,n,e,e,s,s,w,?,?,o,p,k,s,u,?
x,s,g,f,n,f,w,b,k,t,e,s,s,w,w,?,o,e,n,a,g,e
x,?,y,t,?,f,?,b,n,?,c,s,s,w,w,w,o,p,k,?,?,e
b,s,w,t,a,f,c,b,g,e,c,s,?,w,w,w,o,p,k,n,m,e
?,y,w,t,l,f,c,?,n,?,c,s,s,w,w,w,o,p,n,s,m,e
x,y,w,t,?,f,c,n,?,e,e,s,s,w,w,w,o,p,k,v,g,p
?,s,y,t,a,f,c,b,g,e,c,s,s,w,?,w,o,p,k,s,m,e
x,y,y,t,l,f,?,b,g,e,c,s,s,w,w,w,o,p,n,n,g,e
x,y,y,t,a,?,c,b,n,e,c,?,s,w,w,w,o,p,k,s,m,e
b,s,y,t,?,f,c,b,w,e,?,?,s,?,w,w,o,p,?,s,?,e
x,y,w,t,p,f,c,n,?,e,?,s,s,w,?,w,o,p,n,v,u,p
x,f,n,f,n,f,w,b,n,t,e,?,f,w,w,w,o,e,?,a,g,e
?,?,g,f,n,f,c,n,?,e,e,?,s,w,w,w,o,p,n,y,u,?
f,f,w,f,?,f,w,b,?,?,?,?,s,?,w,w,?,e,?,?,g,e
x,s,n,t,?,f,c,n,?,e,?,s,s,w,w,?,o,p,k,s,g,p
x,y,w,t,p,f,c,n,n,e,e,s,s,?,w,w,o,p,?,s,u,p
x,s,n,t,p,f,c,n,k,e,e,s,?,?,w,?,o,p,n,?,u,p
b,s,?,t,?,f,c,b,k,e,c,s,s,w,w,w,?,?,n,s,m,e
x,y,n,t,p,f,?,n,n,e,e,s,s,w,w,w,o,p,?,v,g,p
