@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

0.72694,1.4742,0.32396,0.98535,?,?,0.0046566,?,0.04779,0.12795,0.016108,0.0052323,2.7477E-4,1.1756
0.74173,1.5257,0.36116,?,0.99825,?,?,0.0050016,?,0.090476,?,0.002708,7.4846E-5,?
?,?,0.38998,0.97755,1.0,0.80812,0.0074573,0.010121,?,?,0.0032891,9.2068E-4,?,0.44348
?,1.4597,?,0.97566,?,0.81697,0.0068768,0.0086068,0.01595,?,0.0042707,0.0011544,?,0.58785
0.82301,?,?,0.97698,1.0,0.75493,?,0.010042,0.0079379,?,?,5.5986E-4,2.3504E-5,0.34214
0.72997,1.4892,?,?,?,0.84482,?,0.0044506,0.010487,0.058528,?,?,?,0.34068
0.82063,1.7529,?,0.97964,0.99649,0.7677,?,0.0063954,0.018375,?,?,0.0022713,4.1495E-5,0.53904
0.77982,?,?,?,?,?,0.0050987,0.0047314,0.024875,0.089686,?,?,?,0.66975
0.83089,1.8199,0.45693,0.9824,?,0.77106,?,0.006564,?,0.040616,0.0016469,3.8812E-4,?,?
?,2.3906,0.58336,0.97683,0.99825,0.66419,0.0084019,0.012848,0.0070096,?,0.0017901,4.5889E-4,?,0.28082
?,1.4927,?,?,1.0,0.83088,0.0055665,0.0056395,0.0057679,?,?,?,?,0.25026
0.79606,1.6934,?,0.98181,1.0,0.76985,?,0.011071,0.013677,0.057832,0.0033334,?,?,0.49751
?,?,0.64257,0.98346,?,0.59851,?,0.0055731,0.029712,0.089889,0.0080153,0.0020648,2.3883E-4,?
?,2.4994,?,0.983,1.0,?,?,?,0.018887,0.072486,0.0052267,0.0014887,8.3271E-5,0.67811
0.89063,?,0.56667,?,?,0.66427,0.0028365,?,0.029272,0.091328,0.0082717,?,2.0166E-4,?
?,2.009,?,?,?,0.70277,?,0.0053937,0.030348,0.092063,0.0084044,0.0022541,?,0.94545
?,?,0.61648,?,?,0.63037,?,0.0046404,?,?,?,?,?,0.71713
?,2.2038,?,0.97835,0.99825,0.64158,?,?,?,0.092969,?,?,2.7729E-4,1.008
?,1.9548,0.4892,?,1.0,?,0.0039733,0.0028733,?,0.070841,?,?,?,0.74174
0.89084,2.2979,?,?,?,0.64598,?,?,?,0.086477,0.0074228,0.0018832,2.4345E-4,0.91307
?,2.8973,0.65828,?,1.0,?,?,0.0076645,0.023606,?,0.005191,0.0011217,2.5558E-4,?
?,1.86,?,?,?,0.75976,0.0046759,?,0.062798,?,0.017213,?,?,1.653
?,1.2099,?,0.9211,0.98772,0.60555,0.023597,0.10134,?,0.20088,0.038786,0.015895,4.049E-4,1.5371
0.66307,?,0.32559,0.94952,?,0.75954,0.013388,?,0.021815,?,?,?,3.6303E-5,0.5341
0.61289,1.0991,0.33117,?,?,0.61661,0.025545,0.11877,?,?,?,?,?,1.1076
0.70668,?,0.38111,0.94226,0.99825,0.6925,?,0.068724,?,?,?,0.0053112,8.6352E-5,0.72247
0.66889,1.1435,0.3846,0.90355,?,?,?,0.14606,?,0.15931,0.024752,?,?,1.1365
0.50139,1.0066,?,0.91585,0.99825,?,?,?,?,0.1598,0.024899,0.011106,1.6162E-4,?
?,1.0646,0.3446,?,0.99649,0.67517,0.031915,0.18538,?,?,?,?,2.2964E-4,?
0.56599,1.0427,?,?,0.99825,0.62068,0.032971,0.19785,0.026348,?,0.011088,?,?,0.62671
0.68605,?,?,0.91639,0.99825,0.61136,0.030339,0.16753,?,0.16858,?,?,?,1.0815
0.59571,1.084,0.32592,?,0.99825,0.65698,?,0.11151,0.042051,?,0.021213,?,6.468E-5,?
0.39432,1.1191,?,0.96806,?,?,?,?,?,?,0.01847,0.0040597,9.0977E-4,1.8893
0.62011,1.3298,?,?,0.99825,0.77871,?,0.013637,?,?,0.013872,?,?,1.2024
0.73429,?,?,0.94518,?,?,?,0.040879,0.038113,?,?,?,?,?
?,?,0.31556,0.93324,0.97895,0.65487,?,0.058729,?,0.08221,?,?,2.9878E-4,?
0.64056,?,?,0.97053,?,?,0.0091632,?,0.020413,?,?,?,?,0.86218
?,1.5529,0.38804,?,0.99474,?,?,?,0.020679,?,?,7.9505E-4,2.6812E-4,0.87687
?,1.1286,0.17039,0.96405,1.0,0.79407,?,0.025176,?,?,?,?,1.5762E-4,?
0.53017,?,0.23254,0.97337,1.0,?,?,0.0079913,0.048541,0.10941,?,0.0027809,?,?
?,1.8096,?,0.83923,?,?,0.043563,?,?,0.12554,?,?,2.2842E-4,?
0.88075,?,0.58345,?,?,0.41551,?,?,0.035786,?,?,0.002759,2.5802E-4,1.0952
0.86545,?,?,?,0.85439,0.33077,?,0.40204,0.039518,?,?,0.0042406,?,1.0136
0.93671,?,0.7298,0.81793,0.86491,?,?,1.1805,?,?,?,0.0039983,?,1.3083
?,?,?,0.82432,0.89474,?,0.038012,?,?,?,0.021723,?,2.8398E-4,1.353
0.90944,2.1139,0.69555,0.80873,0.85263,0.31039,0.047267,0.40663,?,?,?,?,?,1.1602
0.89493,2.0494,0.64925,0.81682,?,0.35318,?,?,?,0.12036,0.01428,?,?,1.0962
0.93613,2.3898,?,0.84434,?,?,?,0.28077,?,0.11955,?,0.0037887,4.2459E-4,?
0.88172,1.774,?,0.8499,0.87368,0.34354,0.051776,?,0.06103,0.1519,0.022554,0.0080813,?,1.3805
?,?,0.62464,0.85754,0.89298,0.32238,?,0.46952,0.064428,?,?,0.010189,?,1.3343
0.82268,?,0.59909,0.84493,0.85614,?,?,?,?,?,0.033338,0.013523,2.7502E-4,?
0.82135,1.6035,0.6025,?,0.87544,0.31304,?,0.57236,0.069239,?,0.02594,0.0092918,3.2134E-4,?
?,1.0544,?,0.63754,0.47544,0.20039,?,4.0212,0.010917,?,0.0028534,8.7543E-4,?,?
0.50784,?,?,0.73625,0.59649,?,0.13296,?,?,?,?,?,?,?
0.47728,1.2115,0.68343,0.76364,?,0.23896,?,2.1022,?,0.080623,?,0.0018312,1.0648E-4,?
?,?,0.51662,?,?,0.33784,?,?,?,?,0.0066868,?,1.2196E-4,0.944
0.50964,1.2067,?,?,0.56491,0.21009,?,2.3093,?,0.080306,?,0.0020323,6.5828E-5,0.73274
?,?,?,?,?,0.24135,?,?,0.025438,0.096215,?,0.0034208,5.1566E-5,0.75194
?,?,?,0.75574,?,?,0.098823,1.7774,0.021217,0.073201,?,?,?,0.79862
?,?,0.52998,0.81654,?,0.33753,0.11547,?,0.006859,0.042071,?,4.7564E-4,?,0.30832
?,?,0.5348,?,0.97018,?,0.035424,0.22838,0.038846,0.1192,0.014009,?,?,?
