@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

?,?,?,20.7,?,45.0,170.0,?,?,0.45,?,?
6.3,0.3,?,1.6,0.049,14.0,?,?,3.3,?,?,6.0
8.1,0.28,0.4,?,0.05,?,?,0.9951,3.26,?,?,6.0
?,?,0.32,?,?,47.0,?,?,3.19,0.4,9.9,?
7.2,?,?,8.5,?,47.0,?,0.9956,3.19,0.4,?,6.0
8.1,?,0.4,?,0.05,30.0,?,0.9951,3.26,?,?,6.0
?,0.32,0.16,7.0,0.045,30.0,?,0.9949,?,?,?,6.0
7.0,0.27,?,20.7,?,?,?,1.001,3.0,0.45,?,?
6.3,0.3,?,?,?,?,132.0,0.994,3.3,?,?,?
?,0.22,0.43,?,?,28.0,129.0,?,3.22,0.45,11.0,6.0
8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,?,?,5.0
8.6,0.23,?,4.2,?,?,?,0.9947,3.14,?,9.7,?
7.9,0.18,?,?,?,?,75.0,0.992,?,?,10.8,?
6.6,0.16,?,?,0.044,48.0,?,?,?,?,?,?
?,?,?,?,?,?,172.0,?,?,?,?,5.0
?,?,?,?,?,28.0,112.0,0.9914,?,?,11.4,7.0
6.3,?,0.04,1.1,?,?,?,?,3.24,?,?,?
6.2,?,?,1.2,?,?,?,?,3.33,?,12.8,?
?,0.34,?,1.1,?,17.0,?,?,?,?,?,6.0
6.5,0.31,?,7.5,0.044,34.0,?,0.9955,?,?,9.5,?
?,0.66,0.48,1.2,0.029,?,?,?,?,?,12.8,?
6.4,?,?,2.9,?,?,?,0.9912,?,?,?,?
?,?,?,?,?,41.0,?,0.993,?,?,10.5,?
?,?,0.14,?,?,?,168.0,0.9937,3.05,0.51,9.3,5.0
?,0.27,0.41,1.3,?,?,142.0,?,?,?,?,?
7.0,?,?,?,?,?,?,?,?,0.5,10.4,?
