@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

?,?,0.36,20.7,?,45.0,170.0,?,3.0,0.45,?,?
6.3,?,0.34,?,0.049,14.0,?,0.994,?,0.49,9.5,6.0
8.1,?,?,6.9,?,?,97.0,0.9951,?,0.44,10.1,?
?,0.23,?,?,?,?,?,?,?,0.4,9.9,?
7.2,?,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,?
?,?,0.4,6.9,?,?,97.0,?,?,0.44,?,?
6.2,0.32,?,7.0,0.045,?,?,0.9949,3.18,0.47,9.6,?
7.0,?,?,20.7,0.045,45.0,?,1.001,?,0.45,8.8,6.0
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,?,0.49,9.5,?
?,0.22,0.43,?,0.044,?,?,0.9938,?,?,11.0,6.0
8.1,?,?,?,0.033,11.0,?,0.9908,?,?,?,?
8.6,?,0.4,4.2,0.035,17.0,109.0,?,3.14,?,9.7,?
?,0.18,0.37,?,?,16.0,75.0,0.992,?,?,?,?
?,?,0.4,?,0.044,48.0,?,0.9912,3.54,0.52,?,?
?,?,?,?,?,?,?,?,2.98,?,9.7,?
6.6,0.17,0.38,?,0.032,28.0,?,?,?,?,11.4,7.0
?,?,0.04,?,0.046,?,?,0.9928,?,?,?,?
6.2,?,?,?,?,?,?,?,?,0.39,12.8,?
?,?,?,?,0.033,?,171.0,?,?,?,?,6.0
6.5,?,?,?,0.044,?,?,?,?,?,9.5,5.0
6.2,0.66,?,?,?,?,?,?,?,?,?,?
6.4,?,0.38,?,?,19.0,102.0,?,3.17,?,?,?
?,0.26,0.42,1.7,?,?,122.0,0.993,?,0.48,?,8.0
?,?,?,1.5,?,25.0,?,?,3.05,0.51,9.3,?
?,0.27,?,1.3,0.052,16.0,?,?,3.42,0.47,?,6.0
?,0.25,?,9.0,0.046,?,245.0,0.9955,?,0.5,?,6.0
?,?,?,?,0.052,35.0,?,0.993,?,?,?,?
?,?,0.39,8.7,?,32.0,?,0.9961,?,?,?,?
?,0.27,?,1.1,?,17.0,?,0.9914,3.19,?,?,?
7.2,?,?,?,0.033,?,?,?,3.1,?,12.3,?
?,0.24,0.39,10.4,?,?,142.0,?,3.2,?,?,?
?,0.14,?,?,?,?,?,?,?,?,10.2,?
?,?,?,?,?,?,?,?,?,?,10.8,6.0
?,?,?,1.5,0.045,?,117.0,0.9939,3.42,0.51,9.0,?
5.8,?,?,?,0.044,22.0,?,?,3.37,0.37,?,?
?,?,?,1.7,0.08,21.0,123.0,?,3.19,?,12.8,5.0
?,?,?,?,?,25.0,?,?,?,0.35,?,?
7.0,?,?,?,?,?,?,0.9906,?,?,?,6.0
?,?,?,?,0.057,?,?,?,?,?,?,?
7.3,?,?,?,0.057,?,149.0,?,3.21,0.36,8.6,5.0
?,0.23,0.39,?,0.172,63.0,158.0,?,?,?,?,?
6.7,?,0.39,?,0.173,63.0,157.0,?,3.1,?,?,?
?,0.31,?,?,?,?,160.0,?,3.13,0.46,9.8,6.0
?,0.24,0.27,?,0.057,33.0,?,?,3.22,?,?,?
?,0.23,?,?,?,33.0,154.0,?,3.24,0.56,?,?
?,?,?,?,?,?,?,?,?,?,10.0,7.0
?,?,?,?,0.063,63.0,?,?,3.27,?,?,?
?,?,0.25,?,0.066,62.0,?,?,?,0.52,9.8,5.0
7.0,?,?,?,0.069,28.0,160.0,0.9954,?,0.46,?,?
6.9,?,0.35,5.0,?,?,?,?,?,0.48,9.8,?
?,0.19,0.31,?,?,?,173.0,?,?,?,?,6.0
?,0.25,?,1.1,?,39.0,124.0,?,?,?,11.0,7.0
?,?,0.33,1.1,?,21.0,?,0.991,3.32,0.46,?,7.0
?,0.18,0.35,1.0,0.045,?,?,0.9911,?,?,10.9,?
6.8,0.2,?,?,?,?,?,0.993,3.05,0.38,?,6.0
?,0.25,0.35,?,?,?,191.0,?,3.13,?,11.0,?
?,?,?,?,?,?,213.0,0.9962,?,?,?,6.0
?,?,?,12.4,0.048,?,147.0,?,3.3,0.36,8.9,?
?,?,?,?,0.044,?,78.0,?,?,?,10.2,?
?,0.2,?,?,?,44.0,111.0,?,3.36,?,?,6.0
?,?,?,4.9,?,30.0,123.0,0.9951,?,?,8.6,?
6.0,0.19,?,12.4,0.048,50.0,?,?,?,?,?,6.0
?,0.47,0.07,?,0.035,17.0,?,0.991,3.02,0.34,?,?
?,0.38,0.15,?,0.044,25.0,?,?,3.11,?,?,?
?,0.24,0.27,1.4,?,?,?,0.9927,3.15,0.46,10.3,?
6.2,?,0.03,1.2,?,?,120.0,?,?,?,9.1,?
?,?,0.24,?,?,?,?,0.9903,?,?,12.6,7.0
6.7,0.25,?,?,?,81.0,174.0,0.992,3.14,0.42,9.8,?
6.7,?,0.31,2.1,0.046,30.0,?,?,?,?,?,8.0
?,0.24,?,10.1,?,21.0,105.0,0.9962,3.13,?,?,?
?,?,?,?,?,48.0,244.0,0.9956,?,0.51,9.0,?
?,?,0.23,4.6,0.061,?,238.5,0.9958,?,0.6,9.5,5.0
?,0.27,0.28,4.8,?,31.0,201.0,0.9964,3.69,?,10.0,5.0
?,?,0.46,?,?,?,72.0,?,?,?,?,?
?,?,?,?,?,30.0,96.0,0.9926,?,?,?,?
?,?,?,?,?,21.0,?,?,?,0.35,?,?
?,?,?,1.4,?,31.0,87.0,0.9898,?,?,12.7,7.0
7.0,0.32,?,?,?,20.0,?,0.9912,?,?,?,?
7.4,0.18,0.3,?,?,26.0,?,?,2.94,0.56,9.3,?
?,0.54,0.28,5.4,?,?,105.0,?,3.27,?,9.0,5.0
6.8,?,?,?,?,?,114.0,?,?,?,10.6,6.0
?,0.2,0.34,?,?,?,166.0,?,?,?,?,?
7.1,?,0.2,?,?,47.0,?,?,3.17,0.42,10.0,5.0
?,?,0.3,8.2,?,?,207.0,?,3.33,0.46,?,?
7.1,0.43,0.61,11.8,?,?,155.0,?,3.11,0.45,?,5.0
?,?,?,11.8,?,52.0,?,?,?,?,?,?
