@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

7.0,0.27,?,20.7,0.045,45.0,170.0,?,3.0,0.45,?,?
?,?,?,1.6,0.049,14.0,?,?,?,?,9.5,6.0
8.1,0.28,?,?,?,30.0,97.0,0.9951,3.26,0.44,?,6.0
?,?,0.32,?,0.058,47.0,?,?,?,?,9.9,6.0
?,?,0.32,?,?,?,186.0,0.9956,?,0.4,9.9,?
?,?,?,?,0.05,30.0,97.0,0.9951,3.26,?,10.1,6.0
?,0.32,?,7.0,?,?,?,?,3.18,0.47,?,6.0
7.0,0.27,?,20.7,0.045,45.0,170.0,?,3.0,0.45,?,6.0
?,0.3,0.34,1.6,0.049,?,132.0,?,?,0.49,9.5,?
?,0.22,0.43,1.5,0.044,28.0,?,0.9938,?,0.45,?,?
8.1,0.27,0.41,?,?,?,63.0,0.9908,?,0.56,12.0,5.0
8.6,?,?,4.2,0.035,?,?,?,3.14,0.53,?,5.0
7.9,?,?,?,?,?,?,0.992,?,0.63,?,5.0
?,?,0.4,?,?,48.0,143.0,0.9912,3.54,0.52,?,?
8.3,?,0.62,?,0.04,?,172.0,?,?,?,?,5.0
6.6,?,0.38,1.5,?,?,?,0.9914,3.25,?,?,?
?,0.48,0.04,1.1,?,30.0,99.0,?,3.24,0.36,9.6,?
?,0.66,0.48,?,?,?,?,0.9892,3.33,0.39,12.8,?
?,?,?,?,?,?,171.0,0.9917,3.12,?,?,6.0
6.5,0.31,?,?,?,34.0,?,0.9955,?,0.5,?,?
6.2,?,?,1.2,0.029,?,?,0.9892,?,?,12.8,8.0
?,0.31,?,?,?,19.0,?,0.9912,?,0.35,?,?
?,0.26,?,?,?,?,122.0,?,?,0.48,?,?
?,0.67,?,?,?,?,168.0,?,3.05,?,9.3,5.0
?,?,?,1.3,?,?,?,0.9951,3.42,?,?,?
?,?,?,?,?,?,245.0,0.9955,?,?,10.4,?
?,0.24,?,1.0,?,35.0,?,0.993,?,0.44,10.0,6.0
?,?,0.39,?,0.051,?,?,?,?,?,?,?
?,?,?,?,?,?,132.0,0.9914,?,0.49,11.6,6.0
7.2,?,?,?,0.033,37.0,?,?,?,0.71,12.3,?
?,?,0.39,?,0.044,?,?,?,3.2,?,?,6.0
?,0.14,?,?,?,?,47.0,0.9934,?,0.4,10.2,6.0
?,?,?,?,0.05,?,?,?,?,?,10.8,6.0
6.2,?,?,1.5,0.045,43.0,117.0,0.9939,3.42,?,9.0,6.0
?,?,0.2,?,0.044,?,179.0,?,3.37,?,10.2,?
?,?,0.43,?,?,?,123.0,0.9905,3.19,0.42,?,?
?,?,0.23,?,?,?,?,?,3.24,?,?,?
7.0,0.33,?,?,?,?,138.0,?,3.13,0.28,?,?
7.3,?,?,?,?,?,149.0,0.9999,3.21,0.36,?,?
?,0.24,0.39,?,0.057,?,149.0,0.9999,?,0.36,?,?
?,?,?,2.5,?,63.0,?,0.9937,3.11,?,?,6.0
?,?,0.39,?,0.173,63.0,?,0.9937,?,?,?,?
?,0.31,0.26,7.4,?,?,?,?,?,?,9.8,6.0
?,?,0.27,?,?,?,?,0.9934,3.22,0.56,?,6.0
6.7,0.23,?,?,0.06,?,154.0,?,?,0.56,?,6.0
?,?,?,?,?,?,167.0,0.9931,3.16,?,?,7.0
6.2,0.45,0.26,4.4,?,63.0,?,0.994,?,?,9.8,?
6.2,?,?,?,0.066,62.0,?,0.9939,?,0.52,9.8,?
?,?,0.26,?,0.069,28.0,160.0,?,3.13,0.46,?,?
