@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

7.0,?,?,?,?,?,170.0,?,3.0,0.45,?,6.0
6.3,?,?,1.6,0.049,14.0,132.0,?,?,?,9.5,6.0
8.1,0.28,0.4,?,0.05,30.0,?,?,?,0.44,?,6.0
7.2,?,0.32,?,?,?,186.0,?,3.19,0.4,?,?
7.2,?,?,8.5,?,47.0,186.0,?,3.19,?,9.9,?
8.1,?,0.4,6.9,0.05,?,97.0,0.9951,?,0.44,?,6.0
6.2,?,0.16,?,?,?,136.0,?,3.18,0.47,?,6.0
7.0,0.27,0.36,20.7,0.045,?,170.0,?,3.0,0.45,8.8,6.0
?,0.3,0.34,?,0.049,14.0,?,?,3.3,?,9.5,?
?,0.22,?,1.5,0.044,?,?,0.9938,3.22,?,11.0,?
8.1,?,0.41,1.45,0.033,11.0,63.0,0.9908,?,0.56,12.0,5.0
8.6,?,?,4.2,0.035,?,109.0,?,3.14,0.53,9.7,?
?,?,0.37,?,?,?,?,?,?,0.63,?,?
?,0.16,?,1.5,0.044,?,143.0,?,?,?,12.4,?
?,?,0.62,?,?,?,?,1.0002,?,0.67,?,?
6.6,?,?,?,?,?,?,0.9914,?,0.55,?,?
?,0.48,0.04,?,0.046,30.0,99.0,0.9928,3.24,?,9.6,?
?,?,?,?,0.029,?,75.0,?,?,0.39,12.8,8.0
?,?,?,?,0.033,?,?,?,?,?,?,?
6.5,0.31,?,?,0.044,?,?,?,?,?,?,5.0
?,?,0.48,?,?,?,?,?,3.33,0.39,12.8,8.0
6.4,?,?,?,0.038,19.0,?,0.9912,3.17,0.35,11.0,?
6.8,?,?,?,?,?,?,?,3.47,?,10.5,?
?,?,0.14,1.5,?,25.0,168.0,0.9937,3.05,0.51,9.3,?
?,0.27,0.41,1.3,?,?,142.0,0.9951,?,?,?,6.0
?,0.25,?,9.0,?,56.0,?,0.9955,3.25,?,?,?
6.9,?,0.35,?,?,35.0,?,0.993,3.45,?,?,6.0
?,0.28,?,?,0.051,32.0,?,0.9961,3.38,0.53,10.5,?
7.4,?,?,?,?,17.0,132.0,0.9914,?,0.49,?,?
7.2,?,?,2.0,0.033,?,?,?,?,?,12.3,?
?,0.24,0.39,?,?,20.0,?,0.9974,?,?,10.0,6.0
8.3,?,?,?,0.042,?,47.0,0.9934,?,?,?,?
7.4,?,?,?,?,31.0,?,?,?,?,?,6.0
6.2,0.12,?,?,?,?,?,?,?,?,?,6.0
?,0.27,0.2,?,0.044,?,?,0.9962,?,0.37,?,?
?,0.28,0.43,?,?,21.0,?,0.9905,?,0.42,12.8,5.0
?,0.39,0.23,5.4,0.051,25.0,?,?,?,?,?,?
?,0.33,?,1.2,?,?,?,0.9906,3.13,?,?,?
7.3,?,?,?,?,45.0,?,0.9999,3.21,?,?,5.0
?,0.24,0.39,17.95,0.057,45.0,?,?,3.21,?,?,?
?,?,?,?,0.172,63.0,?,?,3.11,?,?,?
?,0.24,?,?,0.173,?,?,?,3.1,0.34,?,?
7.0,?,?,?,?,?,160.0,?,?,?,?,6.0
?,0.24,0.27,1.4,0.057,?,?,0.9934,3.22,?,9.5,6.0
?,?,?,1.4,?,?,?,0.9934,?,?,9.5,?
?,0.18,?,1.4,?,?,?,?,3.16,?,?,7.0
6.2,0.45,?,?,?,?,?,?,?,0.52,?,?
6.2,?,0.25,?,0.066,?,?,?,3.25,0.52,9.8,5.0
7.0,0.31,?,?,?,28.0,160.0,0.9954,?,?,?,6.0
6.9,?,0.35,?,?,32.0,150.0,?,?,?,?,5.0
?,0.19,?,?,0.062,?,?,?,?,0.44,11.7,?
6.6,?,?,1.1,0.068,39.0,124.0,0.9914,3.34,?,?,?
?,?,?,1.1,?,?,?,0.991,?,?,?,?
?,0.18,0.35,1.0,?,?,?,?,3.31,?,10.9,?
6.8,?,?,?,?,?,?,?,?,?,9.1,6.0
?,0.25,0.35,?,?,?,191.0,0.9908,3.13,0.52,11.0,6.0
7.2,0.21,?,?,?,?,?,?,?,?,?,?
6.0,?,0.26,?,?,?,147.0,?,?,0.36,?,6.0
?,0.38,?,?,?,?,?,?,3.11,?,10.2,6.0
?,0.2,?,?,0.038,44.0,?,0.9926,3.36,?,9.9,?
?,0.22,?,4.9,0.092,?,123.0,?,3.03,?,?,6.0
6.0,?,0.26,?,?,?,?,?,?,0.36,?,?
7.0,?,?,?,?,?,151.0,?,3.02,?,10.5,?
6.6,?,?,4.6,?,25.0,?,0.9931,?,?,?,?
7.2,0.24,?,?,?,?,122.0,?,?,0.46,?,?
?,?,0.03,1.2,0.064,?,?,0.9934,3.22,0.54,?,5.0
?,0.26,?,6.4,?,?,124.0,?,?,?,?,?
6.7,0.25,0.13,1.2,0.041,81.0,?,?,3.14,?,?,5.0
6.7,?,?,?,?,30.0,?,?,3.33,?,?,?
?,0.24,?,10.1,0.05,?,105.0,?,?,?,9.5,?
?,?,?,?,0.056,?,?,0.9956,?,?,?,?
?,?,?,4.6,?,?,238.5,0.9958,3.32,?,?,5.0
6.0,0.27,0.28,?,0.063,?,201.0,0.9964,3.69,?,?,?
?,?,0.46,?,0.054,9.0,72.0,?,?,0.49,?,?
?,0.23,?,2.1,0.046,?,?,?,3.33,?,10.7,8.0
?,?,?,10.1,?,?,?,?,?,?,?,5.0
7.1,0.18,0.36,?,0.043,?,?,?,?,0.37,?,?
?,0.32,?,1.3,?,20.0,69.0,?,?,0.65,?,?
7.4,?,?,8.8,0.064,?,?,?,?,?,9.3,?
?,0.54,0.28,?,?,21.0,?,?,?,0.37,?,?
6.8,?,?,1.4,0.053,?,114.0,0.9929,?,0.77,?,?
?,0.2,?,?,?,?,166.0,?,?,?,?,6.0
?,?,0.2,6.1,?,?,164.0,0.9946,?,?,?,?
?,?,?,8.2,0.047,42.0,?,0.9966,?,?,9.5,?
?,?,?,?,?,?,?,?,3.11,?,8.7,?
?,?,0.62,?,?,52.0,152.0,?,3.12,0.46,?,6.0
7.2,0.39,0.63,11.0,?,?,?,?,?,0.44,?,6.0
?,0.25,?,?,0.05,69.0,?,?,?,0.48,9.7,?
7.1,?,?,11.8,?,54.0,?,?,?,?,8.7,?
?,0.44,0.62,?,?,52.0,?,?,?,?,?,?
?,?,0.63,?,?,?,?,?,3.09,0.44,?,6.0
6.1,?,0.43,?,?,?,?,?,3.12,?,?,5.0
?,0.24,0.33,?,0.035,47.0,136.0,?,?,?,?,?
6.9,?,?,1.8,0.034,48.0,?,0.9899,3.25,?,?,?
?,?,?,?,0.04,?,148.0,0.9916,?,?,?,?
