@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

?,?,0.36,?,?,?,170.0,1.001,3.0,?,8.8,?
6.3,0.3,0.34,?,0.049,?,?,0.994,3.3,?,9.5,?
?,?,0.4,6.9,0.05,30.0,?,0.9951,3.26,0.44,10.1,?
7.2,0.23,?,?,0.058,47.0,?,?,?,?,?,6.0
7.2,?,?,?,?,?,186.0,0.9956,3.19,?,?,?
8.1,0.28,?,?,0.05,?,97.0,0.9951,3.26,0.44,?,6.0
?,0.32,0.16,7.0,?,30.0,?,?,3.18,0.47,9.6,6.0
?,0.27,?,20.7,?,?,170.0,?,3.0,?,8.8,6.0
?,?,?,1.6,0.049,?,?,?,3.3,?,?,6.0
8.1,0.22,0.43,1.5,0.044,?,?,0.9938,3.22,0.45,?,6.0
?,?,?,1.45,0.033,11.0,?,?,2.99,0.56,?,5.0
8.6,0.23,0.4,4.2,0.035,?,?,?,?,?,?,?
?,?,?,?,0.04,16.0,?,?,?,?,?,5.0
?,0.16,?,1.5,0.044,48.0,?,0.9912,3.54,?,?,?
?,0.42,?,?,?,?,?,?,?,0.67,9.7,5.0
?,0.17,0.38,?,0.032,?,?,?,?,?,?,?
6.3,0.48,0.04,?,0.046,?,?,0.9928,?,0.36,?,?
?,?,?,1.2,0.029,?,?,0.9892,3.33,0.39,12.8,?
?,?,?,1.1,?,17.0,?,0.9917,3.12,?,11.3,6.0
?,0.31,?,7.5,?,34.0,?,0.9955,3.22,?,9.5,?
?,?,0.48,1.2,0.029,?,75.0,?,3.33,?,12.8,?
?,?,?,?,?,19.0,102.0,0.9912,3.17,?,?,7.0
?,?,0.42,?,0.049,41.0,122.0,?,3.47,?,10.5,8.0
7.6,?,?,?,?,?,?,?,?,0.51,9.3,?
6.6,?,0.41,?,0.052,?,?,0.9951,3.42,0.47,?,?
?,?,?,?,?,?,?,?,3.25,0.5,?,?
?,0.24,?,?,0.052,35.0,?,0.993,3.45,?,?,?
?,?,?,?,?,?,?,0.9961,?,?,?,?
?,0.27,0.48,?,?,?,?,0.9914,3.19,0.49,11.6,?
7.2,?,?,2.0,?,?,114.0,?,3.1,?,12.3,?
?,?,?,?,?,20.0,142.0,?,?,0.53,10.0,?
?,?,?,?,0.042,7.0,?,?,?,?,?,6.0
?,?,0.36,2.05,0.05,31.0,?,0.992,3.19,0.44,10.8,6.0
6.2,?,?,1.5,?,43.0,?,0.9939,3.42,?,?,6.0
5.8,?,?,14.95,0.044,22.0,?,0.9962,?,?,10.2,?
?,?,0.43,?,?,?,?,0.9905,3.19,?,12.8,5.0
6.5,?,0.23,?,0.051,25.0,?,0.9934,?,0.35,10.0,?
7.0,0.33,?,?,?,38.0,?,0.9906,?,0.28,11.2,?
?,0.24,?,17.95,0.057,?,?,?,?,0.36,?,5.0
7.3,?,?,?,0.057,?,?,0.9999,?,?,?,5.0
?,0.23,0.39,?,0.172,?,158.0,?,3.11,?,9.4,6.0
?,?,?,?,?,?,?,0.9937,3.1,0.34,9.4,?
?,?,?,?,0.069,?,160.0,?,3.13,?,9.8,?
6.6,?,0.27,1.4,?,?,152.0,0.9934,3.22,?,?,?
?,0.23,0.26,?,0.06,33.0,?,?,3.24,?,?,?
?,?,0.31,1.4,0.058,38.0,?,?,3.16,?,10.0,?
?,0.45,0.26,4.4,?,?,206.0,?,?,?,9.8,4.0
?,0.46,?,?,0.066,?,207.0,0.9939,?,0.52,9.8,?
?,0.31,?,?,?,?,?,0.9954,3.13,?,9.8,6.0
6.9,0.19,0.35,5.0,?,?,150.0,0.995,?,0.48,?,?
?,?,0.31,1.6,0.062,?,173.0,?,?,0.44,?,?
6.6,0.25,0.29,?,?,?,124.0,0.9914,3.34,?,?,7.0
