@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

?,0.27,0.36,20.7,0.045,?,?,?,?,0.45,?,6.0
?,?,0.34,?,0.049,?,?,0.994,?,?,9.5,6.0
?,?,?,?,?,?,?,?,?,0.44,10.1,6.0
?,0.23,0.32,?,0.058,47.0,186.0,?,3.19,?,?,?
?,0.23,0.32,8.5,?,47.0,186.0,0.9956,?,?,9.9,?
8.1,0.28,0.4,?,?,?,?,0.9951,?,0.44,10.1,6.0
6.2,0.32,0.16,?,0.045,30.0,136.0,?,3.18,0.47,?,?
7.0,?,0.36,20.7,?,?,170.0,1.001,?,0.45,?,6.0
6.3,0.3,0.34,?,0.049,14.0,?,0.994,3.3,0.49,?,6.0
?,0.22,?,1.5,0.044,?,?,0.9938,3.22,0.45,11.0,?
8.1,0.27,?,1.45,0.033,?,63.0,0.9908,2.99,?,12.0,?
8.6,?,?,4.2,0.035,?,109.0,?,?,0.53,9.7,?
?,0.18,0.37,?,0.04,?,75.0,?,?,?,?,?
?,?,?,1.5,?,?,143.0,?,?,?,12.4,?
?,?,?,19.25,?,?,172.0,?,2.98,0.67,9.7,?
?,?,?,1.5,0.032,?,?,0.9914,?,0.55,?,7.0
?,0.48,0.04,1.1,0.046,?,99.0,0.9928,3.24,?,9.6,6.0
6.2,?,0.48,?,?,?,75.0,?,3.33,0.39,12.8,8.0
?,?,0.42,?,?,17.0,171.0,?,3.12,?,11.3,6.0
6.5,?,0.14,7.5,?,34.0,133.0,?,3.22,0.5,9.5,5.0
6.2,0.66,?,?,?,?,75.0,0.9892,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,7.0
6.8,?,0.42,?,0.049,?,122.0,?,3.47,0.48,10.5,8.0
7.6,0.67,?,?,0.074,?,?,0.9937,?,0.51,9.3,?
?,?,0.41,?,0.052,16.0,?,?,?,?,?,?
7.0,0.25,0.32,9.0,?,?,245.0,?,?,0.5,10.4,?
?,?,0.35,1.0,?,35.0,?,0.993,?,?,?,6.0
?,0.28,0.39,?,0.051,?,?,?,?,0.53,?,?
?,?,0.48,?,0.047,17.0,?,0.9914,?,?,11.6,?
7.2,?,0.36,2.0,?,?,?,0.9906,?,?,?,7.0
?,?,0.39,?,?,20.0,142.0,?,3.2,?,?,?
?,?,?,?,?,?,47.0,?,3.47,?,?,6.0
7.4,0.25,0.36,2.05,0.05,?,?,?,?,?,10.8,?
?,?,?,?,?,?,?,?,?,0.51,9.0,?
5.8,?,?,?,?,22.0,?,?,?,?,10.2,5.0
7.3,?,0.43,?,?,21.0,?,?,3.19,0.42,12.8,?
?,?,0.23,?,0.051,?,149.0,?,?,?,?,?
?,?,?,?,?,?,?,?,?,0.28,?,6.0
?,0.24,?,?,?,?,?,0.9999,?,0.36,?,5.0
?,?,0.39,?,?,?,?,?,3.21,?,?,5.0
6.7,0.23,?,2.5,?,?,?,?,3.11,?,?,6.0
?,?,0.39,?,0.173,?,157.0,?,?,0.34,9.4,?
7.0,0.31,?,7.4,0.069,?,?,0.9954,?,0.46,?,6.0
?,0.24,0.27,1.4,?,33.0,?,0.9934,?,?,?,?
6.7,0.23,?,?,?,33.0,?,?,3.24,?,9.5,?
7.4,?,?,?,?,38.0,167.0,?,?,0.53,?,?
?,0.45,?,?,?,?,?,?,?,?,?,?
?,0.46,0.25,?,?,?,207.0,?,?,0.52,?,5.0
?,?,0.26,7.4,?,28.0,160.0,?,?,0.46,9.8,?
6.9,?,0.35,?,?,?,150.0,0.995,3.36,?,?,5.0
7.2,?,?,1.6,?,?,173.0,?,3.35,?,?,?
?,0.25,0.29,1.1,?,39.0,?,0.9914,3.34,?,?,?
?,?,?,1.1,?,?,?,0.991,?,?,?,?
6.4,0.18,?,1.0,?,39.0,?,0.9911,3.31,?,10.9,?
6.8,?,?,?,0.147,?,132.0,0.993,?,?,?,6.0
?,?,0.35,1.3,?,29.0,191.0,?,3.13,?,?,6.0
7.2,0.21,0.34,11.9,0.043,?,213.0,?,?,?,9.6,?
6.0,0.19,?,?,?,50.0,?,0.9972,3.3,?,8.9,?
?,0.38,0.15,?,0.044,25.0,?,0.9931,3.11,?,10.2,6.0
?,?,0.36,?,?,?,?,?,?,?,?,?
6.8,0.22,0.24,?,0.092,30.0,?,0.9951,?,0.46,?,?
6.0,0.19,0.26,12.4,?,50.0,?,?,3.3,?,?,6.0
?,?,?,?,?,?,151.0,0.991,3.02,?,10.5,5.0
?,?,?,4.6,0.044,?,78.0,0.9931,?,0.38,10.2,?
?,?,?,1.4,0.038,?,?,0.9927,3.15,0.46,?,?
6.2,?,?,?,?,29.0,?,?,?,0.54,9.1,5.0
?,?,?,6.4,0.04,27.0,?,0.9903,?,0.49,?,?
?,0.25,?,1.2,?,81.0,?,?,?,?,?,5.0
6.7,0.23,?,2.1,0.046,?,96.0,?,?,0.64,10.7,?
