@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

7.0,?,0.36,20.7,?,?,170.0,1.001,3.0,0.45,?,6.0
6.3,?,0.34,1.6,0.049,14.0,132.0,0.994,?,0.49,?,?
?,?,0.4,?,0.05,30.0,97.0,0.9951,3.26,?,10.1,?
7.2,0.23,0.32,?,0.058,?,186.0,0.9956,?,0.4,9.9,6.0
7.2,0.23,?,8.5,0.058,47.0,186.0,?,?,0.4,9.9,?
8.1,?,?,6.9,?,30.0,97.0,0.9951,?,0.44,10.1,6.0
6.2,0.32,?,?,0.045,?,?,0.9949,?,0.47,9.6,6.0
?,?,?,?,0.045,?,?,?,?,0.45,8.8,6.0
?,0.3,0.34,1.6,0.049,14.0,132.0,0.994,?,0.49,9.5,?
?,?,0.43,?,?,?,?,?,?,?,11.0,6.0
8.1,0.27,?,1.45,?,11.0,?,0.9908,?,0.56,12.0,5.0
?,0.23,0.4,?,0.035,?,?,?,3.14,?,9.7,5.0
7.9,?,?,?,0.04,?,75.0,?,?,?,?,?
6.6,0.16,?,?,?,?,?,0.9912,3.54,?,12.4,?
8.3,0.42,?,?,0.04,?,172.0,1.0002,?,?,?,5.0
6.6,?,0.38,1.5,?,?,112.0,0.9914,?,0.55,11.4,?
6.3,0.48,0.04,?,?,?,?,?,3.24,?,9.6,?
6.2,0.66,?,?,0.029,29.0,?,0.9892,3.33,?,?,?
7.4,?,0.42,1.1,?,17.0,?,?,?,?,?,?
?,?,?,?,?,?,?,?,3.22,0.5,?,?
6.2,?,?,?,0.029,?,?,0.9892,?,0.39,12.8,?
6.4,?,?,?,?,19.0,?,?,?,0.35,?,?
?,0.26,?,1.7,?,41.0,?,?,?,?,10.5,8.0
?,?,0.14,1.5,0.074,?,168.0,0.9937,3.05,?,?,?
?,?,0.41,?,0.052,?,?,?,3.42,?,10.0,?
?,0.25,0.32,9.0,?,?,?,?,?,0.5,?,6.0
?,0.24,0.35,?,0.052,?,146.0,?,?,0.44,10.0,?
?,?,0.39,?,?,32.0,141.0,?,3.38,?,?,?
?,0.27,0.48,1.1,?,?,?,?,3.19,?,?,6.0
7.2,?,?,?,?,?,114.0,?,3.1,?,12.3,7.0
8.5,?,0.39,?,?,20.0,142.0,0.9974,?,0.53,10.0,?
?,0.14,?,?,0.042,?,?,0.9934,?,?,10.2,6.0
7.4,0.25,?,?,0.05,?,?,?,3.19,?,10.8,6.0
?,0.12,?,?,?,43.0,?,?,?,?,?,?
5.8,0.27,0.2,14.95,?,22.0,179.0,?,?,?,10.2,5.0
?,?,?,1.7,?,21.0,?,?,?,?,?,?
?,0.39,0.23,5.4,?,?,?,?,3.24,0.35,10.0,5.0
7.0,?,0.32,1.2,0.053,?,?,?,3.13,0.28,?,6.0
?,?,0.39,?,?,?,?,0.9999,?,0.36,?,?
7.3,?,?,?,?,?,149.0,?,?,?,8.6,5.0
?,?,?,?,?,?,?,0.9937,3.11,?,9.4,6.0
?,0.24,0.39,2.9,?,?,157.0,?,?,?,9.4,6.0
7.0,?,?,?,0.069,?,160.0,?,?,0.46,9.8,6.0
?,?,?,?,?,?,?,0.9934,?,?,9.5,6.0
6.7,?,0.26,?,0.06,?,?,0.9934,?,0.56,?,6.0
?,0.18,?,?,0.058,38.0,?,0.9931,3.16,?,10.0,?
?,?,0.26,?,?,?,?,?,?,?,9.8,?
?,0.46,?,4.4,0.066,?,?,?,?,?,9.8,5.0
7.0,?,?,?,0.069,?,?,0.9954,3.13,?,?,?
6.9,?,0.35,?,?,32.0,150.0,0.995,?,0.48,9.8,5.0
?,0.19,?,1.6,?,?,173.0,0.9917,?,?,11.7,?
6.6,0.25,?,1.1,?,39.0,124.0,0.9914,?,?,?,?
?,?,0.33,?,?,21.0,82.0,0.991,3.32,?,10.9,7.0
6.4,0.18,0.35,?,?,?,?,?,?,?,?,?
6.8,?,0.59,?,?,38.0,?,?,?,?,?,6.0
?,?,?,?,?,?,191.0,?,?,?,?,6.0
7.2,0.21,0.34,?,0.043,?,?,?,?,?,?,?
?,0.19,0.26,?,0.048,50.0,?,?,?,0.36,8.9,?
6.6,0.38,0.15,4.6,?,?,?,0.9931,3.11,0.38,10.2,6.0
?,?,0.36,?,0.038,44.0,111.0,?,?,?,?,?
6.8,?,?,?,?,30.0,?,?,3.03,0.46,8.6,?
?,0.19,?,12.4,?,50.0,147.0,?,?,?,8.9,6.0
?,0.47,?,?,0.035,?,151.0,?,?,?,?,?
?,0.38,0.15,?,?,25.0,?,?,?,?,10.2,6.0
?,?,?,?,?,31.0,122.0,0.9927,?,0.46,?,?
?,?,?,1.2,?,?,?,?,3.22,?,?,?
?,?,0.24,?,?,?,?,?,?,?,?,7.0
6.7,0.25,?,?,?,?,174.0,?,?,?,9.8,?
6.7,?,?,?,0.046,30.0,96.0,?,?,?,10.7,?
?,0.24,0.29,?,?,21.0,105.0,?,3.13,?,?,?
6.2,?,?,7.8,?,48.0,?,?,3.1,?,9.0,?
?,?,?,?,?,?,?,0.9958,?,?,?,5.0
?,?,?,4.8,?,31.0,201.0,?,?,0.71,10.0,?
8.6,?,?,?,?,9.0,72.0,0.9941,?,0.49,?,6.0
?,?,0.31,?,0.046,30.0,?,?,3.33,0.64,?,?
?,?,?,?,0.05,?,105.0,?,3.13,?,?,5.0
?,0.18,?,?,?,31.0,?,0.9898,?,?,12.7,7.0
7.0,?,?,1.3,0.042,20.0,?,0.9912,?,?,?,?
7.4,0.18,?,?,?,26.0,103.0,0.9961,?,0.56,?,?
6.7,?,0.28,?,?,?,?,?,?,0.37,?,5.0
?,0.22,?,1.4,0.053,34.0,?,?,?,0.77,?,6.0
?,0.2,?,16.0,?,?,?,?,?,?,9.2,6.0
7.1,?,0.2,?,?,?,164.0,?,?,0.42,10.0,?
?,0.22,?,?,?,?,?,?,?,?,9.5,6.0
7.1,?,?,11.8,?,?,?,?,?,0.45,8.7,?
7.1,?,?,11.8,0.044,?,152.0,0.9975,3.12,?,?,?
7.2,?,?,11.0,?,55.0,?,?,?,0.44,?,?
