@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

?,0.27,?,?,?,?,?,1.001,?,0.45,?,?
?,?,0.34,?,0.049,14.0,132.0,?,3.3,0.49,9.5,6.0
8.1,?,?,?,?,?,?,0.9951,3.26,0.44,10.1,6.0
7.2,0.23,0.32,?,?,47.0,?,?,?,?,9.9,?
7.2,0.23,0.32,8.5,?,?,?,0.9956,3.19,?,9.9,6.0
8.1,?,0.4,6.9,0.05,30.0,?,0.9951,3.26,0.44,?,?
6.2,?,0.16,7.0,0.045,30.0,?,?,3.18,?,?,6.0
7.0,0.27,?,20.7,0.045,?,170.0,1.001,3.0,0.45,8.8,6.0
6.3,?,?,1.6,?,14.0,?,?,?,?,9.5,?
?,?,?,1.5,0.044,?,129.0,?,3.22,0.45,?,?
8.1,?,?,?,?,11.0,63.0,?,2.99,0.56,?,5.0
8.6,0.23,?,4.2,0.035,17.0,109.0,?,3.14,0.53,9.7,5.0
?,?,0.37,1.2,?,?,?,0.992,?,?,?,?
?,?,?,?,?,48.0,?,?,?,?,?,?
?,0.42,?,?,?,41.0,172.0,?,2.98,0.67,9.7,?
?,?,0.38,1.5,?,?,112.0,?,3.25,0.55,?,7.0
?,0.48,0.04,?,0.046,?,99.0,0.9928,?,?,?,6.0
6.2,0.66,?,?,0.029,?,?,0.9892,3.33,?,?,8.0
7.4,?,0.42,1.1,?,17.0,171.0,?,?,0.53,?,?
6.5,?,?,7.5,?,?,133.0,0.9955,?,?,9.5,?
6.2,0.66,0.48,?,?,29.0,?,0.9892,3.33,?,?,?
6.4,?,?,?,?,?,?,0.9912,3.17,?,?,7.0
6.8,?,?,1.7,?,?,122.0,0.993,?,?,?,8.0
7.6,?,0.14,?,?,?,?,?,3.05,?,?,?
?,?,?,?,0.052,?,142.0,?,?,?,10.0,?
?,?,?,?,?,?,245.0,?,?,0.5,10.4,6.0
6.9,?,?,1.0,?,?,146.0,0.993,3.45,?,?,?
?,0.28,?,8.7,?,32.0,141.0,?,?,?,10.5,6.0
?,0.27,?,?,?,?,132.0,?,?,0.49,?,?
?,0.32,?,2.0,?,?,114.0,0.9906,3.1,0.71,?,?
?,?,?,?,0.044,?,142.0,?,3.2,?,?,6.0
?,?,?,1.1,?,?,?,?,?,?,?,?
7.4,?,0.36,?,0.05,?,?,?,3.19,?,?,?
