@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

?,0.455,0.365,0.095,?,0.2245,0.101,0.15,14
?,?,0.265,0.09,0.2255,?,0.0485,0.07,?
0,?,?,0.135,0.677,0.2565,?,0.21,8
?,0.44,0.365,0.125,0.516,?,?,0.155,?
1,?,0.255,?,?,0.0895,?,?,6
1,0.425,?,0.095,0.3515,0.141,?,?,?
?,?,0.415,0.15,0.7775,0.237,0.1415,0.33,19
0,0.545,?,0.125,0.768,0.294,0.1495,?,15
?,0.475,0.37,0.125,?,0.2165,0.1125,?,8
?,0.55,0.44,?,?,0.3145,0.151,0.32,?
0,?,?,?,?,0.194,?,?,13
2,?,0.35,?,?,0.1675,0.081,?,9
2,0.49,?,0.135,?,?,?,?,10
?,?,0.405,0.145,?,0.2725,?,0.205,?
?,?,0.355,0.1,0.4755,0.1675,0.0805,?,9
?,0.5,?,0.13,0.6645,0.258,?,?,11
?,?,0.28,0.085,0.2905,0.095,?,?,?
?,?,0.34,0.1,0.451,0.188,0.087,0.13,?
?,0.365,?,0.08,0.2555,?,0.043,?,6
2,?,0.32,?,?,0.1705,0.075,0.115,8
2,?,0.28,0.095,0.2455,0.0955,0.062,0.075,?
1,0.38,?,0.1,?,0.08,?,0.085,9
0,0.565,?,?,?,0.4275,?,0.27,11
0,?,?,?,?,?,0.21,0.2,8
?,0.615,?,0.165,?,0.513,0.301,0.305,?
0,?,0.44,0.14,0.9285,?,0.188,?,?
0,?,0.45,?,?,?,?,?,10
2,0.59,?,0.14,?,0.356,?,0.28,11
2,0.605,?,?,0.9365,?,0.219,0.295,?
?,0.575,0.425,0.14,0.8635,0.393,?,0.2,10
?,0.58,0.47,0.165,0.9975,0.3935,?,?,?
?,?,0.56,?,?,?,0.2805,0.46,14
2,?,?,?,?,?,0.3575,0.35,17
?,0.68,?,?,?,0.815,?,0.455,18
