@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

?,?,0.365,0.095,0.514,0.2245,0.101,0.15,14
2,0.35,0.265,0.09,0.2255,0.0995,?,?,6
0,0.53,?,?,0.677,0.2565,0.1415,0.21,8
2,0.44,0.365,0.125,0.516,?,0.114,?,?
?,0.33,0.255,?,?,0.0895,0.0395,0.055,6
?,0.425,0.3,0.095,?,0.141,?,0.12,?
?,0.53,?,?,?,0.237,0.1415,0.33,19
?,0.545,0.425,0.125,?,0.294,?,0.26,?
2,?,0.37,0.125,0.5095,0.2165,0.1125,0.165,8
0,?,0.44,?,0.8945,0.3145,0.151,0.32,18
?,0.525,0.38,0.14,0.6065,?,?,?,13
2,?,?,0.11,?,?,0.081,?,9
2,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,?
?,0.535,?,?,0.6845,?,?,?,?
0,?,0.355,0.1,0.4755,0.1675,?,?,9
?,?,0.4,?,0.6645,0.258,0.133,?,11
?,0.355,?,0.085,0.2905,0.095,0.0395,0.115,?
0,0.44,?,?,0.451,?,?,0.13,9
2,0.365,0.295,?,?,?,0.043,0.1,6
2,0.45,0.32,0.1,?,0.1705,0.075,0.115,?
2,?,0.28,0.095,0.2455,0.0955,?,?,10
?,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,9
0,?,?,?,0.9395,?,0.214,?,?
?,0.55,0.415,0.135,0.7635,?,0.21,0.2,8
0,0.615,?,?,1.1615,0.513,0.301,0.305,9
0,0.56,?,0.14,0.9285,?,0.188,?,?
?,0.58,0.45,0.185,?,0.3945,0.272,0.285,?
?,?,?,0.14,?,0.356,0.234,0.28,11
2,?,0.475,0.18,?,?,?,0.295,14
2,0.575,0.425,0.14,?,?,0.227,0.2,10
2,0.58,?,0.165,0.9975,?,0.242,0.33,?
0,0.68,?,?,1.639,0.6055,0.2805,?,14
2,?,0.525,0.165,?,0.5515,?,0.35,17
?,?,?,0.175,?,0.815,?,?,18
0,0.705,0.55,0.2,1.7095,?,0.4115,0.49,?
2,0.465,?,?,?,0.227,?,?,7
?,0.54,?,0.155,1.217,?,?,?,15
0,0.45,?,0.105,?,0.237,?,?,?
0,0.575,0.445,0.135,0.883,0.381,?,0.26,?
2,0.355,0.29,?,0.3275,?,?,?,8
?,0.45,?,?,0.425,?,0.091,0.115,?
0,?,0.425,?,?,?,?,?,13
1,?,0.175,?,0.07,0.0315,?,?,4
1,?,0.15,0.055,0.042,?,0.015,?,?
1,0.21,?,?,?,?,?,?,?
1,0.39,0.295,?,0.203,0.0875,?,?,6
2,0.47,0.37,0.12,?,0.293,0.227,0.14,8
?,0.46,?,0.12,0.4605,?,0.11,?,6
1,0.325,0.245,0.07,?,0.0755,0.0255,0.045,5
0,0.525,?,?,?,0.3545,0.2135,0.245,8
1,?,0.41,0.12,?,0.2385,0.111,0.19,7
2,0.4,0.32,0.095,0.303,?,?,0.1,6
2,?,?,0.13,?,0.2595,?,0.16,?
?,?,?,0.12,0.4775,?,?,?,9
2,0.405,?,0.1,0.385,0.173,0.0915,?,6
?,0.5,0.4,0.14,0.6615,0.2565,0.1755,?,?
?,?,?,?,?,0.192,?,0.135,7
?,0.47,?,0.135,?,0.2765,?,0.17,7
1,?,0.19,0.06,0.086,?,0.014,0.025,?
?,?,0.4,0.125,0.583,?,0.13,0.175,?
?,0.45,?,0.105,?,0.18,0.1125,?,6
2,0.505,0.405,0.11,?,?,0.16,?,8
0,0.53,0.41,?,0.6965,0.302,0.1935,0.2,9
?,?,?,?,0.3785,0.1705,?,?,?
2,?,0.4,?,0.58,0.234,?,0.185,?
?,0.475,?,0.12,?,0.234,0.1015,0.135,7
0,?,0.44,?,0.915,0.354,0.1935,0.32,?
0,0.595,0.495,?,?,0.416,?,0.485,?
?,0.475,?,0.12,0.5305,0.2135,0.1155,?,9
?,?,?,0.07,0.151,0.063,?,?,5
2,0.555,0.425,0.13,?,0.264,0.168,0.275,12
?,0.4,0.32,0.11,0.353,0.1405,0.0985,?,7
0,0.595,0.475,0.17,1.247,0.48,0.225,?,?
2,0.57,0.48,0.175,?,0.474,?,0.38,?
