@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

2,0.455,0.365,0.095,0.514,0.2245,?,0.15,14
2,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,6
?,?,0.42,?,?,0.2565,0.1415,0.21,?
2,0.44,0.365,0.125,0.516,?,0.114,?,9
1,0.33,0.255,?,?,?,0.0395,0.055,6
?,0.425,?,0.095,0.3515,0.141,?,0.12,7
0,?,0.415,0.15,?,0.237,0.1415,0.33,19
?,?,0.425,0.125,0.768,0.294,0.1495,?,15
2,0.475,0.37,?,0.5095,?,0.1125,0.165,8
0,?,0.44,0.15,0.8945,0.3145,0.151,0.32,18
?,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,13
2,0.43,?,0.11,0.406,0.1675,?,0.135,9
2,?,?,?,?,0.2175,?,?,10
0,?,0.405,?,?,?,?,0.205,9
?,0.47,?,?,0.4755,0.1675,0.0805,?,9
?,?,0.4,0.13,0.6645,?,?,0.24,11
1,0.355,0.28,0.085,?,0.095,?,?,6
?,0.44,?,?,0.451,?,0.087,0.13,9
2,?,0.295,0.08,?,?,?,?,6
2,?,0.32,0.1,0.381,0.1705,?,?,?
?,0.355,0.28,0.095,?,?,?,?,?
?,?,0.275,0.1,0.2255,?,0.049,?,9
0,0.565,0.44,?,0.9395,0.4275,?,0.27,11
0,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,8
0,?,?,?,1.1615,?,0.301,0.305,?
?,?,0.44,?,0.9285,0.3825,0.188,0.3,?
0,0.58,?,0.185,?,0.3945,?,0.285,10
?,0.59,0.445,?,?,0.356,?,?,?
?,0.605,0.475,?,0.9365,?,?,?,?
?,?,0.425,?,?,0.393,0.227,?,10
2,?,0.47,?,0.9975,?,?,?,9
0,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,14
?,?,?,0.165,?,?,0.3575,0.35,17
?,0.68,?,?,1.798,?,0.3925,0.455,18
?,?,0.55,0.2,1.7095,?,?,0.49,12
2,?,0.355,?,0.4795,?,0.124,0.125,?
?,?,0.475,0.155,1.217,0.5305,0.3075,?,15
?,?,0.355,0.105,0.5225,?,0.1165,0.145,7
0,0.575,?,?,?,?,?,0.26,10
?,0.355,0.29,0.09,?,0.134,0.086,?,8
?,?,?,0.105,?,0.1865,0.091,0.115,?
0,?,?,0.135,0.8515,0.362,?,0.27,13
1,0.24,0.175,0.045,?,?,0.0235,0.02,4
?,0.205,?,?,0.042,0.0255,0.015,0.012,4
?,?,0.15,0.05,0.042,?,?,0.015,?
1,?,?,0.095,0.203,0.0875,?,?,?
2,?,0.37,?,0.5795,0.293,?,?,8
0,?,0.375,0.12,0.4605,0.1775,0.11,?,?
1,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,?
0,0.525,?,0.16,?,0.3545,?,?,8
?,0.52,?,0.12,?,?,0.111,0.19,?
2,?,0.32,0.095,0.303,0.1335,0.06,0.1,?
?,0.485,0.36,0.13,?,0.2595,?,?,9
0,?,0.36,0.12,?,0.2105,0.1055,0.15,?
2,0.405,0.31,0.1,?,0.173,0.0915,?,6
0,0.5,?,?,0.6615,?,0.1755,0.22,?
2,?,?,?,?,0.192,?,?,?
?,?,0.385,0.135,0.5895,0.2765,0.12,?,7
1,?,?,0.06,0.086,?,0.014,?,3
?,0.505,?,?,0.583,0.246,0.13,0.175,6
2,?,0.345,0.105,?,0.18,?,0.135,6
?,0.505,?,0.11,0.625,?,?,0.175,8
0,?,0.41,0.13,?,?,0.1935,0.2,9
2,0.425,0.325,?,0.3785,0.1705,?,0.1,6
2,?,?,0.12,?,?,?,0.185,7
2,?,?,?,0.48,0.234,0.1015,?,7
0,0.565,?,0.16,0.915,?,?,?,?
?,0.595,0.495,0.185,1.285,0.416,0.224,0.485,?
0,0.475,0.39,0.12,?,0.2135,?,?,9
?,?,?,0.07,?,?,0.0405,0.045,?
2,0.555,0.425,0.13,?,?,0.168,?,12
?,0.4,?,0.11,?,?,0.0985,?,7
?,?,0.475,?,?,0.48,?,0.425,19
?,?,0.48,0.175,1.185,0.474,0.261,?,10
