@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

2,?,0.365,?,?,?,0.101,0.15,?
2,0.35,0.265,0.09,0.2255,0.0995,?,?,6
?,0.53,?,0.135,0.677,0.2565,0.1415,0.21,?
2,0.44,?,?,0.516,0.2155,?,0.155,9
1,?,0.255,0.08,?,0.0895,0.0395,0.055,6
1,0.425,0.3,?,0.3515,?,0.0775,0.12,7
?,0.53,?,0.15,?,?,0.1415,0.33,19
?,0.545,?,?,0.768,0.294,0.1495,0.26,?
2,0.475,0.37,0.125,?,0.2165,0.1125,0.165,8
0,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,?
0,0.525,0.38,?,?,0.194,?,?,13
?,0.43,?,0.11,0.406,?,0.081,?,9
?,0.49,?,0.135,0.5415,0.2175,0.095,0.19,10
?,?,0.405,0.145,0.6845,0.2725,?,0.205,?
?,0.47,0.355,0.1,?,0.1675,?,0.185,9
?,0.5,0.4,0.13,0.6645,?,0.133,0.24,11
1,0.355,?,?,?,0.095,0.0395,0.115,6
0,?,?,0.1,?,0.188,0.087,0.13,?
2,0.365,?,0.08,0.2555,0.097,0.043,0.1,?
?,0.45,0.32,0.1,0.381,0.1705,?,0.115,?
2,0.355,0.28,?,0.2455,0.0955,?,0.075,?
?,?,?,0.1,0.2255,0.08,0.049,?,9
?,?,?,0.155,0.9395,?,0.214,0.27,?
0,0.55,?,?,0.7635,?,0.21,0.2,8
?,?,?,0.165,?,0.513,0.301,0.305,?
?,?,?,0.14,?,?,0.188,?,?
?,?,0.45,?,?,?,0.272,?,10
?,0.59,?,0.14,?,?,0.234,0.28,11
?,0.605,0.475,0.18,0.9365,?,?,0.295,14
2,?,?,0.14,?,?,0.227,0.2,10
2,?,0.47,0.165,0.9975,0.3935,?,?,9
0,0.68,?,?,?,0.6055,0.2805,0.46,14
?,0.665,0.525,0.165,1.338,0.5515,0.3575,?,?
?,?,0.55,0.175,?,?,0.3925,?,18
?,?,0.55,0.2,?,0.633,?,0.49,12
?,?,?,?,0.4795,?,?,0.125,7
?,?,0.475,0.155,?,0.5305,0.3075,0.34,15
?,0.45,0.355,0.105,0.5225,0.237,0.1165,?,7
0,0.575,?,0.135,0.883,0.381,0.2035,?,?
2,?,0.29,?,?,0.134,0.086,0.09,8
0,0.45,0.335,?,0.425,?,?,?,8
0,?,0.425,?,0.8515,?,?,0.27,?
1,?,0.175,0.045,?,0.0315,0.0235,0.02,4
1,?,0.15,0.055,?,?,?,0.012,?
1,0.21,?,?,?,0.0175,?,?,?
1,?,0.295,0.095,?,?,0.045,?,6
2,?,0.37,0.12,0.5795,0.293,0.227,?,?
0,0.46,?,0.12,0.4605,0.1775,?,?,6
1,?,0.245,?,?,0.0755,?,?,?
0,0.525,0.425,0.16,0.8355,0.3545,?,0.245,8
1,?,0.41,0.12,?,0.2385,0.111,0.19,7
2,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,6
2,0.485,?,?,0.5415,?,0.096,?,9
0,0.47,0.36,?,?,?,0.1055,?,9
?,0.405,0.31,?,0.385,0.173,0.0915,0.11,6
0,0.5,?,?,0.6615,0.2565,0.1755,0.22,7
?,0.445,?,0.12,0.4425,?,0.0955,?,7
?,?,?,0.135,?,0.2765,0.12,0.17,7
1,?,0.19,0.06,?,0.042,?,?,3
?,?,0.4,?,0.583,0.246,0.13,0.175,?
2,?,?,0.105,?,?,?,0.135,?
2,0.505,0.405,0.11,?,?,?,?,?
?,0.53,?,0.13,?,?,?,0.2,9
?,?,?,0.095,0.3785,0.1705,?,0.1,6
?,0.52,?,0.12,?,?,?,?,7
2,0.475,0.355,?,?,0.234,0.1015,?,?
?,?,0.44,0.16,?,0.354,?,?,11
?,?,0.495,?,?,0.416,?,0.485,12
0,0.475,0.39,?,?,0.2135,0.1155,?,?
?,?,0.235,0.07,0.151,0.063,0.0405,0.045,5
?,0.555,0.425,?,?,?,0.168,?,12
0,?,?,0.11,0.353,?,0.0985,0.1,?
?,0.595,0.475,0.17,1.247,0.48,0.225,0.425,19
?,?,0.48,?,1.185,?,?,0.38,10
?,?,0.45,?,?,?,?,?,12
0,0.6,0.475,0.15,1.0075,?,?,0.28,14
2,?,?,?,0.944,0.3625,?,0.315,?
?,0.6,?,0.15,0.922,?,?,0.305,9
0,0.555,?,0.14,0.788,?,0.1595,?,?
?,?,?,0.17,?,0.4695,0.2355,?,13
0,?,?,0.14,0.941,?,?,0.285,?
2,0.62,0.51,?,1.615,?,0.192,0.675,11
?,0.52,0.425,0.165,0.9885,0.396,0.225,?,?
2,0.595,?,0.16,1.3175,0.408,0.234,0.58,20
2,?,0.45,0.14,1.013,0.38,?,?,13
?,0.57,0.465,0.18,?,?,0.2225,?,11
