@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

?,0.455,0.365,?,0.514,0.2245,0.101,?,14
2,0.35,?,0.09,?,?,0.0485,0.07,6
0,0.53,?,?,0.677,0.2565,0.1415,0.21,8
2,?,0.365,?,?,0.2155,0.114,0.155,9
?,0.33,?,0.08,?,0.0895,?,0.055,?
?,0.425,0.3,?,0.3515,0.141,0.0775,0.12,7
?,?,0.415,?,0.7775,0.237,0.1415,0.33,19
0,?,0.425,?,?,?,?,?,15
2,?,0.37,0.125,0.5095,?,0.1125,0.165,8
0,0.55,0.44,0.15,?,0.3145,0.151,0.32,?
0,0.525,?,?,?,?,0.1475,0.21,13
2,0.43,0.35,0.11,?,0.1675,0.081,0.135,9
2,?,?,0.135,0.5415,0.2175,0.095,0.19,10
0,?,?,0.145,0.6845,0.2725,0.171,0.205,9
0,0.47,?,0.1,0.4755,?,0.0805,?,9
2,0.5,0.4,?,0.6645,0.258,?,0.24,11
1,0.355,?,?,?,0.095,?,0.115,6
?,0.44,0.34,?,?,0.188,0.087,0.13,?
?,0.365,?,0.08,0.2555,0.097,?,0.1,6
?,0.45,0.32,?,?,?,0.075,0.115,?
2,0.355,0.28,?,0.2455,?,0.062,0.075,10
1,0.38,?,0.1,?,?,?,0.085,9
0,0.565,0.44,0.155,0.9395,?,0.214,0.27,?
0,?,0.415,0.135,0.7635,0.318,0.21,0.2,?
?,0.615,0.48,0.165,?,0.513,0.301,0.305,9
?,0.56,0.44,?,?,0.3825,0.188,?,?
?,?,0.45,?,?,?,0.272,0.285,?
2,?,?,0.14,0.931,0.356,0.234,0.28,11
2,?,0.475,0.18,0.9365,?,0.219,?,?
