@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

2,0.455,?,0.095,0.514,0.2245,0.101,0.15,14
2,0.35,?,0.09,0.2255,0.0995,?,?,6
0,0.53,0.42,0.135,?,0.2565,0.1415,0.21,8
2,?,0.365,?,?,0.2155,?,0.155,?
?,0.33,0.255,0.08,0.205,0.0895,?,0.055,6
1,0.425,0.3,0.095,?,?,0.0775,?,?
?,0.53,?,0.15,0.7775,0.237,0.1415,0.33,?
?,0.545,?,?,0.768,0.294,?,0.26,15
?,?,0.37,0.125,0.5095,0.2165,0.1125,0.165,8
?,0.55,?,?,0.8945,0.3145,0.151,0.32,18
?,0.525,0.38,0.14,0.6065,0.194,?,?,13
2,0.43,?,0.11,?,0.1675,0.081,0.135,?
?,0.49,0.38,?,?,?,0.095,0.19,10
?,?,0.405,0.145,0.6845,?,?,0.205,9
0,?,?,?,?,0.1675,0.0805,0.185,9
2,?,?,0.13,0.6645,0.258,?,0.24,11
?,0.355,0.28,?,0.2905,0.095,?,0.115,6
?,?,?,?,?,0.188,0.087,0.13,9
?,0.365,?,?,?,0.097,0.043,0.1,?
2,?,0.32,0.1,?,0.1705,0.075,0.115,8
2,?,?,0.095,0.2455,0.0955,0.062,0.075,10
1,?,?,0.1,0.2255,0.08,?,0.085,9
0,0.565,0.44,?,0.9395,?,0.214,?,?
?,0.55,?,0.135,0.7635,?,0.21,?,?
0,?,0.48,?,1.1615,0.513,?,0.305,9
?,0.56,?,0.14,?,?,?,?,?
0,0.58,0.45,0.185,?,?,0.272,?,?
2,0.59,0.445,?,0.931,0.356,0.234,0.28,11
2,0.605,?,0.18,?,0.394,?,0.295,?
?,?,0.425,0.14,0.8635,0.393,0.227,0.2,?
?,0.58,0.47,?,?,?,?,0.33,9
0,?,0.56,?,1.639,?,?,0.46,14
2,0.665,?,?,1.338,0.5515,0.3575,?,17
0,?,0.55,0.175,?,0.815,?,0.455,18
0,0.705,?,?,1.7095,?,0.4115,0.49,?
?,0.465,0.355,0.105,0.4795,?,0.124,?,7
?,0.54,?,0.155,1.217,?,0.3075,0.34,?
?,0.45,0.355,?,0.5225,?,0.1165,?,?
0,0.575,?,0.135,?,?,0.2035,?,?
2,0.355,?,0.09,0.3275,?,0.086,?,8
?,?,?,0.105,?,?,0.091,0.115,?
?,0.55,?,0.135,0.8515,0.362,0.196,0.27,?
1,?,0.175,0.045,0.07,0.0315,0.0235,0.02,?
1,0.205,0.15,?,?,?,0.015,0.012,4
?,?,?,0.05,?,0.0175,0.0125,?,?
?,?,0.295,?,0.203,0.0875,0.045,0.075,6
2,?,0.37,0.12,?,0.293,?,0.14,8
?,?,?,?,0.4605,?,0.11,0.15,6
1,0.325,?,?,?,?,?,?,5
0,?,0.425,?,?,?,?,0.245,8
1,0.52,0.41,0.12,0.595,0.2385,?,0.19,?
2,0.4,0.32,?,?,?,0.06,0.1,6
2,0.485,0.36,0.13,?,0.2595,0.096,?,9
0,?,?,0.12,0.4775,0.2105,?,?,?
?,0.405,0.31,?,0.385,0.173,?,0.11,6
?,0.5,0.4,?,0.6615,?,?,?,7
?,0.445,0.35,0.12,0.4425,?,?,?,?
2,?,?,0.135,?,?,?,0.17,7
1,0.245,?,0.06,0.086,0.042,0.014,0.025,?
?,?,0.4,0.125,0.583,?,?,0.175,6
2,?,0.345,?,0.4115,0.18,?,?,6
2,0.505,?,?,0.625,0.305,0.16,0.175,8
?,0.53,?,?,0.6965,0.302,0.1935,0.2,?
?,?,?,?,0.3785,0.1705,?,0.1,?
?,0.52,0.4,?,0.58,0.234,0.1315,0.185,7
?,?,?,0.12,0.48,?,?,0.135,7
?,0.565,?,?,?,0.354,0.1935,?,?
?,0.595,0.495,0.185,1.285,0.416,?,0.485,?
0,?,?,?,?,0.2135,0.1155,0.17,9
1,?,0.235,0.07,?,?,?,0.045,5
?,0.555,?,0.13,0.7665,0.264,?,0.275,12
?,0.4,0.32,?,?,0.1405,0.0985,0.1,7
?,0.595,?,0.17,?,0.48,0.225,0.425,19
2,?,0.48,?,1.185,0.474,0.261,?,10
0,?,0.45,0.195,1.098,0.481,?,?,12
0,0.6,0.475,0.15,?,?,0.221,0.28,?
2,0.595,0.475,0.14,?,?,0.189,0.315,?
0,?,0.47,0.15,0.922,0.363,0.194,?,9
0,?,0.425,0.14,?,?,0.1595,0.285,10
0,0.615,?,0.17,?,?,0.2355,?,13
?,?,0.445,0.14,0.941,?,0.252,0.285,?
?,0.62,0.51,0.175,1.615,0.5105,?,0.675,11
0,0.52,?,0.165,0.9885,?,0.225,?,15
?,0.595,0.475,0.16,1.3175,?,0.234,?,?
?,?,0.45,0.14,?,0.38,?,?,?
0,0.57,?,0.18,?,0.339,0.2225,?,?
2,?,0.465,?,1.195,0.4825,0.205,?,?
2,?,0.44,0.16,0.8645,0.3305,?,?,9
?,0.46,0.355,0.13,0.517,0.2205,?,?,8
?,0.575,?,0.16,0.9775,0.3135,?,0.33,?
2,0.565,0.425,?,0.8115,?,?,?,?
?,0.555,?,0.15,0.755,?,0.1525,0.26,11
2,0.595,0.465,?,1.115,0.4015,0.254,0.39,12
0,0.625,0.495,?,?,?,?,?,9
2,?,0.56,?,1.494,?,?,0.485,?
?,?,?,0.195,1.606,?,?,0.48,13
2,0.535,?,?,0.725,?,?,?,8
2,0.47,0.375,?,0.523,0.214,0.132,?,7
?,?,0.37,0.13,?,0.201,0.133,0.165,6
0,0.475,0.375,?,?,0.2775,?,0.155,9
1,0.36,0.265,?,?,0.105,0.046,?,6
2,?,0.435,?,0.843,?,0.1915,?,?
2,0.53,0.435,?,?,?,?,0.335,14
?,0.53,0.415,?,0.724,0.3105,?,0.205,9
?,0.605,?,?,?,?,?,0.345,11
0,0.52,?,0.155,0.727,0.291,0.1835,0.235,?
?,0.545,0.43,0.165,0.802,0.2935,?,0.28,?
0,?,0.4,?,?,?,0.1315,?,9
0,0.51,0.39,?,0.6335,?,?,0.2,?
0,0.435,?,?,?,0.136,?,0.13,8
?,0.495,0.395,?,0.5415,?,0.1345,?,?
?,?,?,0.105,0.431,?,0.107,?,8
1,?,?,0.08,?,0.1485,0.0635,0.105,?
2,0.425,0.35,0.105,0.393,0.13,?,?,?
0,?,0.41,0.125,0.6935,0.2975,?,?,?
?,?,?,?,0.5915,?,0.1585,0.18,10
?,?,0.375,0.135,?,?,?,?,10
?,0.44,0.34,?,0.402,?,0.0955,0.165,9
0,?,?,0.15,0.8825,?,0.172,0.31,8
2,?,?,0.085,0.2605,?,0.0595,0.085,?
0,0.47,0.365,0.105,0.4205,?,?,0.14,8
?,?,?,0.085,0.2535,?,?,0.085,6
0,0.515,0.425,?,0.766,0.304,0.1725,0.255,?
2,0.37,0.265,0.075,?,0.09,?,0.07,5
1,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,?
?,0.27,0.195,0.06,0.073,0.0285,?,?,4
1,?,0.275,0.09,?,0.1075,?,0.07,5
1,?,?,?,0.2505,?,?,?,?
?,?,?,0.16,?,0.63,?,?,18
2,0.71,0.54,0.165,1.959,0.7665,?,0.78,?
?,?,0.48,0.165,1.262,?,0.283,?,16
0,0.44,?,0.125,?,0.175,?,0.129,8
0,?,0.26,0.09,?,0.085,?,0.062,?
1,0.35,?,0.095,0.211,?,?,?,?
1,0.265,?,?,?,?,?,0.028,6
