@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

?,0.455,?,0.095,?,0.2245,0.101,?,?
2,0.35,?,?,0.2255,0.0995,?,0.07,?
0,0.53,?,0.135,?,?,?,?,?
?,0.44,?,?,0.516,0.2155,?,0.155,9
1,0.33,0.255,?,0.205,0.0895,?,?,?
?,?,0.3,?,0.3515,?,?,?,7
0,0.53,0.415,0.15,0.7775,0.237,?,?,?
0,?,0.425,?,0.768,0.294,0.1495,?,15
2,0.475,0.37,?,0.5095,?,0.1125,0.165,?
?,?,?,0.15,?,0.3145,?,0.32,18
?,?,0.38,0.14,?,?,0.1475,0.21,?
?,?,?,?,?,?,?,0.135,?
?,0.49,0.38,0.135,?,?,0.095,0.19,10
0,?,?,0.145,?,0.2725,?,0.205,?
?,0.47,0.355,?,?,?,?,0.185,?
?,?,?,0.13,0.6645,?,0.133,?,11
?,?,?,0.085,0.2905,0.095,?,0.115,?
0,?,?,?,0.451,0.188,0.087,?,?
2,0.365,?,?,?,0.097,?,?,?
?,?,?,?,0.381,?,?,0.115,?
?,?,0.28,0.095,?,0.0955,?,0.075,?
?,?,?,0.1,?,?,?,0.085,9
0,?,0.44,?,0.9395,?,?,?,?
?,?,0.415,?,?,0.318,?,?,8
?,?,?,0.165,1.1615,0.513,?,?,?
?,?,0.44,0.14,?,0.3825,?,?,?
?,?,0.45,?,?,?,?,0.285,?
?,?,?,0.14,?,0.356,?,0.28,?
?,?,?,?,?,0.394,0.219,?,?
?,?,?,0.14,0.8635,?,0.227,0.2,?
?,?,?,?,0.9975,?,0.242,0.33,?
0,?,?,0.165,?,?,0.2805,0.46,?
?,0.665,?,?,?,?,?,?,?
0,?,0.55,0.175,?,?,?,0.455,?
0,?,0.55,0.2,?,?,0.4115,?,12
?,?,0.355,0.105,0.4795,?,0.124,?,7
0,?,?,?,1.217,?,?,?,?
0,?,0.355,?,0.5225,?,?,0.145,?
?,?,?,0.135,?,0.381,?,0.26,?
2,?,?,0.09,?,?,?,?,?
?,?,0.335,?,0.425,0.1865,0.091,0.115,8
?,?,?,?,0.8515,0.362,?,?,?
?,?,0.175,?,0.07,0.0315,?,?,4
