@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

2,0.455,?,?,0.514,0.2245,0.101,0.15,14
?,?,?,0.09,0.2255,0.0995,?,?,6
0,0.53,0.42,0.135,?,?,0.1415,0.21,8
2,?,0.365,?,?,0.2155,?,0.155,?
?,0.33,0.255,0.08,0.205,0.0895,?,?,6
1,0.425,0.3,?,?,?,?,?,?
?,0.53,?,0.15,0.7775,0.237,0.1415,0.33,?
?,0.545,?,?,0.768,0.294,?,0.26,?
?,?,?,0.125,0.5095,0.2165,0.1125,0.165,8
?,0.55,?,?,?,0.3145,?,0.32,18
?,0.525,0.38,?,0.6065,?,?,?,?
2,0.43,?,0.11,?,?,0.081,0.135,?
?,0.49,0.38,?,?,?,?,?,10
?,?,?,?,?,?,?,0.205,9
?,?,?,?,?,?,0.0805,0.185,?
2,?,?,0.13,?,?,?,0.24,?
?,0.355,0.28,?,?,?,?,0.115,?
?,?,?,?,?,0.188,0.087,0.13,9
?,?,?,?,?,?,0.043,0.1,?
2,?,?,?,?,?,0.075,?,8
2,?,?,0.095,?,?,0.062,?,10
1,?,?,?,?,0.08,?,?,9
0,0.565,?,?,?,?,?,?,?
?,0.55,?,0.135,0.7635,?,?,?,?
0,?,?,?,1.1615,0.513,?,?,?
?,0.56,?,?,?,?,?,?,?
?,0.58,0.45,0.185,?,?,0.272,?,?
2,?,?,?,0.931,?,?,?,11
2,0.605,?,?,?,?,?,0.295,?
?,?,?,0.14,0.8635,0.393,0.227,?,?
?,0.58,0.47,?,?,?,?,?,9
0,?,0.56,?,1.639,?,?,?,?
2,0.665,?,?,?,0.5515,0.3575,?,?
?,?,0.55,0.175,?,?,?,?,18
?,0.705,?,?,1.7095,?,0.4115,0.49,?
?,0.465,0.355,0.105,0.4795,?,0.124,?,?
?,0.54,?,0.155,1.217,?,0.3075,?,?
?,0.45,0.355,?,?,?,?,?,?
?,0.575,?,0.135,?,?,0.2035,?,?
2,0.355,?,?,0.3275,?,0.086,?,8
?,?,?,?,?,?,0.091,?,?
?,0.55,?,?,0.8515,?,0.196,?,?
?,?,?,0.045,0.07,0.0315,?,0.02,?
1,?,0.15,?,?,?,?,?,4
?,?,?,0.05,?,0.0175,?,?,?
?,?,0.295,?,0.203,0.0875,0.045,0.075,6
2,?,0.37,0.12,?,?,?,?,?
?,?,?,?,?,?,0.11,0.15,?
?,0.325,?,?,?,?,?,?,5
0,?,0.425,?,?,?,?,?,?
1,0.52,0.41,?,0.595,0.2385,?,?,?
?,0.4,?,?,?,?,?,?,?
?,0.485,?,?,?,?,0.096,?,9
?,?,?,0.12,0.4775,0.2105,?,?,?
?,0.405,0.31,?,?,0.173,?,0.11,6
?,0.5,?,?,0.6615,?,?,?,?
?,?,0.35,?,0.4425,?,?,?,?
?,?,?,?,?,?,?,0.17,7
1,0.245,?,?,0.086,0.042,?,0.025,?
?,?,0.4,0.125,0.583,?,?,0.175,6
2,?,0.345,?,0.4115,?,?,?,?
2,?,?,?,0.625,0.305,?,0.175,8
?,?,?,?,?,0.302,0.1935,?,?
?,?,?,?,0.3785,?,?,?,?
?,0.52,?,?,0.58,0.234,0.1315,0.185,7
?,?,?,?,0.48,?,?,?,7
?,0.565,?,?,?,?,0.1935,?,?
?,0.595,0.495,0.185,?,0.416,?,?,?
0,?,?,?,?,?,0.1155,0.17,9
1,?,?,0.07,?,?,?,0.045,5
?,0.555,?,0.13,?,0.264,?,0.275,12
?,0.4,0.32,?,?,0.1405,0.0985,?,7
?,0.595,?,0.17,?,0.48,0.225,?,?
2,?,?,?,?,0.474,?,?,10
?,?,0.45,0.195,1.098,?,?,?,12
0,0.6,?,?,?,?,0.221,0.28,?
?,0.595,0.475,?,?,?,0.189,0.315,?
0,?,?,0.15,0.922,0.363,0.194,?,9
?,?,?,0.14,?,?,?,0.285,10
0,0.615,?,0.17,?,?,0.2355,?,?
?,?,?,?,0.941,?,0.252,0.285,?
?,?,0.51,0.175,1.615,?,?,0.675,?
0,0.52,?,?,0.9885,?,0.225,?,15
?,0.595,0.475,0.16,?,?,0.234,?,?
?,?,0.45,?,?,0.38,?,?,?
0,0.57,?,?,?,0.339,0.2225,?,?
2,?,?,?,1.195,0.4825,0.205,?,?
2,?,0.44,0.16,0.8645,?,?,?,9
?,?,?,?,0.517,0.2205,?,?,?
?,?,?,0.16,0.9775,0.3135,?,0.33,?
2,0.565,0.425,?,0.8115,?,?,?,?
?,0.555,?,0.15,0.755,?,0.1525,0.26,?
2,0.595,0.465,?,1.115,?,?,?,12
?,0.625,0.495,?,?,?,?,?,?
?,?,?,?,1.494,?,?,0.485,?
?,?,?,?,1.606,?,?,0.48,?
2,0.535,?,?,?,?,?,?,8
2,0.47,?,?,0.523,?,0.132,?,7
?,?,0.37,0.13,?,0.201,0.133,?,6
0,0.475,0.375,?,?,?,?,0.155,9
1,0.36,0.265,?,?,0.105,?,?,6
?,?,?,?,?,?,0.1915,?,?
2,0.53,0.435,?,?,?,?,0.335,14
?,0.53,?,?,0.724,0.3105,?,0.205,?
?,0.605,?,?,?,?,?,0.345,11
0,0.52,?,?,0.727,0.291,0.1835,?,?
?,?,?,0.165,0.802,0.2935,?,0.28,?
0,?,?,?,?,?,0.1315,?,9
0,?,0.39,?,?,?,?,0.2,?
