@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

2,?,0.365,0.095,0.514,0.2245,?,0.15,14
2,?,?,0.09,0.2255,?,?,?,6
?,0.53,?,?,0.677,?,0.1415,?,8
?,0.44,0.365,?,0.516,?,0.114,0.155,9
?,?,0.255,?,?,0.0895,?,0.055,?
1,0.425,0.3,0.095,?,?,?,0.12,?
0,0.53,?,?,0.7775,0.237,?,0.33,19
0,0.545,0.425,?,?,0.294,?,?,15
?,?,?,?,0.5095,0.2165,?,0.165,?
0,?,?,0.15,0.8945,0.3145,?,?,?
?,?,?,0.14,?,0.194,?,?,13
?,?,?,0.11,0.406,0.1675,0.081,?,9
?,?,?,?,?,?,0.095,?,10
0,0.535,?,0.145,?,?,?,?,?
?,?,0.355,?,?,?,?,?,?
?,?,0.4,0.13,0.6645,0.258,?,0.24,?
1,0.355,?,0.085,?,?,?,0.115,?
0,0.44,0.34,?,?,?,0.087,0.13,9
?,?,0.295,0.08,0.2555,0.097,0.043,?,6
2,0.45,?,?,0.381,0.1705,0.075,?,?
2,0.355,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,9
?,0.565,?,?,0.9395,0.4275,0.214,0.27,11
?,?,?,0.135,0.7635,?,?,?,8
?,?,?,?,1.1615,?,0.301,0.305,?
?,0.56,0.44,?,?,?,0.188,?,10
?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,0.28,?
?,0.605,0.475,?,?,?,?,?,14
?,?,0.425,?,?,0.393,0.227,?,10
2,?,?,0.165,?,0.3935,?,0.33,9
0,?,?,0.165,?,0.6055,0.2805,?,?
2,?,?,0.165,1.338,?,?,0.35,17
?,0.68,0.55,?,?,0.815,?,0.455,18
?,?,?,?,?,0.633,0.4115,?,?
?,0.465,0.355,0.105,0.4795,?,0.124,?,?
?,?,?,?,?,?,?,0.34,?
?,?,0.355,0.105,0.5225,?,0.1165,?,?
0,0.575,0.445,0.135,?,?,?,0.26,?
?,?,?,0.09,0.3275,?,?,?,?
?,?,?,0.105,?,?,?,0.115,?
?,?,?,0.135,0.8515,0.362,?,0.27,13
?,0.24,0.175,?,?,?,0.0235,?,?
?,0.205,?,0.055,?,0.0255,?,?,?
1,?,0.15,0.05,?,?,?,0.015,3
