@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

?,?,0.365,0.095,0.514,?,0.101,0.15,14
2,0.35,0.265,0.09,0.2255,?,0.0485,?,6
?,?,?,?,0.677,?,0.1415,0.21,8
2,?,0.365,0.125,?,?,0.114,0.155,9
?,?,?,0.08,?,?,0.0395,0.055,6
1,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,7
?,?,0.415,0.15,?,?,0.1415,0.33,?
0,0.545,?,0.125,?,?,0.1495,?,15
?,0.475,0.37,?,?,?,0.1125,0.165,?
0,0.55,0.44,?,?,?,0.151,?,?
0,?,?,?,?,0.194,?,0.21,13
?,?,?,?,0.406,?,0.081,?,9
?,0.49,?,?,?,?,?,?,10
?,0.535,?,0.145,?,0.2725,?,?,?
?,0.47,0.355,?,?,0.1675,?,0.185,9
?,?,?,?,0.6645,?,0.133,0.24,11
?,?,0.28,?,?,0.095,0.0395,?,?
?,?,0.34,?,0.451,0.188,0.087,?,?
?,0.365,?,?,?,?,?,?,6
?,?,?,?,0.381,?,0.075,0.115,8
2,0.355,?,?,0.2455,?,?,?,?
?,0.38,?,?,?,?,?,0.085,?
?,0.565,?,?,?,?,?,?,11
?,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,8
?,?,?,?,?,0.513,?,?,9
0,0.56,0.44,?,?,?,0.188,0.3,10
?,?,0.45,?,0.9955,?,0.272,?,?
?,?,?,?,?,?,0.234,?,11
2,0.605,?,?,?,0.394,?,?,?
?,0.575,?,0.14,0.8635,0.393,?,0.2,10
2,?,?,?,?,0.3935,?,0.33,9
?,0.68,0.56,0.165,?,?,0.2805,0.46,14
2,0.665,0.525,?,?,0.5515,0.3575,?,17
0,?,?,0.175,?,?,0.3925,?,?
?,?,0.55,?,?,?,?,?,?
?,?,?,0.105,?,?,0.124,?,7
?,0.54,?,?,?,?,?,?,15
?,?,0.355,?,?,0.237,?,?,?
?,?,?,0.135,?,0.381,?,?,10
?,0.355,?,?,0.3275,0.134,0.086,0.09,8
?,?,0.335,0.105,0.425,?,0.091,?,?
?,?,?,0.135,0.8515,0.362,0.196,?,?
1,?,?,?,?,?,0.0235,?,4
?,0.205,?,0.055,0.042,0.0255,?,0.012,?
?,?,0.15,?,0.042,0.0175,0.0125,0.015,?
1,?,?,?,?,0.0875,?,?,?
?,?,0.37,0.12,0.5795,?,?,0.14,?
0,0.46,?,0.12,?,?,?,0.15,?
1,?,0.245,0.07,?,?,0.0255,?,?
?,?,0.425,?,?,?,?,0.245,8
