@relation dataset

@attribute sex {F, I, M}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29}


@data

M,?,0.365,0.095,0.514,0.2245,0.101,0.15,?
M,?,0.265,?,0.2255,0.0995,0.0485,0.07,?
F,?,?,?,?,?,?,?,9
M,0.44,0.365,?,0.516,0.2155,0.114,?,10
?,0.33,0.255,0.08,?,0.0895,0.0395,0.055,7
?,0.425,0.3,?,?,0.141,?,0.12,8
?,0.53,0.415,?,?,0.237,?,?,?
F,?,0.425,0.125,0.768,?,0.1495,?,16
M,0.475,?,0.125,?,?,0.1125,0.165,9
?,0.55,?,0.15,?,0.3145,0.151,0.32,?
?,?,?,0.14,0.6065,0.194,?,?,?
M,?,?,?,?,?,0.081,?,?
M,?,0.38,?,?,0.2175,?,?,?
?,0.535,0.405,0.145,?,?,?,?,?
?,0.47,0.355,?,?,0.1675,?,0.185,?
?,?,0.4,?,0.6645,0.258,?,0.24,12
?,?,?,?,?,0.095,?,0.115,?
?,?,0.34,0.1,0.451,0.188,0.087,0.13,10
?,?,0.295,0.08,?,0.097,0.043,0.1,?
M,?,0.32,?,?,0.1705,0.075,?,9
M,?,?,0.095,0.2455,?,0.062,?,?
?,?,?,0.1,?,0.08,?,0.085,10
F,0.565,?,0.155,0.9395,?,0.214,0.27,?
?,0.55,?,?,?,?,?,0.2,9
?,0.615,?,0.165,?,?,0.301,?,10
F,0.56,?,0.14,?,?,?,?,11
?,?,?,?,?,?,?,?,11
?,?,?,?,?,?,?,0.28,?
M,0.605,0.475,?,0.9365,0.394,?,?,15
?,?,?,?,?,?,0.227,?,?
?,?,?,?,?,0.3935,?,?,?
F,0.68,?,0.165,?,0.6055,0.2805,?,15
