@relation dataset

@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute attr_5 real
@attribute attr_6 real
@attribute attr_7 real
@attribute attr_8 real
@attribute attr_9 real
@attribute attr_10 real
@attribute attr_11 real
@attribute attr_12 real
@attribute attr_13 real
@attribute attr_14 real
@attribute attr_15 real
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 real
@attribute attr_19 real
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 real
@attribute attr_41 real
@attribute attr_42 real
@attribute attr_43 real
@attribute attr_44 real
@attribute attr_45 real
@attribute attr_46 real
@attribute attr_47 real
@attribute attr_48 real
@attribute attr_49 real
@attribute attr_50 real
@attribute attr_51 real
@attribute attr_52 real
@attribute attr_53 real
@attribute attr_54 real
@attribute attr_55 real
@attribute attr_56 real
@attribute attr_57 real
@attribute attr_58 real
@attribute attr_59 real
@attribute attr_60 real
@attribute attr_61 real
@attribute attr_62 real
@attribute attr_63 real
@attribute attr_64 real
@attribute attr_65 real
@attribute attr_66 real
@attribute attr_67 real
@attribute attr_68 real
@attribute attr_69 real
@attribute attr_70 real
@attribute attr_71 real


@data

?,92.0,64.0,85.0,123.0,?,70.0,101.0,84.0,78.0,110.0,91.0,?,70.0,?,622.0,?,?,586.0,?,600.0,431.0,618.0,559.0,?,?,474.0,294.0,530.0,529.0,?,463.0,362.0,530.0,330.0,534.0,481.0,?,222.0,380.0,0.230400011,?,0.26880002,0.13440001,0.172800004,?,?,?,0.115200005,?,?,?,0.139200002,0.13440001,?,?,0.225806445,0.290322572,0.354838699,0.258064508,0.322580636,?,0.225806445,0.322580636,?,?,0.354838699,0.258064508,88.07142857,0.190971438,0.288018425
90.0,?,99.0,83.0,?,101.0,?,94.0,88.0,?,91.0,109.0,90.0,70.0,?,?,431.0,?,527.0,479.0,?,435.0,773.0,545.0,642.0,349.0,502.0,328.0,361.0,332.0,?,404.0,378.0,?,?,?,?,?,240.0,412.0,?,?,0.139200002,?,0.129600003,0.18720001,?,0.115200005,?,0.153600007,0.393600017,0.278400004,0.158400014,?,0.290322572,?,0.225806445,?,?,0.225806445,0.322580636,0.225806445,0.225806445,0.322580636,0.322580636,0.258064508,0.387096763,?,92.07142857,?,0.27419354
?,?,?,65.0,79.0,73.0,96.0,62.0,64.0,?,116.0,105.0,73.0,68.0,450.0,?,?,468.0,499.0,395.0,436.0,?,?,?,975.0,309.0,542.0,363.0,374.0,?,403.0,420.0,?,?,433.0,817.0,413.0,859.0,204.0,469.0,?,0.297600001,?,?,?,?,0.139200002,0.292800009,?,0.163200006,?,0.312000006,0.120000005,0.129600003,0.387096763,0.322580636,?,?,0.258064508,0.290322572,0.258064508,0.225806445,?,?,0.322580636,0.225806445,?,0.225806445,?,0.186171434,0.271889393
71.0,?,?,?,?,?,?,?,73.0,?,79.0,?,83.0,78.0,535.0,434.0,?,513.0,484.0,646.0,?,?,713.0,?,481.0,318.0,493.0,?,353.0,413.0,441.0,?,?,?,345.0,?,1157.0,402.0,226.0,410.0,0.110400006,0.129600003,0.278400004,0.124800004,0.115200005,0.091200002,0.465600014,0.100800008,?,0.129600003,0.129600003,0.120000005,?,?,?,0.322580636,0.290322572,0.290322572,?,0.225806445,0.45161289,0.225806445,0.225806445,0.258064508,0.290322572,?,?,?,81.42857143,?,0.278801835
89.0,72.0,82.0,82.0,?,89.0,68.0,?,69.0,?,81.0,92.0,77.0,68.0,428.0,363.0,530.0,?,?,?,458.0,433.0,?,537.0,523.0,?,?,?,?,448.0,337.0,485.0,?,?,345.0,1500.0,472.0,442.0,252.0,?,0.120000005,0.283200026,0.144000009,?,?,?,?,?,?,0.144000009,?,0.259200007,?,?,0.258064508,?,0.290322572,0.322580636,?,?,?,0.290322572,?,0.322580636,0.258064508,0.225806445,0.290322572,0.387096763,?,?,0.28341013
82.0,?,?,65.0,?,?,?,?,?,?,85.0,?,104.0,74.0,490.0,?,?,?,?,?,1357.0,?,?,?,520.0,345.0,?,?,?,?,529.0,409.0,354.0,1296.0,364.0,772.0,?,435.0,?,381.0,0.028800001,0.124800004,0.172800004,0.153600007,0.129600003,0.086400002,?,0.105600007,0.110400006,0.216000006,0.292800009,0.120000005,0.336000025,0.129600003,?,?,?,?,0.290322572,0.225806445,0.354838699,0.258064508,0.225806445,?,?,0.258064508,0.322580636,?,?,?,0.28341013
100.0,72.0,?,53.0,?,119.0,88.0,?,64.0,63.0,?,109.0,?,64.0,405.0,?,648.0,354.0,500.0,578.0,693.0,?,?,457.0,?,352.0,425.0,?,711.0,?,301.0,?,?,605.0,451.0,985.0,394.0,458.0,243.0,352.0,?,0.249600008,0.124800004,?,0.105600007,?,0.542400002,?,0.115200005,?,0.096000001,?,0.263999999,0.148800001,0.290322572,?,?,0.483870953,0.225806445,0.258064508,?,0.290322572,?,?,0.225806445,0.258064508,0.354838699,0.322580636,?,0.188228576,0.301843309
?,?,?,118.0,88.0,102.0,89.0,?,103.0,129.0,?,?,?,108.0,?,499.0,376.0,532.0,728.0,681.0,498.0,?,743.0,341.0,495.0,?,?,1329.0,381.0,231.0,414.0,640.0,579.0,?,?,?,212.0,?,?,462.0,?,0.518400013,?,?,?,?,0.216000006,0.105600007,?,?,0.129600003,0.124800004,0.163200006,?,0.258064508,?,0.516129017,?,0.419354826,0.258064508,?,?,0.193548381,0.419354826,0.258064508,0.258064508,0.290322572,0.45161289,?,?,0.334101373
136.0,104.0,?,92.0,79.0,129.0,?,69.0,120.0,?,126.0,139.0,129.0,?,?,395.0,?,611.0,501.0,476.0,?,392.0,888.0,326.0,387.0,379.0,642.0,282.0,291.0,409.0,519.0,422.0,347.0,370.0,?,?,180.0,261.0,240.0,513.0,?,0.715200007,?,0.988800049,?,0.091200002,0.796800017,?,0.091200002,0.196800008,0.201600015,0.100800008,0.153600007,0.302400023,0.290322572,0.322580636,?,?,?,?,0.516129017,0.322580636,?,0.419354826,0.354838699,0.225806445,0.290322572,?,116.0,?,0.361751141
?,139.0,135.0,106.0,79.0,100.0,?,?,97.0,139.0,101.0,157.0,?,129.0,?,539.0,480.0,?,486.0,418.0,?,671.0,?,284.0,318.0,?,536.0,415.0,400.0,345.0,?,407.0,318.0,354.0,576.0,488.0,145.0,217.0,?,?,0.384000003,0.144000009,?,0.59040004,0.158400014,0.091200002,0.206400007,0.115200005,0.115200005,0.259200007,0.120000005,0.115200005,?,?,?,?,0.677419305,?,0.322580636,?,0.387096763,?,?,?,?,0.258064508,?,0.612903237,?,0.31954287,0.370967731
147.0,?,?,?,78.0,?,96.0,96.0,101.0,?,?,138.0,136.0,101.0,?,404.0,586.0,708.0,932.0,?,565.0,?,?,265.0,346.0,?,?,?,306.0,431.0,?,?,231.0,469.0,346.0,396.0,?,?,?,326.0,0.096000001,0.657600045,0.249600008,?,?,?,0.691200018,?,0.110400006,?,?,?,0.638400018,?,?,0.387096763,0.45161289,0.290322572,?,0.225806445,?,?,?,?,?,?,0.483870953,0.548387051,?,?,?
?,?,?,64.0,80.0,88.0,108.0,76.0,?,?,?,?,137.0,81.0,?,379.0,289.0,346.0,611.0,325.0,1001.0,?,638.0,295.0,?,350.0,490.0,?,286.0,166.0,282.0,531.0,237.0,893.0,?,536.0,159.0,309.0,?,353.0,?,0.950400054,?,1.075200081,?,0.086400002,0.672000051,0.110400006,?,0.72480005,?,?,0.561600029,0.302400023,?,0.580645144,?,0.516129017,0.45161289,?,?,?,?,0.483870953,0.290322572,0.225806445,0.322580636,0.483870953,108.4285714,0.427885742,0.38940091
136.0,?,?,100.0,?,79.0,80.0,79.0,?,148.0,?,?,?,?,372.0,382.0,?,857.0,1407.0,389.0,?,357.0,576.0,312.0,396.0,353.0,513.0,?,?,?,?,1348.0,?,365.0,?,483.0,164.0,286.0,?,?,0.096000001,?,0.921600044,0.638400018,?,0.076800004,?,0.196800008,?,0.235200018,0.302400023,?,0.115200005,0.302400023,?,0.387096763,?,?,?,?,?,0.290322572,?,?,0.548387051,0.322580636,?,?,108.7857143,0.280800014,0.359446992
?,?,165.0,?,?,74.0,?,97.0,102.0,?,?,135.0,127.0,?,447.0,?,589.0,?,528.0,?,572.0,?,500.0,?,433.0,316.0,493.0,?,?,424.0,695.0,444.0,?,484.0,308.0,398.0,160.0,?,181.0,366.0,?,0.652800024,0.705600023,0.139200002,?,?,?,0.091200002,0.081600003,?,?,0.105600007,0.110400006,0.806400061,0.258064508,?,?,?,?,0.225806445,0.516129017,0.258064508,?,?,0.419354826,0.290322572,?,?,114.2857143,0.314400015,0.354838699
139.0,137.0,?,90.0,?,?,?,72.0,100.0,148.0,134.0,120.0,?,?,?,425.0,345.0,710.0,484.0,?,723.0,342.0,?,?,484.0,?,528.0,408.0,288.0,?,620.0,399.0,304.0,644.0,270.0,?,165.0,?,195.0,393.0,0.480000019,?,0.283200026,1.003200054,?,0.081600003,0.302400023,0.096000001,0.086400002,0.192000002,0.172800004,?,0.13440001,0.710400045,0.290322572,?,0.45161289,?,?,0.225806445,0.483870953,0.290322572,0.225806445,0.290322572,0.290322572,?,0.258064508,0.483870953,?,0.341828592,0.354838697
164.0,110.0,158.0,82.0,?,85.0,87.0,?,?,?,?,?,?,100.0,477.0,?,348.0,384.0,596.0,?,?,348.0,470.0,281.0,?,406.0,448.0,313.0,?,190.0,?,517.0,238.0,?,?,375.0,137.0,?,255.0,311.0,?,0.263999999,0.931200027,0.302400023,0.139200002,0.076800004,?,0.129600003,?,?,0.216000006,0.110400006,0.561600029,0.801600039,0.322580636,0.387096763,0.580645144,?,0.290322572,0.290322572,?,0.322580636,?,0.516129017,0.516129017,?,0.322580636,0.548387051,?,0.335657157,?
166.0,87.0,162.0,109.0,?,92.0,107.0,?,93.0,?,?,?,145.0,?,?,?,?,?,517.0,?,?,?,475.0,358.0,?,402.0,490.0,284.0,?,291.0,289.0,474.0,?,?,297.0,382.0,?,?,243.0,?,0.499200016,0.950400054,?,0.120000005,0.163200006,0.052800003,?,?,0.124800004,?,0.59040004,0.110400006,0.124800004,?,?,0.45161289,?,?,0.290322572,0.258064508,0.354838699,0.322580636,0.354838699,0.387096763,0.322580636,0.258064508,0.290322572,?,?,0.288342872,?
161.0,93.0,?,?,96.0,83.0,118.0,98.0,92.0,152.0,116.0,?,?,92.0,?,462.0,433.0,?,?,?,515.0,468.0,?,515.0,306.0,?,?,236.0,369.0,?,?,426.0,284.0,397.0,370.0,742.0,363.0,?,217.0,?,?,?,?,0.820800066,?,0.091200002,0.302400023,?,0.096000001,0.451200008,?,0.110400006,?,?,?,?,?,?,?,?,?,?,?,0.354838699,0.419354826,?,?,?,116.0,?,?
80.0,97.0,?,86.0,97.0,94.0,?,80.0,?,?,?,?,?,91.0,?,?,489.0,339.0,463.0,?,?,363.0,?,390.0,?,?,?,?,212.0,?,253.0,?,263.0,?,283.0,?,243.0,?,219.0,?,0.100800008,0.129600003,0.763200045,1.036800027,?,0.244800016,0.796800017,0.158400014,0.129600003,?,0.484800011,?,?,?,?,?,0.45161289,?,?,?,0.645161271,?,0.322580636,?,0.322580636,?,0.419354826,0.516129017,104.4285714,?,?
180.0,?,?,?,85.0,91.0,83.0,?,?,?,121.0,152.0,135.0,101.0,551.0,544.0,542.0,911.0,507.0,?,1657.0,519.0,656.0,2128.0,?,?,549.0,371.0,439.0,?,?,422.0,982.0,1574.0,?,?,?,295.0,?,414.0,0.513600051,0.547200024,0.739200056,0.916800022,?,?,?,?,?,?,0.926400065,0.081600003,?,0.902400017,0.354838699,0.322580636,0.516129017,0.741935492,?,0.225806445,0.387096763,?,?,0.483870953,0.419354826,?,0.258064508,0.516129017,?,?,0.377880175
?,112.0,146.0,110.0,?,78.0,105.0,?,102.0,163.0,107.0,?,148.0,?,?,398.0,351.0,?,502.0,?,627.0,?,?,?,417.0,?,612.0,?,286.0,205.0,?,425.0,233.0,522.0,285.0,?,163.0,?,?,464.0,0.432000011,0.619200051,?,?,0.700800061,?,?,?,0.100800008,?,0.633600056,0.105600007,?,0.230400011,0.258064508,?,0.45161289,0.548387051,?,0.193548381,0.516129017,?,?,?,0.258064508,?,?,0.387096763,?,?,0.345622107
?,?,173.0,90.0,?,101.0,90.0,87.0,100.0,142.0,99.0,138.0,127.0,81.0,?,?,466.0,559.0,?,323.0,577.0,?,477.0,?,380.0,?,524.0,213.0,?,?,469.0,439.0,222.0,487.0,?,377.0,?,281.0,?,?,?,?,0.216000006,0.595200002,?,?,?,0.340800017,?,0.59040004,0.177600011,?,?,?,?,?,?,0.258064508,?,0.225806445,?,?,?,0.354838699,0.322580636,0.354838699,0.387096763,0.483870953,113.2142857,0.307542874,0.33640552
?,?,154.0,?,89.0,107.0,107.0,?,91.0,148.0,104.0,?,?,?,424.0,?,?,430.0,988.0,?,1178.0,?,?,782.0,281.0,?,506.0,268.0,266.0,?,?,899.0,320.0,1071.0,?,335.0,634.0,177.0,?,?,0.13440001,0.64320004,0.302400023,?,0.244800016,?,0.273600012,?,0.115200005,0.172800004,?,0.096000001,0.172800004,1.003200054,0.387096763,?,?,0.45161289,0.387096763,0.258064508,?,?,?,0.322580636,?,?,0.419354826,?,113.3571429,0.342171443,?
