@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

7.0,0.27,?,?,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6.0,2
?,?,0.34,?,0.049,?,132.0,0.994,3.3,0.49,9.5,?,?
8.1,0.28,?,?,?,?,97.0,0.9951,3.26,0.44,?,6.0,2
7.2,0.23,0.32,?,0.058,?,?,?,?,0.4,9.9,?,2
7.2,?,0.32,?,?,47.0,186.0,0.9956,3.19,0.4,9.9,?,?
8.1,0.28,0.4,6.9,0.05,?,?,0.9951,?,0.44,10.1,6.0,2
6.2,?,0.16,7.0,?,30.0,136.0,0.9949,?,0.47,9.6,6.0,?
?,?,?,20.7,0.045,45.0,?,1.001,3.0,?,8.8,6.0,2
?,0.3,?,1.6,0.049,14.0,132.0,?,3.3,0.49,9.5,?,2
8.1,?,?,?,0.044,28.0,129.0,0.9938,?,0.45,11.0,6.0,?
?,?,0.41,1.45,0.033,11.0,63.0,?,2.99,?,12.0,5.0,2
?,0.23,?,4.2,0.035,?,?,?,3.14,?,?,5.0,2
?,0.18,?,1.2,0.04,?,75.0,0.992,?,0.63,10.8,?,?
6.6,?,?,1.5,?,48.0,?,0.9912,?,0.52,12.4,7.0,?
?,0.42,0.62,?,?,41.0,?,1.0002,?,0.67,?,5.0,2
?,0.17,?,?,0.032,28.0,?,0.9914,?,0.55,?,7.0,2
6.3,?,?,1.1,?,30.0,99.0,0.9928,?,0.36,9.6,6.0,2
?,?,?,1.2,?,29.0,?,0.9892,3.33,0.39,?,8.0,?
7.4,?,0.42,?,0.033,?,?,?,3.12,?,?,6.0,?
?,?,0.14,?,0.044,34.0,133.0,?,?,0.5,9.5,?,2
?,0.66,?,?,0.029,?,75.0,?,3.33,?,?,?,2
6.4,?,0.38,?,0.038,?,102.0,0.9912,?,0.35,11.0,7.0,?
6.8,?,?,?,0.049,41.0,?,0.993,?,0.48,?,?,2
?,?,0.14,?,?,25.0,?,0.9937,?,0.51,9.3,5.0,?
6.6,?,?,?,0.052,?,142.0,?,?,0.47,10.0,?,2
?,?,?,?,?,56.0,245.0,0.9955,?,0.5,10.4,6.0,?
6.9,0.24,?,?,0.052,35.0,?,?,3.45,?,?,?,2
?,0.28,?,8.7,?,32.0,?,0.9961,?,?,10.5,?,?
7.4,0.27,0.48,1.1,?,?,132.0,0.9914,?,0.49,11.6,6.0,2
?,?,?,2.0,0.033,37.0,?,0.9906,3.1,0.71,?,7.0,2
?,?,0.39,10.4,?,?,142.0,?,?,0.53,?,?,?
?,?,0.34,?,0.042,?,?,0.9934,?,?,10.2,?,2
7.4,?,?,?,0.05,31.0,?,?,3.19,0.44,10.8,6.0,?
?,?,?,?,?,43.0,117.0,0.9939,?,0.51,9.0,6.0,?
?,?,?,?,0.044,?,179.0,0.9962,?,0.37,?,?,?
7.3,0.28,0.43,1.7,0.08,?,?,0.9905,?,0.42,?,?,2
?,?,0.23,5.4,?,?,149.0,?,?,0.35,?,5.0,?
?,0.33,0.32,?,0.053,38.0,138.0,?,?,?,11.2,?,?
?,?,?,?,0.057,45.0,?,0.9999,?,?,8.6,?,2
7.3,0.24,0.39,17.95,?,45.0,?,?,?,?,8.6,5.0,?
6.7,?,0.39,?,0.172,?,158.0,?,3.11,?,9.4,?,2
?,0.24,?,2.9,0.173,63.0,?,0.9937,3.1,?,?,?,?
7.0,?,?,7.4,?,28.0,160.0,?,3.13,?,9.8,?,?
6.6,0.24,0.27,?,?,33.0,?,?,?,?,?,6.0,2
?,?,?,1.4,?,33.0,154.0,?,3.24,?,?,6.0,?
7.4,0.18,0.31,1.4,0.058,38.0,?,0.9931,3.16,0.53,?,?,2
?,?,?,?,0.063,?,?,?,3.27,?,9.8,?,2
6.2,?,?,4.4,0.066,?,?,0.9939,3.25,0.52,?,5.0,?
?,?,0.26,7.4,?,28.0,?,?,3.13,0.46,?,?,?
?,0.19,?,5.0,0.067,?,?,?,3.36,?,9.8,5.0,2
?,?,0.31,1.6,0.062,?,?,0.9917,3.35,?,?,6.0,?
?,0.25,0.29,?,0.068,?,124.0,0.9914,3.34,0.58,11.0,?,?
6.2,0.16,?,1.1,?,?,?,0.991,3.32,0.46,?,7.0,2
?,0.18,?,?,?,?,?,?,?,?,10.9,?,?
6.8,0.2,0.59,0.9,?,38.0,?,?,?,0.38,?,?,?
6.9,?,0.35,?,0.039,?,?,0.9908,?,0.52,11.0,6.0,?
?,?,0.34,11.9,0.043,?,?,?,?,0.5,9.6,6.0,?
6.0,0.19,0.26,?,?,?,?,?,?,?,?,6.0,2
?,0.38,0.15,?,0.044,?,?,?,3.11,0.38,?,?,?
?,?,0.36,?,0.038,44.0,111.0,?,3.36,0.34,?,?,?
6.8,0.22,0.24,4.9,?,30.0,123.0,?,?,0.46,?,?,?
?,0.19,0.26,12.4,?,?,?,0.9972,3.3,?,?,6.0,2
7.0,?,?,1.1,?,17.0,151.0,0.991,?,0.34,10.5,?,2
6.6,0.38,?,?,?,25.0,78.0,?,3.11,0.38,10.2,6.0,?
7.2,0.24,?,?,0.038,?,?,0.9927,?,0.46,?,?,2
6.2,?,?,?,0.064,?,120.0,0.9934,3.22,?,9.1,5.0,?
6.4,?,?,?,0.04,?,124.0,0.9903,3.22,0.49,12.6,?,2
?,0.25,?,1.2,?,81.0,174.0,0.992,?,?,?,?,?
?,?,?,2.1,?,30.0,?,0.9926,?,0.64,?,?,?
7.4,0.24,0.29,?,0.05,?,?,?,?,0.35,?,5.0,2
?,0.27,?,7.8,0.056,48.0,244.0,0.9956,3.1,0.51,?,?,2
?,0.3,?,?,0.061,50.5,?,0.9958,?,?,9.5,5.0,2
6.0,0.27,0.28,?,0.063,31.0,201.0,0.9964,3.69,?,?,?,?
8.6,?,?,?,?,9.0,72.0,0.9941,?,0.49,9.1,?,?
6.7,?,0.31,2.1,?,30.0,96.0,0.9926,?,?,10.7,?,?
?,?,0.29,?,?,?,105.0,?,3.13,?,?,?,2
?,?,0.36,1.4,?,31.0,87.0,?,3.26,?,?,7.0,?
?,?,?,?,?,20.0,?,0.9912,?,?,12.0,7.0,?
7.4,0.18,0.3,8.8,?,?,?,?,?,?,9.3,?,?
