@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

7.0,0.27,0.36,?,0.045,?,170.0,?,3.0,0.45,8.8,?,2
6.3,0.3,?,?,?,14.0,132.0,0.994,?,0.49,9.5,6.0,2
?,0.28,?,6.9,0.05,30.0,97.0,0.9951,?,0.44,10.1,?,?
7.2,0.23,0.32,?,0.058,?,186.0,0.9956,3.19,?,9.9,6.0,?
?,0.23,0.32,8.5,?,?,186.0,0.9956,3.19,0.4,?,6.0,2
8.1,?,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,?,2
?,?,0.16,?,0.045,?,?,0.9949,3.18,0.47,?,6.0,?
7.0,?,?,?,?,?,?,?,3.0,0.45,8.8,6.0,2
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,?,?,2
8.1,?,?,1.5,0.044,28.0,?,0.9938,?,0.45,11.0,6.0,?
8.1,?,0.41,?,0.033,?,63.0,0.9908,2.99,?,12.0,5.0,2
8.6,0.23,0.4,4.2,?,17.0,?,?,3.14,?,?,5.0,2
?,0.18,0.37,1.2,?,?,75.0,0.992,?,0.63,10.8,?,2
6.6,0.16,?,1.5,0.044,48.0,143.0,?,3.54,?,?,7.0,?
8.3,0.42,?,?,?,?,?,1.0002,?,0.67,9.7,5.0,2
?,?,0.38,1.5,?,28.0,?,0.9914,?,0.55,11.4,?,?
6.3,0.48,0.04,?,0.046,?,?,0.9928,?,?,9.6,?,?
6.2,0.66,0.48,1.2,?,29.0,75.0,?,3.33,?,12.8,?,2
7.4,0.34,?,?,?,17.0,171.0,0.9917,?,?,11.3,6.0,2
?,0.31,?,7.5,?,34.0,?,?,3.22,?,9.5,5.0,2
?,?,0.48,?,?,29.0,75.0,?,?,?,?,?,2
?,0.31,0.38,2.9,?,19.0,102.0,0.9912,?,0.35,11.0,?,2
6.8,?,0.42,1.7,0.049,?,?,0.993,?,?,10.5,?,2
?,0.67,?,1.5,0.074,25.0,?,0.9937,?,0.51,?,?,2
?,0.27,?,1.3,0.052,16.0,?,0.9951,3.42,0.47,?,6.0,?
?,0.25,0.32,?,?,?,245.0,0.9955,3.25,?,?,6.0,2
6.9,?,0.35,?,?,?,146.0,0.993,3.45,0.44,?,6.0,?
?,?,0.39,?,?,32.0,141.0,0.9961,3.38,?,10.5,?,2
?,?,?,1.1,0.047,17.0,132.0,0.9914,?,0.49,11.6,?,?
?,?,0.36,2.0,?,37.0,?,0.9906,3.1,?,?,7.0,2
8.5,0.24,?,10.4,0.044,20.0,?,?,3.2,?,?,?,2
?,0.14,?,1.1,0.042,?,47.0,?,?,?,?,6.0,2
?,?,0.36,2.05,?,?,100.0,?,?,0.44,?,?,2
6.2,?,0.34,1.5,?,43.0,?,?,3.42,0.51,?,?,?
?,0.27,?,14.95,?,22.0,179.0,0.9962,3.37,0.37,10.2,?,?
7.3,?,0.43,?,?,?,123.0,0.9905,?,0.42,12.8,5.0,2
6.5,?,0.23,5.4,0.051,?,149.0,?,?,?,?,?,?
?,0.33,?,?,?,38.0,?,?,?,0.28,11.2,?,?
7.3,0.24,?,?,0.057,45.0,?,?,?,?,8.6,5.0,2
7.3,?,0.39,17.95,0.057,45.0,149.0,?,3.21,0.36,?,?,?
6.7,?,?,?,0.172,63.0,?,?,3.11,?,?,?,?
?,0.24,?,?,0.173,?,157.0,0.9937,?,0.34,?,6.0,2
?,0.31,?,?,0.069,28.0,160.0,?,?,?,9.8,?,2
?,?,?,1.4,?,33.0,152.0,?,?,0.56,9.5,6.0,2
6.7,?,0.26,?,0.06,?,154.0,0.9934,?,0.56,9.5,6.0,?
?,?,?,1.4,0.058,38.0,167.0,?,?,?,?,?,2
?,0.45,0.26,?,?,63.0,?,0.994,3.27,?,?,?,?
6.2,?,?,?,0.066,?,?,?,?,0.52,9.8,?,2
7.0,0.31,0.26,?,0.069,28.0,160.0,0.9954,?,0.46,9.8,6.0,2
6.9,0.19,0.35,5.0,?,?,?,0.995,3.36,0.48,9.8,5.0,?
7.2,0.19,0.31,?,0.062,31.0,?,?,?,?,?,?,?
6.6,?,?,1.1,0.068,?,?,?,?,?,11.0,?,?
6.2,0.16,0.33,?,0.057,?,82.0,0.991,3.32,0.46,10.9,7.0,2
?,0.18,0.35,?,0.045,?,108.0,?,?,?,?,6.0,?
6.8,?,?,?,0.147,?,132.0,0.993,3.05,0.38,?,6.0,2
6.9,0.25,0.35,?,0.039,?,?,0.9908,3.13,?,11.0,?,?
?,0.21,0.34,?,0.043,?,213.0,0.9962,?,0.5,?,6.0,?
?,?,?,?,?,?,?,0.9972,?,0.36,?,?,?
?,0.38,?,?,0.044,?,78.0,0.9931,?,0.38,10.2,?,2
?,0.2,0.36,?,0.038,44.0,111.0,?,?,0.34,9.9,?,?
?,0.22,?,4.9,?,30.0,?,?,?,0.46,8.6,6.0,?
6.0,?,?,?,0.048,?,147.0,?,?,?,8.9,6.0,?
7.0,?,0.07,?,?,17.0,151.0,?,3.02,?,?,?,?
6.6,?,0.15,?,?,?,?,?,3.11,0.38,?,?,2
?,?,0.27,?,0.038,?,122.0,0.9927,?,0.46,?,?,?
?,0.35,0.03,?,?,?,120.0,?,3.22,?,?,5.0,2
?,0.26,0.24,6.4,?,27.0,?,0.9903,3.22,?,12.6,7.0,2
6.7,0.25,?,1.2,?,81.0,?,?,3.14,0.42,?,?,?
6.7,?,0.31,2.1,?,30.0,?,0.9926,?,0.64,10.7,8.0,2
7.4,0.24,0.29,10.1,0.05,?,?,?,?,0.35,?,5.0,?
