@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

?,?,0.36,?,0.045,45.0,170.0,1.001,3.0,0.45,?,?,2
6.3,?,0.34,1.6,0.049,14.0,132.0,?,?,0.49,9.5,6.0,2
?,?,?,?,0.05,30.0,?,?,3.26,?,10.1,6.0,?
7.2,?,0.32,8.5,?,47.0,186.0,?,?,?,9.9,?,2
?,?,0.32,8.5,?,?,186.0,?,3.19,0.4,?,6.0,2
8.1,?,?,?,0.05,30.0,?,?,3.26,0.44,10.1,?,2
6.2,?,0.16,?,0.045,30.0,?,0.9949,?,0.47,9.6,6.0,?
?,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,?,8.8,6.0,2
?,0.3,?,1.6,?,?,132.0,?,?,?,9.5,?,2
?,?,0.43,1.5,?,?,129.0,0.9938,3.22,?,?,6.0,2
8.1,?,0.41,1.45,0.033,?,?,?,?,0.56,?,?,2
8.6,?,?,4.2,0.035,17.0,?,?,3.14,0.53,9.7,?,2
?,?,0.37,?,?,?,75.0,?,?,?,10.8,?,2
6.6,0.16,?,?,0.044,?,?,?,?,?,?,7.0,?
8.3,?,0.62,?,0.04,41.0,?,?,2.98,0.67,9.7,5.0,2
6.6,0.17,0.38,1.5,0.032,28.0,?,0.9914,?,?,11.4,?,2
6.3,0.48,0.04,1.1,?,?,99.0,?,3.24,0.36,?,?,?
6.2,0.66,0.48,?,0.029,29.0,?,0.9892,3.33,?,?,?,2
?,0.34,?,1.1,0.033,?,171.0,?,?,?,11.3,?,2
?,?,0.14,?,0.044,34.0,?,0.9955,?,?,9.5,?,?
?,?,?,?,?,29.0,75.0,0.9892,3.33,?,12.8,?,2
6.4,?,?,2.9,?,?,102.0,?,3.17,?,11.0,?,2
6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,?,?,2
?,0.67,?,1.5,?,25.0,?,0.9937,3.05,0.51,?,5.0,2
?,0.27,0.41,?,?,16.0,?,?,?,?,?,6.0,?
7.0,?,0.32,9.0,?,56.0,245.0,0.9955,?,?,?,6.0,2
6.9,0.24,0.35,1.0,0.052,35.0,?,?,3.45,?,?,?,?
7.0,?,0.39,?,?,32.0,?,?,3.38,?,10.5,6.0,?
7.4,?,?,?,?,?,?,?,3.19,?,11.6,6.0,2
7.2,?,0.36,?,?,37.0,114.0,?,3.1,0.71,?,?,?
8.5,?,?,?,?,20.0,142.0,?,3.2,0.53,?,?,?
8.3,?,?,?,0.042,?,?,0.9934,?,0.4,10.2,?,2
?,0.25,0.36,2.05,?,31.0,100.0,0.992,?,?,?,6.0,?
6.2,?,0.34,1.5,?,?,117.0,0.9939,?,?,9.0,?,2
5.8,?,?,?,0.044,?,179.0,?,3.37,?,10.2,?,2
?,?,0.43,?,?,21.0,?,0.9905,?,?,?,5.0,?
6.5,0.39,?,5.4,0.051,25.0,?,0.9934,3.24,?,10.0,5.0,?
7.0,?,0.32,?,?,?,?,?,?,?,?,?,?
7.3,?,?,?,?,45.0,?,?,3.21,?,8.6,?,2
7.3,0.24,?,17.95,?,?,?,?,3.21,0.36,8.6,5.0,2
?,0.23,?,?,?,63.0,?,?,?,?,?,?,2
?,0.24,?,2.9,?,?,157.0,0.9937,?,?,?,6.0,2
?,0.31,?,7.4,0.069,28.0,?,0.9954,3.13,0.46,9.8,?,2
6.6,0.24,?,1.4,0.057,33.0,?,0.9934,?,0.56,9.5,6.0,?
?,?,?,1.4,0.06,?,?,0.9934,3.24,?,9.5,6.0,?
?,0.18,0.31,?,0.058,38.0,167.0,0.9931,3.16,0.53,10.0,7.0,?
6.2,?,0.26,?,0.063,?,206.0,0.994,?,0.52,9.8,?,?
?,?,?,4.4,0.066,?,207.0,0.9939,?,0.52,?,?,?
?,?,?,?,?,28.0,160.0,0.9954,?,0.46,?,?,2
