@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

7.0,0.27,?,?,0.045,?,170.0,1.001,3.0,?,?,?,?
?,0.3,0.34,?,0.049,?,132.0,0.994,3.3,0.49,?,6.0,2
8.1,?,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,?,6.0,2
7.2,0.23,0.32,8.5,?,?,?,?,3.19,0.4,?,6.0,2
7.2,?,?,8.5,0.058,?,186.0,0.9956,3.19,?,?,6.0,2
8.1,0.28,0.4,6.9,0.05,?,?,0.9951,3.26,0.44,?,6.0,2
6.2,0.32,?,7.0,?,30.0,136.0,?,3.18,0.47,9.6,6.0,2
?,?,?,20.7,0.045,?,170.0,?,3.0,0.45,8.8,?,2
6.3,0.3,0.34,?,?,14.0,132.0,?,?,?,?,?,?
8.1,0.22,?,1.5,0.044,?,?,?,3.22,0.45,11.0,6.0,2
8.1,0.27,0.41,1.45,0.033,11.0,63.0,?,2.99,?,12.0,?,2
8.6,0.23,0.4,4.2,?,17.0,?,0.9947,3.14,0.53,9.7,5.0,2
7.9,0.18,0.37,?,?,?,?,0.992,3.18,0.63,10.8,?,?
6.6,0.16,0.4,?,?,48.0,?,?,3.54,0.52,12.4,7.0,?
8.3,?,0.62,19.25,?,?,?,?,?,?,9.7,5.0,2
?,?,0.38,1.5,?,28.0,112.0,?,3.25,0.55,?,?,?
6.3,?,0.04,?,0.046,30.0,99.0,?,?,?,9.6,6.0,2
?,0.66,0.48,1.2,?,?,?,0.9892,?,?,?,?,?
7.4,?,?,1.1,?,17.0,?,0.9917,?,0.53,11.3,?,2
?,0.31,0.14,?,0.044,34.0,?,?,?,0.5,9.5,?,?
?,?,0.48,?,?,?,75.0,0.9892,?,0.39,12.8,8.0,?
?,?,0.38,?,0.038,19.0,?,?,3.17,?,11.0,7.0,2
6.8,0.26,0.42,1.7,?,41.0,?,0.993,?,0.48,?,8.0,?
?,?,?,?,0.074,25.0,?,0.9937,?,0.51,?,?,?
6.6,?,?,?,0.052,?,142.0,?,?,0.47,10.0,?,2
7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.9955,?,?,10.4,6.0,2
?,0.24,0.35,1.0,?,35.0,146.0,0.993,3.45,0.44,?,?,2
7.0,0.28,?,8.7,?,?,141.0,?,3.38,?,?,6.0,2
?,?,?,1.1,?,17.0,?,?,3.19,0.49,?,6.0,?
7.2,0.32,0.36,?,?,37.0,?,?,?,?,12.3,7.0,2
?,?,?,?,?,20.0,?,?,?,?,10.0,?,2
8.3,0.14,?,?,0.042,?,?,?,3.47,0.4,?,?,?
7.4,?,0.36,?,?,?,?,?,3.19,?,?,6.0,2
6.2,?,?,?,?,43.0,117.0,?,?,?,9.0,?,2
5.8,0.27,0.2,?,0.044,22.0,179.0,?,?,0.37,10.2,?,?
7.3,0.28,?,1.7,0.08,21.0,123.0,0.9905,?,0.42,?,5.0,?
?,0.39,0.23,5.4,0.051,?,149.0,0.9934,3.24,0.35,10.0,5.0,2
?,0.33,0.32,?,?,38.0,?,?,3.13,?,?,6.0,2
7.3,0.24,0.39,17.95,?,?,?,0.9999,3.21,0.36,?,5.0,2
?,0.24,0.39,?,0.057,?,?,0.9999,?,?,8.6,?,2
6.7,0.23,0.39,?,?,?,158.0,0.9937,?,?,9.4,6.0,?
?,0.24,0.39,?,0.173,63.0,?,0.9937,?,0.34,?,?,2
?,?,0.26,?,0.069,28.0,?,0.9954,3.13,?,?,?,2
?,?,?,1.4,0.057,33.0,152.0,0.9934,3.22,?,9.5,6.0,?
