@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

?,?,0.36,20.7,?,?,170.0,?,?,0.45,?,6.0,2
6.3,0.3,?,1.6,0.049,14.0,132.0,0.994,?,0.49,9.5,?,2
?,0.28,0.4,?,0.05,30.0,?,?,3.26,0.44,10.1,?,2
7.2,0.23,0.32,?,?,47.0,186.0,0.9956,?,0.4,?,6.0,?
7.2,0.23,0.32,8.5,?,47.0,?,0.9956,3.19,0.4,9.9,?,2
8.1,0.28,0.4,?,0.05,30.0,?,0.9951,3.26,?,?,6.0,2
6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,?,9.6,6.0,2
7.0,?,0.36,?,0.045,?,170.0,1.001,?,?,8.8,?,?
6.3,0.3,0.34,1.6,?,?,?,0.994,3.3,?,?,6.0,2
8.1,?,?,1.5,0.044,28.0,129.0,0.9938,3.22,?,?,?,2
8.1,?,?,1.45,?,11.0,63.0,0.9908,2.99,0.56,?,?,2
?,0.23,0.4,?,0.035,17.0,?,0.9947,?,0.53,9.7,?,?
7.9,?,0.37,1.2,?,16.0,75.0,0.992,?,?,10.8,5.0,?
?,0.16,?,1.5,?,?,?,0.9912,3.54,0.52,?,7.0,2
?,0.42,0.62,?,?,41.0,172.0,1.0002,?,0.67,?,5.0,2
?,?,0.38,1.5,0.032,?,112.0,?,?,0.55,11.4,?,2
?,?,0.04,1.1,0.046,?,?,0.9928,?,0.36,?,6.0,?
?,0.66,0.48,?,?,?,?,?,?,?,?,8.0,?
?,0.34,?,?,0.033,?,171.0,?,?,0.53,11.3,?,?
?,?,0.14,?,?,?,133.0,0.9955,3.22,0.5,?,?,2
6.2,?,0.48,?,?,29.0,75.0,0.9892,?,0.39,12.8,?,2
6.4,?,0.38,?,?,?,102.0,0.9912,?,0.35,11.0,?,?
?,0.26,?,1.7,0.049,?,122.0,0.993,?,?,?,8.0,?
?,?,?,1.5,0.074,25.0,?,0.9937,?,?,?,?,?
6.6,?,0.41,?,?,?,?,0.9951,?,0.47,?,6.0,2
7.0,0.25,?,9.0,0.046,?,245.0,?,3.25,0.5,10.4,?,?
6.9,0.24,0.35,?,?,?,146.0,?,?,0.44,?,?,2
7.0,0.28,0.39,8.7,0.051,?,?,0.9961,?,?,?,6.0,?
?,?,0.48,?,0.047,?,132.0,0.9914,3.19,?,11.6,6.0,?
?,0.32,0.36,?,?,37.0,?,?,3.1,?,12.3,7.0,2
8.5,?,0.39,10.4,?,?,?,0.9974,3.2,?,10.0,6.0,2
8.3,?,?,?,0.042,?,47.0,0.9934,3.47,0.4,10.2,?,?
?,?,?,?,0.05,31.0,?,0.992,3.19,0.44,10.8,6.0,2
?,0.12,?,1.5,?,?,117.0,?,?,0.51,9.0,6.0,?
?,0.27,?,?,0.044,22.0,179.0,0.9962,?,0.37,10.2,?,2
7.3,0.28,0.43,1.7,?,21.0,123.0,0.9905,3.19,?,?,?,?
?,0.39,0.23,5.4,0.051,?,?,?,?,0.35,?,5.0,?
?,?,?,?,?,?,?,?,?,?,11.2,6.0,2
7.3,?,?,?,0.057,45.0,?,?,?,0.36,8.6,5.0,2
7.3,?,?,?,?,45.0,149.0,?,?,0.36,8.6,5.0,2
?,0.23,0.39,?,0.172,63.0,158.0,0.9937,?,?,9.4,?,2
6.7,0.24,0.39,?,0.173,63.0,?,?,?,0.34,?,?,?
?,0.31,0.26,?,?,?,?,0.9954,3.13,0.46,9.8,?,2
6.6,?,0.27,?,0.057,?,152.0,?,3.22,0.56,9.5,6.0,2
?,?,0.26,1.4,0.06,?,?,0.9934,?,?,9.5,?,2
7.4,0.18,0.31,1.4,?,?,?,?,3.16,?,10.0,7.0,?
6.2,?,0.26,4.4,?,63.0,?,0.994,3.27,?,9.8,4.0,?
?,0.46,?,?,?,62.0,?,?,?,0.52,?,?,2
7.0,?,0.26,7.4,?,?,?,?,?,?,9.8,?,?
?,0.19,?,5.0,?,?,?,?,?,?,9.8,5.0,?
7.2,0.19,?,1.6,0.062,31.0,?,?,?,?,11.7,?,?
?,0.25,?,1.1,0.068,?,124.0,?,?,0.58,?,7.0,2
6.2,?,?,1.1,0.057,21.0,82.0,?,?,?,10.9,?,?
6.4,0.18,?,1.0,?,?,108.0,0.9911,3.31,?,10.9,6.0,?
?,0.2,?,0.9,0.147,?,132.0,0.993,?,0.38,?,6.0,?
?,?,?,1.3,0.039,29.0,?,0.9908,?,?,11.0,6.0,2
7.2,0.21,0.34,11.9,?,37.0,213.0,?,3.09,0.5,?,6.0,2
6.0,?,?,?,?,?,?,?,3.3,0.36,?,6.0,?
6.6,?,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,?,10.2,6.0,2
?,?,?,?,?,44.0,111.0,0.9926,3.36,0.34,?,6.0,?
?,?,?,?,0.092,?,123.0,?,3.03,0.46,?,?,2
6.0,0.19,0.26,?,0.048,?,?,0.9972,3.3,0.36,8.9,6.0,?
7.0,?,?,1.1,0.035,?,151.0,?,?,0.34,10.5,5.0,?
6.6,?,0.15,?,?,?,78.0,?,3.11,0.38,10.2,?,2
7.2,0.24,0.27,?,?,31.0,?,0.9927,?,?,?,6.0,?
6.2,0.35,0.03,1.2,0.064,?,120.0,?,?,0.54,9.1,5.0,2
6.4,0.26,?,6.4,0.04,?,?,?,3.22,?,12.6,?,?
6.7,0.25,?,1.2,?,81.0,?,?,?,?,?,5.0,?
6.7,?,0.31,2.1,?,?,?,0.9926,?,?,10.7,?,2
?,?,?,?,?,?,105.0,0.9962,3.13,?,9.5,5.0,?
?,?,0.43,7.8,0.056,48.0,?,0.9956,?,0.51,9.0,?,?
6.8,0.3,?,4.6,0.061,?,238.5,?,?,0.6,?,?,?
?,0.27,?,4.8,?,31.0,?,0.9964,?,?,10.0,5.0,?
?,0.23,0.46,?,0.054,?,?,0.9941,2.95,?,9.1,6.0,2
6.7,?,?,?,?,?,96.0,?,3.33,?,10.7,8.0,?
?,0.24,0.29,?,?,21.0,105.0,?,?,0.35,9.5,5.0,2
7.1,?,?,?,?,?,?,0.9898,?,?,12.7,?,?
7.0,0.32,0.34,?,0.042,20.0,69.0,?,3.31,?,?,7.0,?
7.4,0.18,0.3,?,?,?,?,0.9961,?,0.56,9.3,?,?
?,0.54,0.28,5.4,0.06,?,105.0,0.9949,?,?,?,5.0,?
?,0.22,?,?,0.053,34.0,?,?,?,0.77,?,6.0,2
?,?,?,?,?,?,?,0.9985,3.21,?,9.2,?,2
?,?,?,6.1,0.063,47.0,?,?,3.17,0.42,?,5.0,?
?,?,0.3,8.2,0.047,?,207.0,0.9966,?,?,9.5,?,?
?,?,0.61,11.8,?,54.0,155.0,0.9974,?,?,8.7,?,?
7.1,?,?,?,0.044,?,152.0,0.9975,?,?,8.7,?,?
7.2,0.39,?,11.0,0.044,55.0,?,?,3.09,?,8.7,6.0,?
6.8,?,0.31,?,?,69.0,?,?,?,0.48,9.7,6.0,2
7.1,?,?,11.8,0.045,?,?,0.9974,3.11,?,?,?,?
?,?,0.62,?,0.044,52.0,?,?,?,?,8.7,?,2
7.2,?,?,11.0,0.044,?,156.0,0.9974,3.09,?,8.7,6.0,2
?,?,?,?,?,?,243.0,0.9957,3.12,?,9.0,?,?
6.9,0.24,?,?,0.035,?,136.0,?,?,0.4,?,7.0,2
6.9,0.21,?,1.8,?,48.0,136.0,0.9899,3.25,0.41,?,?,?
?,?,?,?,0.04,?,148.0,?,?,?,11.5,?,?
?,0.26,?,?,0.044,62.0,240.0,0.9969,?,0.42,9.2,6.0,?
6.0,0.34,?,15.9,0.046,?,164.0,?,3.14,0.5,?,6.0,2
?,0.265,0.36,1.2,?,?,80.0,?,?,?,11.4,?,?
?,0.36,?,10.5,0.038,?,?,0.9956,?,?,10.1,4.0,?
?,?,0.66,?,0.046,?,?,?,3.14,0.5,?,?,2
?,0.25,0.37,?,?,52.0,192.0,0.9975,?,0.44,?,?,?
?,?,0.32,9.6,?,64.0,162.0,0.9962,?,0.41,9.4,5.0,2
6.0,?,?,12.1,?,55.0,164.0,0.997,?,0.39,9.4,5.0,2
?,0.305,?,?,0.059,?,170.0,?,?,0.46,?,5.0,2
?,?,0.37,13.5,0.06,?,?,?,?,0.44,9.1,5.0,?
?,0.13,?,14.4,?,?,?,?,3.2,?,9.2,6.0,2
?,0.12,0.32,9.6,0.054,64.0,?,?,3.4,?,9.4,?,?
?,0.23,?,16.5,0.04,60.0,171.0,?,3.16,?,?,?,2
?,?,?,16.5,?,60.0,171.0,0.999,?,?,9.1,6.0,2
?,0.33,?,1.3,?,?,187.0,0.9927,3.27,?,10.3,5.0,?
6.5,0.17,0.54,?,?,64.0,163.0,?,?,?,?,?,?
7.2,?,0.46,18.75,?,45.0,?,1.0,?,?,8.9,5.0,?
7.2,?,0.5,13.3,0.056,?,195.0,0.9982,?,?,?,5.0,2
?,?,0.34,?,?,29.0,?,0.9968,?,?,?,5.0,2
?,0.41,0.34,9.2,0.049,29.0,150.0,?,3.22,0.51,9.1,5.0,?
?,0.485,?,1.5,?,8.0,?,0.994,?,0.4,9.7,4.0,?
6.0,0.31,?,?,?,25.0,?,0.9914,3.31,0.44,11.3,?,?
?,?,0.4,1.7,?,?,85.0,0.9911,?,0.42,11.8,?,?
?,?,0.5,13.3,?,68.0,195.0,0.9982,?,0.47,?,?,2
?,?,0.48,13.3,?,?,196.0,0.9982,3.04,0.5,?,?,?
5.9,?,?,?,?,21.0,87.0,?,?,?,10.2,5.0,?
7.8,?,0.32,12.2,?,?,?,0.9984,?,?,8.8,?,?
7.4,?,?,6.85,?,31.0,?,?,?,?,?,5.0,?
?,0.19,?,5.0,?,?,?,?,?,?,?,?,2
?,?,?,?,0.092,?,?,?,3.21,0.36,?,6.0,2
?,?,?,1.1,?,63.0,143.0,?,?,?,11.0,6.0,?
7.4,?,?,7.0,?,?,126.0,0.994,?,0.42,?,5.0,?
6.5,0.24,?,?,0.038,48.0,203.0,0.9958,3.45,?,9.7,7.0,2
6.1,0.3,?,?,?,47.0,179.0,0.9924,?,?,?,7.0,?
?,?,?,?,0.046,46.0,?,0.9924,3.31,0.57,?,?,?
5.7,0.26,0.25,?,?,?,57.0,0.994,?,?,?,?,?
6.5,?,?,7.6,?,48.0,203.0,0.9958,?,0.54,?,7.0,?
?,?,0.4,?,?,?,241.0,?,3.23,?,9.0,5.0,?
6.6,?,0.27,15.8,?,46.0,188.0,?,3.24,?,?,?,2
?,0.27,0.22,8.1,0.034,?,?,0.9961,?,?,?,?,?
?,0.27,0.31,?,0.036,?,?,0.9979,3.26,0.56,9.6,?,?
