@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

7.0,?,0.36,20.7,?,?,170.0,?,3.0,0.45,?,6.0
6.3,?,?,1.6,0.049,14.0,132.0,0.994,3.3,?,9.5,6.0
8.1,0.28,0.4,?,0.05,30.0,97.0,?,3.26,0.44,?,6.0
7.2,?,0.32,8.5,?,?,186.0,?,3.19,0.4,?,6.0
7.2,?,0.32,8.5,?,47.0,186.0,?,3.19,?,9.9,?
8.1,?,0.4,6.9,0.05,?,97.0,0.9951,?,0.44,?,6.0
6.2,?,0.16,7.0,?,?,136.0,?,3.18,0.47,?,6.0
7.0,0.27,0.36,20.7,0.045,?,170.0,?,3.0,0.45,8.8,6.0
?,0.3,0.34,?,0.049,14.0,?,?,3.3,?,9.5,6.0
8.1,0.22,0.43,1.5,0.044,28.0,?,0.9938,3.22,0.45,11.0,?
8.1,?,0.41,1.45,0.033,11.0,63.0,0.9908,?,0.56,12.0,5.0
8.6,?,?,4.2,0.035,?,109.0,?,3.14,0.53,9.7,?
?,?,0.37,?,?,16.0,75.0,?,?,0.63,10.8,?
?,0.16,?,1.5,0.044,48.0,143.0,0.9912,3.54,?,12.4,?
?,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,?,0.67,9.7,?
6.6,?,?,1.5,?,?,?,0.9914,?,0.55,?,7.0
6.3,0.48,0.04,?,0.046,30.0,99.0,0.9928,3.24,?,9.6,?
?,?,0.48,1.2,0.029,?,75.0,?,?,0.39,12.8,8.0
?,?,?,?,0.033,17.0,?,?,3.12,0.53,?,6.0
6.5,0.31,?,?,0.044,?,133.0,0.9955,3.22,?,?,5.0
6.2,?,0.48,1.2,?,?,?,?,3.33,0.39,12.8,8.0
6.4,0.31,0.38,?,0.038,19.0,?,0.9912,3.17,0.35,11.0,?
6.8,0.26,?,1.7,0.049,?,?,?,3.47,0.48,10.5,?
?,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,3.05,0.51,9.3,5.0
?,0.27,0.41,1.3,?,?,142.0,0.9951,?,?,?,6.0
?,0.25,0.32,9.0,0.046,56.0,245.0,0.9955,3.25,?,?,?
6.9,?,0.35,?,0.052,35.0,?,0.993,3.45,0.44,?,6.0
?,0.28,0.39,8.7,0.051,32.0,?,0.9961,3.38,0.53,10.5,?
7.4,?,?,?,0.047,17.0,132.0,0.9914,3.19,0.49,?,6.0
7.2,?,?,2.0,0.033,?,114.0,?,?,0.71,12.3,?
8.5,0.24,0.39,10.4,?,20.0,142.0,0.9974,3.2,?,10.0,6.0
8.3,?,?,?,0.042,?,47.0,0.9934,?,?,?,?
7.4,0.25,0.36,?,?,31.0,100.0,?,3.19,?,?,6.0
6.2,0.12,?,1.5,?,?,117.0,?,3.42,?,?,6.0
?,0.27,0.2,?,0.044,?,179.0,0.9962,?,0.37,?,?
?,0.28,0.43,?,0.08,21.0,?,0.9905,?,0.42,12.8,5.0
6.5,0.39,0.23,5.4,0.051,25.0,?,0.9934,?,0.35,?,?
?,0.33,?,1.2,?,?,?,0.9906,3.13,0.28,?,6.0
7.3,?,?,?,?,45.0,?,0.9999,3.21,?,?,5.0
7.3,0.24,0.39,17.95,0.057,45.0,?,?,3.21,?,8.6,5.0
?,?,0.39,?,0.172,63.0,?,?,3.11,0.36,?,?
?,0.24,?,?,0.173,?,157.0,?,3.1,0.34,?,6.0
7.0,?,0.26,7.4,?,?,160.0,?,?,?,9.8,6.0
?,0.24,0.27,1.4,0.057,33.0,152.0,0.9934,3.22,?,9.5,6.0
?,0.23,0.26,1.4,?,33.0,154.0,0.9934,?,?,9.5,?
?,0.18,?,1.4,?,?,?,?,3.16,?,10.0,7.0
6.2,0.45,0.26,?,0.063,63.0,?,?,?,0.52,?,4.0
6.2,?,0.25,?,0.066,62.0,?,?,3.25,0.52,9.8,5.0
7.0,0.31,?,?,0.069,28.0,160.0,0.9954,?,?,9.8,6.0
6.9,0.19,0.35,?,?,32.0,150.0,?,?,0.48,?,5.0
?,0.19,?,1.6,0.062,?,?,?,?,0.44,11.7,6.0
6.6,?,?,1.1,0.068,39.0,124.0,0.9914,3.34,?,11.0,?
?,0.16,0.33,1.1,?,21.0,?,0.991,?,?,?,?
6.4,0.18,0.35,1.0,0.045,?,108.0,?,3.31,0.35,10.9,?
6.8,?,?,?,?,?,?,?,?,0.38,9.1,6.0
?,0.25,0.35,?,?,29.0,191.0,0.9908,3.13,0.52,11.0,6.0
7.2,0.21,?,?,?,?,?,?,?,0.5,9.6,?
6.0,0.19,0.26,?,?,50.0,147.0,0.9972,?,0.36,?,6.0
6.6,0.38,?,4.6,?,?,?,?,3.11,?,10.2,6.0
?,0.2,0.36,?,0.038,44.0,?,0.9926,3.36,?,9.9,?
?,0.22,?,4.9,0.092,?,123.0,0.9951,3.03,?,8.6,6.0
6.0,?,0.26,?,?,50.0,?,0.9972,?,0.36,?,?
7.0,0.47,?,1.1,0.035,?,151.0,0.991,3.02,?,10.5,?
6.6,0.38,?,4.6,0.044,25.0,78.0,0.9931,?,?,10.2,?
7.2,0.24,?,1.4,0.038,?,122.0,0.9927,3.15,0.46,10.3,?
6.2,?,0.03,1.2,0.064,?,120.0,0.9934,3.22,0.54,9.1,5.0
?,0.26,?,6.4,0.04,?,124.0,?,3.22,?,?,?
6.7,0.25,0.13,1.2,0.041,81.0,174.0,?,3.14,0.42,?,5.0
6.7,?,?,?,?,30.0,?,0.9926,3.33,?,?,?
7.4,0.24,0.29,10.1,0.05,?,105.0,?,3.13,?,9.5,?
6.2,?,0.43,?,0.056,?,?,0.9956,3.1,?,?,?
6.8,0.3,?,4.6,?,?,238.5,0.9958,3.32,0.6,?,5.0
6.0,0.27,0.28,?,0.063,?,201.0,0.9964,3.69,?,?,?
8.6,0.23,0.46,?,0.054,9.0,72.0,?,?,0.49,?,?
?,0.23,0.31,2.1,0.046,30.0,96.0,?,3.33,?,10.7,8.0
7.4,0.24,?,10.1,?,?,?,?,3.13,?,?,5.0
7.1,0.18,0.36,?,0.043,?,?,0.9898,?,0.37,12.7,7.0
?,0.32,0.34,1.3,?,20.0,69.0,0.9912,?,0.65,?,?
7.4,?,?,8.8,0.064,?,?,0.9961,2.94,?,9.3,?
6.7,0.54,0.28,?,?,21.0,105.0,?,?,0.37,9.0,5.0
6.8,0.22,?,1.4,0.053,?,114.0,0.9929,3.39,0.77,?,?
?,0.2,?,16.0,0.05,?,166.0,?,?,?,?,6.0
?,0.34,0.2,6.1,?,47.0,164.0,0.9946,3.17,?,?,?
?,0.22,?,8.2,0.047,42.0,207.0,0.9966,?,?,9.5,?
7.1,0.43,?,?,?,?,155.0,?,3.11,?,8.7,?
7.1,?,0.62,?,?,52.0,152.0,0.9975,3.12,0.46,8.7,6.0
7.2,0.39,0.63,11.0,0.044,55.0,?,?,3.09,0.44,8.7,6.0
?,0.25,0.31,?,0.05,69.0,?,0.9972,?,0.48,9.7,6.0
7.1,?,0.61,11.8,?,54.0,155.0,?,3.11,?,8.7,5.0
?,0.44,0.62,?,?,52.0,?,?,?,?,?,?
?,0.39,0.63,?,?,?,?,?,3.09,0.44,?,6.0
6.1,?,0.43,?,?,65.0,?,0.9957,3.12,0.47,9.0,5.0
?,0.24,0.33,?,0.035,47.0,136.0,0.99,?,0.4,?,?
6.9,?,0.33,1.8,0.034,48.0,?,0.9899,3.25,?,?,?
?,?,0.32,?,0.04,?,148.0,0.9916,3.21,?,?,?
7.1,?,0.29,12.4,?,62.0,?,0.9969,?,?,9.2,?
6.0,0.34,0.66,?,?,26.0,164.0,0.9979,3.14,0.5,8.8,6.0
8.6,0.265,?,1.2,?,?,80.0,0.9913,?,0.36,11.4,?
?,0.36,0.46,10.5,0.038,?,?,0.9956,2.89,0.3,10.1,4.0
6.0,0.34,0.66,15.9,0.046,26.0,164.0,?,3.14,0.5,8.8,6.0
7.4,0.25,0.37,?,?,?,192.0,?,3.0,0.44,?,?
7.1,?,0.32,?,0.054,?,162.0,?,?,0.41,9.4,5.0
6.0,0.21,?,12.1,?,?,?,?,3.34,?,?,?
7.5,0.305,0.4,?,0.059,?,?,?,2.99,0.46,9.0,?
7.4,0.25,0.37,13.5,0.06,?,192.0,?,?,?,9.1,?
7.3,?,0.32,?,0.051,?,109.0,0.9974,?,?,?,6.0
7.1,0.12,?,?,?,64.0,162.0,?,3.4,0.41,9.4,?
7.1,0.23,?,?,0.04,60.0,?,0.999,3.16,0.59,?,6.0
7.1,?,0.35,16.5,?,60.0,?,?,3.16,?,9.1,?
6.9,?,0.28,?,?,37.0,187.0,?,3.27,0.6,10.3,5.0
?,0.17,?,?,0.082,?,?,0.9959,?,?,8.8,6.0
?,0.27,?,18.75,0.052,45.0,255.0,?,3.04,0.52,?,?
7.2,0.31,0.5,?,0.056,68.0,195.0,0.9982,3.01,0.47,?,5.0
6.7,?,0.34,?,0.049,?,?,?,3.22,0.51,?,5.0
?,?,?,9.2,0.049,29.0,?,0.9968,?,?,9.1,?
?,0.485,?,?,0.065,8.0,?,0.994,?,?,?,?
6.0,0.31,?,3.3,0.041,25.0,143.0,0.9914,3.31,0.44,?,?
7.0,0.14,?,?,0.035,?,85.0,0.9911,?,0.42,11.8,6.0
7.2,0.31,?,13.3,0.056,68.0,?,?,3.01,0.47,9.2,5.0
?,?,?,13.3,?,?,196.0,?,3.04,0.5,9.2,5.0
?,?,0.04,?,0.046,21.0,?,?,3.22,0.51,10.2,?
7.8,0.24,0.32,12.2,?,?,138.0,0.9984,3.01,0.54,?,5.0
7.4,?,?,6.85,0.059,?,?,?,?,0.34,?,5.0
6.9,?,0.28,5.0,0.058,?,?,0.9952,3.29,?,9.1,6.0
?,?,?,1.6,?,?,158.0,0.9928,?,0.36,9.8,?
?,?,?,1.1,?,63.0,143.0,0.9912,3.27,0.48,11.0,?
7.4,0.39,0.23,7.0,0.033,?,?,0.994,3.14,0.42,10.5,5.0
6.5,?,0.32,7.6,0.038,48.0,?,0.9958,3.45,0.54,9.7,?
6.1,0.3,?,?,?,?,?,0.9924,?,?,10.9,?
6.1,0.3,?,?,0.046,46.0,184.0,0.9924,3.31,0.57,10.9,6.0
5.7,0.26,0.25,?,0.02,7.0,?,0.994,3.39,0.37,10.6,5.0
6.5,?,0.32,?,0.038,48.0,203.0,0.9958,3.45,0.54,?,7.0
6.5,?,?,13.1,?,59.0,241.0,0.9979,?,?,9.0,5.0
6.6,?,0.27,15.8,?,46.0,188.0,0.9982,3.24,?,?,5.0
?,?,?,8.1,?,?,203.0,0.9961,?,?,?,5.0
6.7,0.27,0.31,?,0.036,44.0,179.0,0.9979,3.26,?,9.6,5.0
?,?,0.4,?,0.027,?,?,?,3.12,0.38,10.7,?
?,0.37,?,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,?,5.0
6.8,0.19,0.36,?,0.035,30.0,96.0,0.9917,?,0.54,10.8,?
?,0.28,?,?,?,?,79.0,?,3.23,0.52,11.8,6.0
?,0.31,?,2.2,0.045,20.0,?,0.9927,3.3,0.43,?,?
?,0.37,0.67,10.5,0.045,49.0,?,0.9975,?,?,8.7,?
7.9,0.21,0.4,?,?,38.0,?,0.992,3.21,?,10.8,6.0
?,?,0.41,4.3,?,24.0,?,0.9947,3.18,0.53,9.7,?
8.1,0.2,?,2.0,?,19.0,87.0,0.9921,3.12,?,11.2,6.0
6.3,0.255,0.37,1.1,?,?,114.0,?,?,?,10.9,6.0
?,0.16,?,1.4,0.044,?,168.0,0.9918,3.28,0.37,10.1,?
?,?,0.14,5.2,?,?,97.0,?,?,?,?,?
6.3,0.34,?,4.6,?,19.0,80.0,?,?,0.58,12.0,?
6.9,0.25,0.3,?,0.054,23.0,?,0.994,2.99,0.38,9.4,6.0
?,0.22,?,8.0,0.043,?,152.0,?,3.12,?,?,7.0
?,0.18,0.46,10.2,0.055,58.0,135.0,?,3.14,?,?,6.0
?,0.25,?,?,?,23.0,116.0,?,2.99,?,9.4,6.0
7.2,?,0.41,1.2,?,?,?,0.9919,?,0.45,10.4,5.0
8.2,?,0.4,?,0.049,12.0,?,0.9966,?,0.84,?,6.0
7.4,0.24,0.42,?,0.066,48.0,198.0,?,?,?,8.9,6.0
7.4,0.24,?,14.0,0.066,?,198.0,?,?,0.42,?,6.0
?,?,0.24,?,0.036,38.0,?,0.9898,3.29,?,12.4,?
?,0.44,0.04,?,?,?,?,?,3.36,?,12.1,8.0
?,0.44,?,1.4,0.036,43.0,119.0,?,3.36,?,?,8.0
6.1,?,0.24,1.5,?,38.0,?,?,3.29,?,?,7.0
?,0.22,?,?,?,27.0,?,0.998,2.98,?,9.1,?
?,?,0.3,4.8,0.049,?,?,0.9932,3.28,0.39,10.6,5.0
?,?,0.42,?,?,48.0,?,?,2.89,?,?,6.0
6.7,?,0.35,13.1,0.05,?,?,0.997,3.15,?,?,?
?,0.23,0.36,13.0,?,72.0,177.0,?,3.16,0.49,?,5.0
8.4,?,0.46,8.7,?,39.0,?,?,?,0.59,?,6.0
?,0.46,0.18,2.4,0.034,25.0,98.0,0.9896,3.08,0.44,12.6,?
7.5,0.29,?,?,0.055,?,?,0.9968,?,0.54,9.3,?
9.8,?,0.48,?,0.034,?,?,?,2.87,0.29,?,?
7.1,?,0.46,1.5,0.066,?,133.0,?,?,?,?,?
?,0.19,0.45,?,?,17.0,96.0,0.9917,3.13,?,?,?
?,0.48,0.37,?,?,?,100.0,?,?,0.39,11.4,4.0
6.3,0.22,0.43,4.55,0.038,?,?,?,3.35,0.33,11.5,7.0
?,?,?,17.7,?,33.0,?,0.999,3.09,0.64,?,5.0
6.9,0.23,?,?,?,50.0,?,0.9927,?,0.27,11.4,6.0
