@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data

?,0.27,?,20.7,?,?,170.0,1.001,?,0.45,?,?
?,?,0.34,1.6,0.049,14.0,132.0,?,3.3,0.49,9.5,6.0
8.1,?,0.4,6.9,?,30.0,?,0.9951,3.26,0.44,10.1,6.0
7.2,0.23,0.32,?,?,47.0,?,?,?,0.4,9.9,?
7.2,0.23,0.32,8.5,0.058,47.0,?,0.9956,3.19,?,9.9,6.0
8.1,?,0.4,6.9,0.05,30.0,?,0.9951,3.26,0.44,10.1,?
6.2,?,0.16,7.0,0.045,30.0,?,0.9949,3.18,0.47,?,6.0
7.0,0.27,?,20.7,0.045,?,170.0,1.001,3.0,0.45,8.8,6.0
6.3,?,?,1.6,?,14.0,?,?,3.3,?,9.5,?
?,?,?,1.5,0.044,?,129.0,?,3.22,0.45,?,?
8.1,?,?,?,?,11.0,63.0,?,2.99,0.56,?,5.0
8.6,0.23,0.4,4.2,0.035,17.0,109.0,?,3.14,0.53,9.7,5.0
7.9,?,0.37,1.2,?,16.0,75.0,0.992,?,?,?,5.0
6.6,?,?,?,?,48.0,143.0,0.9912,3.54,?,?,?
8.3,0.42,0.62,19.25,0.04,41.0,172.0,?,2.98,0.67,9.7,?
?,?,0.38,1.5,?,?,112.0,0.9914,3.25,0.55,11.4,7.0
?,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,?,?,?,6.0
6.2,0.66,?,1.2,0.029,?,75.0,0.9892,3.33,0.39,?,8.0
7.4,0.34,0.42,1.1,?,17.0,171.0,?,?,0.53,11.3,6.0
6.5,0.31,?,7.5,?,?,133.0,0.9955,?,?,9.5,5.0
6.2,0.66,0.48,?,?,29.0,?,0.9892,3.33,0.39,?,?
6.4,?,?,?,?,19.0,102.0,0.9912,3.17,?,?,7.0
6.8,?,?,1.7,?,41.0,122.0,0.993,3.47,?,?,8.0
7.6,?,0.14,?,?,?,?,?,3.05,0.51,9.3,?
?,?,?,?,0.052,16.0,142.0,?,?,0.47,10.0,6.0
?,?,?,?,?,56.0,245.0,?,3.25,0.5,10.4,6.0
6.9,0.24,?,1.0,?,35.0,146.0,0.993,3.45,?,?,?
?,0.28,?,8.7,?,32.0,141.0,0.9961,?,0.53,10.5,6.0
?,0.27,?,?,0.047,?,132.0,?,?,0.49,?,?
?,0.32,?,2.0,?,?,114.0,0.9906,3.1,0.71,?,7.0
?,0.24,?,10.4,0.044,20.0,142.0,?,3.2,?,?,6.0
?,?,?,1.1,0.042,?,?,?,3.47,?,10.2,6.0
7.4,?,0.36,2.05,0.05,?,?,?,3.19,?,?,?
6.2,0.12,0.34,1.5,0.045,43.0,117.0,?,?,0.51,?,6.0
?,0.27,?,14.95,?,22.0,179.0,?,3.37,?,?,?
?,0.28,0.43,1.7,0.08,?,123.0,0.9905,3.19,0.42,12.8,?
6.5,?,0.23,5.4,0.051,?,149.0,0.9934,?,?,10.0,?
7.0,0.33,0.32,?,?,38.0,138.0,?,3.13,0.28,?,?
7.3,0.24,0.39,17.95,?,?,149.0,?,3.21,?,?,5.0
7.3,?,0.39,17.95,0.057,45.0,149.0,?,?,?,?,5.0
?,?,0.39,2.5,0.172,?,?,0.9937,3.11,0.36,9.4,6.0
6.7,0.24,0.39,?,0.173,63.0,157.0,0.9937,?,?,9.4,?
?,0.31,?,7.4,?,28.0,160.0,0.9954,3.13,?,?,6.0
6.6,0.24,?,1.4,?,33.0,?,?,?,?,9.5,6.0
6.7,?,?,?,?,33.0,154.0,0.9934,?,0.56,9.5,6.0
?,0.18,0.31,?,0.058,38.0,167.0,?,3.16,0.53,10.0,7.0
6.2,0.45,0.26,4.4,0.063,63.0,?,0.994,3.27,?,9.8,4.0
?,0.46,?,4.4,0.066,62.0,207.0,?,3.25,?,9.8,5.0
?,0.31,0.26,7.4,0.069,28.0,?,0.9954,3.13,0.46,9.8,?
6.9,?,0.35,5.0,?,?,150.0,0.995,3.36,0.48,9.8,?
?,0.19,0.31,?,?,31.0,?,0.9917,?,?,11.7,?
6.6,0.25,?,1.1,0.068,39.0,?,?,3.34,0.58,?,?
?,0.16,0.33,1.1,?,21.0,82.0,0.991,3.32,0.46,10.9,?
6.4,0.18,?,1.0,?,?,?,0.9911,3.31,0.35,10.9,?
6.8,0.2,0.59,0.9,0.147,?,?,0.993,3.05,0.38,9.1,?
6.9,?,?,?,0.039,29.0,?,0.9908,?,0.52,11.0,?
7.2,?,0.34,11.9,0.043,37.0,213.0,0.9962,?,0.5,?,6.0
6.0,0.19,0.26,12.4,?,?,147.0,0.9972,3.3,0.36,?,6.0
?,0.38,0.15,?,?,25.0,78.0,0.9931,3.11,0.38,?,6.0
7.4,0.2,0.36,1.2,?,44.0,111.0,0.9926,3.36,0.34,9.9,6.0
?,?,?,?,0.092,30.0,123.0,?,3.03,0.46,?,6.0
6.0,0.19,0.26,?,?,50.0,147.0,0.9972,3.3,0.36,8.9,6.0
?,?,0.07,1.1,0.035,17.0,?,?,3.02,0.34,?,?
6.6,0.38,0.15,4.6,?,25.0,78.0,0.9931,3.11,?,10.2,?
?,0.24,?,1.4,0.038,31.0,122.0,0.9927,3.15,0.46,10.3,?
6.2,?,0.03,1.2,?,?,120.0,0.9934,3.22,?,?,?
6.4,?,?,?,0.04,?,124.0,0.9903,?,?,?,7.0
6.7,?,0.13,1.2,0.041,?,174.0,?,3.14,?,9.8,?
6.7,?,?,2.1,?,?,?,?,3.33,0.64,10.7,8.0
?,?,0.29,10.1,0.05,?,?,0.9962,3.13,?,9.5,5.0
?,?,0.43,?,?,?,244.0,?,?,?,?,6.0
6.8,?,?,?,0.061,50.5,238.5,?,3.32,?,9.5,5.0
?,?,0.28,4.8,0.063,31.0,?,0.9964,?,0.71,10.0,5.0
8.6,0.23,?,?,?,?,72.0,0.9941,2.95,0.49,9.1,?
?,?,0.31,2.1,?,?,?,?,?,0.64,10.7,?
7.4,0.24,0.29,10.1,0.05,21.0,105.0,?,3.13,0.35,9.5,?
?,0.18,?,?,0.043,31.0,87.0,0.9898,?,0.37,12.7,7.0
7.0,0.32,?,?,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,?
7.4,?,?,?,?,26.0,103.0,?,2.94,?,9.3,5.0
?,0.54,0.28,?,0.06,21.0,?,0.9949,3.27,?,9.0,5.0
6.8,0.22,?,?,0.053,34.0,?,?,3.39,0.77,10.6,?
?,?,?,?,?,?,?,0.9985,?,0.6,9.2,6.0
7.1,0.34,?,6.1,?,47.0,164.0,?,3.17,?,10.0,5.0
7.3,0.22,0.3,?,?,42.0,?,0.9966,?,0.46,?,?
7.1,0.43,0.61,?,0.045,54.0,155.0,?,3.11,?,8.7,5.0
7.1,?,0.62,11.8,?,52.0,?,0.9975,3.12,?,?,6.0
7.2,0.39,?,11.0,?,55.0,?,?,3.09,?,?,6.0
?,0.25,0.31,?,0.05,69.0,202.0,0.9972,?,?,9.7,6.0
7.1,0.43,0.61,11.8,?,?,?,0.9974,?,?,?,?
7.1,0.44,0.62,?,0.044,52.0,?,?,3.12,?,8.7,?
?,0.39,?,11.0,0.044,55.0,156.0,0.9974,3.09,?,8.7,?
?,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,?,?,?,?
?,?,0.33,1.7,0.035,47.0,136.0,0.99,3.26,0.4,?,7.0
?,0.21,0.33,1.8,?,48.0,136.0,?,3.25,0.41,?,7.0
7.5,0.17,0.32,?,0.04,?,148.0,0.9916,3.21,0.44,11.5,7.0
7.1,0.26,?,12.4,?,?,?,0.9969,3.04,0.42,9.2,?
?,0.34,0.66,15.9,0.046,26.0,164.0,?,?,0.5,8.8,?
8.6,?,0.36,?,?,?,?,0.9913,?,0.36,?,?
9.8,?,?,10.5,?,4.0,83.0,0.9956,?,?,10.1,4.0
6.0,?,0.66,?,0.046,?,?,?,?,0.5,?,6.0
