@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data

?,48.0,?,178.0,?,?,162.0,42.0,20.0,159.0,176.0,379.0,184.0,?,6.0,16.0,187.0,197.0,van
?,41.0,84.0,141.0,?,?,149.0,45.0,19.0,143.0,170.0,?,158.0,72.0,?,?,189.0,199.0,van
104.0,50.0,?,?,66.0,10.0,207.0,32.0,?,158.0,?,?,220.0,73.0,?,9.0,?,?,?
?,41.0,82.0,159.0,63.0,?,?,46.0,?,?,160.0,309.0,127.0,63.0,6.0,10.0,?,207.0,van
85.0,44.0,70.0,?,103.0,?,149.0,?,19.0,144.0,241.0,325.0,188.0,127.0,9.0,11.0,180.0,?,?
107.0,57.0,?,172.0,50.0,?,255.0,?,?,169.0,280.0,?,?,85.0,?,9.0,181.0,?,bus
?,43.0,?,173.0,?,6.0,?,?,?,?,?,?,172.0,66.0,?,1.0,?,204.0,?
?,?,?,157.0,65.0,9.0,137.0,48.0,18.0,146.0,?,281.0,?,67.0,?,3.0,?,?,van
?,?,62.0,140.0,?,7.0,122.0,?,?,127.0,?,223.0,112.0,?,?,14.0,200.0,208.0,van
?,?,?,197.0,62.0,?,183.0,?,?,146.0,?,505.0,152.0,?,?,14.0,?,204.0,?
86.0,?,70.0,?,61.0,?,133.0,50.0,18.0,130.0,153.0,266.0,127.0,66.0,?,10.0,?,202.0,van
90.0,34.0,66.0,?,?,6.0,123.0,?,?,?,148.0,?,?,65.0,5.0,26.0,196.0,202.0,?
88.0,?,74.0,171.0,68.0,6.0,152.0,43.0,19.0,?,180.0,349.0,?,71.0,5.0,11.0,189.0,?,?
89.0,42.0,85.0,144.0,?,10.0,?,44.0,19.0,144.0,?,?,?,?,?,13.0,187.0,197.0,van
94.0,49.0,79.0,?,71.0,5.0,174.0,37.0,21.0,154.0,196.0,?,?,71.0,6.0,2.0,197.0,199.0,bus
?,55.0,?,?,?,9.0,204.0,?,23.0,?,?,?,246.0,?,?,?,186.0,?,?
89.0,36.0,51.0,109.0,?,6.0,118.0,57.0,?,129.0,137.0,?,125.0,?,2.0,?,181.0,?,van
99.0,41.0,77.0,?,69.0,6.0,?,36.0,21.0,?,202.0,?,151.0,?,4.0,10.0,198.0,?,?
?,?,100.0,186.0,61.0,?,216.0,?,?,173.0,?,686.0,220.0,74.0,5.0,11.0,?,195.0,saab
101.0,56.0,100.0,?,69.0,10.0,?,32.0,24.0,169.0,227.0,?,223.0,74.0,6.0,?,?,?,opel
84.0,47.0,?,153.0,64.0,?,154.0,43.0,19.0,?,?,?,?,?,0.0,?,185.0,192.0,bus
?,?,53.0,121.0,?,?,?,?,?,125.0,?,221.0,?,?,?,1.0,?,183.0,?
?,?,?,173.0,?,7.0,?,?,?,?,?,344.0,177.0,68.0,?,1.0,?,?,?
87.0,?,?,?,?,?,?,?,?,136.0,?,307.0,?,69.0,?,?,?,?,?
?,53.0,105.0,219.0,66.0,?,204.0,?,23.0,165.0,?,623.0,?,?,?,6.0,191.0,?,?
?,?,?,154.0,64.0,9.0,?,?,?,?,?,324.0,?,?,1.0,4.0,188.0,199.0,?
83.0,?,54.0,119.0,57.0,6.0,?,53.0,18.0,?,?,?,?,?,6.0,3.0,?,183.0,saab
?,54.0,?,203.0,65.0,11.0,?,?,?,?,?,696.0,?,?,1.0,28.0,?,199.0,saab
?,45.0,85.0,193.0,?,?,?,?,22.0,146.0,?,?,163.0,?,?,7.0,?,?,bus
80.0,?,?,?,55.0,?,?,46.0,?,?,?,314.0,?,83.0,?,?,180.0,185.0,saab
89.0,?,85.0,?,64.0,11.0,155.0,?,19.0,151.0,173.0,?,174.0,?,?,9.0,185.0,196.0,van
?,?,77.0,?,58.0,?,140.0,?,?,?,165.0,?,?,64.0,10.0,11.0,198.0,?,?
?,?,?,?,59.0,?,?,?,18.0,?,162.0,?,120.0,?,5.0,13.0,197.0,?,?
101.0,?,107.0,222.0,?,10.0,?,32.0,?,?,?,?,204.0,?,?,38.0,190.0,?,opel
?,38.0,?,?,61.0,?,?,?,?,?,?,?,?,63.0,1.0,?,198.0,?,?
?,?,90.0,172.0,67.0,9.0,?,?,20.0,?,?,?,184.0,?,?,7.0,?,200.0,?
?,44.0,72.0,118.0,52.0,7.0,152.0,44.0,19.0,147.0,?,?,?,82.0,?,2.0,?,185.0,bus
90.0,48.0,?,?,?,?,?,?,?,?,272.0,346.0,?,?,?,?,?,?,?
?,53.0,98.0,?,?,?,216.0,31.0,?,171.0,?,?,?,74.0,1.0,?,187.0,?,saab
81.0,45.0,?,?,?,6.0,151.0,?,?,146.0,173.0,?,?,?,?,?,183.0,?,?
95.0,48.0,?,?,?,?,?,?,?,151.0,227.0,?,?,74.0,?,?,186.0,193.0,opel
?,37.0,?,105.0,?,5.0,119.0,?,17.0,128.0,?,207.0,125.0,86.0,8.0,16.0,179.0,183.0,?
94.0,49.0,87.0,?,?,?,158.0,43.0,?,?,?,?,186.0,?,?,?,183.0,?,?
