@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data

?,?,?,178.0,72.0,10.0,162.0,42.0,?,159.0,176.0,379.0,184.0,?,6.0,16.0,187.0,?,van
91.0,?,84.0,141.0,?,?,?,?,?,?,170.0,?,158.0,72.0,9.0,?,189.0,199.0,?
104.0,50.0,106.0,?,66.0,10.0,?,?,23.0,158.0,223.0,635.0,?,73.0,14.0,?,188.0,196.0,?
?,?,82.0,?,63.0,9.0,144.0,?,?,143.0,160.0,309.0,127.0,?,?,10.0,?,207.0,van
85.0,44.0,?,205.0,?,?,?,45.0,19.0,?,241.0,?,?,127.0,9.0,?,?,183.0,?
107.0,57.0,106.0,?,50.0,6.0,255.0,?,?,169.0,280.0,957.0,?,?,5.0,9.0,?,?,bus
97.0,43.0,73.0,?,65.0,?,?,42.0,19.0,143.0,?,?,172.0,66.0,13.0,1.0,?,?,bus
?,43.0,66.0,157.0,65.0,9.0,?,48.0,18.0,146.0,162.0,281.0,164.0,67.0,3.0,3.0,193.0,202.0,van
86.0,34.0,?,140.0,61.0,7.0,?,54.0,?,127.0,141.0,223.0,?,64.0,2.0,14.0,200.0,?,?
?,44.0,?,?,62.0,11.0,?,?,?,146.0,202.0,?,?,64.0,4.0,14.0,195.0,204.0,?
86.0,36.0,?,143.0,?,9.0,133.0,?,18.0,130.0,?,?,?,66.0,2.0,10.0,194.0,202.0,van
90.0,34.0,?,?,55.0,?,123.0,?,?,118.0,148.0,224.0,?,65.0,5.0,26.0,196.0,?,?
?,?,74.0,?,68.0,6.0,?,43.0,19.0,148.0,180.0,349.0,192.0,71.0,?,11.0,189.0,195.0,bus
89.0,42.0,?,144.0,?,10.0,152.0,?,19.0,?,173.0,345.0,161.0,72.0,8.0,?,?,197.0,?
?,49.0,?,203.0,71.0,5.0,?,?,21.0,154.0,?,?,206.0,?,6.0,2.0,197.0,199.0,?
?,55.0,103.0,?,65.0,?,?,?,?,?,?,624.0,246.0,74.0,?,?,?,194.0,opel
?,?,?,109.0,52.0,6.0,118.0,57.0,17.0,?,?,?,125.0,80.0,?,14.0,?,185.0,?
99.0,?,77.0,?,?,6.0,177.0,?,21.0,139.0,?,485.0,?,?,?,?,?,199.0,bus
?,54.0,100.0,186.0,61.0,10.0,216.0,?,24.0,173.0,?,686.0,?,74.0,5.0,?,185.0,195.0,?
101.0,56.0,?,?,69.0,?,?,?,?,?,227.0,651.0,223.0,?,6.0,5.0,?,193.0,?
84.0,47.0,75.0,?,?,?,154.0,43.0,19.0,?,175.0,?,?,?,0.0,3.0,?,192.0,bus
?,?,53.0,121.0,?,5.0,123.0,55.0,17.0,125.0,?,?,133.0,?,?,?,179.0,183.0,?
?,43.0,?,173.0,?,?,?,43.0,?,142.0,169.0,344.0,?,68.0,9.0,1.0,?,206.0,bus
?,?,70.0,?,?,?,?,?,18.0,136.0,?,?,?,69.0,1.0,2.0,?,199.0,?
99.0,?,?,?,66.0,11.0,204.0,32.0,23.0,?,?,?,?,?,?,6.0,?,201.0,saab
85.0,45.0,80.0,?,?,9.0,147.0,?,19.0,?,169.0,?,?,71.0,1.0,4.0,188.0,199.0,van
83.0,?,54.0,?,?,6.0,128.0,?,?,?,143.0,?,139.0,82.0,6.0,?,?,183.0,saab
?,?,?,?,?,?,?,?,25.0,167.0,?,?,?,72.0,?,28.0,187.0,?,saab
?,?,?,193.0,64.0,?,?,?,?,146.0,?,?,163.0,?,?,?,?,193.0,bus
80.0,?,63.0,129.0,55.0,?,146.0,?,19.0,130.0,?,?,?,?,?,20.0,?,185.0,?
89.0,?,85.0,?,?,11.0,155.0,?,?,151.0,173.0,?,?,?,5.0,?,?,196.0,?
88.0,42.0,77.0,151.0,?,8.0,?,47.0,18.0,142.0,?,?,?,?,?,?,198.0,205.0,saab
?,?,66.0,?,?,6.0,?,46.0,18.0,128.0,162.0,304.0,?,?,5.0,13.0,?,?,?
?,?,107.0,?,?,?,?,32.0,24.0,154.0,?,641.0,?,?,5.0,38.0,190.0,?,opel
?,38.0,85.0,177.0,61.0,?,?,40.0,20.0,?,186.0,402.0,130.0,63.0,1.0,?,198.0,?,opel
?,46.0,90.0,?,?,?,?,43.0,20.0,?,?,363.0,184.0,67.0,17.0,7.0,?,200.0,van
82.0,44.0,?,?,?,?,?,44.0,19.0,?,?,?,177.0,?,2.0,2.0,?,?,bus
?,48.0,?,?,126.0,49.0,153.0,44.0,19.0,?,?,?,200.0,?,0.0,15.0,?,?,van
?,53.0,98.0,176.0,?,?,216.0,?,24.0,?,235.0,691.0,218.0,?,?,9.0,187.0,197.0,saab
81.0,45.0,?,169.0,?,6.0,151.0,44.0,?,?,?,?,186.0,?,?,0.0,?,189.0,bus
