@relation dataset

@attribute attr_4 real
@attribute attr_5 {0, 1}
@attribute attr_7 {0, 1}
@attribute attr_10 {0, 1}
@attribute attr_11 {0, 1, 2}
@attribute attr_13 {0, 1, 2}
@attribute attr_14 {0, 1}
@attribute attr_15 {0, 1, 2, 3}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {0, 1, 2}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {0, 1}


@data

25503.0,1,?,1,?,0,?,2,821.0,2.0,2,1911.0,55.0,46.0,0.2,17.0,78.0,?,20.0,13.1,1700.0,?,36.4,?,2.5,1.0,34.0,40.0,105.0,100.0,0
?,?,1,1,2,0,1,?,?,9.0,?,1910.0,52.0,40.0,0.3,?,75.0,0.3125,?,?,1467.0,55.6,38.8,0.0,2.5,1.3,40.0,40.0,108.06,?,1
37351.0,?,?,1,?,0,1,3,?,?,2,?,50.0,?,0.3,17.0,?,0.75,30.0,?,2100.0,57.5,42.5,?,?,0.6,35.0,40.0,?,100.0,?
38039.0,1,?,1,2,0,1,3,?,?,?,1910.0,50.0,40.0,0.267,?,76.0,0.4375,28.0,8.6,1467.0,53.8,?,?,2.5,?,40.0,?,103.87,?,1
35751.0,?,1,0,0,0,?,2,?,2.0,2,1911.0,?,?,0.3,?,?,0.75,?,?,2600.0,62.5,37.5,6.0,?,0.6,30.0,40.0,106.67,100.0,?
35751.0,?,1,?,?,0,1,2,827.0,9.0,2,1911.0,50.0,46.0,0.2,16.5,75.0,0.75,?,?,2600.0,?,?,6.0,2.5,?,?,40.0,106.67,?,1
47201.0,1,?,?,2,?,1,0,802.0,7.0,?,1910.0,?,45.0,?,?,70.0,?,60.0,0.0,1650.0,60.2,39.8,?,?,?,40.0,40.0,103.22,100.0,?
37000.0,1,1,?,2,0,?,3,815.0,2.0,?,1911.0,65.0,?,0.333,16.0,75.0,1.0,32.0,?,1750.0,?,?,?,3.0,1.0,38.0,40.0,106.66,100.0,?
37000.0,1,1,1,2,?,?,?,?,9.0,?,?,65.0,43.0,0.2,16.0,68.0,?,30.0,?,?,48.5,35.9,0.0,3.0,1.0,?,?,106.6,100.0,?
?,?,1,1,?,0,1,2,821.0,?,2,?,50.0,50.0,0.367,14.0,?,0.75,40.0,10.5,1700.0,52.6,?,?,2.5,?,38.0,40.0,105.0,100.0,0
?,1,?,1,?,0,1,2,821.0,7.0,?,1911.0,50.0,50.0,?,15.0,?,1.0,?,10.0,1600.0,50.0,?,?,?,?,38.0,40.0,106.66,100.0,0
23052.0,?,1,1,2,0,1,2,821.0,7.0,?,?,40.0,45.0,0.3,?,70.0,0.625,25.0,?,?,59.5,?,0.0,2.0,?,?,40.0,?,?,0
35539.0,1,?,1,2,?,1,?,?,?,2,?,50.0,43.0,0.267,?,75.0,1.0,20.0,15.8,?,?,34.7,?,?,?,38.0,?,103.22,100.0,?
?,?,1,?,0,1,?,2,824.0,2.0,?,1911.0,50.0,45.0,?,?,?,?,30.0,0.0,2400.0,58.8,41.2,0.0,1.7,?,30.0,?,107.4,100.0,?
35751.0,0,1,0,0,1,1,2,824.0,9.0,2,?,40.0,45.0,0.2,?,76.0,0.8125,30.0,0.0,2400.0,62.5,?,?,1.0,?,30.0,40.0,107.4,100.0,1
?,0,1,0,0,?,1,?,?,2.0,?,1911.0,30.0,43.0,0.2,?,70.0,0.8125,25.0,?,2200.0,?,40.7,4.0,?,?,30.0,40.0,?,?,1
35816.0,?,1,0,0,?,?,?,827.0,2.0,1,?,40.0,41.0,0.2,?,72.0,1.0,30.0,?,?,62.5,37.5,0.0,2.5,1.0,30.0,?,?,100.0,0
37352.0,0,1,0,?,0,1,?,827.0,9.0,?,1911.0,?,42.0,0.2,?,?,1.0,25.0,8.0,2100.0,?,34.5,0.0,?,0.7,35.0,40.0,?,100.0,?
37352.0,0,1,?,0,0,1,?,827.0,?,2,?,45.0,?,?,?,70.0,1.0,?,?,1850.0,57.5,?,0.0,?,?,35.0,40.0,107.4,100.0,0
?,0,1,1,0,0,1,2,827.0,?,?,1911.0,?,45.0,0.3,15.0,76.0,?,30.0,8.0,2150.0,57.5,34.5,0.0,2.5,1.0,35.0,40.0,107.4,100.0,1
?,?,?,1,?,0,1,2,827.0,?,2,1911.0,50.0,45.0,?,15.2,72.0,?,?,?,2150.0,?,35.3,0.0,2.5,1.0,35.0,?,107.4,?,?
37157.0,?,1,0,0,0,0,2,828.0,2.0,?,1910.0,30.0,45.0,?,17.0,70.0,0.75,35.0,0.0,2200.0,58.8,?,0.0,2.5,1.0,33.0,40.0,?,100.0,0
37352.0,0,?,1,?,0,?,3,?,2.0,2,1911.0,?,?,0.2,?,90.0,?,28.0,?,2050.0,45.0,?,0.0,2.4,?,35.0,?,107.4,?,1
37352.0,?,1,1,0,?,1,3,815.0,9.0,2,?,37.5,?,0.2,?,?,0.75,30.0,21.7,2050.0,43.5,34.8,?,?,0.8,35.0,40.0,?,?,1
?,1,1,1,2,?,1,2,?,2.0,2,1911.0,45.0,44.0,?,14.1,?,0.625,22.0,7.6,1510.0,54.3,?,0.0,2.5,0.7,34.0,40.0,?,100.0,1
25507.0,1,?,1,2,0,1,?,?,7.0,2,1910.0,40.0,44.0,0.2,14.0,?,0.625,20.0,?,?,53.2,38.3,?,2.5,?,34.0,?,110.0,100.0,1
?,0,?,?,0,0,?,?,828.0,?,2,1911.0,40.0,?,?,?,?,0.75,?,0.0,2400.0,58.8,?,?,?,1.0,30.0,40.0,100.0,?,?
35334.0,1,1,1,?,?,?,?,816.0,2.0,2,?,40.0,43.0,?,16.0,96.0,?,?,0.0,1500.0,58.8,41.2,?,?,0.8,?,40.0,?,100.0,?
35334.0,1,1,?,2,?,1,?,816.0,?,2,1911.0,32.5,?,?,15.0,82.0,1.0,?,?,?,54.3,?,4.0,2.5,?,40.0,40.0,103.12,100.0,1
?,0,?,1,?,0,?,3,?,9.0,0,1911.0,37.5,?,?,15.0,?,?,34.0,?,1400.0,62.5,37.5,0.0,?,?,28.0,?,103.12,100.0,1
37869.0,0,1,1,0,0,1,3,815.0,2.0,0,?,35.0,44.0,?,16.0,80.0,1.0,32.0,7.0,1400.0,?,34.9,0.0,3.0,1.0,28.0,40.0,103.12,?,1
?,0,?,0,0,?,1,2,?,?,2,1910.0,50.0,43.0,?,16.0,82.0,0.875,?,0.0,?,55.6,?,12.0,2.0,?,30.0,?,?,100.0,1
35752.0,?,?,0,0,0,1,?,?,?,?,1910.0,50.0,?,0.3,?,?,?,30.0,?,?,?,44.4,12.0,1.5,?,?,?,103.22,?,?
?,0,?,1,0,0,?,?,827.0,?,2,1911.0,?,?,?,?,57.0,0.75,24.0,?,1480.0,?,?,0.0,?,?,?,40.0,103.12,100.0,?
?,0,1,?,?,0,?,?,827.0,?,?,?,52.5,?,?,16.6,58.0,0.75,?,?,1480.0,?,?,0.0,1.7,0.7,33.0,40.0,103.12,100.0,1
35752.0,0,?,0,0,0,?,?,?,2.0,2,?,?,43.0,0.3,17.0,87.0,0.8125,35.0,0.0,2300.0,?,41.2,0.0,?,0.7,30.0,40.0,103.22,100.0,1
37441.0,?,?,?,?,0,?,?,?,?,2,?,?,?,?,13.0,75.0,?,25.0,0.0,1600.0,?,?,?,2.5,0.85,30.0,40.0,103.12,?,?
?,?,?,?,0,?,1,?,821.0,7.0,2,?,25.0,38.0,0.233,14.0,70.0,?,25.0,0.0,?,?,41.2,5.0,1.7,?,?,40.0,?,100.0,1
37354.0,0,1,?,2,?,1,?,816.0,?,2,1911.0,40.0,?,0.333,15.9,?,?,34.0,?,2000.0,61.0,?,0.0,2.4,?,35.0,?,103.22,100.0,1
?,?,?,1,?,?,?,2,827.0,?,?,1911.0,?,?,?,17.0,?,?,16.0,?,1100.0,50.5,35.4,0.0,2.5,1.0,50.0,?,?,100.0,0
37335.0,1,1,?,2,0,1,2,827.0,2.0,2,1911.0,47.5,?,?,16.5,72.0,0.75,?,?,1300.0,50.5,?,4.0,2.5,1.0,?,40.0,96.97,100.0,?
?,?,?,0,0,0,0,2,824.0,2.0,2,1910.0,?,?,0.2,?,68.0,0.75,?,0.0,1700.0,?,41.2,0.0,1.0,?,?,?,?,100.0,1
35870.0,0,?,?,0,0,0,?,?,?,?,1911.0,40.0,?,0.267,16.5,?,0.875,?,0.0,1700.0,?,41.2,?,1.0,1.0,?,?,?,?,1
?,?,?,0,?,?,1,?,815.0,9.0,1,1911.0,?,?,0.233,18.0,85.0,?,?,0.0,2000.0,62.5,37.5,?,2.5,?,30.0,?,?,?,1
?,?,1,?,0,0,1,?,?,?,?,?,35.0,?,0.4,12.0,62.0,0.75,46.0,?,?,?,36.5,?,2.0,?,28.0,40.0,?,100.0,1
37869.0,0,?,1,0,?,1,?,802.0,?,?,1911.0,?,38.0,?,?,70.0,0.75,?,0.0,1400.0,62.5,?,0.0,2.8,1.5,28.0,?,103.125,100.0,1
?,1,1,1,?,0,?,2,821.0,7.0,?,?,50.0,?,0.2,14.6,60.0,0.625,?,10.5,1750.0,52.6,?,?,?,?,28.0,?,96.97,100.0,0
37386.0,1,?,?,2,?,1,2,827.0,2.0,?,1910.0,?,?,0.333,24.5,78.0,0.875,30.0,8.8,2100.0,?,?,16.0,?,1.0,40.0,40.0,100.0,100.0,0
?,1,1,1,2,?,1,2,827.0,?,?,?,?,39.0,?,?,?,?,?,?,2000.0,?,?,0.0,2.5,1.0,40.0,?,103.22,?,?
37386.0,1,?,?,2,0,1,?,827.0,9.0,?,?,40.0,39.0,0.2,15.0,?,?,20.0,?,?,49.0,?,?,2.5,?,40.0,40.0,103.22,?,1
37386.0,1,?,1,2,0,?,?,824.0,?,?,?,40.0,40.0,?,?,?,0.5625,?,0.0,?,?,?,4.0,?,1.4,?,40.0,106.45,100.0,0
37254.0,?,1,?,0,0,1,2,?,?,?,1911.0,42.5,41.0,?,14.0,70.0,0.625,?,2.3,?,57.5,40.0,?,2.5,0.7,35.0,40.0,?,100.0,1
35457.0,?,1,?,0,0,?,2,828.0,9.0,?,1910.0,?,39.0,?,?,84.0,1.0,30.0,?,?,62.5,37.5,?,2.0,?,?,40.0,94.117,?,1
?,?,?,?,2,?,1,0,802.0,2.0,?,?,?,43.0,0.333,14.02,?,0.75,?,7.4,?,53.2,39.4,?,?,?,?,?,?,?,?
47202.0,?,?,1,2,?,1,3,816.0,?,?,?,67.5,?,0.2,15.5,80.0,?,?,16.3,1683.0,43.5,?,?,2.5,1.0,40.0,40.0,109.67,100.0,?
37163.0,?,?,0,0,0,1,2,821.0,2.0,?,?,55.0,?,0.267,16.0,75.0,0.625,?,5.6,1850.0,55.6,38.9,0.0,0.8,0.75,33.0,?,109.67,100.0,1
37354.0,0,1,?,?,0,1,2,?,?,2,1911.0,?,?,0.2,14.0,80.0,0.625,20.0,7.4,1750.0,?,39.4,?,?,?,35.0,40.0,96.97,100.0,1
?,0,?,1,?,?,1,?,816.0,9.0,2,1910.0,?,?,?,14.5,?,0.75,23.0,9.1,1900.0,56.8,34.1,?,?,0.2,?,?,103.22,?,?
47202.0,1,?,?,?,0,?,1,813.0,9.0,?,1910.0,?,43.0,0.267,15.1,?,?,?,6.6,1650.0,54.9,?,?,?,1.5,40.0,?,109.67,?,1
37355.0,0,1,1,0,?,1,?,828.0,9.0,2,1910.0,?,?,?,16.1,78.0,0.9375,?,5.6,1800.0,55.6,38.9,0.0,?,1.0,35.0,40.0,?,100.0,1
37355.0,?,1,?,?,?,?,2,?,2.0,?,?,40.0,?,?,16.5,72.0,0.625,?,9.1,2000.0,?,34.1,4.0,2.5,?,?,40.0,103.22,?,1
37355.0,0,?,?,0,0,1,?,827.0,9.0,2,?,40.0,?,0.35,16.1,70.0,?,20.0,11.1,?,?,33.3,4.0,1.8,0.9,35.0,40.0,?,100.0,?
?,?,1,?,?,0,1,?,824.0,9.0,?,1910.0,40.0,43.0,?,16.0,80.0,?,30.0,5.6,1900.0,?,38.9,0.0,?,1.3,30.0,40.0,103.22,?,?
25514.0,1,?,?,?,?,?,2,?,?,?,1910.0,?,?,?,12.5,70.0,?,?,?,1750.0,55.6,?,0.0,2.5,0.9,34.0,40.0,?,?,?
?,0,1,1,?,0,?,3,?,?,?,1910.0,55.0,?,0.2,15.6,74.0,?,24.0,?,1650.0,58.8,41.2,?,2.5,1.7,?,?,?,100.0,?
?,0,1,0,0,0,1,2,828.0,2.0,?,1911.0,40.0,49.0,?,15.3,74.0,1.0,34.0,?,?,62.5,37.5,?,?,?,?,?,100.0,?,?
?,0,1,?,0,?,1,2,828.0,9.0,2,1911.0,40.0,?,0.233,16.8,78.0,0.9375,30.0,?,?,62.5,37.5,0.0,?,?,35.0,40.0,100.0,100.0,1
25515.0,1,?,1,2,0,1,2,?,?,?,?,42.5,?,0.3,?,77.0,0.625,?,15.8,?,49.5,?,?,?,?,34.0,?,?,?,?
37081.0,0,?,0,?,0,1,2,?,1.0,2,?,?,?,0.2,15.5,?,?,?,0.0,2200.0,53.2,?,?,0.0,0.0,30.0,40.0,100.0,?,0
35534.0,1,1,1,2,0,0,?,827.0,2.0,?,?,42.0,?,0.3,15.0,?,?,20.0,16.7,1300.0,?,?,?,?,0.2,40.0,40.0,?,100.0,1
?,1,1,1,?,?,0,2,827.0,9.0,2,?,?,44.0,?,?,?,1.25,20.0,?,1300.0,50.5,35.4,0.0,2.5,1.5,40.0,?,110.0,100.0,1
?,?,1,0,?,0,?,?,824.0,?,?,1910.0,?,43.0,0.3,16.0,70.0,?,30.0,3.4,2400.0,56.8,39.8,?,2.5,?,30.0,40.0,103.125,?,1
?,0,1,0,0,0,?,?,824.0,9.0,2,?,47.0,43.0,?,?,?,?,30.0,9.1,?,50.5,?,?,2.5,1.1,30.0,40.0,103.125,?,1
37572.0,0,1,0,0,?,1,2,824.0,?,?,1911.0,35.0,48.0,0.233,16.0,?,0.8125,?,?,1900.0,49.5,41.6,0.0,?,?,?,40.0,?,?,1
37572.0,0,1,?,?,0,?,2,824.0,9.0,?,1911.0,35.0,?,?,16.0,?,?,30.0,16.1,?,44.6,?,?,2.5,1.5,30.0,40.0,103.22,?,?
35816.0,0,?,0,0,0,?,2,827.0,?,1,1910.0,47.5,?,?,?,?,0.75,?,0.0,1900.0,62.5,37.5,?,2.1,1.7,33.0,?,103.125,100.0,0
