@relation dataset

@attribute attr_4 real
@attribute attr_5 {0, 1}
@attribute attr_7 {0, 1}
@attribute attr_10 {0, 1}
@attribute attr_11 {0, 1, 2}
@attribute attr_13 {0, 1, 2}
@attribute attr_14 {0, 1}
@attribute attr_15 {0, 1, 2, 3}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {0, 1, 2}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {0, 1}


@data

25503.0,1,?,?,2,?,1,2,821.0,?,2,?,55.0,46.0,?,17.0,78.0,0.75,20.0,13.1,1700.0,50.5,36.4,0.0,2.5,1.0,34.0,40.0,105.0,100.0,0
?,?,?,1,?,0,1,3,816.0,9.0,?,?,52.0,40.0,?,16.0,75.0,0.3125,30.0,5.6,?,?,38.8,0.0,?,1.3,40.0,?,108.06,100.0,?
37351.0,0,1,1,0,0,1,3,816.0,2.0,?,1910.0,50.0,?,0.3,?,80.0,0.75,30.0,0.0,2100.0,57.5,?,5.0,2.3,?,35.0,40.0,106.67,100.0,?
38039.0,1,?,1,?,0,1,3,816.0,2.0,?,?,50.0,40.0,0.267,?,76.0,0.4375,28.0,8.6,1467.0,53.8,37.6,5.0,2.5,?,?,40.0,103.87,?,1
?,0,?,0,0,0,1,2,827.0,2.0,2,1911.0,50.0,?,0.3,16.5,?,0.75,30.0,0.0,?,62.5,37.5,6.0,?,0.6,30.0,?,?,100.0,1
35751.0,0,?,0,0,0,1,2,?,9.0,2,?,50.0,46.0,0.2,16.5,75.0,?,28.0,?,2600.0,62.5,37.5,?,?,1.1,30.0,?,106.67,100.0,1
?,1,?,?,2,?,?,0,802.0,7.0,0,?,50.0,?,0.367,12.0,70.0,0.75,?,?,?,?,39.8,1.5,3.0,1.0,40.0,40.0,103.22,?,0
?,?,?,?,?,?,?,3,815.0,2.0,?,1911.0,?,43.0,0.333,16.0,75.0,1.0,32.0,22.7,?,45.5,?,?,?,1.0,38.0,40.0,106.66,100.0,1
37000.0,1,1,?,?,0,?,3,?,9.0,?,1910.0,65.0,43.0,0.2,16.0,?,?,?,15.5,?,?,35.9,0.0,3.0,?,38.0,?,106.6,100.0,?
35539.0,1,?,?,2,0,1,?,?,2.0,2,?,50.0,50.0,0.367,14.0,80.0,0.75,?,10.5,?,52.6,36.8,0.0,2.5,1.0,?,40.0,105.0,?,?
?,1,1,1,2,0,?,2,821.0,7.0,2,1911.0,50.0,?,0.3,?,?,1.0,?,10.0,?,?,40.0,0.0,2.8,1.0,38.0,?,106.66,100.0,0
23052.0,1,?,1,?,0,1,?,821.0,7.0,?,?,?,45.0,0.3,14.5,70.0,0.625,25.0,?,1500.0,?,40.5,0.0,2.0,1.0,40.0,?,?,100.0,0
