@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

0.72694,1.4742,0.32396,0.98535,1.0,0.83592,0.0046566,0.0039465,0.04779,0.12795,0.016108,0.0052323,2.7477E-4,1.1756
?,1.5257,0.36116,0.98152,0.99825,0.79867,?,0.0050016,0.02416,0.090476,?,0.002708,?,0.69659
0.76722,?,0.38998,0.97755,1.0,0.80812,?,0.010121,0.011897,?,0.0032891,9.2068E-4,?,0.44348
?,1.4597,0.35376,0.97566,1.0,?,0.0068768,0.0086068,?,0.065491,0.0042707,0.0011544,?,0.58785
0.82301,1.7707,0.44462,0.97698,1.0,0.75493,0.007428,0.010042,0.0079379,?,?,5.5986E-4,2.3504E-5,0.34214
0.72997,1.4892,0.34284,0.98755,1.0,0.84482,0.0049451,0.0044506,?,0.058528,?,?,2.4798E-5,0.34068
0.82063,1.7529,0.44458,0.97964,0.99649,?,?,0.0063954,?,?,0.0064523,0.0022713,4.1495E-5,?
0.77982,1.6215,0.39222,?,?,0.80816,?,0.0047314,?,0.089686,0.0079794,?,1.4676E-4,0.66975
?,1.8199,?,0.9824,1.0,0.77106,0.0060055,0.006564,0.0072447,0.040616,0.0016469,3.8812E-4,3.2863E-5,0.33696
?,2.3906,0.58336,0.97683,0.99825,0.66419,0.0084019,0.012848,0.0070096,0.042347,0.0017901,?,2.8251E-5,0.28082
0.7459,1.4927,?,0.98296,1.0,0.83088,?,0.0056395,0.0057679,?,0.0013313,3.0872E-4,?,0.25026
?,?,0.43387,0.98181,1.0,0.76985,0.0077992,0.011071,0.013677,0.057832,0.0033334,8.1648E-4,?,0.49751
0.93361,2.7582,0.64257,0.98346,1.0,0.59851,0.0055336,0.0055731,0.029712,0.089889,0.0080153,0.0020648,?,?
0.91186,?,?,?,?,0.64916,0.0061494,0.0068823,?,?,0.0052267,?,8.3271E-5,0.67811
0.89063,2.2927,?,0.98732,?,?,0.0028365,0.0014643,0.029272,0.091328,0.0082717,?,2.0166E-4,0.87177
?,?,?,0.98691,1.0,0.70277,0.0054439,0.0053937,0.030348,?,0.0084044,0.0022541,1.9854E-4,?
?,2.5247,0.61648,0.9787,?,0.63037,?,0.0046404,?,?,?,0.0018929,?,0.71713
?,2.2038,0.56218,0.97835,?,0.64158,0.0059242,0.0063874,?,0.092969,?,0.0021199,2.7729E-4,1.008
0.85121,?,0.4892,0.98622,1.0,0.70267,?,0.0028733,0.020258,0.070841,?,0.0012274,1.4929E-4,0.74174
0.89084,?,?,0.97389,1.0,0.64598,0.015271,0.042443,0.028461,0.086477,?,0.0018832,2.4345E-4,?
0.93062,2.8973,0.65828,0.98182,?,0.5795,?,0.0076645,0.023606,?,0.005191,0.0011217,?,0.90513
?,1.86,0.46549,?,1.0,0.75976,0.0046759,0.0039793,0.062798,0.13234,0.017213,0.0044528,?,?
?,?,0.36317,0.9211,0.98772,0.60555,?,0.10134,0.089301,?,0.038786,0.015895,4.049E-4,1.5371
?,1.2065,0.32559,0.94952,0.99649,0.75954,0.013388,0.032621,0.021815,?,0.0093485,?,?,0.5341
0.61289,1.0991,0.33117,0.92405,0.98421,0.61661,?,0.11877,0.054687,0.1606,0.025145,?,1.2121E-4,1.1076
0.70668,1.251,0.38111,?,0.99825,0.6925,?,?,0.031587,0.11502,0.013056,0.0053112,?,0.72247
?,1.1435,0.3846,?,0.99649,0.60571,0.028329,0.14606,0.057506,0.15931,?,0.010304,1.8533E-4,1.1365
0.50139,1.0066,?,0.91585,0.99825,0.64029,0.021782,0.086347,0.054635,0.1598,0.024899,0.011106,1.6162E-4,1.0511
0.60803,1.0646,0.3446,0.90487,?,0.67517,0.031915,0.18538,0.06245,0.16411,?,0.010602,2.2964E-4,1.2307
0.56599,1.0427,0.35318,0.89086,0.99825,?,?,?,0.026348,0.10589,0.011088,?,5.2046E-5,0.62671
0.68605,1.1632,0.37528,0.91639,?,0.61136,0.030339,0.16753,0.058401,0.16858,?,?,1.5525E-4,1.0815
?,1.084,?,?,0.99825,0.65698,?,?,0.042051,0.14722,0.021213,?,6.468E-5,?
0.39432,1.1191,0.17272,0.96806,0.99298,?,0.012499,?,?,0.13718,0.01847,0.0040597,?,1.8893
0.62011,1.3298,0.2836,0.96952,?,0.77871,?,?,?,0.1186,0.013872,?,4.4188E-4,1.2024
0.73429,?,0.40827,0.94518,?,0.62558,0.014987,0.040879,0.038113,0.092188,?,0.0017773,4.7378E-4,?
0.64161,1.3004,0.31556,?,0.97895,?,0.017963,0.058729,?,0.08221,0.0067132,0.0014678,2.9878E-4,1.2359
?,1.3166,?,?,0.99649,0.77183,0.0091632,0.015281,0.020413,?,0.0042817,?,2.0433E-4,0.86218
0.74242,1.5529,0.38804,0.95593,?,?,0.012904,?,0.020679,0.064242,0.0041101,7.9505E-4,2.6812E-4,?
?,?,?,0.96405,1.0,0.79407,0.011761,?,0.025409,0.078211,?,0.0015299,1.5762E-4,1.0326
?,1.2503,0.23254,0.97337,1.0,0.82703,0.0066263,0.0079913,?,?,0.011828,?,4.8839E-4,1.5452
0.87844,?,?,?,0.83684,0.37688,0.043563,0.34539,0.045468,?,0.015515,0.0051589,2.2842E-4,1.1374
0.88075,1.736,0.58345,0.83383,0.91754,?,0.040582,0.29973,0.035786,0.10047,0.0099932,0.002759,2.5802E-4,1.0952
?,1.8803,0.62039,?,?,?,0.047,?,0.039518,0.1157,0.01321,?,2.0084E-4,?
0.93671,2.4151,0.7298,0.81793,0.86491,0.33439,0.080539,1.1805,0.048722,?,0.014314,0.0039983,3.7216E-4,1.3083
?,2.222,0.6558,0.82432,0.89474,0.35618,?,0.26298,0.059981,0.14901,0.021723,0.0075251,2.8398E-4,1.353
0.90944,2.1139,0.69555,?,0.85263,0.31039,0.047267,0.40663,?,0.10517,?,?,2.9366E-4,?
0.89493,2.0494,0.64925,0.81682,0.83509,0.35318,0.049955,?,0.041808,?,?,?,?,1.0962
0.93613,2.3898,0.67175,?,0.90526,0.37007,0.039277,?,?,0.11955,?,?,4.2459E-4,1.2593
?,1.774,0.63974,0.8499,?,?,0.051776,0.4879,0.06103,0.1519,?,0.0080813,?,1.3805
0.86224,1.7434,0.62464,0.85754,0.89298,0.32238,0.050792,0.46952,0.064428,?,0.025989,0.010189,?,1.3343
0.82268,1.6657,0.59909,0.84493,0.85614,0.32056,?,?,0.079282,0.18571,0.033338,?,2.7502E-4,1.5377
0.82135,1.6035,0.6025,0.84981,?,?,0.056079,0.57236,0.069239,?,0.02594,?,3.2134E-4,1.4686
0.46348,1.0544,?,0.63754,0.47544,0.20039,?,4.0212,0.010917,?,?,8.7543E-4,2.9594E-5,?
?,1.0544,?,?,0.59649,0.27687,0.13296,3.2176,0.014816,0.067044,0.0044748,0.0013737,3.792E-5,?
?,?,0.68343,0.76364,0.56667,0.23896,0.10747,2.1022,0.024036,?,?,?,1.0648E-4,0.90702
0.52744,1.0419,0.51662,0.77201,0.84211,?,0.11438,?,?,0.082047,?,0.0017982,?,?
0.50964,?,0.70618,0.72175,0.56491,0.21009,0.11264,?,?,?,0.0064077,?,?,?
0.63965,1.2323,?,?,?,0.24135,?,2.8155,0.025438,0.096215,?,0.0034208,5.1566E-5,0.75194
0.71847,1.2291,0.693,0.75574,0.66667,0.26004,0.098823,1.7774,?,0.073201,0.0053299,0.0013612,1.2452E-4,?
0.47815,1.1032,0.52998,0.81654,0.8193,0.33753,0.11547,?,0.006859,?,0.0017668,4.7564E-4,?,0.30832
0.84886,1.7011,?,0.81465,?,?,?,0.22838,0.038846,0.1192,0.014009,?,1.0856E-4,1.2269
0.83755,?,?,?,0.95088,0.27825,0.039592,0.28528,0.023152,0.087838,?,?,5.6309E-5,0.8079
0.84315,1.8134,0.54611,?,0.96667,0.49437,0.038509,0.2699,0.054653,0.14411,?,0.0082654,1.6275E-4,?
0.82602,1.6637,0.49244,0.8862,?,0.57136,0.022152,?,0.034444,?,0.010138,0.0030708,1.6513E-4,?
0.86486,1.7986,?,0.87745,0.97018,0.52669,0.029555,0.15898,0.027883,0.092866,0.0085504,0.0031577,1.2091E-4,0.9961
?,1.7418,0.49818,?,?,0.62301,0.014708,0.039374,?,0.077667,0.0059959,0.002105,2.9619E-4,1.1899
0.87163,2.0659,?,?,1.0,?,0.031671,?,0.049706,0.1344,?,0.0066921,1.6133E-4,?
0.86587,?,?,?,?,0.67283,?,?,0.021192,?,?,?,1.5488E-4,0.78201
0.82373,1.6421,?,0.85777,0.98421,?,?,0.073157,0.018698,0.075567,0.005678,0.0023517,8.791E-5,0.7658
0.84285,1.8572,0.51931,0.91339,0.97544,0.60526,0.028734,0.15027,?,0.1156,0.013186,?,1.2558E-4,1.1185
?,?,0.83612,0.97628,0.98772,0.31546,0.02322,0.098133,?,0.10661,0.011238,0.0032908,?,?
?,?,?,?,1.0,0.29509,0.024667,0.11074,?,0.097095,0.0093394,?,1.8341E-4,0.85025
0.98853,6.628,?,0.96861,?,0.27717,0.029032,0.1534,?,0.10283,0.010462,0.0033387,?,0.94985
?,?,?,?,?,0.30777,0.014672,0.039178,0.019278,0.073118,0.0053178,?,?,0.66403
0.98592,6.0269,0.83884,?,0.96842,0.28345,0.025004,?,0.021226,0.080869,0.0064972,0.001957,9.1646E-5,0.64839
?,6.2904,0.84124,0.97085,1.0,0.29288,?,0.09814,?,0.089821,0.0080032,?,?,0.8112
0.98717,6.5173,?,0.96846,1.0,0.28899,0.022056,0.08854,0.042124,0.11842,0.013829,0.0043818,?,1.098
?,5.8719,?,0.95488,0.98421,0.32134,?,0.29359,?,0.11622,?,?,?,?
?,?,0.84737,0.95274,0.89649,?,?,0.068643,?,0.095642,0.0090645,0.0027526,?,0.82529
0.986,6.1763,?,0.97837,?,?,?,0.025208,0.051048,?,0.017961,0.0060176,3.128E-4,1.166
0.98824,7.142,0.86069,?,0.99474,0.26951,?,0.08568,0.024361,0.087108,0.0075307,0.0023055,9.7934E-5,0.7396
0.47821,?,0.34976,0.90378,0.99649,0.51298,?,?,0.082509,?,0.029213,0.0093049,6.7871E-4,1.5956
0.53941,1.278,?,?,0.97368,?,0.034884,?,?,0.15124,0.022362,?,4.3953E-4,?
0.54833,1.2733,?,0.93409,0.99825,0.59707,0.017966,0.058744,0.043685,0.12505,0.015397,?,?,?
0.58938,?,?,?,0.98421,?,?,0.4177,0.11488,0.19211,0.035592,?,0.0015424,2.1004
?,1.392,0.41362,0.89752,0.96316,0.50892,0.026737,?,?,?,?,0.0078269,3.6426E-4,1.184
0.54029,?,0.36992,0.88831,?,0.54283,0.028138,?,0.051554,0.14256,0.019917,?,2.0354E-4,1.1427
?,1.2825,?,0.85341,0.96667,0.46204,0.052403,0.49979,0.067688,0.16198,0.025566,0.0091042,4.3085E-4,1.3596
?,1.2195,?,0.94433,1.0,?,?,0.032299,0.024332,0.10405,0.01071,?,?,?
0.4867,?,0.37691,?,0.99474,0.54006,0.032181,0.18848,0.098716,0.18377,0.03267,?,9.5661E-4,?
0.46098,1.2199,0.32967,0.90459,1.0,0.56329,0.027061,?,0.092156,0.18249,0.03223,?,?,1.7156
0.73086,?,?,0.87291,0.97193,0.4865,0.034289,?,0.02898,0.10191,0.01028,?,1.0051E-4,0.76676
0.51577,1.2902,0.32454,0.9208,0.99474,?,0.023879,0.10378,?,0.12228,0.014732,0.0042129,?,1.1232
0.59837,1.3539,?,0.93647,0.99825,?,0.019818,0.071484,0.045326,?,0.016966,0.0059817,3.532E-4,0.93682
0.55112,?,?,?,0.99649,0.49492,?,0.17015,?,0.14621,0.02093,0.0063685,6.7747E-4,1.2659
0.44941,1.1374,0.38458,?,0.97368,0.54595,0.047809,0.41601,0.11385,0.18608,0.033467,0.0082395,?,2.2422
0.46727,1.1876,0.36748,0.91542,0.97719,0.57995,?,?,0.13764,0.18732,0.033899,?,0.0029358,2.5551
0.55362,1.2438,0.39517,?,0.97193,0.51113,0.046323,0.39055,0.083154,0.17465,0.0296,0.0094574,7.4607E-4,1.5807
?,?,0.32151,0.91803,?,0.58719,0.045933,0.384,?,?,0.020931,0.0048174,0.0014091,1.6749
?,?,?,0.91457,0.96491,0.44764,?,0.55882,0.1203,0.19149,0.035373,0.0084315,0.0018137,?
0.55977,1.3442,0.34301,0.9298,0.97544,0.57879,0.053564,0.52218,0.14905,0.25543,0.061249,0.02381,5.9701E-4,?
?,1.2499,?,0.94477,0.9807,0.6743,0.0494,0.44415,0.096252,0.23034,?,?,2.6934E-4,?
?,1.1294,0.25496,0.94201,?,0.6084,0.040722,0.3018,0.10957,?,0.052636,0.02418,4.2353E-4,?
?,1.1366,0.22905,0.95565,0.97544,0.71234,0.038286,0.26678,?,0.22041,0.046329,0.016554,6.4766E-4,1.9866
0.54913,1.2769,0.31283,0.93889,?,0.5933,0.041539,0.31404,0.15188,0.2605,?,0.02379,8.43E-4,2.203
0.32168,1.1127,0.27055,0.95426,0.99298,0.70006,0.05426,0.53584,0.10967,0.21507,?,0.016252,6.1195E-4,1.8452
0.38564,1.0471,0.23328,?,0.97368,?,0.050832,?,0.13563,0.24744,0.057693,0.022,?,1.9757
0.36127,1.0573,0.26213,0.93923,0.96667,?,?,0.44811,0.19067,0.28081,0.073089,0.023825,?,2.6604
