@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

2,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,14
2,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,6
?,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,?
2,0.44,0.365,0.125,0.516,?,0.114,0.155,9
1,0.33,0.255,?,0.205,?,0.0395,0.055,6
1,0.425,?,0.095,0.3515,0.141,?,0.12,7
0,0.53,0.415,0.15,?,0.237,0.1415,0.33,19
?,0.545,0.425,0.125,0.768,0.294,0.1495,?,15
2,0.475,0.37,0.125,0.5095,?,0.1125,0.165,8
0,?,0.44,0.15,0.8945,0.3145,0.151,0.32,18
0,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,13
2,0.43,0.35,0.11,0.406,0.1675,?,0.135,9
2,0.49,?,?,?,0.2175,0.095,0.19,10
0,?,0.405,0.145,0.6845,?,0.171,0.205,9
0,0.47,?,0.1,0.4755,0.1675,0.0805,0.185,9
2,?,0.4,0.13,0.6645,?,0.133,0.24,11
1,0.355,0.28,0.085,?,0.095,0.0395,?,6
0,0.44,?,0.1,0.451,?,0.087,0.13,9
2,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,6
2,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,8
2,0.355,0.28,0.095,0.2455,?,0.062,0.075,10
1,0.38,0.275,0.1,0.2255,?,0.049,?,9
0,0.565,0.44,0.155,0.9395,0.4275,?,0.27,11
0,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,8
0,?,?,?,1.1615,?,0.301,0.305,9
0,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,10
0,0.58,0.45,0.185,0.9955,0.3945,?,0.285,10
2,0.59,0.445,?,?,0.356,?,?,11
?,0.605,0.475,?,0.9365,?,?,0.295,?
2,0.575,0.425,0.14,0.8635,0.393,0.227,?,10
2,?,0.47,0.165,0.9975,0.3935,?,?,9
0,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,14
2,0.665,?,0.165,?,0.5515,0.3575,0.35,17
0,0.68,0.55,?,1.798,?,0.3925,0.455,18
?,?,0.55,0.2,1.7095,0.633,?,0.49,12
2,0.465,0.355,0.105,0.4795,?,0.124,0.125,7
?,?,0.475,0.155,1.217,0.5305,0.3075,?,15
0,?,0.355,0.105,0.5225,0.237,0.1165,0.145,7
0,0.575,0.445,?,0.883,?,0.2035,0.26,10
2,0.355,0.29,0.09,0.3275,0.134,0.086,?,8
0,?,?,0.105,?,0.1865,0.091,0.115,8
0,0.55,?,0.135,0.8515,0.362,0.196,0.27,13
1,0.24,0.175,0.045,?,0.0315,0.0235,0.02,4
?,0.205,?,?,0.042,0.0255,0.015,0.012,4
?,?,0.15,0.05,0.042,0.0175,0.0125,0.015,3
1,?,0.295,0.095,0.203,0.0875,?,?,6
2,?,0.37,0.12,0.5795,0.293,0.227,?,8
0,0.46,0.375,0.12,0.4605,0.1775,0.11,?,6
1,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,?
0,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,8
?,0.52,0.41,0.12,?,?,0.111,0.19,?
2,?,0.32,0.095,0.303,0.1335,0.06,0.1,6
?,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,9
0,?,0.36,0.12,0.4775,0.2105,0.1055,0.15,9
2,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,6
0,0.5,?,0.14,0.6615,?,0.1755,0.22,7
2,0.445,0.35,0.12,?,0.192,?,?,?
2,0.47,0.385,0.135,0.5895,0.2765,0.12,?,7
1,0.245,0.19,0.06,0.086,?,0.014,?,3
0,0.505,?,?,0.583,0.246,0.13,0.175,6
2,?,0.345,0.105,0.4115,0.18,?,0.135,6
?,0.505,0.405,0.11,0.625,0.305,?,0.175,8
0,?,0.41,0.13,?,?,0.1935,0.2,9
2,0.425,0.325,?,0.3785,0.1705,?,0.1,6
2,?,0.4,0.12,0.58,0.234,0.1315,0.185,7
2,0.475,0.355,?,0.48,0.234,0.1015,?,7
0,0.565,?,0.16,0.915,0.354,?,0.32,?
0,0.595,0.495,0.185,1.285,0.416,0.224,0.485,?
0,0.475,0.39,0.12,0.5305,0.2135,?,0.17,9
1,?,?,0.07,?,?,0.0405,0.045,5
2,0.555,0.425,0.13,?,0.264,0.168,0.275,12
?,0.4,?,0.11,?,0.1405,0.0985,?,7
?,?,0.475,?,?,0.48,?,0.425,19
2,0.57,0.48,0.175,1.185,0.474,0.261,0.38,10
0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,12
0,0.6,?,0.15,?,0.4425,0.221,0.28,14
2,?,0.475,0.14,0.944,0.3625,0.189,0.315,8
0,0.6,0.47,?,0.922,0.363,0.194,0.305,9
0,?,0.425,0.14,0.788,0.282,?,0.285,10
0,0.615,0.475,0.17,?,0.4695,0.2355,0.345,13
0,0.575,?,0.14,0.941,?,?,?,8
2,0.62,0.51,?,1.615,0.5105,0.192,?,11
0,0.52,0.425,0.165,?,?,0.225,0.32,15
2,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,20
2,0.58,0.45,?,1.013,0.38,?,0.36,13
0,0.57,0.465,?,1.295,?,?,?,?
?,?,0.465,0.14,?,0.4825,0.205,0.4,12
2,0.56,?,0.16,?,0.3305,0.2075,0.26,9
0,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,?
?,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,11
?,0.565,?,?,?,0.341,0.1675,0.255,14
2,0.555,?,?,0.755,0.307,0.1525,0.26,11
2,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,12
0,0.625,0.495,0.165,1.262,0.507,?,0.39,9
2,0.695,0.56,0.19,?,0.588,0.3425,?,14
2,?,0.535,0.195,1.606,0.5755,0.388,0.48,13
2,?,0.435,?,0.725,0.269,0.1385,?,?
?,0.47,0.375,0.13,0.523,0.214,?,0.145,7
2,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,6
?,0.475,0.375,0.125,?,0.2775,0.085,0.155,9
?,?,?,0.095,0.2315,0.105,0.046,0.075,6
2,0.55,?,0.145,0.843,0.328,0.1915,0.255,14
2,?,0.435,0.16,0.883,?,0.164,0.335,14
2,?,0.415,?,?,?,0.1675,0.205,9
2,0.605,?,0.16,1.1735,0.4975,0.2405,?,11
0,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,11
?,0.545,0.43,?,0.802,0.2935,0.183,0.28,10
0,0.5,0.4,0.125,?,0.261,0.1315,0.22,?
0,0.51,0.39,0.135,?,0.231,0.179,?,8
0,0.435,0.395,?,0.3635,0.136,0.098,?,8
2,0.495,0.395,0.125,?,0.2375,0.1345,0.155,8
?,?,0.36,?,0.431,0.172,0.107,0.175,8
?,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,8
2,0.425,?,?,0.393,0.13,0.063,0.165,?
0,?,0.41,?,0.6935,0.2975,?,?,?
0,?,0.415,0.115,0.5915,0.233,0.1585,0.18,?
0,?,0.375,0.135,?,?,0.102,0.22,10
2,0.44,0.34,0.105,0.402,0.1305,0.0955,?,9
0,0.56,0.43,?,0.8825,0.3465,0.172,0.31,8
2,0.405,0.305,0.085,?,?,0.0595,0.085,?
0,0.47,0.365,0.105,0.4205,0.163,?,0.14,8
1,0.385,0.295,0.085,?,?,0.0575,0.085,6
0,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,13
?,0.37,0.265,0.075,0.214,0.09,0.051,0.07,5
1,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,5
1,0.27,0.195,?,0.073,0.0285,0.0235,0.03,?
1,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,5
1,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,7
2,0.7,0.535,0.16,1.7255,0.63,0.2635,?,?
2,?,0.54,0.165,1.959,0.7665,?,0.78,?
2,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,16
0,?,0.35,0.125,0.4035,0.175,0.063,0.129,8
0,0.325,0.26,0.09,0.1915,0.085,?,0.062,6
1,0.35,0.26,0.095,0.211,?,?,0.068,6
?,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,6
0,?,0.33,?,0.406,0.1635,0.081,0.1355,7
0,?,0.23,0.08,0.156,0.0675,?,0.048,6
