@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

?,0.27,0.36,20.7,?,45.0,170.0,?,?,0.45,?,6.0,2
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,?,0.49,9.5,?,2
8.1,0.28,0.4,6.9,0.05,30.0,?,?,3.26,0.44,10.1,?,2
7.2,0.23,0.32,?,0.058,47.0,186.0,0.9956,3.19,0.4,?,6.0,2
7.2,0.23,0.32,8.5,?,47.0,?,0.9956,3.19,0.4,9.9,?,2
8.1,0.28,0.4,6.9,0.05,30.0,?,0.9951,3.26,0.44,?,6.0,2
6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,?,9.6,6.0,2
7.0,?,0.36,?,0.045,?,170.0,1.001,?,0.45,8.8,?,?
6.3,0.3,0.34,1.6,?,?,?,0.994,3.3,?,?,6.0,2
8.1,?,?,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,?,6.0,2
8.1,0.27,0.41,1.45,?,11.0,63.0,0.9908,2.99,0.56,?,5.0,2
?,0.23,0.4,?,0.035,17.0,?,0.9947,?,0.53,9.7,?,?
7.9,?,0.37,1.2,?,16.0,75.0,0.992,3.18,?,10.8,5.0,?
?,0.16,?,1.5,0.044,?,143.0,0.9912,3.54,0.52,?,7.0,2
8.3,0.42,0.62,?,0.04,41.0,172.0,1.0002,?,0.67,?,5.0,2
?,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,?,0.55,11.4,7.0,2
?,0.48,0.04,1.1,0.046,?,?,0.9928,?,0.36,?,6.0,?
6.2,0.66,0.48,?,0.029,29.0,75.0,?,3.33,0.39,?,8.0,?
?,0.34,?,1.1,0.033,?,171.0,0.9917,?,0.53,11.3,?,2
?,?,0.14,?,0.044,?,133.0,0.9955,3.22,0.5,9.5,?,2
6.2,?,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,?,2
6.4,?,0.38,2.9,0.038,?,102.0,0.9912,3.17,0.35,11.0,7.0,2
?,0.26,?,1.7,0.049,?,122.0,0.993,?,?,?,8.0,2
7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,?,?,9.3,5.0,?
6.6,?,0.41,1.3,0.052,?,?,0.9951,3.42,0.47,10.0,6.0,2
7.0,0.25,?,9.0,0.046,?,245.0,0.9955,3.25,0.5,10.4,6.0,?
6.9,0.24,0.35,?,0.052,?,146.0,0.993,?,0.44,10.0,?,2
7.0,0.28,0.39,8.7,0.051,32.0,?,0.9961,?,?,10.5,6.0,?
7.4,0.27,0.48,?,0.047,17.0,132.0,0.9914,3.19,0.49,11.6,6.0,2
?,0.32,0.36,?,0.033,37.0,?,?,3.1,?,12.3,7.0,2
8.5,?,0.39,10.4,0.044,?,?,0.9974,3.2,?,10.0,6.0,2
8.3,?,?,?,0.042,?,47.0,0.9934,3.47,0.4,10.2,?,?
7.4,?,?,2.05,0.05,31.0,?,0.992,3.19,0.44,10.8,6.0,2
?,0.12,0.34,1.5,?,43.0,117.0,0.9939,3.42,0.51,9.0,6.0,?
?,0.27,?,?,0.044,22.0,179.0,0.9962,3.37,0.37,10.2,5.0,2
7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,3.19,?,12.8,?,?
?,0.39,0.23,5.4,0.051,25.0,149.0,?,3.24,0.35,?,5.0,2
7.0,?,0.32,1.2,?,?,138.0,0.9906,?,0.28,11.2,6.0,2
7.3,0.24,?,?,0.057,45.0,?,0.9999,?,0.36,8.6,5.0,2
7.3,?,?,17.95,?,45.0,149.0,?,3.21,0.36,8.6,5.0,2
6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.9937,?,?,9.4,?,2
6.7,0.24,0.39,?,0.173,63.0,?,?,3.1,0.34,?,6.0,2
7.0,0.31,0.26,?,0.069,?,160.0,0.9954,3.13,0.46,9.8,6.0,2
6.6,?,0.27,1.4,0.057,?,152.0,?,3.22,0.56,9.5,6.0,2
?,?,0.26,1.4,0.06,?,154.0,0.9934,3.24,?,9.5,?,2
7.4,0.18,0.31,1.4,0.058,38.0,?,0.9931,3.16,0.53,10.0,7.0,?
6.2,0.45,0.26,4.4,?,63.0,206.0,0.994,3.27,?,9.8,4.0,?
6.2,0.46,?,?,?,62.0,207.0,?,3.25,0.52,?,5.0,2
7.0,?,0.26,7.4,?,?,?,?,?,0.46,9.8,?,?
6.9,0.19,?,5.0,?,?,?,0.995,?,0.48,9.8,5.0,?
7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,?,11.7,?,?
?,0.25,?,1.1,0.068,39.0,124.0,?,3.34,0.58,?,7.0,2
6.2,?,?,1.1,0.057,21.0,82.0,0.991,3.32,?,10.9,?,2
6.4,0.18,?,1.0,0.045,?,108.0,0.9911,3.31,0.35,10.9,6.0,?
?,0.2,0.59,0.9,0.147,?,132.0,0.993,?,0.38,?,6.0,?
6.9,?,?,1.3,0.039,29.0,?,0.9908,3.13,0.52,11.0,6.0,2
7.2,0.21,0.34,11.9,?,37.0,213.0,?,3.09,0.5,?,6.0,2
6.0,?,?,12.4,?,50.0,?,?,3.3,0.36,8.9,6.0,?
6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,?,10.2,6.0,2
7.4,?,0.36,?,?,44.0,111.0,0.9926,3.36,0.34,9.9,6.0,?
6.8,?,0.24,?,0.092,30.0,123.0,?,3.03,0.46,8.6,6.0,2
6.0,0.19,0.26,12.4,0.048,?,?,0.9972,3.3,0.36,8.9,6.0,?
7.0,?,0.07,1.1,0.035,?,151.0,?,3.02,0.34,10.5,5.0,?
6.6,0.38,0.15,4.6,0.044,?,78.0,?,3.11,0.38,10.2,?,2
7.2,0.24,0.27,?,?,31.0,?,0.9927,?,?,?,6.0,?
6.2,0.35,0.03,1.2,0.064,29.0,120.0,?,?,0.54,9.1,5.0,2
6.4,0.26,0.24,6.4,0.04,?,124.0,0.9903,3.22,0.49,12.6,?,2
6.7,0.25,0.13,1.2,?,81.0,?,?,?,?,9.8,5.0,?
