@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,?,n,t,?,f,c,n,k,?,e,s,?,?,w,w,o,p,?,s,u,p
x,s,y,t,a,f,c,b,?,e,c,s,?,w,w,w,o,p,n,n,g,e
?,?,?,t,l,f,c,?,?,e,c,s,s,w,w,w,?,p,n,n,?,?
?,y,?,?,p,f,c,n,n,?,?,s,s,w,w,?,o,p,k,s,?,p
x,s,g,f,n,?,w,b,?,t,e,s,?,w,w,?,o,e,?,a,g,?
?,y,y,?,a,f,c,b,n,e,?,?,s,w,?,w,?,p,?,n,g,e
b,s,?,?,?,?,c,b,g,?,c,s,s,?,w,?,o,?,?,?,m,e
b,?,w,?,?,f,?,b,?,e,c,?,s,?,w,w,o,p,?,s,m,e
x,y,w,t,p,?,?,n,?,e,?,s,s,?,w,w,?,p,k,?,?,p
b,s,?,t,?,?,c,b,?,e,c,s,s,?,w,?,o,p,k,s,m,?
?,y,y,t,l,f,?,b,g,e,c,s,s,w,w,w,o,p,n,n,g,e
?,y,?,?,a,f,c,b,?,e,?,s,s,w,w,w,o,p,k,s,?,?
b,s,y,?,a,f,c,?,?,?,?,?,s,w,w,?,?,p,n,?,g,e
x,y,w,?,?,f,c,n,k,e,e,?,?,w,w,?,?,?,n,v,?,?
?,?,n,f,?,f,?,b,?,?,e,s,f,?,w,w,o,e,k,a,g,?
?,f,?,f,n,f,c,n,?,e,?,s,s,w,w,?,?,?,?,y,u,?
?,f,w,f,n,f,?,b,k,t,?,s,s,w,w,w,o,?,n,a,g,e
x,?,?,?,?,f,c,n,n,?,e,s,s,w,w,w,o,?,?,?,?,?
x,y,w,?,p,f,c,n,n,e,?,s,s,?,w,w,?,p,n,s,u,p
x,s,n,t,?,f,c,?,k,e,?,s,s,w,w,?,o,p,?,s,?,p
b,s,y,t,?,f,c,b,k,?,c,s,s,w,?,w,o,p,n,s,?,e
x,y,n,t,p,?,c,?,?,e,?,s,s,w,w,w,?,p,n,v,g,p
?,y,y,t,l,?,c,?,k,?,c,?,?,w,w,?,?,p,n,s,?,e
b,?,w,t,?,f,c,b,w,?,c,s,?,w,w,w,o,p,n,?,m,e
b,?,w,t,l,f,?,b,g,e,?,s,?,?,?,?,o,p,?,?,m,e
?,s,w,t,p,?,c,n,?,e,e,?,s,w,w,w,o,?,?,v,g,p
x,?,?,t,?,?,?,?,n,e,c,?,s,w,?,?,o,p,n,n,?,e
?,y,?,?,l,?,?,?,w,?,c,?,?,?,?,w,?,?,n,?,m,?
f,f,n,f,?,?,?,n,k,e,?,s,?,w,?,?,o,p,?,?,u,?
x,s,?,?,a,?,w,n,n,t,?,?,?,w,?,w,o,?,n,v,d,?
?,?,?,?,l,f,?,b,g,e,c,s,s,?,w,?,?,p,?,n,?,e
x,y,?,?,p,?,c,n,k,?,?,?,s,w,w,?,o,p,?,s,?,?
x,y,?,?,?,?,c,?,?,e,c,?,?,w,w,w,?,?,?,n,m,e
x,y,?,t,l,f,?,b,?,e,?,?,y,?,?,?,?,p,?,y,p,?
b,y,y,t,l,?,c,?,n,e,?,s,s,?,w,?,o,?,n,s,?,e
?,f,?,?,?,f,w,n,w,?,b,?,s,?,?,?,o,?,n,v,d,e
?,f,g,?,?,?,c,n,k,?,e,s,?,?,w,w,?,p,k,v,u,?
x,y,n,t,p,?,c,?,?,e,e,s,s,?,w,w,o,p,n,?,?,p
x,?,y,?,?,?,w,n,?,t,b,?,s,?,w,w,?,?,?,?,d,e
b,s,y,?,l,?,c,?,k,?,c,?,s,w,w,?,?,p,k,s,m,?
?,?,y,t,?,?,?,b,?,e,c,s,s,?,w,?,?,p,n,s,?,?
x,y,?,t,?,f,?,b,n,e,r,s,y,?,w,w,o,p,k,?,?,e
?,?,n,f,?,?,?,n,g,e,?,s,s,w,?,w,o,p,k,?,?,e
x,y,w,?,p,f,?,?,p,e,?,s,s,?,?,?,o,p,n,v,?,p
x,?,?,t,a,?,?,b,?,e,c,?,s,?,?,w,o,?,k,?,m,?
?,y,w,t,a,?,?,b,?,e,c,?,?,w,w,w,o,p,n,n,g,e
x,?,y,t,l,f,c,?,k,e,?,s,?,w,w,w,o,?,?,?,m,e
?,s,?,t,l,f,?,b,w,?,?,s,?,w,w,w,o,?,?,n,m,e
x,y,y,t,?,?,c,?,?,?,r,s,y,w,?,w,?,p,?,?,p,e
?,?,?,t,l,f,c,?,?,?,r,s,y,w,?,?,?,p,k,s,p,e
x,?,?,t,?,f,c,b,?,?,?,s,?,?,?,?,?,p,k,?,?,e
x,s,?,t,l,f,?,b,?,?,c,?,s,?,w,w,?,?,?,s,?,e
b,?,w,t,l,?,?,b,?,?,c,s,?,?,?,w,?,p,?,?,?,?
?,?,n,?,p,?,c,?,k,e,?,?,s,?,w,?,o,p,?,?,?,p
x,s,w,t,?,?,?,n,?,?,e,s,?,w,w,w,?,?,k,v,u,p
b,y,?,t,a,?,?,b,w,?,?,s,?,w,?,w,o,p,?,s,?,?
f,f,?,f,n,?,?,?,?,?,e,?,?,w,w,w,?,e,n,a,g,e
b,s,w,?,?,f,c,?,w,e,c,s,?,w,w,w,o,p,?,n,g,e
?,s,y,t,l,?,c,b,k,e,?,s,s,w,w,w,?,?,?,n,?,e
?,y,n,t,a,f,?,b,?,e,r,s,y,?,w,?,o,?,k,?,?,e
s,f,?,f,?,?,?,n,k,?,e,?,s,w,w,w,o,?,n,?,u,e
b,y,y,t,a,?,c,b,?,e,c,?,?,w,?,w,?,p,?,s,m,e
?,?,y,?,l,?,c,b,?,?,c,?,s,w,w,?,?,?,?,?,?,?
b,?,y,?,?,f,?,b,g,e,?,s,s,w,w,w,?,p,?,n,m,e
b,?,w,t,l,?,c,b,?,?,c,?,s,w,w,w,?,?,?,s,g,?
f,s,n,f,?,f,w,b,k,t,e,?,s,?,w,?,o,?,?,a,?,e
?,s,w,?,l,f,?,?,?,e,c,s,?,?,w,?,o,p,k,s,?,e
f,y,y,t,?,?,c,b,?,?,r,?,?,w,w,?,o,p,n,s,?,?
x,?,?,t,a,?,?,?,?,e,c,?,?,?,w,w,?,?,k,?,g,?
?,?,g,?,n,f,?,n,p,?,?,?,?,w,w,w,?,p,?,v,u,e
?,f,y,t,l,f,w,?,p,?,b,?,?,?,?,w,o,p,?,?,?,?
?,y,?,?,l,f,c,b,?,e,c,?,s,?,w,?,o,p,n,?,?,?
f,?,y,?,?,?,?,n,w,t,b,?,?,?,w,w,?,p,n,?,?,e
?,?,?,t,?,f,c,b,p,e,?,s,?,w,w,w,?,p,k,?,p,e
b,s,y,?,a,f,?,?,k,?,c,?,s,w,?,?,?,?,?,?,?,e
f,?,y,?,l,?,w,n,?,t,?,s,?,w,w,w,?,p,?,v,d,?
x,s,w,t,?,f,w,n,?,t,b,?,?,w,?,?,o,p,u,?,d,?
f,y,n,?,?,?,c,?,p,e,r,s,y,w,?,?,o,p,n,y,p,e
?,y,n,t,?,f,?,?,?,?,e,?,?,w,w,w,?,p,n,?,?,p
?,y,?,t,a,f,?,b,?,?,?,s,?,?,w,w,o,?,n,?,g,?
?,s,?,?,n,f,w,b,?,t,e,?,?,w,w,?,o,?,?,?,g,?
?,y,w,t,?,?,c,?,w,e,e,?,?,?,w,w,o,p,k,?,g,p
f,?,g,?,n,?,c,n,n,e,?,s,s,w,w,w,?,p,n,?,?,e
?,f,g,?,n,f,?,b,?,?,e,s,s,w,w,?,?,?,?,s,g,e
?,?,?,?,?,f,c,b,?,?,?,s,y,w,w,?,o,p,k,?,g,?
?,?,?,?,?,f,w,?,?,t,e,?,s,w,w,?,?,?,k,s,?,?
?,?,w,?,a,f,?,?,?,?,c,?,s,?,w,?,?,?,k,?,g,?
x,?,w,t,l,f,c,b,?,e,?,s,s,w,?,?,?,p,n,s,g,e
f,?,n,?,?,?,?,b,?,e,?,s,?,?,?,w,?,p,k,?,g,?
s,f,?,?,n,f,?,?,?,e,e,s,s,w,w,?,?,p,?,?,u,?
?,f,?,?,n,f,c,?,n,e,e,?,s,w,w,w,o,p,n,?,u,?
b,?,?,t,l,f,c,b,k,?,c,s,?,w,?,w,?,?,?,?,g,?
x,y,y,?,a,f,c,b,g,e,c,s,?,w,w,w,o,p,k,?,?,e
x,y,y,t,l,?,c,?,g,e,c,?,?,w,w,w,?,p,k,n,?,e
x,s,?,?,n,f,?,?,?,t,e,s,s,w,w,w,o,e,n,?,?,?
?,?,?,?,a,f,?,?,?,e,?,s,s,w,w,w,?,?,?,s,g,e
