@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,s,n,t,?,f,?,n,k,?,e,s,s,w,w,?,?,p,?,s,u,p
?,s,y,t,a,?,c,?,k,e,c,s,s,?,w,w,?,p,n,n,?,e
b,s,?,?,?,f,c,b,?,e,c,s,s,?,?,w,?,p,n,n,m,?
x,?,w,?,p,?,c,n,?,?,e,s,?,?,w,w,o,?,?,s,u,p
x,?,g,f,n,?,w,?,k,t,e,s,s,?,?,w,o,e,n,a,g,e
x,y,y,t,a,?,c,?,n,e,?,?,s,w,?,w,o,p,?,n,g,?
b,s,?,t,a,f,?,b,g,e,c,s,?,w,w,w,o,?,k,?,?,?
b,y,w,t,l,f,c,?,?,e,c,?,s,w,w,w,o,?,n,?,m,?
x,?,w,t,p,f,?,n,?,?,e,?,s,w,w,w,o,p,k,v,g,p
b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,?,o,?,?,?,m,e
?,y,y,t,?,f,?,b,g,e,?,s,s,w,?,?,?,?,n,n,?,e
x,?,y,t,?,f,c,b,n,?,c,s,s,?,w,w,?,p,k,?,m,e
b,s,?,t,a,f,c,?,w,e,c,?,s,?,w,?,o,?,n,s,g,e
?,y,w,t,p,f,c,n,k,?,e,s,s,w,?,w,o,p,n,v,u,p
?,?,n,f,n,f,?,?,n,t,e,s,f,w,?,?,?,?,k,?,g,e
s,f,?,f,?,f,c,n,k,e,e,?,s,?,w,?,?,p,n,y,u,e
f,f,w,f,n,?,?,?,k,t,e,s,s,w,w,w,?,?,n,?,g,e
?,?,n,t,?,f,c,n,?,e,e,?,s,?,w,?,o,p,k,s,?,p
x,?,w,t,p,f,c,?,?,e,e,s,s,?,w,?,o,?,?,s,?,?
?,?,?,t,p,f,c,n,k,e,e,s,s,w,w,w,o,?,?,?,u,p
?,s,?,?,?,f,c,b,?,e,c,s,s,w,?,?,?,p,n,s,?,e
x,y,n,t,p,f,c,n,n,e,?,?,s,w,?,w,o,p,n,v,g,?
?,?,y,t,?,?,?,b,?,e,c,s,s,w,?,?,o,?,n,s,?,e
b,y,w,t,a,f,?,?,w,?,c,s,?,w,?,?,o,p,n,n,?,?
b,s,w,?,?,?,c,b,g,e,?,?,?,w,?,w,?,p,?,?,?,e
?,?,w,?,?,f,c,?,n,?,e,?,?,w,w,?,o,?,n,?,g,p
x,y,y,t,a,f,?,b,?,e,c,s,s,?,?,w,o,?,n,n,m,e
?,?,w,t,?,f,c,b,w,e,?,?,?,w,w,?,o,p,?,?,m,e
f,?,n,f,n,f,?,n,?,e,?,s,s,?,?,w,o,p,k,y,?,e
x,s,y,t,a,?,?,n,?,t,b,?,s,?,w,w,o,?,n,v,?,?
b,?,?,t,l,?,c,?,g,e,c,?,s,w,w,w,o,p,?,n,m,?
?,?,w,?,p,?,c,n,k,e,e,s,?,?,?,?,?,p,n,s,u,?
x,y,y,t,?,f,c,?,n,?,?,?,s,w,?,w,?,?,n,?,m,?
x,y,n,t,?,?,c,b,?,?,r,?,?,w,w,w,o,?,?,?,p,e
b,?,y,?,l,?,c,?,?,e,?,?,s,?,?,w,?,p,n,s,m,e
x,f,?,?,?,f,?,n,?,?,b,s,s,?,?,?,?,p,n,v,d,e
s,?,g,f,?,?,?,n,?,e,e,s,s,?,?,?,o,p,k,v,?,e
x,y,n,?,p,f,c,?,w,e,?,s,?,w,w,w,o,?,?,?,u,p
x,f,y,t,a,f,w,n,p,?,b,s,s,w,?,w,o,?,n,?,d,e
b,?,y,t,l,?,?,b,?,e,c,?,?,w,w,w,o,p,k,s,m,?
b,y,y,?,a,?,c,?,?,e,c,?,s,?,w,?,o,?,n,?,g,e
?,y,y,t,?,f,c,?,n,?,r,s,y,?,w,?,?,?,?,y,p,e
x,?,n,?,n,?,c,n,g,?,e,s,s,w,?,?,o,?,?,?,?,e
x,?,?,t,p,f,c,?,p,e,e,?,?,w,w,?,o,p,n,?,?,?
x,s,y,?,?,f,c,?,?,?,c,?,?,w,?,?,o,?,?,n,?,?
?,?,w,t,?,f,?,b,?,e,c,s,s,?,w,?,?,p,?,?,g,e
?,?,y,t,?,?,?,b,?,e,?,?,s,?,?,w,?,?,k,s,?,?
?,s,?,t,?,f,?,b,w,e,?,s,s,?,w,w,o,?,?,?,m,e
x,?,y,t,l,f,?,b,?,?,r,?,?,?,?,w,?,?,?,?,p,e
?,?,y,t,l,?,?,b,?,?,r,s,y,w,?,?,?,?,?,?,?,?
?,?,?,t,a,?,c,?,w,e,r,s,y,w,w,?,o,?,?,s,?,e
?,s,w,t,l,?,?,b,?,?,c,s,s,w,w,w,?,?,k,s,g,e
b,s,w,t,?,?,c,?,k,?,c,s,?,w,w,w,o,?,?,?,?,e
?,?,n,t,?,?,?,?,k,e,e,s,s,w,w,?,o,p,?,?,?,p
x,?,?,t,p,f,?,n,k,e,?,s,s,w,w,w,?,p,?,v,u,?
b,?,y,?,a,f,c,b,w,?,?,?,?,?,w,w,?,p,k,s,m,?
?,f,?,f,n,f,w,?,?,?,e,s,?,w,?,w,o,e,n,?,g,e
b,?,?,t,a,?,c,b,?,?,?,s,?,?,w,w,o,?,n,n,g,?
?,?,y,t,?,f,c,b,k,?,c,s,?,w,w,?,o,?,?,n,?,e
x,?,?,t,a,?,c,?,p,?,?,?,y,w,?,?,?,p,?,?,?,e
s,f,g,?,n,?,c,?,?,e,e,?,s,w,?,w,o,?,n,v,u,e
b,y,y,t,?,?,c,?,k,e,?,s,?,?,w,w,o,p,?,?,?,e
?,?,?,?,l,f,c,b,?,?,?,s,?,?,?,?,?,p,n,?,?,?
b,?,y,?,?,f,?,b,?,?,c,s,s,w,w,w,o,?,?,n,m,e
