@relation dataset

@attribute vendor {adviser, amdahl, apollo, basf, bti, burroughs, c.r.d, cdc, cambex, dec, dg, formation, four-phase, gould, hp, harris, honeywell, ibm, ipl, magnuson, microdata, nas, ncr, nixdorf, perkin-elmer, prime, siemens, sperry, sratus, wang}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

adviser,125.0,256.0,?,?,?,?,199.0
amdahl,29.0,8000.0,?,32.0,8.0,32.0,?
amdahl,29.0,?,32000.0,?,?,?,253.0
amdahl,29.0,?,?,?,8.0,?,?
amdahl,?,8000.0,16000.0,?,8.0,16.0,132.0
amdahl,26.0,8000.0,32000.0,64.0,?,?,290.0
amdahl,?,16000.0,32000.0,?,16.0,32.0,381.0
?,23.0,?,32000.0,?,16.0,?,?
?,?,?,64000.0,?,?,32.0,749.0
amdahl,23.0,32000.0,?,?,?,64.0,1238.0
?,400.0,1000.0,?,?,1.0,?,23.0
apollo,400.0,?,3500.0,?,?,6.0,?
?,?,?,8000.0,?,?,?,70.0
?,50.0,?,16000.0,65.0,?,?,117.0
?,?,?,?,0.0,?,4.0,?
?,200.0,512.0,?,?,?,?,64.0
?,167.0,?,?,?,?,15.0,23.0
?,?,?,?,0.0,7.0,?,29.0
?,143.0,?,?,0.0,?,16.0,?
burroughs,110.0,?,5000.0,142.0,?,64.0,124.0
burroughs,143.0,?,6300.0,?,5.0,?,35.0
burroughs,143.0,3100.0,?,?,?,20.0,39.0
burroughs,?,2300.0,6200.0,?,?,64.0,?
burroughs,?,3100.0,6200.0,?,6.0,64.0,45.0
?,?,?,?,?,1.0,?,28.0
?,?,512.0,?,?,?,3.0,?
?,?,256.0,?,0.0,?,?,28.0
?,?,256.0,3000.0,4.0,1.0,3.0,22.0
c.r.d,320.0,?,?,?,?,5.0,?
?,?,?,5000.0,?,1.0,6.0,?
?,25.0,?,?,131.0,?,?,?
?,?,1310.0,?,131.0,?,?,?
cdc,50.0,?,10480.0,30.0,12.0,24.0,74.0
cdc,50.0,?,10480.0,30.0,12.0,?,74.0
?,56.0,5240.0,?,?,?,?,138.0
cdc,64.0,?,?,?,?,?,?
?,?,500.0,2000.0,8.0,1.0,4.0,23.0
?,50.0,1000.0,?,8.0,1.0,5.0,?
?,50.0,2000.0,8000.0,8.0,1.0,?,44.0
?,50.0,1000.0,4000.0,8.0,3.0,5.0,30.0
?,50.0,?,?,8.0,3.0,?,?
?,?,2000.0,16000.0,8.0,3.0,?,74.0
?,50.0,?,16000.0,8.0,?,?,?
cambex,?,2000.0,?,?,?,?,?
dec,133.0,1000.0,12000.0,9.0,?,12.0,54.0
?,?,?,8000.0,?,3.0,12.0,41.0
?,?,512.0,?,8.0,?,1.0,?
dec,810.0,1000.0,5000.0,0.0,1.0,1.0,28.0
dec,320.0,512.0,8000.0,?,1.0,5.0,?
?,200.0,512.0,8000.0,8.0,1.0,8.0,38.0
?,?,384.0,?,?,?,1.0,34.0
dg,?,256.0,?,?,1.0,?,19.0
dg,140.0,1000.0,?,?,?,?,?
?,?,?,8000.0,?,?,2.0,?
dg,110.0,?,?,?,?,?,?
dg,?,?,?,16.0,1.0,2.0,56.0
?,?,?,?,16.0,?,?,42.0
?,800.0,256.0,8000.0,?,?,4.0,?
formation,800.0,?,8000.0,0.0,?,?,?
?,800.0,256.0,8000.0,0.0,1.0,4.0,?
formation,800.0,?,8000.0,?,?,4.0,34.0
formation,?,?,8000.0,0.0,1.0,4.0,34.0
?,125.0,?,1000.0,?,?,20.0,19.0
gould,?,2000.0,?,64.0,1.0,?,75.0
?,?,2000.0,?,?,?,?,113.0
gould,?,?,?,?,?,38.0,?
hp,?,?,?,?,3.0,10.0,18.0
hp,105.0,256.0,2000.0,?,3.0,10.0,20.0
?,105.0,?,4000.0,?,?,?,28.0
?,?,?,?,8.0,?,19.0,?
?,75.0,?,8000.0,8.0,?,?,47.0
?,75.0,3000.0,8000.0,?,3.0,?,54.0
hp,175.0,256.0,2000.0,0.0,3.0,?,20.0
?,?,768.0,?,?,?,?,?
?,300.0,768.0,3000.0,?,?,?,25.0
?,300.0,?,12000.0,?,6.0,24.0,52.0
harris,300.0,?,4500.0,?,1.0,?,27.0
?,?,?,12000.0,?,?,24.0,?
?,300.0,?,?,6.0,?,?,18.0
?,180.0,768.0,?,?,1.0,31.0,53.0
honeywell,330.0,?,3000.0,0.0,?,4.0,23.0
?,300.0,1000.0,4000.0,?,?,?,30.0
?,?,1000.0,?,8.0,?,112.0,?
honeywell,?,?,?,0.0,?,2.0,?
?,?,1000.0,4000.0,?,3.0,6.0,25.0
?,?,2000.0,?,0.0,?,?,?
?,?,?,?,?,4.0,8.0,?
honeywell,?,2000.0,4000.0,8.0,1.0,?,?
?,140.0,2000.0,?,32.0,?,20.0,175.0
honeywell,140.0,2000.0,?,?,?,?,?
honeywell,?,2000.0,32000.0,?,1.0,?,?
?,140.0,?,32000.0,32.0,?,54.0,?
?,?,2000.0,?,?,?,20.0,32.0
ibm,?,?,?,?,6.0,12.0,82.0
?,?,?,?,?,12.0,?,171.0
?,26.0,?,?,?,16.0,?,361.0
?,26.0,?,32000.0,?,?,?,?
ibm,?,?,?,0.0,?,?,220.0
?,26.0,?,16000.0,0.0,?,?,113.0
ibm,?,?,?,?,?,1.0,?
ibm,?,1000.0,2000.0,0.0,?,?,?
ibm,?,512.0,?,16.0,?,?,35.0
?,1100.0,?,?,0.0,?,1.0,18.0
?,1100.0,768.0,?,?,?,1.0,20.0
?,600.0,768.0,?,0.0,1.0,1.0,20.0
?,?,2000.0,4000.0,?,?,1.0,28.0
ibm,400.0,?,8000.0,?,1.0,1.0,?
?,900.0,?,?,0.0,1.0,?,?
?,?,?,?,?,1.0,?,?
ibm,900.0,?,?,?,?,?,?
?,?,?,4000.0,?,?,?,28.0
?,?,?,4000.0,0.0,3.0,6.0,?
ibm,225.0,?,4000.0,?,3.0,6.0,?
ibm,?,2000.0,?,8.0,3.0,?,?
?,180.0,?,8000.0,8.0,1.0,?,42.0
?,185.0,2000.0,?,?,?,?,76.0
ibm,180.0,2000.0,16000.0,16.0,?,?,?
ibm,225.0,1000.0,?,2.0,?,6.0,26.0
ibm,25.0,2000.0,?,8.0,1.0,?,59.0
ibm,25.0,2000.0,?,16.0,3.0,?,65.0
ibm,?,4000.0,?,8.0,?,12.0,101.0
ibm,?,4000.0,?,?,?,?,?
?,?,?,?,0.0,?,?,?
?,1500.0,768.0,?,0.0,?,0.0,?
?,?,768.0,?,0.0,0.0,0.0,?
ipl,?,?,4000.0,?,?,6.0,?
ipl,50.0,2000.0,8000.0,8.0,3.0,6.0,?
?,50.0,?,?,?,1.0,?,44.0
ipl,?,?,16000.0,24.0,1.0,6.0,?
ipl,50.0,?,16000.0,?,1.0,6.0,?
?,?,?,16000.0,48.0,1.0,?,128.0
magnuson,100.0,?,?,?,?,6.0,?
?,?,1000.0,8000.0,24.0,2.0,6.0,46.0
?,?,?,8000.0,24.0,?,6.0,46.0
?,50.0,2000.0,16000.0,12.0,?,16.0,?
magnuson,50.0,2000.0,16000.0,24.0,6.0,?,88.0
magnuson,?,2000.0,?,24.0,6.0,?,88.0
?,?,?,4000.0,?,?,128.0,?
?,115.0,2000.0,8000.0,16.0,?,?,46.0
?,?,2000.0,?,2.0,?,?,29.0
?,92.0,2000.0,8000.0,32.0,1.0,?,?
nas,?,2000.0,?,32.0,1.0,6.0,?
?,92.0,2000.0,?,4.0,1.0,?,?
?,?,4000.0,16000.0,16.0,1.0,6.0,?
nas,60.0,?,16000.0,?,1.0,?,?
?,60.0,?,?,?,?,8.0,107.0
nas,60.0,?,?,64.0,?,8.0,117.0
nas,?,?,?,64.0,5.0,10.0,119.0
