@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data

?,?,?,178.0,72.0,10.0,?,42.0,?,159.0,176.0,379.0,184.0,?,6.0,16.0,187.0,?,van
91.0,?,84.0,141.0,?,?,?,?,?,?,170.0,?,158.0,72.0,9.0,?,189.0,199.0,?
104.0,50.0,106.0,?,66.0,10.0,?,?,23.0,158.0,223.0,635.0,?,73.0,14.0,?,188.0,196.0,?
?,?,82.0,?,63.0,9.0,144.0,?,?,143.0,160.0,309.0,127.0,?,?,10.0,?,207.0,van
85.0,44.0,?,205.0,?,?,?,?,?,?,241.0,?,?,127.0,9.0,?,?,183.0,?
107.0,57.0,106.0,?,50.0,6.0,255.0,?,?,169.0,?,957.0,?,?,5.0,9.0,?,?,bus
97.0,43.0,73.0,?,65.0,?,?,42.0,19.0,143.0,?,?,172.0,66.0,13.0,1.0,?,?,bus
?,43.0,66.0,157.0,65.0,9.0,?,48.0,?,146.0,162.0,281.0,164.0,67.0,3.0,3.0,193.0,202.0,van
86.0,34.0,?,140.0,61.0,7.0,?,54.0,?,127.0,141.0,223.0,?,?,2.0,14.0,?,?,?
?,44.0,?,?,62.0,?,?,?,?,146.0,?,?,?,64.0,4.0,14.0,195.0,204.0,?
