@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data

?,48.0,?,178.0,72.0,10.0,?,?,?,?,?,379.0,?,70.0,?,?,187.0,197.0,van
?,?,84.0,?,57.0,9.0,149.0,45.0,?,143.0,170.0,330.0,158.0,72.0,9.0,?,189.0,199.0,van
104.0,?,106.0,209.0,66.0,10.0,207.0,32.0,?,158.0,?,?,220.0,?,14.0,?,188.0,196.0,saab
93.0,41.0,?,?,63.0,9.0,?,46.0,19.0,143.0,160.0,?,?,63.0,?,10.0,199.0,207.0,?
?,?,?,?,?,52.0,?,45.0,19.0,?,241.0,325.0,?,?,9.0,?,180.0,183.0,?
?,?,?,?,?,?,255.0,26.0,28.0,169.0,?,957.0,264.0,85.0,5.0,?,181.0,183.0,bus
97.0,?,?,173.0,65.0,6.0,153.0,?,?,?,176.0,361.0,172.0,?,?,?,200.0,204.0,?
90.0,?,66.0,?,?,?,137.0,?,?,146.0,162.0,281.0,?,67.0,3.0,?,?,202.0,van
86.0,34.0,62.0,140.0,?,?,122.0,54.0,17.0,127.0,?,?,?,64.0,2.0,14.0,200.0,?,?
93.0,?,98.0,?,62.0,?,183.0,36.0,?,?,?,?,152.0,?,4.0,14.0,195.0,204.0,?
86.0,36.0,70.0,?,?,9.0,?,50.0,18.0,130.0,?,266.0,127.0,66.0,2.0,10.0,194.0,?,van
?,34.0,66.0,136.0,?,?,?,?,17.0,118.0,?,?,118.0,?,5.0,?,?,202.0,saab
88.0,?,74.0,171.0,68.0,?,152.0,43.0,19.0,?,?,349.0,192.0,71.0,5.0,?,189.0,195.0,bus
