@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data

95.0,48.0,?,178.0,72.0,?,162.0,42.0,?,159.0,176.0,?,?,70.0,6.0,?,?,197.0,van
?,41.0,84.0,141.0,?,?,149.0,?,19.0,143.0,?,330.0,?,72.0,?,?,189.0,?,van
104.0,?,?,?,?,10.0,207.0,32.0,?,158.0,?,?,?,73.0,?,9.0,188.0,?,?
93.0,?,82.0,?,63.0,9.0,144.0,?,19.0,143.0,?,309.0,?,63.0,?,?,199.0,207.0,?
?,44.0,70.0,205.0,?,?,149.0,45.0,?,144.0,241.0,325.0,188.0,127.0,9.0,11.0,180.0,?,bus
107.0,57.0,?,?,50.0,?,?,26.0,28.0,169.0,280.0,?,?,?,5.0,?,181.0,?,?
?,43.0,?,173.0,?,6.0,?,42.0,?,143.0,?,361.0,172.0,?,?,1.0,200.0,204.0,?
90.0,43.0,?,157.0,?,9.0,137.0,?,?,146.0,162.0,?,?,?,?,?,?,?,van
86.0,?,62.0,?,61.0,?,122.0,54.0,17.0,127.0,?,223.0,?,64.0,2.0,14.0,200.0,?,?
?,?,?,?,?,?,?,36.0,?,?,?,505.0,152.0,64.0,4.0,14.0,195.0,?,?
?,36.0,70.0,143.0,?,?,133.0,50.0,18.0,130.0,?,266.0,?,?,2.0,10.0,?,?,?
90.0,?,66.0,136.0,?,6.0,123.0,54.0,?,?,?,?,?,65.0,?,26.0,196.0,202.0,saab
88.0,46.0,74.0,171.0,?,6.0,?,43.0,19.0,?,180.0,349.0,?,?,5.0,?,189.0,195.0,bus
?,?,?,144.0,?,10.0,152.0,44.0,19.0,144.0,173.0,345.0,161.0,72.0,8.0,?,?,197.0,?
?,49.0,79.0,203.0,71.0,?,174.0,37.0,?,?,196.0,465.0,?,?,6.0,?,?,?,bus
96.0,55.0,?,201.0,?,9.0,?,32.0,?,166.0,?,?,246.0,74.0,6.0,?,186.0,194.0,opel
89.0,?,?,?,?,6.0,118.0,57.0,17.0,?,137.0,?,?,80.0,2.0,14.0,?,?,van
?,41.0,77.0,?,69.0,6.0,?,36.0,21.0,139.0,202.0,485.0,?,?,4.0,?,198.0,199.0,bus
?,?,100.0,186.0,61.0,10.0,216.0,?,24.0,173.0,225.0,?,?,74.0,?,11.0,?,?,saab
101.0,?,?,?,69.0,10.0,208.0,?,?,?,?,?,223.0,74.0,?,5.0,?,193.0,?
84.0,?,?,153.0,64.0,?,154.0,?,?,?,?,354.0,?,?,?,3.0,185.0,?,?
84.0,?,53.0,121.0,59.0,?,?,55.0,17.0,?,?,?,?,82.0,?,?,?,?,?
94.0,?,64.0,173.0,69.0,7.0,?,43.0,?,?,169.0,344.0,177.0,?,?,?,199.0,?,bus
?,?,?,?,61.0,?,143.0,?,?,?,164.0,307.0,?,?,?,?,192.0,?,?
99.0,?,?,?,66.0,?,?,?,?,165.0,?,623.0,?,68.0,?,?,191.0,201.0,saab
?,45.0,80.0,154.0,64.0,?,147.0,?,?,148.0,169.0,?,?,?,1.0,4.0,?,199.0,?
?,36.0,?,119.0,57.0,6.0,128.0,?,?,125.0,143.0,238.0,?,?,?,?,?,?,?
107.0,54.0,98.0,?,65.0,?,218.0,?,?,?,?,?,216.0,?,1.0,28.0,?,?,?
?,45.0,?,193.0,64.0,6.0,192.0,?,?,146.0,?,570.0,163.0,?,?,?,195.0,?,?
?,38.0,?,?,?,?,?,46.0,?,130.0,?,314.0,158.0,83.0,9.0,20.0,?,?,?
?,?,85.0,160.0,?,?,?,?,19.0,?,?,?,?,?,?,?,185.0,?,?
?,?,?,?,58.0,?,?,47.0,18.0,?,165.0,?,?,?,10.0,11.0,?,?,?
93.0,35.0,?,154.0,59.0,6.0,?,46.0,?,?,?,304.0,?,?,?,?,197.0,?,?
?,48.0,?,?,?,?,208.0,?,24.0,154.0,?,641.0,?,?,?,?,?,202.0,?
?,?,?,177.0,?,?,?,40.0,?,129.0,?,?,?,63.0,?,?,?,?,opel
?,?,?,172.0,67.0,?,157.0,43.0,?,?,170.0,?,?,?,17.0,?,?,?,?
?,?,?,?,52.0,7.0,?,?,19.0,147.0,174.0,340.0,?,82.0,2.0,2.0,180.0,185.0,bus
?,?,86.0,?,126.0,?,153.0,44.0,19.0,?,272.0,?,?,118.0,?,15.0,?,?,van
106.0,?,?,?,54.0,?,?,31.0,24.0,171.0,?,?,218.0,74.0,1.0,?,187.0,?,?
?,?,68.0,?,73.0,?,?,44.0,?,146.0,?,?,?,75.0,?,?,183.0,189.0,?
95.0,48.0,104.0,214.0,67.0,9.0,205.0,?,23.0,?,?,?,202.0,74.0,5.0,?,186.0,193.0,opel
?,?,?,105.0,52.0,?,119.0,?,?,?,135.0,?,?,?,?,?,?,?,?
?,49.0,?,137.0,54.0,?,?,?,?,162.0,?,366.0,?,?,?,5.0,183.0,194.0,?
93.0,37.0,76.0,?,63.0,8.0,?,?,?,134.0,?,405.0,?,?,4.0,?,192.0,197.0,saab
?,?,106.0,?,65.0,?,213.0,?,?,167.0,223.0,675.0,?,?,?,?,?,202.0,saab
?,?,82.0,145.0,58.0,11.0,?,43.0,?,?,?,?,189.0,77.0,?,4.0,?,?,van
?,?,?,133.0,?,?,?,?,?,146.0,159.0,253.0,156.0,70.0,1.0,?,?,194.0,?
?,?,?,?,54.0,6.0,?,46.0,?,?,?,317.0,174.0,88.0,?,?,?,182.0,bus
?,47.0,?,147.0,?,11.0,?,44.0,?,?,?,?,?,?,?,?,?,?,?
91.0,?,79.0,176.0,59.0,9.0,?,?,20.0,?,184.0,404.0,?,62.0,?,?,?,208.0,saab
78.0,?,?,?,51.0,?,?,47.0,19.0,130.0,?,?,146.0,?,?,4.0,181.0,?,?
92.0,?,?,174.0,66.0,?,?,?,19.0,?,181.0,?,?,?,?,?,189.0,?,?
?,?,?,?,?,9.0,210.0,?,24.0,168.0,?,?,?,72.0,?,6.0,188.0,197.0,?
101.0,?,?,175.0,?,?,149.0,?,?,139.0,?,?,165.0,?,?,?,202.0,209.0,bus
?,?,?,185.0,53.0,?,257.0,?,?,168.0,?,?,?,?,?,?,?,?,?
?,?,66.0,?,?,?,133.0,50.0,?,135.0,?,?,119.0,62.0,?,3.0,?,?,van
?,?,?,195.0,63.0,?,?,36.0,22.0,?,?,?,?,?,4.0,?,?,?,saab
?,?,?,?,55.0,?,?,44.0,?,?,?,?,?,74.0,5.0,?,?,?,?
?,?,?,221.0,66.0,?,?,?,24.0,?,222.0,?,212.0,66.0,?,?,?,?,?
85.0,?,?,119.0,52.0,?,?,?,18.0,?,?,241.0,142.0,?,8.0,8.0,?,?,?
?,?,?,?,63.0,?,?,34.0,?,161.0,214.0,?,?,?,?,?,?,204.0,?
?,38.0,?,135.0,59.0,?,130.0,?,18.0,?,145.0,247.0,139.0,?,13.0,?,?,?,?
?,?,70.0,120.0,?,8.0,?,50.0,18.0,?,?,?,?,80.0,10.0,?,183.0,183.0,?
?,42.0,66.0,?,?,?,150.0,45.0,19.0,?,174.0,?,?,?,4.0,?,?,?,bus
?,?,?,?,?,7.0,184.0,?,?,145.0,?,?,?,72.0,0.0,?,?,?,bus
?,?,?,143.0,?,7.0,146.0,?,?,?,?,?,156.0,?,?,5.0,184.0,?,opel
?,43.0,68.0,?,?,?,?,46.0,?,?,?,323.0,?,83.0,6.0,?,?,?,bus
?,?,?,?,?,?,?,?,?,?,231.0,748.0,?,74.0,?,?,187.0,?,?
?,?,78.0,?,?,?,142.0,?,?,?,?,?,?,70.0,?,?,?,?,van
?,?,?,?,74.0,7.0,190.0,?,?,?,?,?,?,74.0,?,7.0,?,?,?
96.0,?,?,?,?,10.0,?,?,?,?,226.0,683.0,?,?,3.0,?,?,?,?
