@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data

95.0,?,83.0,?,72.0,10.0,162.0,?,20.0,159.0,176.0,379.0,184.0,70.0,?,16.0,187.0,197.0,van
91.0,41.0,84.0,141.0,57.0,?,149.0,?,19.0,?,170.0,330.0,?,72.0,9.0,?,189.0,?,?
?,?,?,?,?,?,?,32.0,?,?,223.0,?,220.0,?,?,9.0,188.0,?,saab
93.0,?,82.0,159.0,63.0,9.0,?,46.0,19.0,143.0,?,?,127.0,63.0,6.0,?,199.0,?,van
?,?,70.0,?,103.0,52.0,149.0,45.0,19.0,144.0,241.0,325.0,?,127.0,9.0,11.0,180.0,?,bus
107.0,57.0,106.0,?,?,6.0,?,26.0,28.0,?,280.0,957.0,264.0,?,5.0,?,?,183.0,?
?,?,73.0,173.0,?,6.0,?,?,?,?,?,?,?,?,?,?,?,204.0,?
90.0,43.0,?,157.0,?,?,137.0,?,18.0,146.0,162.0,?,164.0,?,3.0,3.0,193.0,?,van
?,34.0,62.0,?,61.0,?,122.0,54.0,17.0,127.0,?,?,112.0,?,2.0,?,?,208.0,van
?,44.0,98.0,?,?,11.0,183.0,?,?,146.0,202.0,505.0,?,64.0,4.0,?,195.0,?,saab
?,?,?,143.0,61.0,?,133.0,?,18.0,?,?,?,127.0,?,2.0,10.0,?,202.0,?
?,34.0,66.0,136.0,?,?,123.0,54.0,17.0,?,148.0,224.0,118.0,65.0,5.0,?,196.0,?,?
?,46.0,?,171.0,68.0,?,152.0,43.0,?,148.0,?,349.0,?,?,?,11.0,?,195.0,?
?,?,85.0,?,58.0,10.0,152.0,44.0,19.0,?,173.0,?,161.0,?,8.0,13.0,?,?,?
94.0,?,79.0,?,?,5.0,174.0,37.0,?,?,196.0,?,206.0,71.0,6.0,2.0,?,199.0,?
96.0,55.0,?,201.0,?,9.0,204.0,?,23.0,166.0,?,624.0,?,?,6.0,2.0,186.0,194.0,opel
?,36.0,?,109.0,?,6.0,118.0,?,17.0,?,137.0,?,125.0,80.0,2.0,?,?,?,van
?,41.0,77.0,197.0,69.0,?,?,36.0,?,139.0,?,485.0,?,72.0,?,10.0,198.0,?,?
104.0,54.0,?,?,?,10.0,216.0,?,?,?,225.0,686.0,220.0,74.0,5.0,11.0,?,195.0,saab
101.0,56.0,?,215.0,69.0,10.0,?,?,?,?,227.0,?,?,74.0,6.0,5.0,186.0,193.0,opel
?,?,75.0,?,64.0,6.0,154.0,?,?,?,?,354.0,?,?,?,?,?,192.0,bus
?,?,?,121.0,?,?,123.0,55.0,?,125.0,141.0,?,?,82.0,7.0,?,179.0,183.0,?
94.0,43.0,?,173.0,?,?,150.0,?,?,142.0,?,344.0,?,68.0,9.0,?,?,?,bus
?,39.0,?,?,?,?,?,?,?,?,?,?,?,?,1.0,2.0,192.0,199.0,?
99.0,?,?,?,66.0,?,?,?,?,165.0,?,623.0,?,?,?,6.0,191.0,?,saab
85.0,?,80.0,?,?,?,147.0,?,?,?,169.0,?,174.0,71.0,1.0,4.0,188.0,?,?
83.0,?,?,?,?,6.0,128.0,?,?,?,143.0,?,?,?,6.0,3.0,?,183.0,saab
?,?,98.0,?,?,11.0,?,31.0,25.0,?,229.0,?,216.0,72.0,1.0,28.0,187.0,199.0,?
102.0,?,?,?,?,?,?,?,?,?,217.0,?,163.0,?,?,?,?,?,bus
80.0,?,?,?,?,?,146.0,?,?,?,168.0,314.0,?,83.0,9.0,?,?,?,saab
89.0,?,?,160.0,?,11.0,155.0,43.0,?,?,?,?,174.0,?,?,9.0,?,?,van
88.0,42.0,?,151.0,58.0,?,140.0,?,?,142.0,165.0,?,?,?,10.0,11.0,?,?,saab
93.0,?,?,?,?,6.0,?,46.0,?,?,162.0,304.0,?,?,?,13.0,?,202.0,?
101.0,48.0,107.0,?,?,10.0,?,?,24.0,154.0,?,?,204.0,?,5.0,38.0,190.0,?,?
87.0,38.0,85.0,177.0,?,8.0,?,?,?,?,?,402.0,?,?,1.0,?,198.0,?,?
?,46.0,?,?,67.0,9.0,157.0,43.0,?,?,170.0,?,184.0,?,?,7.0,192.0,200.0,?
?,44.0,?,?,52.0,7.0,?,?,?,?,174.0,?,177.0,82.0,?,?,?,?,?
90.0,48.0,86.0,?,126.0,?,?,?,19.0,156.0,272.0,346.0,?,118.0,?,?,185.0,?,?
?,53.0,98.0,?,54.0,?,?,31.0,?,171.0,?,?,218.0,74.0,1.0,9.0,?,?,saab
81.0,45.0,?,?,?,6.0,151.0,?,?,?,173.0,336.0,?,75.0,?,0.0,183.0,?,?
95.0,48.0,?,?,?,?,205.0,32.0,?,151.0,?,?,202.0,74.0,?,?,186.0,?,opel
88.0,37.0,51.0,105.0,52.0,5.0,119.0,57.0,?,128.0,?,?,125.0,86.0,?,?,179.0,183.0,?
94.0,?,?,?,54.0,?,158.0,?,?,?,?,366.0,?,?,5.0,5.0,183.0,194.0,?
?,37.0,?,?,63.0,?,?,?,?,?,191.0,405.0,?,67.0,4.0,7.0,?,?,?
?,54.0,?,220.0,65.0,12.0,213.0,?,24.0,167.0,?,?,?,66.0,?,1.0,192.0,?,?
?,?,?,?,?,11.0,159.0,?,20.0,160.0,?,?,?,?,?,?,183.0,?,van
?,43.0,?,?,?,8.0,130.0,?,?,?,?,?,156.0,?,?,?,?,?,van
?,42.0,?,122.0,?,?,?,46.0,?,?,172.0,?,?,?,6.0,?,?,?,bus
89.0,?,81.0,147.0,?,11.0,156.0,?,?,163.0,?,?,188.0,?,6.0,?,?,?,?
?,45.0,?,176.0,?,?,?,?,20.0,?,184.0,?,?,?,0.0,?,?,?,?
?,?,63.0,?,?,?,142.0,47.0,?,130.0,?,299.0,146.0,?,?,?,?,185.0,?
92.0,38.0,?,?,66.0,7.0,?,?,?,133.0,?,?,?,70.0,4.0,24.0,?,?,?
98.0,55.0,?,?,70.0,?,?,31.0,?,?,236.0,?,245.0,?,1.0,6.0,?,197.0,?
?,?,62.0,175.0,67.0,?,149.0,?,?,?,?,341.0,165.0,?,?,?,?,?,?
?,56.0,?,185.0,?,6.0,?,?,?,?,275.0,?,?,?,5.0,?,?,184.0,?
94.0,36.0,?,151.0,?,?,133.0,?,18.0,135.0,?,265.0,119.0,62.0,?,3.0,201.0,?,van
?,?,?,195.0,?,9.0,?,?,?,?,?,?,?,?,4.0,?,?,199.0,saab
89.0,?,?,?,55.0,?,157.0,?,?,160.0,169.0,?,?,74.0,5.0,9.0,?,?,?
107.0,53.0,103.0,221.0,66.0,11.0,?,?,?,163.0,?,?,212.0,?,0.0,?,?,201.0,opel
85.0,39.0,?,?,52.0,5.0,?,?,?,?,148.0,241.0,142.0,?,?,8.0,?,187.0,?
103.0,?,?,212.0,?,?,193.0,34.0,?,?,214.0,?,?,?,?,5.0,198.0,?,opel
77.0,?,?,?,?,5.0,?,?,18.0,?,?,?,?,79.0,13.0,21.0,?,?,opel
?,40.0,?,120.0,50.0,?,?,50.0,18.0,?,162.0,269.0,139.0,80.0,?,?,?,183.0,?
83.0,?,?,?,?,7.0,?,?,19.0,?,?,?,?,?,?,?,182.0,188.0,bus
?,?,86.0,?,69.0,7.0,?,35.0,?,?,?,?,?,72.0,?,?,?,197.0,?
?,41.0,?,?,56.0,7.0,?,46.0,?,137.0,?,?,156.0,76.0,18.0,?,?,?,?
81.0,?,68.0,125.0,?,8.0,?,?,19.0,146.0,169.0,323.0,?,?,?,18.0,?,184.0,bus
?,55.0,101.0,219.0,69.0,?,225.0,30.0,25.0,?,?,?,?,74.0,6.0,?,?,?,opel
?,44.0,78.0,?,?,?,?,?,18.0,?,?,?,171.0,?,?,11.0,?,?,van
?,?,?,?,74.0,7.0,?,?,22.0,?,208.0,?,209.0,?,?,7.0,195.0,?,bus
96.0,55.0,?,?,54.0,?,?,31.0,?,?,?,683.0,221.0,?,?,6.0,185.0,?,opel
?,?,108.0,?,70.0,11.0,?,?,25.0,186.0,225.0,?,?,70.0,?,?,186.0,?,?
?,?,?,?,62.0,8.0,176.0,?,21.0,137.0,?,?,151.0,67.0,?,?,?,200.0,opel
?,37.0,?,?,?,6.0,?,55.0,?,?,135.0,?,?,82.0,?,15.0,176.0,184.0,?
?,?,?,?,61.0,11.0,151.0,44.0,?,?,?,?,163.0,72.0,?,23.0,187.0,199.0,van
?,?,103.0,?,63.0,?,?,?,22.0,?,?,?,?,68.0,5.0,?,?,198.0,?
?,?,?,170.0,60.0,?,?,38.0,?,?,?,?,?,?,0.0,10.0,?,?,?
?,?,62.0,?,62.0,?,?,?,?,?,165.0,?,173.0,?,2.0,3.0,?,?,?
?,52.0,94.0,?,66.0,?,208.0,31.0,?,?,227.0,666.0,?,76.0,?,?,?,191.0,?
89.0,?,68.0,113.0,?,?,?,45.0,?,?,?,?,?,?,?,?,179.0,182.0,bus
?,46.0,?,159.0,?,?,?,?,?,?,?,343.0,?,73.0,?,?,186.0,?,?
?,?,?,?,?,5.0,?,?,?,?,232.0,?,214.0,?,?,11.0,191.0,?,bus
94.0,?,?,127.0,?,?,?,52.0,?,?,155.0,242.0,116.0,?,1.0,2.0,?,196.0,?
?,?,?,133.0,55.0,7.0,?,?,19.0,?,?,?,144.0,?,8.0,?,?,?,?
?,?,76.0,188.0,?,?,?,?,?,136.0,?,342.0,?,72.0,?,?,?,?,?
?,58.0,?,180.0,?,?,261.0,?,28.0,?,278.0,?,?,?,9.0,13.0,?,?,bus
?,41.0,?,?,?,?,?,?,?,?,?,?,162.0,?,?,?,?,200.0,van
?,37.0,60.0,?,54.0,?,?,56.0,?,?,?,209.0,?,72.0,2.0,?,186.0,?,?
?,?,?,209.0,75.0,6.0,171.0,?,?,?,?,?,?,69.0,3.0,?,196.0,?,?
80.0,37.0,?,116.0,?,?,?,?,18.0,125.0,?,229.0,?,?,8.0,?,178.0,?,opel
?,?,?,?,?,11.0,?,?,?,173.0,?,?,?,?,?,?,188.0,?,?
94.0,38.0,?,?,55.0,?,?,39.0,20.0,?,196.0,430.0,155.0,69.0,?,15.0,190.0,?,?
?,?,100.0,191.0,?,?,?,?,?,158.0,?,?,234.0,70.0,?,10.0,?,198.0,saab
?,?,?,?,?,10.0,?,43.0,?,161.0,179.0,363.0,?,75.0,?,?,184.0,?,?
?,?,?,?,?,?,?,?,?,144.0,168.0,?,177.0,?,?,?,?,?,bus
?,?,108.0,211.0,?,?,?,?,24.0,?,232.0,?,218.0,?,7.0,?,?,197.0,?
?,?,?,?,62.0,?,?,?,19.0,?,166.0,?,?,?,?,?,?,?,saab
86.0,?,?,152.0,?,?,?,?,19.0,?,?,337.0,?,75.0,4.0,?,188.0,?,bus
?,?,?,?,68.0,?,?,?,?,?,223.0,602.0,201.0,?,5.0,?,?,202.0,?
?,44.0,65.0,124.0,56.0,?,?,?,19.0,?,?,?,?,87.0,?,?,?,182.0,bus
?,45.0,?,252.0,?,?,?,?,?,?,237.0,326.0,?,?,1.0,?,181.0,?,bus
?,?,?,?,?,9.0,153.0,?,?,?,168.0,?,150.0,65.0,?,?,196.0,204.0,van
94.0,?,?,150.0,?,?,?,?,?,?,?,?,?,69.0,14.0,5.0,?,?,?
?,38.0,?,?,?,5.0,?,58.0,17.0,?,135.0,?,?,?,14.0,?,190.0,194.0,van
?,?,?,198.0,65.0,5.0,194.0,33.0,?,?,?,576.0,?,?,0.0,?,?,?,?
?,?,?,?,?,10.0,220.0,?,?,?,224.0,711.0,?,?,11.0,10.0,?,?,?
99.0,?,105.0,209.0,?,11.0,?,?,23.0,152.0,?,575.0,?,?,?,?,?,?,?
85.0,39.0,?,?,59.0,8.0,150.0,45.0,?,?,176.0,331.0,133.0,73.0,?,16.0,?,?,?
80.0,?,?,?,59.0,8.0,?,45.0,?,145.0,?,329.0,173.0,?,?,12.0,180.0,?,?
?,48.0,79.0,199.0,?,?,?,35.0,22.0,153.0,?,?,?,?,5.0,8.0,?,?,bus
?,40.0,?,159.0,65.0,9.0,?,?,?,141.0,168.0,?,?,70.0,0.0,?,?,?,?
94.0,48.0,?,?,?,?,?,43.0,19.0,153.0,?,?,?,?,4.0,?,?,196.0,van
?,38.0,?,?,59.0,6.0,147.0,?,19.0,132.0,?,?,?,?,16.0,20.0,?,187.0,?
?,?,50.0,121.0,58.0,?,114.0,?,?,?,?,?,138.0,?,?,4.0,?,?,?
?,?,?,133.0,54.0,10.0,?,44.0,19.0,?,?,351.0,165.0,75.0,?,13.0,184.0,196.0,?
?,47.0,88.0,?,?,11.0,?,?,20.0,?,?,?,185.0,?,12.0,?,189.0,198.0,?
100.0,?,?,?,?,?,?,32.0,23.0,?,?,?,?,72.0,?,?,?,?,?
?,?,?,221.0,?,?,?,?,?,?,226.0,712.0,212.0,?,?,28.0,188.0,201.0,?
?,?,64.0,128.0,?,?,150.0,?,19.0,?,?,324.0,?,?,9.0,?,?,184.0,bus
?,49.0,79.0,180.0,?,7.0,173.0,?,?,158.0,?,?,194.0,70.0,5.0,10.0,?,?,?
?,37.0,?,119.0,53.0,?,?,?,?,?,?,?,?,?,16.0,14.0,?,185.0,?
