@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data

?,?,83.0,?,72.0,10.0,?,42.0,20.0,?,176.0,379.0,184.0,?,6.0,16.0,?,?,?
91.0,?,?,141.0,?,9.0,149.0,?,19.0,?,170.0,?,158.0,72.0,9.0,?,189.0,199.0,van
104.0,50.0,?,?,66.0,10.0,207.0,?,?,?,223.0,635.0,?,73.0,14.0,9.0,?,?,saab
93.0,?,82.0,?,63.0,9.0,144.0,46.0,?,143.0,160.0,309.0,?,63.0,6.0,?,199.0,207.0,van
?,44.0,?,?,103.0,52.0,149.0,?,?,144.0,241.0,?,?,127.0,9.0,?,180.0,?,?
?,?,106.0,172.0,50.0,6.0,?,?,28.0,169.0,280.0,?,?,85.0,?,9.0,?,183.0,bus
97.0,?,73.0,173.0,?,6.0,?,?,19.0,143.0,176.0,361.0,172.0,66.0,13.0,1.0,?,?,?
90.0,43.0,66.0,?,65.0,9.0,137.0,48.0,18.0,146.0,?,281.0,?,?,3.0,?,?,?,?
?,?,62.0,140.0,61.0,?,?,54.0,17.0,127.0,141.0,?,?,64.0,2.0,?,200.0,208.0,van
93.0,44.0,98.0,?,?,?,?,?,?,?,?,505.0,152.0,?,?,?,?,204.0,saab
?,?,70.0,?,?,?,?,50.0,?,130.0,153.0,266.0,?,?,2.0,10.0,194.0,202.0,van
?,34.0,66.0,136.0,55.0,6.0,?,?,17.0,?,?,?,118.0,?,?,?,?,202.0,?
?,?,74.0,171.0,68.0,6.0,?,43.0,19.0,?,180.0,?,192.0,71.0,?,11.0,189.0,195.0,bus
89.0,?,?,?,?,?,152.0,44.0,19.0,144.0,173.0,345.0,?,72.0,8.0,?,187.0,?,?
94.0,?,?,?,?,5.0,?,?,?,154.0,?,465.0,206.0,?,?,?,?,199.0,bus
?,55.0,?,201.0,65.0,9.0,?,32.0,23.0,166.0,227.0,624.0,?,74.0,6.0,?,186.0,?,?
89.0,?,51.0,109.0,52.0,6.0,118.0,57.0,?,129.0,?,206.0,125.0,?,2.0,?,?,185.0,van
99.0,41.0,77.0,197.0,69.0,?,177.0,36.0,?,?,?,?,151.0,72.0,4.0,10.0,?,?,?
104.0,?,?,?,61.0,?,216.0,31.0,?,?,?,686.0,?,74.0,?,11.0,?,195.0,?
?,56.0,?,?,?,10.0,?,?,?,169.0,?,?,?,?,6.0,5.0,?,193.0,?
?,47.0,?,153.0,64.0,?,154.0,?,?,145.0,?,354.0,?,75.0,?,3.0,?,192.0,bus
84.0,37.0,53.0,?,59.0,?,123.0,?,17.0,125.0,141.0,?,?,?,?,1.0,?,183.0,?
94.0,?,64.0,173.0,69.0,?,150.0,?,19.0,?,?,?,177.0,68.0,9.0,?,?,?,?
?,?,?,148.0,?,?,?,?,?,?,?,?,141.0,?,?,2.0,?,?,bus
99.0,?,105.0,?,?,?,?,32.0,?,?,?,?,?,?,0.0,6.0,191.0,?,?
?,45.0,?,154.0,64.0,?,147.0,?,?,?,?,324.0,?,?,1.0,?,?,199.0,van
83.0,36.0,?,119.0,?,?,128.0,?,18.0,?,143.0,238.0,?,?,?,?,179.0,183.0,?
?,54.0,98.0,203.0,65.0,11.0,218.0,31.0,25.0,167.0,229.0,?,?,?,?,?,187.0,?,?
102.0,45.0,85.0,?,?,?,?,33.0,?,?,?,570.0,163.0,76.0,6.0,?,?,?,bus
?,38.0,?,129.0,55.0,?,?,46.0,?,?,?,?,?,83.0,9.0,20.0,180.0,?,?
?,?,?,?,64.0,?,?,?,?,151.0,?,?,?,72.0,5.0,?,185.0,196.0,van
?,?,77.0,?,58.0,?,?,47.0,18.0,?,165.0,?,158.0,?,10.0,?,?,?,?
?,?,66.0,?,?,?,?,46.0,?,?,?,304.0,?,?,?,?,?,202.0,?
?,?,107.0,?,68.0,?,?,?,?,?,232.0,641.0,?,70.0,?,?,?,?,?
87.0,?,?,?,61.0,?,164.0,?,?,129.0,?,?,?,?,1.0,25.0,?,?,?
