@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data

?,?,?,178.0,?,?,?,?,?,159.0,?,?,?,70.0,?,?,?,197.0,?
91.0,?,84.0,141.0,?,9.0,149.0,45.0,19.0,143.0,170.0,?,158.0,72.0,?,?,189.0,199.0,?
104.0,?,?,?,66.0,10.0,207.0,32.0,23.0,?,223.0,635.0,?,73.0,14.0,?,188.0,196.0,?
?,?,82.0,?,63.0,?,144.0,?,?,143.0,?,309.0,127.0,?,?,10.0,199.0,207.0,van
85.0,44.0,?,205.0,?,52.0,149.0,?,19.0,?,?,325.0,188.0,127.0,9.0,?,?,183.0,bus
107.0,?,?,172.0,?,6.0,255.0,26.0,?,169.0,?,957.0,264.0,85.0,?,9.0,?,183.0,?
97.0,43.0,?,?,?,?,153.0,42.0,?,143.0,?,?,172.0,66.0,13.0,?,?,204.0,bus
90.0,43.0,?,157.0,65.0,?,?,48.0,18.0,146.0,162.0,281.0,?,67.0,3.0,?,193.0,202.0,?
86.0,?,?,140.0,?,7.0,122.0,54.0,?,?,141.0,223.0,112.0,64.0,2.0,?,?,208.0,?
?,?,98.0,?,62.0,?,183.0,?,22.0,?,202.0,505.0,152.0,?,4.0,?,?,204.0,saab
86.0,?,70.0,143.0,61.0,9.0,133.0,?,18.0,?,?,266.0,127.0,66.0,?,?,?,?,?
90.0,34.0,?,?,?,?,123.0,54.0,17.0,?,?,?,?,?,?,?,196.0,202.0,saab
88.0,?,74.0,?,?,?,?,43.0,?,?,?,349.0,192.0,?,5.0,11.0,?,?,bus
?,42.0,?,144.0,58.0,10.0,?,?,19.0,144.0,?,345.0,161.0,?,?,13.0,?,?,van
