@relation dataset

@attribute make {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@attribute fuel-type {0, 1}
@attribute aspiration {0, 1}
@attribute num-of-doors {0, 1}
@attribute body-style {0, 1, 2, 3, 4}
@attribute drive-wheels {0, 1, 2}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {0, 1, 2, 3, 4}
@attribute num-of-cylinders {0, 1, 2, 3, 4, 5}
@attribute engine-size real
@attribute fuel-system {0, 1, 2, 3, 4, 5, 6}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {0, 1, 2, 3, 4, 5}


@data

0,1,?,1,0,2,88.6,168.8,64.1,48.8,2548.0,?,?,130.0,4,3.47,?,9.0,111.0,5000.0,21.0,27.0,13495.0,5
0,?,?,?,0,?,88.6,168.8,?,48.8,2548.0,0,?,130.0,4,3.47,2.68,?,?,5000.0,21.0,27.0,16500.0,?
0,1,0,?,2,?,94.5,171.2,?,52.4,2823.0,?,3,152.0,4,2.68,3.47,?,154.0,5000.0,19.0,26.0,16500.0,3
1,1,0,?,?,?,99.8,?,?,54.3,2337.0,2,2,109.0,4,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0,4
?,1,?,0,3,?,99.4,?,66.4,54.3,2824.0,?,?,?,4,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,4
?,1,0,1,3,1,99.8,?,66.3,53.1,2507.0,2,1,136.0,4,3.19,3.4,8.5,?,5500.0,?,?,15250.0,?
?,?,?,0,?,?,?,192.7,71.4,55.7,?,2,1,136.0,?,3.19,3.4,?,110.0,5500.0,19.0,25.0,?,3
?,1,?,0,4,1,105.8,?,71.4,55.7,2954.0,2,1,?,4,3.19,?,8.5,110.0,5500.0,?,25.0,?,3
?,1,1,0,?,1,105.8,192.7,71.4,55.9,3086.0,2,?,131.0,4,3.13,3.4,8.3,140.0,?,?,20.0,23875.0,3
2,1,0,1,?,?,101.2,176.8,?,?,2395.0,2,?,108.0,?,3.5,2.8,8.8,101.0,?,23.0,?,?,4
?,?,0,?,3,2,101.2,?,64.8,?,2395.0,?,?,108.0,?,?,2.8,8.8,?,5800.0,?,?,16925.0,2
2,?,0,1,3,?,?,?,64.8,?,2710.0,2,3,?,4,3.31,3.19,9.0,121.0,4250.0,21.0,?,20970.0,?
2,1,0,0,3,?,101.2,176.8,64.8,54.3,2765.0,?,3,164.0,4,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0,2
?,1,?,0,3,?,?,189.0,66.9,?,?,2,3,164.0,4,3.31,3.19,?,121.0,4250.0,?,25.0,24565.0,3
?,1,0,0,?,?,103.5,189.0,?,55.7,3230.0,?,?,?,4,3.62,3.39,?,?,?,?,22.0,30760.0,?
2,1,?,1,?,?,?,?,67.9,?,3380.0,2,3,?,?,?,3.39,8.0,182.0,5400.0,?,?,41315.0,2
2,?,0,0,3,?,110.0,197.0,70.9,?,?,?,?,?,?,?,?,8.0,?,5400.0,?,20.0,36880.0,2
3,1,0,1,?,1,88.4,141.1,60.3,53.2,1488.0,1,4,61.0,1,2.91,?,?,?,5100.0,47.0,?,?,4
?,1,0,?,?,1,?,?,63.6,?,1874.0,?,2,?,1,?,3.11,9.6,70.0,?,?,43.0,?,3
3,?,0,?,3,?,?,?,63.6,52.0,1909.0,?,?,?,1,3.03,?,?,70.0,5400.0,?,43.0,6575.0,2
4,1,?,?,2,1,93.7,157.3,63.8,50.8,1876.0,?,2,90.0,1,2.97,3.23,?,68.0,5500.0,37.0,41.0,5572.0,3
4,1,0,1,2,1,?,?,63.8,50.8,1876.0,2,2,90.0,?,2.97,?,9.4,68.0,?,?,?,?,?
?,?,?,1,?,?,93.7,157.3,?,50.8,2128.0,2,?,?,4,?,?,7.6,102.0,?,?,30.0,?,?
4,1,0,0,?,1,?,157.3,?,?,1967.0,2,?,?,1,2.97,3.23,9.4,?,5500.0,31.0,38.0,6229.0,3
4,1,0,0,3,1,93.7,?,?,50.6,?,2,2,?,?,?,3.23,9.4,68.0,5500.0,31.0,?,6692.0,3
4,?,0,0,3,1,93.7,?,?,50.6,?,2,?,?,1,2.97,?,9.4,68.0,5500.0,31.0,38.0,7609.0,?
4,1,?,?,?,1,?,?,?,?,?,?,2,?,?,?,?,8.5,?,5000.0,24.0,30.0,?,1
?,1,1,1,?,1,95.9,?,66.3,?,2811.0,2,2,?,3,3.6,3.9,7.0,?,5000.0,?,24.0,?,?
?,1,?,?,2,?,86.6,?,?,?,1713.0,2,2,?,?,?,3.41,?,58.0,4800.0,?,54.0,?,?
?,1,0,?,2,?,?,?,63.9,50.8,1819.0,2,?,?,0,2.91,?,?,?,6000.0,31.0,?,6855.0,4
5,1,0,1,?,1,93.7,150.0,64.0,52.6,1837.0,?,2,79.0,0,?,?,10.1,60.0,?,38.0,42.0,?,3
5,1,0,?,2,1,?,150.0,64.0,52.6,1940.0,2,?,92.0,?,?,3.41,9.2,76.0,?,30.0,?,6529.0,?
5,?,?,?,2,1,93.7,?,?,52.6,1956.0,?,?,?,0,2.91,3.41,9.2,76.0,?,?,?,?,?
?,1,0,0,3,?,96.5,?,?,54.5,2010.0,?,2,92.0,?,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,2
5,1,0,?,?,1,96.5,157.1,?,58.3,2024.0,2,?,?,0,2.92,3.41,?,76.0,?,30.0,?,7295.0,2
5,1,?,1,2,?,96.5,?,65.2,?,?,?,?,?,0,3.15,3.58,?,86.0,5800.0,27.0,?,7895.0,2
5,?,?,1,2,1,?,167.5,?,53.3,?,2,2,110.0,0,3.15,?,9.0,86.0,5800.0,27.0,?,?,?
?,1,?,0,3,1,96.5,175.4,65.2,54.1,?,2,2,?,0,3.15,?,9.0,86.0,5800.0,27.0,?,?,2
?,1,?,0,3,?,96.5,175.4,?,54.1,2372.0,2,?,110.0,?,3.15,3.58,9.0,?,?,27.0,?,?,2
?,1,?,?,3,?,96.5,?,?,54.1,?,2,2,110.0,?,?,3.58,?,101.0,?,24.0,28.0,?,?
5,1,?,1,?,?,96.5,169.1,?,?,?,2,?,?,1,3.15,?,9.1,100.0,?,?,31.0,10345.0,3
6,?,0,0,3,?,94.3,170.7,61.8,?,2337.0,?,?,?,1,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,6785.0,2
6,1,0,1,?,2,?,172.6,65.2,51.4,2734.0,2,?,119.0,6,?,?,9.2,?,5000.0,24.0,29.0,?,?
7,1,?,?,3,?,113.0,199.6,69.6,?,?,?,?,258.0,4,?,?,8.1,?,4750.0,?,19.0,32250.0,?
?,?,?,0,3,2,113.0,?,69.6,52.8,?,0,?,258.0,?,3.63,4.17,8.1,?,4750.0,?,?,35550.0,2
?,1,?,1,3,?,102.0,191.7,70.6,?,3950.0,4,5,326.0,?,3.54,2.76,11.5,?,5000.0,13.0,?,?,2
?,?,0,?,2,1,?,159.1,64.2,54.1,1890.0,2,2,?,?,3.03,3.15,9.0,68.0,5000.0,30.0,31.0,5195.0,3
