@relation dataset

@attribute make {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@attribute fuel-type {0, 1}
@attribute aspiration {0, 1}
@attribute num-of-doors {0, 1}
@attribute body-style {0, 1, 2, 3, 4}
@attribute drive-wheels {0, 1, 2}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {0, 1, 2, 3, 4}
@attribute num-of-cylinders {0, 1, 2, 3, 4, 5}
@attribute engine-size real
@attribute fuel-system {0, 1, 2, 3, 4, 5, 6}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {0, 1, 2, 3, 4, 5}


@data

?,1,?,1,0,2,88.6,168.8,?,48.8,2548.0,?,2,?,?,?,2.68,9.0,?,5000.0,?,27.0,13495.0,?
0,1,0,1,0,?,88.6,168.8,64.1,?,2548.0,0,?,130.0,4,?,2.68,?,?,?,21.0,27.0,16500.0,5
0,1,?,1,2,?,94.5,171.2,65.5,?,?,4,?,152.0,4,2.68,?,9.0,?,5000.0,?,26.0,16500.0,?
1,?,?,0,3,?,99.8,?,?,54.3,?,?,2,109.0,4,3.19,3.4,10.0,102.0,5500.0,24.0,?,13950.0,?
1,?,0,0,3,0,99.4,?,66.4,?,2824.0,2,1,?,4,3.19,3.4,?,115.0,5500.0,?,?,17450.0,4
?,1,0,1,3,1,99.8,177.3,66.3,?,?,2,?,136.0,4,3.19,3.4,8.5,110.0,5500.0,?,?,15250.0,?
?,1,0,0,?,1,105.8,?,?,55.7,2844.0,?,1,136.0,4,?,3.4,8.5,110.0,?,19.0,25.0,?,3
1,1,?,0,4,1,105.8,192.7,71.4,55.7,2954.0,2,?,136.0,4,?,3.4,8.5,110.0,?,19.0,?,?,3
1,1,1,0,3,?,105.8,?,71.4,55.9,?,2,1,?,4,3.13,3.4,?,140.0,5500.0,?,?,23875.0,3
2,1,0,?,3,2,101.2,176.8,64.8,54.3,2395.0,2,2,108.0,4,3.5,2.8,?,?,?,23.0,29.0,16430.0,4
2,1,0,0,3,2,?,176.8,64.8,54.3,2395.0,?,?,108.0,4,?,2.8,?,?,?,?,29.0,?,?
2,1,0,1,?,?,101.2,?,?,?,2710.0,?,?,?,4,3.31,3.19,9.0,121.0,4250.0,21.0,?,20970.0,2
?,1,0,?,?,2,101.2,176.8,64.8,54.3,2765.0,2,3,164.0,?,?,3.19,9.0,121.0,?,21.0,28.0,?,?
2,?,0,0,3,?,103.5,189.0,66.9,55.7,?,2,?,164.0,4,3.31,?,?,121.0,?,20.0,?,24565.0,?
2,1,0,0,?,2,103.5,189.0,?,?,?,?,3,209.0,?,?,3.39,8.0,182.0,?,16.0,?,30760.0,2
2,1,0,?,3,2,103.5,193.8,?,?,3380.0,?,3,209.0,4,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,41315.0,2
?,1,0,0,3,2,?,?,70.9,?,?,?,?,209.0,4,?,3.39,?,?,?,15.0,?,36880.0,2
?,1,0,1,2,?,88.4,?,60.3,53.2,1488.0,1,4,61.0,1,2.91,3.03,?,?,5100.0,?,?,5151.0,?
3,1,0,?,?,1,?,?,?,52.0,1874.0,2,2,?,?,?,3.11,9.6,70.0,5400.0,38.0,43.0,6295.0,?
3,1,0,0,3,1,94.5,158.8,63.6,52.0,1909.0,2,2,90.0,1,?,3.11,?,70.0,5400.0,38.0,43.0,?,?
4,1,0,1,2,1,?,?,63.8,50.8,1876.0,?,?,90.0,1,?,?,9.41,68.0,5500.0,?,41.0,?,3
4,?,0,1,2,1,93.7,157.3,63.8,50.8,1876.0,2,2,90.0,1,2.97,3.23,9.4,?,?,?,38.0,6377.0,3
?,?,1,1,?,1,93.7,157.3,?,50.8,2128.0,?,2,98.0,?,3.03,?,7.6,?,5500.0,24.0,30.0,?,3
4,?,0,0,2,1,?,?,63.8,?,1967.0,2,2,90.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,?,?
4,?,0,?,?,?,93.7,157.3,63.8,?,1989.0,2,?,?,1,2.97,3.23,9.4,68.0,?,31.0,38.0,?,3
?,1,0,0,3,1,93.7,?,?,50.6,?,2,?,90.0,?,?,?,?,68.0,5500.0,31.0,?,7609.0,3
4,1,0,?,4,?,?,174.6,64.6,59.8,?,?,?,?,?,3.34,?,?,?,5000.0,?,?,?,1
?,?,?,1,?,1,95.9,?,66.3,?,?,?,?,156.0,3,?,3.9,?,145.0,?,?,24.0,12964.0,?
?,1,0,?,?,?,86.6,144.6,63.9,50.8,1713.0,2,2,?,0,2.91,?,9.6,58.0,?,?,54.0,6479.0,4
5,1,0,1,?,1,?,144.6,63.9,50.8,1819.0,?,2,?,?,2.91,3.41,9.2,?,6000.0,31.0,38.0,6855.0,4
?,?,0,1,2,1,?,150.0,64.0,?,1837.0,?,2,79.0,0,2.91,3.07,10.1,60.0,5500.0,?,?,?,?
?,?,0,1,?,1,93.7,?,64.0,?,?,2,?,92.0,?,2.91,?,9.2,?,?,?,?,6529.0,?
5,1,0,1,2,1,93.7,?,?,52.6,1956.0,2,?,92.0,?,2.91,?,9.2,?,?,30.0,?,7129.0,3
?,1,0,?,3,1,96.5,?,64.0,54.5,?,?,2,92.0,0,2.91,3.41,?,?,?,?,34.0,?,?
5,?,0,0,?,1,?,157.1,63.9,?,2024.0,2,2,92.0,0,2.92,?,9.2,76.0,6000.0,30.0,?,7295.0,2
5,1,0,1,?,?,96.5,?,65.2,?,2236.0,2,2,110.0,0,3.15,?,9.0,?,?,27.0,33.0,7895.0,?
5,1,0,1,?,1,96.5,167.5,65.2,53.3,2289.0,2,?,110.0,0,3.15,?,9.0,?,5800.0,27.0,33.0,?,?
?,1,0,0,?,1,?,?,?,?,2304.0,?,2,110.0,0,3.15,3.58,9.0,86.0,?,?,33.0,8845.0,2
5,1,?,0,?,1,96.5,175.4,62.5,?,?,?,?,?,?,?,3.58,?,?,5800.0,27.0,?,10295.0,2
5,1,?,0,3,?,96.5,175.4,?,?,?,?,?,110.0,?,3.15,3.58,?,?,?,24.0,?,?,2
5,1,?,1,3,?,?,169.1,?,51.0,2293.0,?,2,110.0,1,3.15,3.58,?,100.0,?,?,31.0,?,3
6,1,0,?,3,?,94.3,?,61.8,?,2337.0,2,?,?,1,3.31,3.23,?,78.0,4800.0,?,29.0,?,2
6,1,0,1,2,?,96.0,?,65.2,?,2734.0,2,2,?,6,3.43,3.23,?,90.0,5000.0,?,29.0,?,4
7,1,0,0,?,?,113.0,?,69.6,?,4066.0,?,?,258.0,4,3.63,?,?,176.0,?,15.0,19.0,32250.0,2
?,?,?,?,?,?,113.0,199.6,?,52.8,?,0,?,258.0,4,3.63,?,?,?,4750.0,?,?,?,2
7,1,0,1,?,?,102.0,?,?,?,3950.0,?,?,?,?,3.54,?,11.5,?,?,13.0,?,?,?
8,1,0,1,?,1,93.1,159.1,64.2,?,?,?,2,?,1,?,3.15,9.0,?,?,?,31.0,5195.0,3
?,1,0,1,2,1,93.1,159.1,?,54.1,?,?,?,?,1,3.03,3.15,9.0,68.0,5000.0,?,38.0,6095.0,3
8,1,?,?,2,?,93.1,159.1,?,54.1,?,?,?,91.0,?,?,3.15,9.0,68.0,5000.0,31.0,?,6795.0,3
8,?,0,?,?,?,?,?,64.2,54.1,1945.0,?,?,?,1,3.03,3.15,?,68.0,5000.0,?,38.0,6695.0,?
?,?,0,0,3,1,93.1,166.8,64.2,54.1,?,2,2,91.0,?,?,?,?,68.0,5000.0,?,38.0,7395.0,3
?,1,?,?,2,1,98.8,?,66.5,53.7,?,2,?,122.0,1,3.39,3.39,8.6,?,4800.0,26.0,32.0,8845.0,3
?,1,?,0,3,1,?,?,?,55.5,2410.0,?,?,?,1,3.39,3.39,8.6,84.0,?,?,32.0,8495.0,?
8,1,?,?,?,?,?,177.8,66.5,53.7,?,2,2,122.0,1,?,3.39,?,84.0,?,26.0,32.0,10595.0,?
?,1,?,?,3,1,?,?,66.5,?,2410.0,2,2,122.0,1,3.39,3.39,8.6,?,4800.0,26.0,32.0,10245.0,?
8,?,0,0,2,1,98.8,177.8,66.5,55.5,2425.0,?,2,122.0,?,3.39,?,8.6,?,?,?,32.0,11245.0,2
8,1,0,0,3,2,?,175.0,?,?,?,2,?,?,?,3.76,3.16,?,120.0,5000.0,?,27.0,18280.0,2
?,?,?,?,3,2,?,?,66.1,54.4,2700.0,2,?,?,2,3.43,3.64,22.0,72.0,?,31.0,39.0,18344.0,2
?,0,?,0,3,2,110.0,?,70.3,56.5,?,2,1,?,?,?,3.64,?,?,?,22.0,25.0,?,?
9,?,1,0,?,2,110.0,190.9,?,?,3750.0,2,?,183.0,2,?,?,?,?,4350.0,?,?,28248.0,1
?,0,?,?,1,?,?,?,?,?,3495.0,?,1,183.0,2,?,3.64,21.5,123.0,4350.0,22.0,?,?,2
?,0,?,0,3,2,115.6,202.6,?,?,3770.0,2,?,?,2,3.58,?,21.5,123.0,4350.0,22.0,?,?,1
9,?,0,0,3,2,115.6,202.6,?,56.5,3740.0,4,0,?,4,3.46,?,8.3,?,4750.0,16.0,?,34184.0,1
?,?,0,1,0,2,96.6,?,70.5,50.8,3685.0,4,0,?,4,3.46,3.1,8.3,155.0,4750.0,16.0,?,?,5
9,?,0,?,3,2,120.9,208.1,?,?,?,4,0,?,4,?,3.35,8.0,184.0,4500.0,14.0,16.0,?,?
9,1,?,?,?,2,?,199.2,72.0,?,3715.0,4,?,304.0,4,3.8,?,8.0,?,?,14.0,16.0,?,?
?,1,?,1,?,?,?,178.4,?,?,2910.0,2,2,140.0,4,?,?,?,175.0,5000.0,?,?,?,?
?,1,?,1,2,1,?,157.3,64.4,?,?,?,?,?,1,2.97,?,9.4,68.0,?,?,?,5389.0,?
?,1,?,1,?,1,93.7,157.3,64.4,?,?,?,?,92.0,1,2.97,3.23,9.4,?,?,?,?,?,?
11,?,0,1,?,?,?,157.3,64.4,?,?,2,2,?,?,?,3.23,?,68.0,?,?,38.0,?,4
?,1,?,?,?,1,93.0,157.3,63.8,?,?,2,2,98.0,5,3.03,3.39,?,?,?,?,?,7689.0,3
11,1,?,1,?,?,96.3,?,65.4,49.4,2370.0,?,2,?,5,?,?,7.5,?,?,23.0,?,?,5
11,?,0,1,?,?,?,?,65.4,?,2328.0,2,?,?,1,3.35,?,?,?,5000.0,25.0,32.0,8499.0,?
?,?,1,1,2,1,95.9,173.2,?,50.2,?,2,?,156.0,5,3.58,3.86,?,145.0,5000.0,19.0,?,12629.0,5
?,1,1,1,2,1,?,173.2,?,50.2,?,2,2,156.0,5,?,?,7.0,145.0,?,?,?,14869.0,5
?,?,1,?,2,1,?,?,66.3,?,?,2,?,156.0,5,?,?,7.0,145.0,?,19.0,?,14489.0,?
?,1,0,?,3,?,96.3,172.4,?,51.6,?,?,?,122.0,1,3.35,?,8.5,?,5000.0,25.0,32.0,6989.0,3
11,1,0,0,?,?,96.3,?,65.4,?,?,2,2,122.0,1,3.35,?,?,88.0,5000.0,25.0,?,8189.0,?
?,?,?,?,3,?,?,?,?,?,2403.0,?,2,110.0,5,3.17,3.46,?,116.0,5500.0,?,30.0,?,?
11,1,0,?,3,?,96.3,?,65.4,51.6,?,2,2,?,5,?,3.46,7.5,?,?,23.0,?,?,1
12,1,?,1,3,1,?,?,?,54.5,1889.0,2,?,97.0,1,3.15,3.29,?,?,5200.0,31.0,37.0,5499.0,?
12,0,?,?,3,?,?,165.3,63.8,54.5,?,?,2,103.0,?,2.99,?,21.9,55.0,4800.0,45.0,50.0,7099.0,?
12,?,?,1,?,1,?,165.3,63.8,54.5,?,?,2,97.0,1,?,?,?,?,5200.0,?,37.0,?,3
?,?,0,?,?,1,94.5,?,?,?,?,?,?,97.0,?,3.15,3.29,9.4,69.0,?,?,37.0,?,3
?,1,0,0,?,?,94.5,?,?,53.5,2024.0,?,2,?,1,?,?,9.4,69.0,5200.0,31.0,?,?,3
12,1,0,1,3,1,?,?,?,?,?,2,2,?,1,3.15,?,9.4,69.0,?,?,37.0,?,3
?,1,0,1,2,1,94.5,?,63.8,53.3,?,?,2,?,1,3.15,3.29,9.4,?,5200.0,31.0,37.0,?,3
?,1,?,0,3,?,94.5,165.3,?,54.5,?,2,2,97.0,1,3.15,3.29,?,?,?,31.0,?,7499.0,?
12,?,0,0,4,1,94.5,?,?,?,2037.0,2,?,97.0,?,3.15,?,9.4,?,?,31.0,?,?,?
?,?,?,?,?,1,95.1,?,?,?,?,2,2,97.0,?,3.15,?,9.4,69.0,5200.0,?,37.0,?,4
?,?,0,0,2,?,?,173.4,65.2,?,?,?,?,?,1,?,3.47,8.5,97.0,5200.0,?,34.0,8949.0,2
?,?,?,0,?,?,?,173.4,65.2,?,2302.0,?,?,120.0,1,3.33,?,?,97.0,5200.0,27.0,?,9549.0,?
?,1,0,?,?,1,100.4,181.7,66.5,55.1,3095.0,?,?,?,?,?,3.27,?,152.0,5200.0,?,?,?,2
12,?,0,?,4,1,100.4,184.6,?,?,?,4,3,181.0,?,?,?,?,152.0,5200.0,?,?,14399.0,?
