@relation dataset

@attribute make {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@attribute fuel-type {0, 1}
@attribute aspiration {0, 1}
@attribute num-of-doors {0, 1}
@attribute body-style {0, 1, 2, 3, 4}
@attribute drive-wheels {0, 1, 2}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {0, 1, 2, 3, 4}
@attribute num-of-cylinders {0, 1, 2, 3, 4, 5}
@attribute engine-size real
@attribute fuel-system {0, 1, 2, 3, 4, 5, 6}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {0, 1, 2, 3, 4, 5}


@data

0,?,?,?,0,2,?,?,?,48.8,?,0,2,130.0,?,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,?,5
0,?,?,?,0,2,88.6,168.8,64.1,?,2548.0,0,2,130.0,4,3.47,2.68,9.0,?,5000.0,21.0,27.0,16500.0,?
0,1,?,?,2,?,94.5,171.2,?,52.4,2823.0,4,3,?,?,?,3.47,?,154.0,5000.0,?,26.0,16500.0,3
1,1,0,0,3,?,99.8,?,66.2,54.3,?,2,2,109.0,?,3.19,3.4,10.0,102.0,5500.0,24.0,?,?,4
?,1,?,0,3,?,?,176.6,66.4,54.3,?,2,1,136.0,4,?,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,4
?,1,0,1,3,1,99.8,177.3,66.3,53.1,2507.0,?,1,136.0,4,3.19,3.4,?,110.0,5500.0,?,25.0,15250.0,?
1,?,?,0,3,1,105.8,192.7,71.4,55.7,2844.0,2,1,136.0,4,3.19,3.4,8.5,?,5500.0,?,25.0,17710.0,3
1,?,0,0,?,?,?,192.7,?,55.7,2954.0,2,1,136.0,?,3.19,?,8.5,?,5500.0,?,?,?,3
1,?,1,?,3,?,?,192.7,71.4,55.9,?,2,?,131.0,?,?,?,8.3,140.0,5500.0,17.0,?,23875.0,3
?,1,0,1,3,?,101.2,?,64.8,54.3,?,?,?,108.0,4,3.5,2.8,8.8,?,5800.0,23.0,29.0,16430.0,4
2,1,0,0,3,?,101.2,176.8,64.8,54.3,2395.0,2,2,108.0,4,3.5,?,8.8,101.0,5800.0,23.0,29.0,?,?
2,?,0,1,3,2,?,?,64.8,54.3,2710.0,?,?,164.0,4,3.31,3.19,9.0,121.0,4250.0,21.0,?,20970.0,?
?,1,?,0,3,?,101.2,176.8,64.8,54.3,?,2,3,164.0,4,?,?,9.0,?,?,21.0,28.0,?,2
2,?,0,0,?,?,?,189.0,66.9,?,?,2,?,?,4,3.31,3.19,9.0,?,4250.0,20.0,25.0,24565.0,3
2,?,0,0,?,?,?,189.0,66.9,55.7,?,2,?,?,4,3.62,3.39,?,?,5400.0,?,22.0,?,2
2,?,0,1,3,?,?,193.8,67.9,?,3380.0,2,3,209.0,4,?,3.39,8.0,?,5400.0,16.0,22.0,?,2
2,?,0,?,3,2,?,197.0,70.9,56.3,3505.0,?,3,?,?,3.62,3.39,8.0,182.0,5400.0,?,?,36880.0,?
3,?,0,1,?,1,88.4,?,?,?,1488.0,1,?,61.0,1,?,?,?,48.0,5100.0,47.0,53.0,5151.0,4
?,1,0,?,2,?,94.5,155.9,63.6,52.0,?,?,2,90.0,1,3.03,?,9.6,?,5400.0,38.0,43.0,6295.0,3
3,1,0,?,3,?,?,158.8,63.6,52.0,?,?,2,?,1,?,3.11,9.6,?,?,?,43.0,6575.0,?
4,1,0,1,2,1,93.7,157.3,?,?,?,2,2,90.0,1,2.97,3.23,?,68.0,5500.0,37.0,41.0,?,3
?,1,0,1,2,1,?,157.3,63.8,50.8,1876.0,2,?,90.0,?,2.97,3.23,?,?,5500.0,?,38.0,?,3
4,?,?,1,2,1,93.7,157.3,63.8,50.8,2128.0,?,2,98.0,4,3.03,3.39,7.6,102.0,?,24.0,30.0,7957.0,3
4,1,0,?,?,1,?,?,?,?,1967.0,2,?,90.0,?,2.97,3.23,?,68.0,5500.0,31.0,?,?,3
4,1,?,0,3,1,93.7,157.3,63.8,50.6,1989.0,2,2,90.0,1,?,?,9.4,68.0,?,31.0,?,?,?
4,1,0,0,3,1,?,157.3,?,50.6,?,?,2,?,1,?,3.23,9.4,?,?,31.0,38.0,?,?
4,1,0,0,4,?,103.3,?,64.6,59.8,2535.0,2,2,?,1,3.34,3.46,8.5,88.0,5000.0,?,30.0,8921.0,1
4,1,?,?,?,?,95.9,173.2,66.3,50.2,2811.0,?,2,?,3,3.6,?,7.0,145.0,?,?,24.0,12964.0,5
5,1,?,?,?,1,86.6,144.6,63.9,50.8,?,2,2,?,0,2.91,?,9.6,?,?,?,?,6479.0,4
5,1,?,?,?,1,?,144.6,63.9,?,1819.0,2,2,92.0,?,?,3.41,9.2,76.0,6000.0,31.0,?,6855.0,4
5,1,0,1,2,?,93.7,?,?,52.6,1837.0,2,?,?,0,2.91,3.07,10.1,60.0,?,38.0,42.0,?,?
5,1,0,1,2,1,93.7,150.0,64.0,52.6,?,?,?,?,?,2.91,?,?,76.0,?,?,?,6529.0,?
?,1,?,?,?,?,93.7,150.0,?,52.6,?,2,2,92.0,0,2.91,3.41,?,76.0,6000.0,?,?,7129.0,3
5,1,0,0,?,1,?,?,64.0,54.5,2010.0,2,2,92.0,0,2.91,?,?,?,?,30.0,?,7295.0,?
5,?,?,0,4,1,96.5,157.1,?,?,2024.0,2,?,92.0,?,2.92,3.41,?,76.0,?,30.0,34.0,?,?
?,1,?,?,2,?,96.5,167.5,65.2,53.3,2236.0,?,2,?,0,3.15,?,9.0,?,5800.0,27.0,?,7895.0,2
