@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7}


@data

0.49,0.29,?,0.56,0.24,?,?
?,?,?,?,0.35,?,0
0.56,0.4,0.48,0.49,0.37,0.46,?
?,0.49,0.48,?,0.45,?,?
?,?,0.48,0.55,?,0.35,0
0.67,0.39,0.48,0.36,0.38,?,?
0.29,?,0.48,0.44,?,0.34,0
0.21,?,0.48,?,?,0.39,0
0.2,0.44,0.48,?,?,0.57,?
0.42,?,0.48,?,?,0.3,?
?,?,0.48,0.57,?,0.37,?
?,?,?,0.44,?,?,0
0.39,0.32,?,0.46,?,0.35,?
?,?,?,?,?,?,0
?,0.43,?,0.48,0.16,?,0
?,0.4,0.48,?,0.44,0.52,0
?,?,?,0.38,?,?,?
?,0.27,0.48,?,?,?,?
?,0.4,?,0.39,?,?,0
0.41,0.57,?,0.39,?,?,?
0.4,?,0.48,?,?,?,0
?,0.23,?,?,0.05,0.14,0
?,?,?,?,?,?,0
?,?,?,?,0.11,0.23,0
0.36,?,?,?,?,?,0
0.29,0.37,0.48,?,?,0.52,?
?,0.4,0.48,?,0.33,0.42,0
0.21,?,?,0.5,?,0.41,?
?,?,0.48,0.53,0.35,?,?
0.43,?,?,0.47,?,0.41,0
?,0.38,0.48,0.44,?,0.36,?
0.34,0.33,0.48,?,0.35,?,?
?,?,0.48,0.34,0.37,?,?
?,?,?,0.42,?,?,?
0.24,0.35,?,?,0.19,?,0
0.36,0.54,0.48,?,?,?,?
0.29,?,?,0.42,?,0.39,?
?,0.47,?,?,?,0.4,0
?,0.42,0.48,0.35,0.28,0.38,?
?,?,0.48,?,0.22,?,0
0.33,?,?,0.52,0.32,?,?
?,0.37,?,?,0.41,0.49,?
0.4,0.5,0.48,0.45,0.39,?,0
?,0.38,?,?,?,0.42,?
0.61,0.45,?,?,0.35,?,0
?,0.38,0.48,0.45,?,?,0
0.44,?,0.48,?,0.55,?,?
?,?,?,0.39,?,?,0
0.42,0.35,0.48,0.58,0.15,?,?
0.23,?,?,?,?,0.43,?
?,0.52,0.48,?,0.42,?,?
0.29,0.3,0.48,?,?,?,0
0.22,0.36,0.48,?,0.39,0.47,?
0.23,?,?,?,0.53,?,0
0.47,0.47,?,?,0.16,0.26,0
?,0.47,?,0.28,?,0.42,?
0.51,?,0.48,?,?,0.45,0
0.4,0.35,?,0.45,?,0.42,?
0.44,0.34,?,0.3,?,0.43,?
0.42,0.38,0.48,0.54,0.34,?,0
0.44,0.56,?,0.5,0.46,0.54,?
0.52,?,?,0.41,?,?,?
?,?,?,?,0.47,0.54,0
?,0.3,0.48,?,0.24,0.35,?
?,0.29,?,0.51,0.33,0.43,?
0.24,0.43,?,?,?,0.59,?
0.25,0.37,?,?,?,0.42,0
0.52,?,?,?,0.47,0.54,?
0.25,?,0.48,0.43,0.26,0.36,?
?,?,?,0.56,0.4,?,0
0.26,?,?,?,?,?,?
?,0.51,?,0.47,?,?,0
?,0.5,0.48,?,?,0.45,0
?,?,?,0.42,?,?,?
0.24,?,0.48,0.37,0.28,0.38,0
0.42,0.3,0.48,?,?,0.36,0
0.48,?,?,0.45,?,0.35,0
?,0.48,?,0.51,0.44,0.51,0
?,?,?,0.43,0.27,?,0
0.29,0.41,0.48,0.48,?,?,0
0.34,?,?,?,?,0.44,0
0.41,?,0.48,0.45,?,?,0
0.29,0.47,?,0.41,?,0.34,?
0.34,0.55,0.48,0.58,?,0.41,?
0.36,0.56,?,?,0.45,0.53,?
0.4,?,?,?,?,?,0
0.5,?,?,0.49,0.46,0.53,?
?,?,0.48,0.37,?,?,?
?,0.51,?,0.27,?,?,0
0.53,0.42,?,?,0.29,?,?
?,?,?,0.52,?,0.44,?
?,?,?,0.37,0.27,?,0
?,?,?,?,0.24,0.25,0
0.3,0.45,?,0.36,?,?,?
0.31,0.47,0.48,0.29,0.28,0.39,0
0.64,?,0.48,?,?,?,0
?,?,0.48,0.3,0.34,?,?
0.57,0.54,0.48,?,?,?,0
0.65,?,0.48,?,0.37,0.28,0
?,0.46,?,?,0.31,?,?
?,?,0.48,?,0.25,0.35,0
?,0.57,?,?,?,?,0
?,?,?,0.54,0.16,0.28,?
0.33,0.47,?,?,?,0.29,?
?,0.34,0.48,?,0.3,0.4,?
0.26,0.5,?,?,?,?,?
?,?,0.48,0.39,0.38,0.4,?
?,0.32,?,0.33,0.45,0.52,0
?,0.43,?,?,0.3,?,0
0.47,?,?,?,?,?,0
?,0.33,0.48,0.6,?,?,0
0.34,0.35,0.48,?,?,0.56,0
?,?,0.48,0.46,0.3,?,?
