@relation dataset

@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute attr_5 real
@attribute attr_6 real
@attribute attr_7 real
@attribute attr_8 real
@attribute attr_9 real
@attribute attr_10 real
@attribute attr_11 real
@attribute attr_12 real
@attribute attr_13 real
@attribute attr_14 real
@attribute attr_15 real
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 real
@attribute attr_19 real
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 real
@attribute attr_41 real
@attribute attr_42 real
@attribute attr_43 real
@attribute attr_44 real
@attribute attr_45 real
@attribute attr_46 real
@attribute attr_47 real
@attribute attr_48 real
@attribute attr_49 real
@attribute attr_50 real
@attribute attr_51 real
@attribute attr_52 real
@attribute attr_53 real
@attribute attr_54 real
@attribute attr_55 real
@attribute attr_56 real
@attribute attr_57 real
@attribute attr_58 real
@attribute attr_59 real
@attribute attr_60 real
@attribute attr_61 real
@attribute attr_62 real
@attribute attr_63 real
@attribute attr_64 real
@attribute attr_65 real
@attribute attr_66 real
@attribute attr_67 real
@attribute attr_68 real
@attribute attr_69 real
@attribute attr_70 real
@attribute attr_71 real
@attribute attr_72 real
@attribute attr_73 real
@attribute attr_74 real
@attribute attr_75 real
@attribute attr_76 real
@attribute attr_77 real
@attribute attr_78 real
@attribute attr_79 real
@attribute attr_80 real
@attribute attr_81 real
@attribute attr_82 real
@attribute attr_83 real
@attribute attr_84 real
@attribute attr_85 real
@attribute attr_86 real
@attribute attr_87 real
@attribute attr_88 real
@attribute attr_89 real
@attribute attr_90 real
@attribute attr_91 real
@attribute attr_92 real
@attribute attr_93 real
@attribute attr_94 real
@attribute attr_95 real
@attribute attr_96 real
@attribute attr_97 real
@attribute attr_98 real
@attribute attr_99 real
@attribute attr_100 real
@attribute attr_101 real
@attribute attr_102 real
@attribute attr_103 real
@attribute attr_104 real
@attribute attr_105 real


@data

1.0,3150.0,?,598.5,190.0,1010.84,16.0,1200.0,6713.0,?,61.52,6.11,?,3485.8,64.5,239.5,12456.6,15.0,?,?,1755.0,?,?,63.25,3758.77,42587.0,628132.9,4986.0,55.5,?,3.94,?,?,?,179.63,9342.45,15.0,757.8,861.8,?,8018.0,65.0,60.53,3538.71,?,610502.7,?,54.2,?,5.41,?,3755.8,58.1,119.75,?,15.0,795.0,818.5,?,?,63.69,58.55,3347.72,21293.5,589389.6,5728.0,52.4,57.65,?,262789.0,2931.4,?,?,3114.15,?,?,?,1755.0,8013.0,62.78,56.45,3387.72,?,606524.2,?,?,56.13,5.97,249110.7,2562.3,52.8,?,?,15.0,733.8,815.5,1755.0,?,?,?,2978.26,41407.0,601988.1,2200.0,?
1.0,?,1140.0,3040.0,400.0,963.81,?,?,3152.0,106.0,103.03,3.15,?,3526.1,105.5,208.8,?,?,1408.4,1473.5,8842.18,8864.0,?,?,12113.01,?,?,2700.0,103.0,101.84,2.65,?,?,100.4,156.6,?,15.0,1424.1,1584.3,?,8799.0,?,?,13571.8,34474.5,?,3561.0,?,98.64,2.76,602224.7,3819.0,97.2,104.4,8792.15,?,1298.8,?,8699.73,8735.0,98.12,98.45,13596.37,22983.0,973523.7,3157.0,92.8,?,3.05,?,3896.7,96.9,?,4396.08,?,1294.2,1288.0,8555.54,8585.0,95.35,94.34,12063.5,11491.5,?,?,86.2,83.21,?,526596.4,2790.6,?,?,14488.6,?,1143.8,1316.3,?,8393.0,?,?,11379.37,?,?,5000.0,?
1.0,4800.0,840.0,?,?,689.84,15.0,630.0,1627.0,?,?,?,160401.5,?,?,?,6489.1,15.0,614.0,608.2,1755.0,?,?,38.34,1537.96,?,?,1580.0,40.3,40.84,1.15,150266.8,1149.5,?,?,4866.83,15.0,?,?,1755.0,6714.0,43.4,?,?,29299.5,466212.2,2628.0,39.3,40.21,1.52,?,1284.5,33.5,142.9,3244.55,?,554.0819663,663.97,1755.0,5827.0,41.79,?,1527.55,19533.0,409677.9,?,38.0,?,0.92,134548.4,?,33.7,71.45,1622.28,15.0,574.6,680.5,1755.0,5565.0,41.03,33.37,?,9766.5,403875.0,?,36.2,?,1.55,134312.5,1529.0,31.43,?,3994.7,15.0,?,765.8,1755.0,4930.0,38.7,32.04,1653.06,37933.0,377828.6,1200.0,170.0
?,?,202.0,?,?,?,4.0,140.0,?,12.1,10.03,1.24,38193.64,?,13.6,?,?,12.0,183.6,211.1,1612.95,1649.0,?,10.06,392.96,8435.75,?,2952.0,?,?,?,?,322.5,?,?,610.4,12.0,165.1,208.6,1504.36,?,10.86,9.79,?,32776.0,?,2649.0,?,6.97,?,?,388.9,11.73,?,457.8,12.0,?,?,1450.47,1507.0,10.17,9.35,508.64,24582.0,123618.0,2312.0,10.6,?,2.58,30012.46,345.3,10.79,28.3,305.2,12.0,180.3715071,158.45,?,1450.0,?,8.85,590.64,16388.0,121857.2,?,10.0,3.91,3.0,?,316.5,?,14.15,152.6,12.0,197.6795574,?,1442.31,1456.0,9.73,8.34,686.16,8194.0,?,165.0,30.0
?,3000.0,800.0,1230.0,410.0,631.91,?,5000.0,?,?,162.84,?,?,?,?,?,?,11.0,?,3148.0,?,9380.0,158.63,169.5,10082.0,?,2318397.0,6370.0,?,154.36,5.33,?,12930.0,210.7,?,52083.6,11.0,2595.2,3000.0,9329.64,?,148.76,159.0,?,?,1908975.7,?,177.6,147.44,6.88,1451175.9,8146.1,188.9,?,34722.4,11.0,2284.4,?,9297.06,?,140.9,?,?,?,1681849.3,?,?,141.34,?,1341072.8,?,?,98.33,17361.2,11.0,?,2526.4,?,?,136.56,?,?,?,1732937.5,5606.0,?,?,4.09,1284199.4,6622.5,147.6,432.4,73143.5,14.0,?,?,?,9286.0,136.6,?,9821.0,48260.0,?,?,700.0
?,?,?,1050.0,?,?,12.0,?,?,203.8,162.84,?,1640293.0,10855.3,229.3,393.3,69444.8,11.0,?,3148.0,9248.4,9380.0,158.63,169.5,10082.0,49572.0,2318397.0,?,?,?,5.33,?,12930.0,210.7,?,52083.6,?,?,3000.0,9329.64,9396.0,148.76,159.0,9700.0,37179.0,?,5909.0,177.6,147.44,6.88,?,8146.1,188.9,196.65,34722.4,11.0,2284.4,2627.5,9297.06,9347.0,140.9,146.2,10149.0,?,1681849.3,7045.0,?,?,4.72,1341072.8,8245.0,173.8,?,?,11.0,2451.2,2526.4,9254.28,?,136.56,138.8,?,12393.0,1732937.5,?,149.1,?,4.09,1284199.4,6622.5,147.6,?,?,?,2220.6,?,9231.76,9286.0,136.6,140.2,9821.0,?,1734973.5,5200.0,700.0
?,1810.0,492.0,1158.4,640.0,?,?,5700.0,?,224.7,198.55,6.73,1622664.0,15001.6,306.7,83.53,16471.38,11.0,2871.3,3662.6,9132.66,9260.0,171.13,178.3,11568.0,12732.0,2435004.3,6790.0,?,?,6.46,1640293.0,10855.3,229.3,393.3,?,?,2738.8,3148.0,9248.4,?,158.63,?,10082.0,49572.0,2318397.0,?,?,?,?,1523166.6,12930.0,?,?,52083.6,11.0,2595.2,3000.0,9329.64,?,148.76,?,?,?,1908975.7,?,?,?,6.88,?,8146.1,?,196.65,34722.4,11.0,?,2627.5,?,9347.0,140.9,146.2,?,24786.0,?,7045.0,160.0,?,4.72,1341072.8,?,?,98.33,?,11.0,?,?,9254.28,9306.0,?,?,9291.0,12393.0,1732937.5,5800.0,900.0
1.0,1150.0,380.0,?,500.0,590.68,6.0,5300.0,?,259.5,204.02,?,?,16139.0,?,334.1,?,?,?,3823.6,?,9867.6,191.63,?,7966.5,?,2217708.7,?,255.8,?,3.8,?,18468.3,292.4,250.58,49414.13,11.0,3447.8,3676.1,?,?,190.5,204.8,8857.0,38196.0,2310101.4,4242.0,245.1,225.0,?,?,?,?,167.05,32942.75,?,?,3686.3,?,9489.1,179.96,189.5,11763.0,25464.0,2303248.1,6458.0,224.7,?,?,1622664.0,?,?,83.53,?,11.0,?,?,?,9260.0,171.13,178.3,11568.0,12732.0,2435004.3,?,203.8,162.84,6.46,?,10855.3,229.3,?,?,?,2738.8,?,9248.4,9380.0,158.63,169.5,10082.0,49572.0,?,?,600.0
?,?,?,189.9,90.0,732.14,5.0,690.0,4638.0,34.6,?,?,?,1861.2,29.55,87.85,?,15.0,?,667.8,?,4730.0,35.67,28.87,?,?,390388.5,3840.0,33.4,?,2.32,?,2211.5,28.61,43.93,998.68,15.0,229.2,?,1755.0,4758.0,34.98,27.13,1859.5,9483.25,?,3321.0,31.4,?,2.69,116552.6,1430.8,27.68,?,?,15.0,763.2,582.8,?,4695.0,32.83,25.62,?,?,?,?,30.9,31.47,?,98042.9,1571.1,26.74,?,2162.1,15.0,?,768.0,?,4630.0,31.3,23.87,?,27613.5,?,3302.0,29.5,29.93,?,92354.2,?,25.8,73.95,1441.4,15.0,431.1,550.4,?,4252.0,30.13,21.54,?,18409.0,402158.1,?,110.0
